# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Πλήρες αρχείο καταγραφής αλλαγών
object_BoomBoxRoundHouse						Φορητό στέρεο

object_classic									Κλασικό
object_dalmation								Δαλματίας
object_husky									Χάσκι
object_companion								Συντροφιά
object_cat										Γάτα
object_direwoof									Τρομακτικός λύκος

equipment_fountainPen							Πένα γραφής
equipment_goldPocketWatch						Χρυσό ρολόι τσέπης
equipment_sedativeShot							Ηρεμιστική ένεση (Σύριγγα)
equipment_sedativesyringe						Ηρεμιστική (Σύριγγα)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Κατασκεύασε Τοίχους Αρτ Ντεκό για να δημιουργήσεις μια αρχιτεκτονική εμφάνιση του 1920 στη φυλακή.
buildtoolbar_popup_mat_blueWall					Κατασκεύασε αριστοκρατικούς τοίχους πάνω από τα θεμέλια, για να δημιουργήσεις νέους χώρους προσωπικού ή δωμάτια.
buildtoolbar_popup_mat_burgundywall				Κατασκεύασε αριστοκρατικούς τοίχους πάνω από τα θεμέλια, για να δημιουργήσεις νέους χώρους προσωπικού ή δωμάτια.
buildtoolbar_popup_mat_greenwall				Κατασκεύασε αριστοκρατικούς τοίχους πάνω από τα θεμέλια, για να δημιουργήσεις νέους χώρους προσωπικού ή δωμάτια.
buildtoolbar_popup_mat_orientalwall				Κατασκεύασε ανατολίτικους τοίχους για να δημιουργήσεις περιοχές στη φυλακή με αρχαία ιαπωνική αίσθηση.
buildtoolbar_popup_mat_cushionedwall			Κατασκεύασε τμήματα τοίχων πάνω από τα θεμέλια, για να δημιουργήσεις νέους χώρους ή δωμάτια με πλούσια, δερμάτινη εμφάνιση.
buildtoolbar_popup_mat_sandstone				Τοποθέτησε πλάκες αμμόπετρας στους εξωτερικούς χώρους.
buildtoolbar_popup_mat_limestonefloor			Το δάπεδο έχει χρώμα ξεθωριασμένου ασβέστη.
buildtoolbar_popup_mat_blueCarpet				Τοποθέτησε άνετο χαλί. Ιδανικό για χώρους προσωπικού.
buildtoolbar_popup_mat_redCarpet				Τοποθέτησε άνετο χαλί. Ιδανικό για χώρους προσωπικού.
buildtoolbar_popup_mat_brownCarpet				Τοποθέτησε άνετο χαλί. Ιδανικό για χώρους προσωπικού.
buildtoolbar_popup_mat_paddedfloor				Ταιριάζει με τους καπιτονέ τοίχους για να δημιουργήσει ένα τελείως καπιτονέ κελί για κρατούμενους παράφρονες εγκληματίες.
buildtoolbar_popup_mat_grassstones				Μια χορτώδης περιοχή με πλάκες λιθόστρωσης.
buildtoolbar_popup_mat_grassscornerfloor		Μια γωνία γρασιδιού με χώμα. Χρήσιμη για γωνιακά μονοπάτια.
buildtoolbar_popup_mat_lunarfloor				Μια σκληρή βραχώδης επιφάνεια με μια διαστρική εμφάνιση.
buildtoolbar_popup_obj_spookytree				Ένα απόκοσμο παλιό δέντρο.
buildtoolbar_popup_obj_cactustree				Θα φαινόταν πιο κατάλληλο στην ξηρά.
buildtoolbar_popup_obj_sakuratree				Μια όμορφη κερασιά με ροζ λουλούδια που ανθίζουν.
buildtoolbar_popup_obj_plant					Ένα ευχάριστο φυτό για σπίτι.
buildtoolbar_popup_obj_plantcactus				Ένας κάκτος γλάστρας εσωτερικού χώρου.
buildtoolbar_popup_obj_tyrestack				Λειτουργεί ως μικρός τοίχος γύρω από τον οποίο θα περπατούν κρατούμενοι και προσωπικό.
buildtoolbar_popup_obj_lamp						Μια περίτεχνη λάμπα δαπέδου, ιδανική για γραφεία και χώρους προσωπικού.
buildtoolbar_popup_obj_bathroomSink				Κανένα υγιεινό μπάνιο δεν είναι πλήρες χωρίς
buildtoolbar_popup_obj_bathroomHandDryer		Ταιριάζει τέλεια με έναν νιπτήρα μπάνιου
buildtoolbar_popup_obj_chestOfDrawers			Ξύλινη συρταριέρα.
buildtoolbar_popup_obj_woodenStool				Θα ταίριαζε υπέροχα με ένα ξύλινο τραπέζι.
buildtoolbar_popup_obj_woodenTable				Θα ταίριαζε υπέροχα με ένα ξύλινο σκαμνί	
buildtoolbar_popup_obj_bucket					Απλά ένας κάδος
buildtoolbar_popup_obj_shortbookcase			Ένα πιο κοντό ράφι για βιβλία.
buildtoolbar_popup_obj_outdoorTable				Για να κάθονται και να τρώνε οι κρατούμενοι, σε εξωτερικούς χώρους.
buildtoolbar_popup_obj_mooseHead				Ένα όμορφο, χειροποίητο κεφάλι άλκης πάνω σε πλάκα.
buildtoolbar_popup_obj_toiletSign				Μια πινακίδα τοίχου με ένα σύμβολο τουαλέτας πάνω της.
buildtoolbar_popup_obj_rightArrowSign			Μια πινακίδα τοίχου με ένα βέλος να δείχνει δεξιά.
buildtoolbar_popup_obj_leftArrowSign			Μια πινακίδα τοίχου με ένα βέλος να δείχνει αριστερά.
buildtoolbar_popup_obj_infirmarySign			Μια πινακίδα τοίχου με ένα σύμβολο αναρρωτηρίου πάνω της.
buildtoolbar_popup_obj_canteenSign				Μια πινακίδα τοίχου με ένα σύμβολο κυλικείου πάνω της.
buildtoolbar_popup_obj_showerSign				Μια πινακίδα τοίχου με ένα σύμβολο ντους πάνω της.
buildtoolbar_popup_obj_armourySign				Μια πινακίδα τοίχου με ένα σύμβολο οπλοστασίου πάνω της.
buildtoolbar_popup_obj_jaildoorred				Μια χρωματιστή πόρτα φυλακής για να σε βοηθήσει να επισημάνεις συγκροτήματα κελιών υψίστης ασφαλείας.
buildtoolbar_popup_obj_jaildoorgrey				Μια χρωματιστή πόρτα φυλακής για να σε βοηθήσει να επισημάνεις συγκροτήματα κελιών χαμηλής ασφαλείας.
buildtoolbar_popup_obj_jaildoororange			Μια χρωματιστή πόρτα φυλακής για να σε βοηθήσει να επισημάνεις συγκροτήματα κελιών μεσαίας ασφαλείας.
buildtoolbar_popup_obj_jaildooryellow			Μια χρωματιστή πόρτα φυλακής για να σε βοηθήσει να επισημάνεις συγκροτήματα κελιών προληπτικού περιορισμού.
buildtoolbar_popup_obj_jaildoorlargered			Μια μεγάλη χρωματιστή πόρτα φυλακής για να σε βοηθήσει να επισημάνεις συγκροτήματα κελιών υψίστης ασφαλείας.
buildtoolbar_popup_obj_jaildoorlargegrey		Μια μεγάλη χρωματιστή πόρτα φυλακής για να σε βοηθήσει να επισημάνεις συγκροτήματα κελιών χαμηλής ασφαλείας.
buildtoolbar_popup_obj_jaildoorlargeorange		Μια μεγάλη χρωματιστή πόρτα φυλακής για να σε βοηθήσει να επισημάνεις συγκροτήματα κελιών μεσαίας ασφαλείας.
buildtoolbar_popup_obj_jaildoorlargeYellow		Μια μεγάλη χρωματιστή πόρτα φυλακής για να σε βοηθήσει να επισημάνεις συγκροτήματα κελιών προληπτικού περιορισμού.
buildtoolbar_popup_obj_coatstand				Ένας χώρος για τα παλτό και τα καπέλα του προσωπικού.
buildtoolbar_popup_obj_dogbowl					Παρέχει νερό και τροφή για κουρασμένα σκυλιά φύλακες.\nΑυξάνει την αντοχή ενός σκύλου σε μικρή ποσότητα.
buildtoolbar_popup_obj_secretdoor				Μία κρυφή πόρτα μεταμφιεσμένη ως βιβλιοθήκη, η οποία σύρεται για να ανοίξει ώστε να περάσει το προσωπικό.
buildtoolbar_popup_obj_parkbench				Ένα παγκάκι πάρκου εξωτερικού χώρου.
buildtoolbar_popup_obj_fencegateguard			Μια πύλη που φαίνεται υπέροχη με φράχτες, τους οποίους μόνο οι φρουροί μπορούν να ανοίξουν.
buildtoolbar_popup_obj_oaktable					Για να φάει κάποιος.
buildtoolbar_popup_obj_oakbench					Για να καθίσει κάποιος. Ταιριάζει υπέροχα με το τραπέζι βελανιδιάς.

buildtoolbar_popup_obj_classic					Ο γνήσιος σκύλος-φύλακας, μεγάλης ηλικίας αλλά έμπειρος.
buildtoolbar_popup_obj_dalmation				Αρχικά ζούσε σε ένα αγρόκτημα, αλλά τώρα εργάζεται στην αποτροπή αποδράσεων.
buildtoolbar_popup_obj_husky					Μια θανατηφόρα παγίδα για τους δραπέτες που κινούνται μέσα στο χιόνι.
buildtoolbar_popup_obj_companion				Ο καλύτερος φίλος ενός φύλακα
buildtoolbar_popup_obj_cat						Δεν αρέσουν σε όλους οι σκύλοι.
buildtoolbar_popup_obj_direwoof					Ποιος θα τολμούσε έστω να δραπετεύσει;

buildtoolbar_popup_filter_mostused				Περισσότερο χρησιμοποιημένο
buildtoolbar_caters_safety						Εξυπηρετεί την ανάγκη ασφάλειας.

interfacedeployment_orderly						Τοποθέτησε φροντιστές
buildtoolbar_deployment_orderly					Τοποθέτησε φροντιστές στους τομείς της φυλακής σου.

interfacedeployment_orderlypatrols				Τοποθέτησε φροντιστές
buildtoolbar_deployment_orderlypatrols			Τοποθέτησε φροντιστές στις διαδρομές περιπολίας εντός της φυλακής σου.

room_PaddedCell                                Καπιτονέ κελί
room_PaddedHoldingCell                         Καπιτονέ κελί κράτησης
room_PsychiatristOffice							Γραφείο ψυχιάτρου

interfaceplanning_BuildPlan			Οικοδόμηση σχεδίων
interfaceplanning_ClearPlan			Απαλοιφή σχεδίων
interfaceplanning_Door				Πόρτες

buildtoolbar_improvement						- Βελτιώνει τον βαθμό για *R
buildtoolbar_improvement_windows				 (όταν κοιτάει έξω)

buildplan_title					Επιλογή τύπου τοίχου			
buildplan_message				Είσαι έτοιμος να οικοδομήσεις το σχέδιό σου;\n	Η ενέργεια αυτή δεν μπορεί να αναιρεθεί.\n\n	Όλοι οι προγραμματισμένοι τοίχοι θα κατασκευαστούν με τον ίδιο τύπο τοίχου.\n	Η επιλογή τύπου τοίχου μπορεί να αλλάξει πιο κάτω.
clearplan_title					Απαλοιφή σχεδίων
clearplan_message				Είσαι σίγουρος ότι επιθυμείς να απαλείψεις όλα τα σχέδια που έχουν δημιουργηθεί;\n \n	Η ενέργεια αυτή δεν μπορεί να αναιρεθεί.

d11_custom_planning 				Προσαρμοσμένος σχεδιασμός

buildtoolbar_popup_planning			Σχεδίασε τη φυλακή σου χωρίς να ανησυχείς μήπως κάνουν κάτι οι εργάτες σου, μέχρι να είσαι έτοιμος. Το Μενού σχεδιασμού σου επιτρέπει να επιλέξεις Οικοδόμηση όλων των σχεδιασμένων δομών και πορτών, διαγραφή τμημάτων των σχεδίων σου ή απαλοιφή ολόκληρου του σχεδίου και εκκίνηση από την αρχή.

buildtoolbar_popup_help_planningDoor_1		Ο επιλεγμένος τύπος πόρτας θα χρησιμοποιηθεί όταν τοποθετήσεις μια πόρτα στο σχέδιό σου.
buildtoolbar_popup_help_quickBuildWall_1	Ο επιλεγμένος τύπος τοίχου θα χρησιμοποιηθεί στην κατασκευή του επόμενου γρήγορου οικοδομήματός σου


buildtoolbar_popup_mat_blueclassywall			Κατασκεύασε αριστοκρατικούς τοίχους πάνω από τα θεμέλια, για να δημιουργήσεις νέους χώρους προσωπικού ή δωμάτια.
buildtoolbar_popup_mat_burgundyclassywall		Κατασκεύασε αριστοκρατικούς τοίχους πάνω από τα θεμέλια, για να δημιουργήσεις νέους χώρους προσωπικού ή δωμάτια.
buildtoolbar_popup_mat_greenclassywall			Κατασκεύασε αριστοκρατικούς τοίχους πάνω από τα θεμέλια, για να δημιουργήσεις νέους χώρους προσωπικού ή δωμάτια.

buildtoolbar_popup_obj_windowclassy				Κάνει το εξωτερικό να φαίνεται καλύτερο από αυτό που είναι στην πραγματικότητα.
buildtoolbar_popup_obj_windowclassyLarge		Κάνει το εξωτερικό να φαίνεται καλύτερο από αυτό που είναι στην πραγματικότητα.
buildtoolbar_popup_obj_gravestone				Για κάθε θάνατο που λαμβάνει χώρα στην φυλακή σου παρέχεται μια ταφόπλακα.

buildtoolbar_popup_staff_psychiatrist			Ένα ανώτερο μέλος του προσωπικού που παρέχει στους κρατούμενους παράφρονες εγκληματίες τακτικές συμβουλές.\nΟι ψυχίατροι παρέχουν τακτικές ατομικές συνεδρίες για να κατευνάσουν τους κρατούμενους παράφρονες εγκληματίες, μόλις αφού έχουμε στη διάθεσή μας ένα πρόγραμμα ψυχιατρικών διαβουλεύσεων. \nΕάν έχουμε πολλούς κρατούμενους παράφρονες εγκληματίες, θα πρέπει να προσλάβουμε μερικούς ψυχιάτρους για να τους στηρίξουμε όλους. Βεβαιωθείτε επίσης ότι έχει κάθε ένας το γραφείο του.

buildtoolbar_popup_staff_orderly				Ιατρικό προσωπικό, ειδικά εκπαιδευμένο στο χειρισμό παράφρονων εγκληματιών.
buildtoolbar_popup_obj_leatherchair				Ταιριάζει με τον δερμάτινο καναπέ. Ιδανικό για το προσωπικό για να καθίσει και σίγουρα πολύ ωραίος για τους κρατούμενούς σου.

buildtoolbar_popup_obj_rorschachTest		    Η προσθήκη ενός Τεστ Ρόρσαχ στο γραφείο του ψυχίατρου θα βελτιώσει τη θεραπεία που παρέχει ο ψυχίατρος σε κρατούμενους παράφρονες εγκληματίες.
buildtoolbar_popup_obj_anatomyModel				Η προσθήκη ενός Μοντέλου ανατομίας στο γραφείο του ψυχίατρου θα βελτιώσει τη θεραπεία που παρέχει ο ψυχίατρος σε κρατούμενους παράφρονες εγκληματίες.
buildtoolbar_popup_obj_flipboard				Η προσθήκη ενός πίνακα σημειώσεων στο γραφείο του ψυχίατρου θα βελτιώσει τη θεραπεία που παρέχει ο ψυχίατρος σε κρατούμενους παράφρονες εγκληματίες.
buildtoolbar_popup_obj_medicineCabinetPsych		Η προσθήκη ενός ντουλαπιού φαρμάκων στο γραφείο του ψυχίατρου θα βελτιώσει τη θεραπεία που παρέχει ο ψυχίατρος σε κρατούμενους παράφρονες εγκληματίες.
buildtoolbar_popup_obj_leatherchair				Ταιριάζει με τον δερμάτινο καναπέ. Ιδανικό για το προσωπικό για να καθίσει και σίγουρα πολύ ωραίος για τους κρατούμενούς σου.
buildtoolbar_popup_obj_leatherSofa				Η προσθήκη ενός κλασικού δερμάτινου καναπέ στο γραφείο του ψυχίατρου θα βελτιώσει τη θεραπεία που παρέχει ο ψυχίατρος σε κρατούμενους παράφρονες εγκληματίες.

buildtoolbar_deployment_insaneseczone			Θα επιτρέπεται μόνο σε κρατούμενους παράφρονες εγκληματίες να μπαίνουν σε αυτόν τον τομέα.

failuremessage_maximumcountreachedgeneric		Μέγιστη ποσότητα που τοποθετήθηκε

buildtoolbar_popup_locked_PsychiatricConsultation				Ξεκλειδώθηκε έπειτα από *B ακόμα ψυχιατρικές συνεδρίες
buildtoobar_PsychConItemImproveInfo 			- Βελτιώνει τον βαθμό του γραφείου του ψυχιάτρου.
buildtoobar_PsychConItemImproveSuppression 		- Έπειτα από συμβουλευτική, μειώνει την καταστολή του κρατούμενου παράφρονα εγκληματία\n και συγκεκριμένες ανάγκες κατά +5%
buildtoobar_PsychConItemImproveGrace 			- Έπειτα από συμβουλευτική, παρέχει σε έναν κρατούμενο παράφρονα εγκληματία\nπερίοδο χάριτος επιπλέον 1 ημέρας,\nπροτού αρχίσουν να αυξάνονται πάλι η καταστολή και συγκεκριμένες ανάγκες.
buildtoolbar_popup_obj_Footbridge				Επιτρέπει στους κρατούμενους και στο προσωπικό να διασχίζουν εκτάσεις εδάφους και νερού. Δεν μπορεί να κατασκευαστεί πάνω από τοίχους, φράχτες και άλλα κτίρια.
buildtoolbar_popup_obj_FootbridgeSteel			Επιτρέπει στους κρατούμενους και στο προσωπικό να διασχίζουν εκτάσεις εδάφους και νερού. Δεν μπορεί να κατασκευαστεί πάνω από τοίχους, φράχτες και άλλα κτίρια.
buildtoolbar_popup_obj_FootbridgeB				Επιτρέπει στους κρατούμενους και στο προσωπικό να διασχίζουν εκτάσεις εδάφους και νερού. Δεν μπορεί να κατασκευαστεί πάνω από τοίχους, φράχτες και άλλα κτίρια.
buildtoolbar_popup_obj_FootbridgeSteelB			Επιτρέπει στους κρατούμενους και στο προσωπικό να διασχίζουν εκτάσεις εδάφους και νερού. Δεν μπορεί να κατασκευαστεί πάνω από τοίχους, φράχτες και άλλα κτίρια.
buildtoolbar_popup_obj_BoomBoxRoundHouse		Επιτρέπει στους κρατούμενούς σας να ακούνε τα αγαπημένα τους boy bands ενώ συνεχίζουν τη μέρα τους. Κάνει όλους τους κρατούμενους που βρίσκονται στο ίδιο δωμάτιο λίγο πιο ευτυχισμένους.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Καπιτονέ κελί απομόνωσης

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Προορίζεται για τους κρατούμενους παράφρονες εγκληματίες, με καπιτονέ τοίχους που προσφέρουν γαληνευτικό αποτέλεσμα.
buildtoolbar_popup_room_paddedholdingcell	    Εκεί που τοποθετούνται οι καινούργιοι κρατούμενοι παράφρονες εγκληματίες μας προτού ετοιμαστεί ένα μόνιμο καπιτονέ κελί.
buildtoolbar_popup_room_paddedsolitary			    Μία μορφή φυλάκισης με απομόνωση, για τις χειρότερες περιπτώσεις κρατούμενων παραφρόνων εγκληματιών.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Καπιτονέ (Μικρό)
quickbuild_paddedintermediatecell							Καπιτονέ (Μεσαίο)
quickbuild_paddedholdingcell								Καπιτονέ κελί κράτησης
quickbuild_paddedsolitarycell								Καπιτονέ κελί απομόνωσης
quickbuild_PsychiatristOffice								Γραφείο ψυχιάτρου



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Μόνο για ψυχιατρικά προβλήματα
interfacetopbar_PrisonerCells_insaneSecOnly	Χωρητικότητα παραφρόνων εγκληματιών: *X

roomgrading_PsychiatristOffice_info				Ξεκλείδωσε και τοποθέτησε επιπλέον αντικείμενα στο γραφείο του ψυχιάτρου για βελτίωση της θεραπείας σε κρατούμενους παράφρονες εγκληματίες.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Αντικείμενο: *X
roomgrading_PsychiatristOffice_Quality			Ικανότητα ψυχιάτρου: *Q
roomgrading_PsychiatristOffice_Upgrade			Αναβάθμισε το γραφείο του ψυχιάτρου για βελτίωση της ικανότητάς του.

roomgrading_score_average		ΜΕΣΟ
roomgrading_score_good			ΚΑΛΟ
roomgrading_score_verygood		ΠΟΛΥ ΚΑΛΟ
roomgrading_score_outstanding	ΕΞΑΙΡΕΤΙΚΟ

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Πτέρυγα παραφρόνων εγκληματιών
objective_grant_firstinsanecellblock_description	Η κυβέρνηση είναι πρόθυμη να παράσχει χρηματοδότηση για επέκταση της φυλακής μας με τα μέσα για στέγαση και προστασία της ευημερίας κρατούμενων παραφρόνων εγκληματιών.\n\nΗ χορηγία αυτή θα βοηθήσει στη διευκόλυνση της κατασκευής ειδικών καπιτονέ κελιών και στην πρόσληψη καταρτισμένων ψυχιάτρων.
objective_grant_firstinsanecellblock_cells			Οικοδόμηση πτέρυγας/συγκροτήματος κελιών για τους παράφρονες εγκληματίες, με 10 καπιτονέ κελιά
objective_grant_firstinsanecellblock_prisoners		Εισδοχή 10 κρατούμενων παραφρόνων εγκληματιών
objective_grant_firstinsanecellblock_psychiatrist	Πρόσληψη 2 ψυχιάτρων (κάθε ένας χρειάζεται γραφείο)

objective_readinsaneletter						Οδηγίες του Διευθύνοντος Συμβούλου σχετικά με τους κρατούμενους παράφρονες εγκληματίες
objective_readinsaneletter_description			Πριν από την εισδοχή κρατούμενων παραφρόνων εγκληματιών στη φυλακή σου, θα πρέπει να είσαι προετοιμασμένος με τις κατάλληλες εγκαταστάσεις και το προσωπικό, ώστε να φροντίσεις κατάλληλα τις ανάγκες τους - Ο Διευθύνων Σύμβουλος...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     Ως πρώην κυνηγός φυγόδικων, ο Hartman διδάσκει πολύτιμες τεχνικές εκπαίδευσης στο προσωπικό ασφαλείας του.\n\n -Σε όλους τους φύλακες πέφτουν τα κλειδιά κάτω λιγότερο συχνά\n -Η αντοχή των φυλάκων αναπληρώνεται με την εισδοχή
warden_wardeninsanehawk_desc_short               - Η αντοχή των φυλάκων αναπληρώνεται με την εισδοχή.

warden_wardeninsaneslugworth_name                Δρ. Slugworth
warden_wardeninsaneslugworth_desc                Όταν όλες οι άλλες φυλακές τους διώχνουν, ο Slugworth ανοίγει τις πόρτες στους χειρότερους κρατούμενους παράφρονες εγκληματίες εκεί έξω, πιστεύοντας ότι μπορεί να βοηθήσει. \n\n - Οι ψυχιατρικές θεραπείες είναι 20% πιο θετικές\n - Οι πιθανότητες λήψης ψυχοπαθών κρατούμενων παραφρόνων εγκληματιών είναι υψηλότερες!
warden_wardeninsaneslugworth_desc_short          - Αποδέχεται περισσότερους ψυχοπαθείς κρατούμενους παράφρονες εγκληματίες. Οι ψυχίατροι παρέχουν καλύτερη θεραπεία.

warden_wardeninsanehudson_name					 Δρ. Hudson
warden_wardeninsanehudson_desc                   Ο Δρ. Hudson είναι έτοιμος να κάνει αυτό που δεν μπορεί κανένας άλλος διευθυντής φυλακής...\n\n - Οι υπηρεσίες έκτακτης ανάγκης λειτουργούν 20% γρηγορότερα και φθάνουν νωρίτερα\n - Το κόστος επισκευών μειώνεται κατά 10%
warden_wardeninsanehudson_desc_short             - Ταχύτεροι χρόνοι απόκρισης και μείωση του κόστους επισκευών.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Θάνατοι παραφρόνων κρατουμένων
victory_warning_insaneprisonersdeaths			 Θα απολυθείς αν πεθάνουν πάρα πολλοί παράφρονες κρατούμενοι
victory_insaneprisonersdeaths_units				 Θάνατοι

victory_insaneprisonersabused					 Επιθέσεις σε παράφρονες κρατούμενους
victory_warning_insaneprisonersabused			 Θα απολυθείς αν υπάρξουν επιθέσεις σε πάρα πολλούς παράφρονες κρατούμενους από φρουρούς.
victory_insaneprisonersabused_units				 Επιθέσεις

victory_adviserwarning_insaneprisonersdeaths1	 Δεν μπορούμε να συνεχίσουμε να αφήνουμε τους κρατούμενους παράφρονες εγκληματίες να κακοποιούνται μέσα στη φυλακή μας! Τα ΜΜΕ θα διασύρουν το όνομά μας εάν δεν προβούμε σε πράξεις!
victory_advisernotice_insaneprisonersdeaths1	 Αυτό είναι! Τελείωσες! Υποτίθεται ότι φροντίζεις τους ψυχικά νοσούντες και αντ 'αυτού τους άφησες να υποστούν απίστευτες αγριότητες. Μπορώ μόνο να σε απολύσω, αλλά σου προτείνω να πας σπίτι σου και να επανεκτιμήσεις τις επιλογές που κάνεις στη ζωή σου.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Κρατούμενοι παράφρονες εγκληματίες

codex_tooltip_criminallyinsane					Αντιμετώπισε κρατούμενους που αισθάνονται συνεχώς καταπιεσμένοι, χρειάζονται νέα καπιτονέ κελιά και ψυχιατρική βοήθεια, ώστε να μειώσεις την ιδιωτικότητα, την άνεση, την ασφάλεια και την ελευθερία τους, προτού εκραγούν. Η ενεργοποίηση αυτής της ρύθμισης θα επιτρέψει επίσης σε κάποιους κανονικούς κρατούμενους να τρελαθούν στη φυλακή σου, αν δεν καλυφθούν οι ανάγκες τους. Οι κρατούμενοι που μετατρέπονται σε παράφρονες εγκληματίες μπορούν να απενεργοποιηθούν στις Ρυθμίσεις χάρτη.

codex_prisoner_biography_NITG					Προσαρμοσμένη βιογραφία δημιουργημένη από παίκτη
codex_options_InsaneGauge						Μετρητές ψυχικής σταθερότητας κρατουμένων

codex_option_desert								Οικόπεδο ερήμου
codex_tooltip_desert							Δημιούργησε ένα αρχικό οικόπεδο που μοιάζει με αμμώδη έρημο.

codex_options_rendercolours						Χρωματιστές επικαλύψεις δωματίου

codex_new_selectdog								Επίλεξε σκύλους φύλακες

codex_option_prisonerTurning					Οι κρατούμενοι μπορούν να γίνουν παράφρονες εγκληματίες

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Παράφρονες εγκληματίες
rapsheet_insane_bio_desc                        Οι κρατούμενοι παράφρονες εγκληματίες αισθάνονται ένα συνεχές επίπεδο καταστολής και χρειάζονται καπιτονέ κελιά και ψυχιατρική βοήθεια για να διατηρήσουν την γαλήνη τους.\n\nΟι κρατούμενοι παράφρονες εγκληματίες που εκρήγνυνται μπορεί να επιτεθούν στο προσωπικό μας, να προκαλέσουν ζημιές στη φυλακή ή να επιχειρήσουν να δραπετεύσουν, καθώς και άλλες απρόβλεπτες συμπεριφορές.

reputation_Weak                                 Αδύναμος
reputation_Insomniac                            Πάσχον από αυπνίες
reputation_Depressed                            Καταθλιπτικός
reputation_Outbreaks                            Ξεσπάσματα
reputation_Sickness                             Ασθένεια
reputation_Hyperactive                          Υπερδραστήριος
reputation_Addict                               Εθισμένος
reputation_Claustrophobic                       Κλειστοφοβικός
reputation_ExtremelyStoical                     Τρομερά στωικός
reputation_ExtremelyVolatile                    Τρομερά ευέξαπτος
reputation_Psychopathic                         Ψυχοπαθής
reputation_Insane                               Παράφρονες εγκληματίες

reputationtooltip_Weak                          Αυτός ο κρατούμενος είναι πιο αδύναμος, δεν θα πάει καλά σε έναν καβγά και είναι επομένως πιο επιρρεπής σε τραυματισμούς.
reputationtooltip_Insomniac                     Αυτός ο κρατούμενος χρειάζεται ελάχιστο ύπνο.
reputationtooltip_Depressed                     Αυτός ο κρατούμενος κινείται πολύ πιο αργά όταν αισθάνεται καταπιεσμένος και χωρίς φροντίδα.
reputationtooltip_Outbreaks                     Αυτός ο κρατούμενος είναι επιρρεπής σε βίαια ξεσπάσματα και καταστρέφει το περιβάλλον γύρω από αυτόν όταν αισθάνεται καταπιεσμένος και χωρίς φροντίδα.
reputationtooltip_Sickness                      Αυτός ο κρατούμενος είναι επιρρεπής στο να κάνει εμετούς ή να λερώνεται όταν αισθάνεται καταπιεσμένος και χωρίς φροντίδα.
reputationtooltip_Hyperactive                   Κινείται πολύ πιο γρήγορα όταν αισθάνεται καταπιεσμένος και χωρίς φροντίδα.
reputationtooltip_Addict                        Αυτός ο κρατούμενος είναι πιο πιθανό να εθιστεί στα ναρκωτικά όταν αισθάνεται καταπιεσμένος και χωρίς φροντίδα.
reputationtooltip_Claustrophobic                Η επιθυμία αυτού του κρατουμένου να δραπετεύσει είναι πολύ μεγαλύτερη όταν αισθάνεται καταπιεσμένος και χωρίς φροντίδα.
reputationtooltip_ExtremelyStoical              Αυτός ο κρατούμενος δεν καταστέλλεται όταν βρίσκεται κλειδωμένος στην Απομόνωση ή παρουσία φυλάκων. Απλά δεν δίνει δεκάρα.
reputationtooltip_ExtremelyVolatile             Έχε τον κατά νου. Οτιδήποτε μπορεί να τους θυμώσει και να γίνουν τα πράγματα πολύ άσχημα εξαιρετικά γρήγορα.
reputationtooltip_Psychopathic                  Αυτός ο κρατούμενος είναι πολύ πιο επικίνδυνος και απρόβλεπτος από τους άλλους κρατούμενους παράφρονες εγκληματίες.
reputationtooltip_Insane                        Βεβαιώσου ότι ο κρατούμενος αυτός έχει πρόσβαση σε συμβουλευτικής ψυχιατρικές συνεδρίες και σε καπιτονέ κελί, για να τους βοηθήσεις να ηρεμήσουν.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Παράφρονες εγκληματίες
