
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Нова
buildtoolbar_popup_help_roomquality_2       ^Підказки
buildtoolbar_popup_help_roomquality_3       - З часом в'язні отримують право на камери кращої якості за зразкову поведінку. Наявність камер кращої якості – це непоганий стимул для гарної поведінки.
buildtoolbar_popup_help_roomquality_4       - Важливо мати кілька камер низької якості, тому що новим мешканцям в'язниці знадобляться місця, а якщо всі наявні камери будуть високої якості, вони можуть опинитися в камері утримання.
buildtoolbar_popup_help_roomquality_5       - В'язням можна надавати камери кращої якості, ніж вони заслуговують, якщо більше нічого немає, проте інші в'язні будуть незадоволені...

buildtoolbar_popup_help_jobs_1              В режимі «Виправні роботи» можна побачити, в які приміщення можна призначати в'язнів на роботу та скільки в'язнів там вже працює.\n\n
buildtoolbar_popup_help_jobs_2              ~Натисни на приміщення лівою кнопкою миші, щоб додати часовий проміжок. Кожен часовий проміжок можна заповнити в'язнем. Натисни праву кнопку для видалення часового проміжку.\n\n
buildtoolbar_popup_help_jobs_3              ^Підказки
buildtoolbar_popup_help_jobs_4              - Для деяких видів робіт, таких як робота на кухні або в майстерні, в'язень спершу має пройти навчальний курс. Ці курси можна запустити на вкладці «Курси» в меню «Звіти».
buildtoolbar_popup_help_jobs_5              - В'язні, що працюють, отримують невелику платню за кожен час роботи. Не завжди потрібно призначати максимальну кількість в'язнів на певну роботу – ці робітники отримують гроші, навіть якщо їм нічого робити.

buildtoolbar_popup_help_source_1           Режим «Небезпеки» дозволяє побачити, яку контрабанду в'язень може викрасти в кожному приміщенні в'язниці. Крім того, тут ти побачиш попит та пропозицію для кожного виду контрабанди праворуч. Якщо попит на певний вид контрабанди перевищує пропозицію, в'язень з більшою вірогідністю намагатиметься поцупити це, особливо, якщо це потрібно йому самому.\n\n
buildtoolbar_popup_help_source_2           ^Підказки
buildtoolbar_popup_help_source_3           - Не до всіх приміщень, що можуть стати джерелом контрабанди, треба надавати доступ. Доступ до таких приміщень можна обмежити або повністю заблокувати.
buildtoolbar_popup_help_source_4           - Хоча тут ти можеш побачити, з яких приміщень можна щось викрасти, це не єдине місце, де можна отримати необхідне...

buildtoolbar_popup_help_contraband_title    Контрабанда
buildtoolbar_popup_help_contraband_1        В режимі «Контрабанда» можна побачити всю контрабанду, знайдену у в'язниці, за останню добу чи останній тиждень, а також – де її було знайдено.\n\n
buildtoolbar_popup_help_contraband_2        ~Наведи мишу на певну контрабанду, щоб побачити її історію, в тому числі спосіб її отримання в'язнем і місце призначення.\n\n
buildtoolbar_popup_help_contraband_3        ^Підказки
buildtoolbar_popup_help_contraband_4        - Якщо ви з'ясували, що велика кількість контрабанди надходить з відносно невеликої кількості місць, можливо, треба підсилити охорону в цих місцях.
buildtoolbar_popup_help_contraband_5        - Різні типи контрабанди визначаються по-різному. Наприклад, сторожові собаки дуже добре знаходять речі із сильним запахом.

buildtoolbar_popup_help_informants_1        В режимі «Інформатори» можна переглянути список поточних секретних інформаторів. Крім того, потенційні секретні інформатори виділяються жовтим кольором, зазвичай – в карцерах.\n\n
buildtoolbar_popup_help_informants_2        ~Щоб найняти секретного інформатора, знайди потенційного інформатора, перейди на вкладку Досвід його протоколу та натисни кнопку Найняти інформатора.\n\n
buildtoolbar_popup_help_informants_3        ~Для активації інформатора натисни на кнопку Байдикують (вона стане активною при наведенні) та дочекайся прибуття в'язнів до приміщення для охоронців. Ти побачиш певну кількість прихованої контрабанди, репутацію в'язнів та можливі цілі вбивств, залежно від покриття.\n\n
buildtoolbar_popup_help_informants_4        ^Підказки
buildtoolbar_popup_help_informants_5        - Активація інформатора та пошук на підставі отриманої інформації підвищить рівень підозри. Якщо цей рівень буде зависоким, інформатор опиниться в небезпеці...
buildtoolbar_popup_help_informants_6        - Ти можеш відпустити інформатора, натиснувши на Х біля кнопки активації.

buildtoolbar_popup_help_utilities_1         Режим «Інженерні мережі» дозволяє бачити підключення під в'язницею. Можна прокладати електричні кабелі та водопровідні труби, а також підключати прилади за допомогою дротів.\n\n
buildtoolbar_popup_help_utilities_2         ~При прокладанні електричних кабелів або труб треба утримувати ліву кнопку миші та тягнути між 2 об'єктами, які потрібно з'єднати. Якщо натиснути праву кнопку, всі існуючі завдання з прокладання кабелів або труб скасується.\n\n
buildtoolbar_popup_help_utilities_3         ~При підключенні об'єктів за допомогою дротів (наприклад, монітору до камери відеоспостереження) треба натиснути лівою кнопкою на першому об'єкті, а потім на об'єкті, який потрібно підключити. Якщо затиснути Shift, можна підключити кілька об'єктів.\n\n
buildtoolbar_popup_help_utilities_4         ^Підказки
buildtoolbar_popup_help_utilities_5         - Невеличкі електричні пристрої, такі як лампи та телевізори, будуть автоматично підключатися до живлення, якщо електричний кабель знаходитиметься поблизу. Великі пристрої, такі як пральні машини або насоси, треба підключати безпосередньо до кабелю.
buildtoolbar_popup_help_utilities_6         - Великі водопровідні труби можуть переносити воду на великі відстані, малі труби мають менший робочий діапазон. Можна заощадити чимало грошей, якщо прокласти велику трубу до будівлі або зони, а потім підключити окремі об'єкти за допомогою малих труб.
buildtoolbar_popup_help_utilities_7         - В режимі «Інженерні мережі» можна побачити багато цікавого, особливо у великих в'язницях. Якщо натиснути на певний об'єкт, відповідні підключення будуть виділені для зручності переглядання. Наприклад, якщо натиснути на електричні кабелі, всі електричні кабелі та об'єкти у в'язниці будуть більш чіткими.
buildtoolbar_popup_help_utilities_8         - Якщо у в'язниці розташовано кілька генераторів, вони повинні мати окремі електричні кабелі. Якщо електричні кабелі, підключені до 2 окремих генераторів, торкнуться одне одного, обидва генератори вимкнуться.

buildtoolbar_popup_help_guard_1             Охоронці є основною робочою силою у в'язниці, вони відповідають за все – від супроводження нових в'язнів у камери до запобігання бійкам та пошуку контрабанди.\n\n
buildtoolbar_popup_help_guard_2             ~Обравши охоронця, ви можете наказати йому рухатися будь-куди, натиснувши правою кнопкою миші на місце у в'язниці. \n\n
buildtoolbar_popup_help_guard_3             ^Підказки
buildtoolbar_popup_help_guard_4             - Охоронці можуть знаходити підкопи, обшукуючи туалети в камерах. Якщо спеціально обшукати туалет, там неодмінно знайдеться підкоп.
buildtoolbar_popup_help_guard_5             - Якщо у вас є начальник охорони, ви зможете бачити кількість охоронців без роботи на інформаційній панелі у верхній частині екрану. Якщо там часто з'являється цифра «0», це може означати, що вам бракує охоронців для виконання повсякденної роботи.

buildtoolbar_popup_help_workman_1           Працівники – це особи, що будують вашу в'язницю, допомагають розвантажувати надходження, а в деяких випадках доставляють надходження в різні частини в'язниці.\n\n
buildtoolbar_popup_help_workman_2           ^Підказки
buildtoolbar_popup_help_workman_3           Зазвичай працівники виконують роботу автоматично, проте якщо ви бажаєте пришвидшити будівництво, можна натиснути на завданні правою кнопкою, затиснувши Ctrl, щоб позначити завдання як пріоритетне. При цьому найближчий працівник залишить свою роботу та приступить до виконання вашого завдання.

buildtoolbar_popup_help_cook_1              Кухарі готують їжу для в'язнів, прибирають їдальню й приносять продукти до кухні.\n\n
buildtoolbar_popup_help_cook_2              ^Підказки
buildtoolbar_popup_help_cook_3              - Важливо мати достатню кількість кухарів, щоб задовольняти потреби в'язниці у харчуванні. Якщо кухарів бракує, вони не зможуть приготувати достатню кількість їжі і деякі в'язні залишаться голодними...

buildtoolbar_popup_help_warden_1            Начальники займаються безпосереднім керівництвом в'язницею. Вони розблоковують меню Бюрократія, що дозволяє переглядати нові функції для використання у в'язниці. Після отримання ними кабінету вони починають керувати здебільшого самостійно.

buildtoolbar_popup_help_armedguard_1        Озброєні охоронці використовуються для приборкання особливо небезпечних або буйних в'язнів. Ці охоронці завжди мають при собі зброю. Вони вгамовують всіх в'язнів, що знаходяться поблизу, щоб ті не завдавали клопоту. Якщо виникає загроза життю охоронця, він використовує зброю, і це вгамує всіх інших в'язнів, що знаходяться поблизу і надокучають.\n\n
buildtoolbar_popup_help_armedguard_2        ~Обравши озброєного охоронця, ви можете наказати йому рухатися будь-куди, натиснувши правою кнопкою миші на місце у в'язниці. \n\n
buildtoolbar_popup_help_armedguard_3        ^Підказки
buildtoolbar_popup_help_armedguard_4        - При активації кнопки «Перехресний вогонь» озброєні охоронці навіть не чекатимуть загрози їхньому життю для застосування зброї. Вони просто стрілятимуть в неслухняних в'язнів.
buildtoolbar_popup_help_armedguard_5        - Озброєних охоронців важко подужати, але якщо в'язні зможуть це зробити, зброя залишиться на підлозі і її зможе взяти будь-хто...

buildtoolbar_popup_help_doctor_1            Лікарі відповідають за лікування поранень, без яких не може обходитися перебування в'язнів та працівників у в'язниці. Вони лікують поранення, відкачують в'язнів з передозуванням та запроваджують програми реабілітації для наркозалежних.\n\n
buildtoolbar_popup_help_doctor_2            ~Обравши лікаря, ви можете наказати йому рухатися будь-куди, натиснувши правою кнопкою миші на місце у в'язниці.

buildtoolbar_popup_help_janitor_1           Прибиральники відповідають за чистоту у вашій в'язниці, а також допомагають у пральні .\n\n
buildtoolbar_popup_help_janitor_2           ^Підказки
buildtoolbar_popup_help_janitor_3           - Всі завдання, які виконують прибиральники, можуть також виконувати в'язні, що працюють. Якщо в пральні та комори призначено достатню кількість в'язнів, можна обійтися без прибиральників або з невеликою кількістю прибиральників.

buildtoolbar_popup_help_gardener_1          Садівники слідкують за чистотою надворі, видаляючи бур'яни та саджаючи дерева.\n\n
buildtoolbar_popup_help_gardener_2          ^Підказки
buildtoolbar_popup_help_gardener_3          - Якщо у вас є тартак, садівники відповідатимуть за садіння молодих дерев, які ви отримуєте. Садівників має вистачати, щоб вони справлялися з надходженнями!

buildtoolbar_popup_help_doghandler_1        Кінологів неможливо побачити без сторожових собак. Сторожовим собакам немає рівних у рознюхуванні контрабанди – наркотиків та алкоголю. Вони також можуть знаходити підкопи під землею.\n\n
buildtoolbar_popup_help_doghandler_2        ~Обравши кінолога, ви можете наказати йому рухатися будь-куди, натиснувши правою кнопкою миші на місце у в'язниці.\n\n
buildtoolbar_popup_help_doghandler_3        ^Підказки
buildtoolbar_popup_help_doghandler_4        - Якщо відправити кінолога в певну зону, сторожовий собака спробує виявити контрабанду, що переховується поблизу.
buildtoolbar_popup_help_doghandler_5        - Перебуваючи над підкопом, сторожовий собака може подати знак. На цьому місці залишиться невеликий маркер. Проте іноді собака може подавати помилковий знак...
buildtoolbar_popup_help_doghandler_6        - Якщо кінолога вбито, сторожовий собака може розлютитися та спробувати знищити вбивцю кінолога, перед тим як залишити в'язницю.

buildtoolbar_popup_help_sniper_1            Снайпери розташовуються на сторожових вежах, збудованих навколо в'язниці, стримуючи в'язнів від порушень та запобігаючи втечам.\n\n
buildtoolbar_popup_help_sniper_2            ^Підказки
buildtoolbar_popup_help_sniper_3            - Снайпери мають потужну далекобійну гвинтівку, але охоплюють зону лише в прямому полі зору.
buildtoolbar_popup_help_sniper_4            - Снайпери робитимуть попереджувальний постріл у в'язнів, які погано поводяться на території в'язниці. Якщо в'язень не вгамується, снайпер відкриє вогонь на ураження.
buildtoolbar_popup_help_sniper_5            - Якщо активовано «Необмежений вогонь» або в'язень знаходиться за межами в'язниці та намагається втекти, попереджувальних пострілів не буде.

buildtoolbar_popup_help_chief_1             Начальник охорони очолює службу охорони у в'язниці. Він надає всі дані про настрої у в'язниці, про можливість заворушень та кількість охоронців, що зараз працюють у в'язниці. Він також дозволяє використовувати розширені функції охорони, такі як сторожові собаки або камери відеоспостереження. Після отримання ними кабінету вони починають керувати здебільшого самостійно.

buildtoolbar_popup_help_foreman_1           Виконроб очолює обслуговування та будівництво на території в'язниці, дозволяючи вам шукати та наймати прибиральників і садівників. Він також займається питанням виправних робіт та особисто контролює навчальний процес з використання інструментів у майстерні.\n\n
buildtoolbar_popup_help_foreman_2           ^Підказки
buildtoolbar_popup_help_foreman_3           - Коли ви побудуєте майстерню у в'язниці, виконроб відповідатиме за впровадження програми «Основи безпеки у майстерні». Її можна налаштувати на вкладці Програми у вікні Звіти.

buildtoolbar_popup_help_psychologist_1      Психолог відповідає за психічне здоров'я в'язнів. Він дозволить бачити поточні потреби в'язнів та відповідатиме за програми реформ.\n\n
buildtoolbar_popup_help_psychologist_2      ^Підказки
buildtoolbar_popup_help_psychologist_3      - Завдяки психологу особисті потреби в'язнів виділятимуться, а загальні потреби всіх в'язнів можна переглянути на вкладці Потреби у вікні Звіти.
buildtoolbar_popup_help_psychologist_4      - Психологи керують курсами для анонімних алкоголіків, а також курсами поведінкової терапії, що коригують поведінку проблемних в'язнів. Тому наявність кількох психологів у в'язниці – це непогано, якщо в них є потреба.

buildtoolbar_popup_help_accountant_1        Бухгалтер керує фінансами у в'язниці та надає можливість бачити рух готівки та загальну вартість в'язниці, а також способи збільшити прибуток. Після отримання ними кабінету вони починають керувати здебільшого самостійно.

buildtoolbar_popup_help_lawyer_1            Юрист допомагає обминати певні незручні закони та уникати відповідальності за деякі недоробляння, що можуть трапитися у в'язниці. Він також може розблокувати Камеру смертників для в'язниці. Після отримання ними кабінету вони починають керувати самостійно.

buildtoolbar_popup_help_gangs_1             В режимі Банди можна переглянути поточний стан будь-яких банд у вашій в'язниці. Можна отримати інформацію про кожну банду, про приміщення, якими вони керують, та про учасників банди. Помічники лідерів банд позначатимуться двома колами, а лідери банд – трьома.\n\n
buildtoolbar_popup_help_gangs_2             ~Якщо ви бажаєте примусово видалити банду з підконтрольної їй території, виділіть приміщення та натисніть кнопку Вигнати. Банді це не сподобається, але...\n\n
buildtoolbar_popup_help_gangs_3             ^Підказки
buildtoolbar_popup_help_gangs_4             - Ви не зможете змінити зони в'язниці, які контролюють банди. Якщо ви бажаєте додати або видалити щось в цих зонах, спочатку потрібно буде отримати контроль над ними.
buildtoolbar_popup_help_gangs_5             - В'язні, що не є учасниками банд, змушені платити за використання об'єктів на території в'язниці, підконтрольній банді. Члени конкуруючих банд повністю уникатимуть цих зон.
buildtoolbar_popup_help_gangs_6             - Ви можете користуватися кімнатами охорони, щоб підтримувати вплив на території. Будь-які охоронці в кімнаті охорони поряд із зоною, яка може контролюватися бандою, допомагають зберегти контроль над цією зоною.
buildtoolbar_popup_help_gangs_7             - Учасники банд завзято захищають свого лідера. Їм не сподобається, якщо з ним щось трапиться...

buildtoolbar_popup_help_weathermap_1        Режим температури показує температуру в різних зонах в'язниці. Температура збільшується, головним чином, завдяки радіаторам. Якщо там дуже холодно, потреба в'язнів у теплі збільшиться.

buildtoolbar_popup_help_prefabs_1           Меню «Швидке будівництво» містить параметри для пришвидшення будівництва приміщень, які вам конче потрібні. Інструмент клонування дозволяє обирати зону в'язниці для копіювання і вставити її на нове місце у в'язниці. Збірні приміщення дозволяють розташовувати готові кімнати, які автоматично відповідатимуть вимогам.\n\n
buildtoolbar_popup_help_prefabs_2           ~Треба обрати інструмент клонування, утримувати праву кнопку миші та перетягнути зону для копіювання. Потім треба натиснути ліву кнопку миші в іншому місці в'язниці, щоб розпочати будування копії зони, що було скопійовано.\n
buildtoolbar_popup_help_prefabs_3           ~Обравши інструмент «Збірні приміщення», натисніть лівою кнопкою на зоні у в'язниці, де треба збудувати кімнату, і працівники її збудують.\n\n
buildtoolbar_popup_help_prefabs_4           ^Підказки
buildtoolbar_popup_help_prefabs_5           - Інструмент клонування не копіює інженерні мережі. Воду й живлення треба підключати в нових зонах вручну.

buildtoolbar_popup_help_zoning_1        Інструменти зонування дозволяють керувати доступом в'язнів у різні зони. Загальні та розблоковані місця доступні для всіх категорій в'язнів.\n\n
buildtoolbar_popup_help_zoning_2        ~Оберіть категорію, яку ви бажаєте призначити для зони, а потім натисніть на зоні лівою кнопкою миші. При натисканні правою кнопкою зона стане загальною.\n\n
buildtoolbar_popup_help_zoning_3        ^Підказки
buildtoolbar_popup_help_zoning_4        - Оскільки жодним в'язням не можна входити до приміщень, призначених лише для персоналу, можна створювати шлюзи, що утримуватимуть в'язнів у певних зонах. Це особливо корисно, якщо, наприклад, ви бажаєте утримувати всіх в'язнів під захисним арештом у власній зони без доступу до загального двору або загальної кімнати.
buildtoolbar_popup_help_zoning_5        - Якщо зона має статус розблокованої, всі двері в цій зоні будуть відчиненими.

buildtoolbar_popup_help_guards_1        Інструмент Охоронці дозволяє призначати охоронців у різні зони. Охоронці на посту хаотично патрулюватимуть призначену зону та виконуватимуть завдання в цій зоні – відкривання дверей тощо.\n\n
buildtoolbar_popup_help_guards_2        ~Натисніть ліву кнопку миші, щоб збільшити кількість охоронців, розташованих в зоні. Натисніть праву кнопку для зменшення кількості охоронців.\n\n
buildtoolbar_popup_help_guards_3        ^Підказки
buildtoolbar_popup_help_guards_4        - Якщо ви розблокували Мікроменеджмент, ви отримали доступ до Графіку розташування. Це дозволяє створювати розклад призначення охоронців на певні зони. Наприклад, якщо ви бажаєте призначати охоронців до їдальні лише під час харчування, ви можете натискати на кожен блок графіку, що відповідає часу харчування, а потім пересунути повзунок часу на цей блок та натиснути на їдальню, щоб призначити охоронців.
buildtoolbar_popup_help_guards_5        - У вас є до 7 різних часових блоків для планування, а також режим «Завжди активний» за промовчанням, що дозволяє створювати складні схеми розташування на користь вашої в'язниці.
buildtoolbar_popup_help_guards_6        - Якщо ви не оберете часовий блок вручну під час призначення охоронців, у графіку використовуватиметься поточний час, тому треба обрати правильний час при зміні розташування!

buildtoolbar_popup_help_patrols_title   Патрулі
buildtoolbar_popup_help_patrols_1       3 інструменти патрулювання дозволяють створювати певні маршрути для патрулювання, а потім призначати на них звичайних охоронців, кінологів або озброєних охоронців (або комбінацію усіх трьох). Ці патрулі можуть переходити з однієї зони до іншої.\n\n
buildtoolbar_popup_help_patrols_2       ~Утримуйте ліву кнопку миші та проводьте маршрут патрулювання. Щоб призначити охоронців у патруль, натисніть на будь-яке місце існуючого патрулювання. Натисніть правою кнопкою на охоронці в патрулюванні, щоб видалити його, або утримуйте праву кнопку та проводьте, щоб видалити весь патруль.\n\n
buildtoolbar_popup_help_patrols_3       ^Підказки
buildtoolbar_popup_help_patrols_4       - Звичайні охоронці на патрулюванні продовжать виконувати свої обов'язки, такі як відкриття дверей або пошук в'язнів. Кінологи та озброєні охоронці не будуть цього робити.
buildtoolbar_popup_help_patrols_5       - Якщо ви розблокували Мікроменеджмент, ви отримали доступ до Графіку розташування, який працює для патрулів так само, як і для розташування охоронців.

buildtoolbar_popup_help_accessonly_1	Інструмент «Лише доступ» дозволяє помічати зони в'язниці, яких треба уникати, пересуваючись в'язницею. Таким чином, люди не будуть рухатися через приміщення в'язниці, через які вони не мають рухатися.\n\n
buildtoolbar_popup_help_accessonly_2	~Натисніть на зону лівою кнопкою, яку ви хочете зробити зоною лише для доступу. Це може бути додатковим налаштуванням безпеки.
buildtoolbar_popup_help_accessonly_3	~Натисніть на зону правою кнопкою, щоб видалити налаштування зони лише для доступу.\n\n
buildtoolbar_popup_help_accessonly_4	^Підказки
buildtoolbar_popup_help_accessonly_5	- Лише для доступу не є жорстким налаштуванням. Не налаштування не може повністю заборонити доступ, особливо якщо мета знаходиться всередині відміченої зони. Якщо маршрут через зону лише для доступу є значно коротшим, ніж інші (наприклад, обхідний шлях навколо в'язниці), люди можуть потрапляти в цю зону.

job_matsassigned                        Призначені матеріали
job_matsavailable                       Доступні матеріали
job_awaitingmaterials                   Матеріали, що очікують
job_inprogress                          -Робочий процес-
job_blocked                             -Заблоковано-
job_queued                              -В черзі-

job_failed_noroute                      Немає доступу
job_failed_nomaterials                  Немає матеріалів
job_failed_toodangerous                 Надто небезпечно
job_failed_materialsbeingcarried        Матеріали в дорозі

job_rightclicktocancel                  - Права кнопка миші для відміни
job_ftofollow							- Кнопка F для дотримання
job_makehighpriority					- Ctrl + ліва кнопка миші для високого пріоритету
job_removehighpriority					- Ctrl + права кнопка миші для зняття високого пріоритету
job_makehighpriority_mac				- Alt + ліва кнопка миші для високого пріоритету
job_removehighpriority_mac				- Alt + права кнопка миші для зняття високого пріоритету
job_highpriority_tooltip				- ТЕРМІНОВО
job_refundamount                        - Сума повернення: *X

failuremessage_blocked                  Заблоковано
failuremessage_cantafford               Недостатньо коштів
failuremessage_cantaffordupkeep         Перевищує добовий бюджет
failuremessage_maximumcountreached      Немає вакансій
failuremessage_maxstaff                 Забагато працівників


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                Доставка
statustoolbar_finances                  Фінанси
statustoolbar_regime                    Режим
statustoolbar_escapemap                 Безпека
statustoolbar_electricity               Електроенергія
statustoolbar_stats                     Статистика
statustoolbar_danger                    Небезпека
statustoolbar_jobs                      Робота
statustoolbar_gangs                     Банди
statustoolbar_staff                     Персонал
statustoolbar_research                  Дослідження


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Редактор спрайтів
spritebankeditor_create                 Створити
spritebankeditor_rotate                 Обертання
spritebankeditor_sort                   Сортування
spritebankeditor_markermodetitle        Режим маркера


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Головне меню
codex_campaign                          Кампанія
codex_cutscenes                         Внутрішньоігрове відео
codex_qualifications                    Характеристики
codex_load                              Завантажити в'язницю
codex_loadcampaign                      Завантажити кампанію
codex_save                              Зберегти в'язницю
codex_savecampaign                      Зберегти кампанію
codex_performance						Перевірка характеристик
codex_developer_load                    (Розробник) Завантажити карту
codex_developer_save                    (Розробник) Зберегти карту
codex_developer_clearach                (Розробник) Видалити досягнення
codex_contacts                          Контакти
codex_materials                         Матеріали
codex_play                              Відтворити
codex_play_escape                       Режим «Втеча»
codex_polaroids                         Фотокартки
codex_introduction                      Вступ
codex_restartintroduction               Повторити вступ
codex_restartchapter                    Повторити розділ
codex_help                              Довідка (wiki)
codex_opensavefolder                    Відкрити папку зі збереженнями
codex_options							Параметри
codex_nitgs								Біографії персонажів
codex_workshop							Спільна в'язниця (Steam)
codex_steamtrending                     Найпопулярніші в'язниці (Steam)
codex_checkforupdates                   Перевірка оновлень
codex_preorder                          Попереднє замовлення
codex_termsconditions                   Умови
codex_twitter                           Twitter
codex_extras                            Додатково
codex_unlocked                          Розблоковано *X/*Y
codex_mapsettings                       Налаштування карти
codex_othergames						Інші ігри Introversion
codex_mutators                          Моди

codex_cloudsavedesc                     Збереження в хмарі
codex_cloud_enabled						Нові елементи зберігатимуться в хмарі
codex_cloud_notaccount					Steam Cloud вимкнено в клієнті Steam. Увімкніть, щоб використовувати цю функцію.
codex_cloud_notapp						Нові елементи будуть збережені на вашому жорсткому диску.
codex_saveload_delete					Видалити

codex_new                               Створити нову в'язницю
codex_new_worldsize                     Розмір карти
codex_new_small                         Малий
codex_new_medium                        Середній
codex_new_large                         Великий
codex_new_selectwarden                  Обрати начальника в'язниці
codex_new_selectgender                  Обрати стать в'язня

codex_options_graphics					Графіка
codex_options_resolution				Роздільна здатність
codex_options_resolutionauto			Авто
codex_options_windowed					У вікні
codex_options_highdpi					Високий DPI
codex_options_filtering					Фільтрування
codex_options_nofiltering				Вимк.
codex_options_multisampled				Множинна вибірка
codex_options_supersampled				Надмірна вибірка

codex_options_audio						Аудіо
codex_options_volume					Загальна гучність
codex_options_frequency					Частота
codex_options_swapstero					Поміняти канали
codex_options_dspenabled				Увімкн. цифрову обробку сигналу
codex_options_11khz						11025 Гц
codex_options_22khz						22050 Гц
codex_options_44khz						44100 Гц

codex_options_clocktype                 Тип годинника
codex_options_clocktype_analogue        Аналоговий
codex_options_clocktype_12h             12 годин
codex_options_clocktype_24h             24 години

codex_options_directions				Відображення знаків на підлозі
codex_options_dirrender_hidden			Сховано
codex_options_dirrender_visible			Показано
codex_options_dirrender_zoom			Масштабувати

codex_options_tempscale                 Відображення температури в Цельсіях

codex_options_gameplay					Гра
codex_options_autosave					Таймер автозберігання
codex_options_renderrooms				Клітчасте розмічування
codex_options_apply						Застосувати
codex_options_v2gui						Версія інтерфейсу 2.0
codex_options_zoomtomouse				Масштабування мишею
codex_options_oneclickrapsheet			Протокол одним натисканням
codex_options_disableanalytics			Вимкнути аналітику
codex_tooltip_disableanalytics          Ми збираємо анонімну статистику, щоб покращити гру. Дані, що ми збираємо, можна переглянути в metrics.txt

codex_options_language					Мова

codex_options_experimental              Експериментальна функція
codex_options_enablevbo                 Увімкнути Vertex Buffer Objects

codex_nitgs_authwarning                 Важливо: якщо ви нещодавно змінили своє ім'я для входу в гру, воно повинно бути затверджене до появи у списку.
