# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Повний опис змін
buildtoolbar_popup_obj_flipboard				Якщо додати до кабінета психіатра дошку на тринозі зі схемою мозку, це поліпшить лікування психічно хворих в'язнів.
buildtoolbar_popup_obj_medicineCabinetPsych		Якщо додати до кабінета психіатра шафку з ліками, це поліпшить лікування психічно хворих в'язнів.
buildtoolbar_popup_obj_leatherchair				Чудово доповнює шкіряний диван. Підходить для співробітників, а от для в'язнів це нечувана розкіш.
buildtoolbar_popup_obj_leatherSofa				Якщо додати до кабінета психіатра класичний шкіряний диван, це поліпшить лікування психічно хворих в'язнів.

buildtoolbar_deployment_insaneseczone			В цей сектор допускаються лише психічно хворі ув'язнені.

failuremessage_maximumcountreachedgeneric		Досягнено максимальної кількості

buildtoolbar_popup_locked_PsychiatricConsultation				Відкриється після проведення ще *B психіатричних сесій
buildtoobar_PsychConItemImproveInfo 			- Покращує показник кабінета психіатра.
buildtoobar_PsychConItemImproveSuppression 		- Після консультації у психічно хворих в'язнів знижується\nрівень пригніченості та певні потреби на 5%.
buildtoobar_PsychConItemImproveGrace 			- Після консультації додає ще один день\nзниженої пригніченості та певних потреб,\nперш ніж ці показники знову почнуть зростати.
buildtoolbar_popup_obj_Footbridge				Мостик, по якому в'язні та персонал можуть перетинати водні та земельні ділянки. Не можна перекидувати через стіни, огорожі та інші будови.
buildtoolbar_popup_obj_FootbridgeSteel			Мостик, по якому в'язні та персонал можуть перетинати водні та земельні ділянки. Не можна перекидувати через стіни, огорожі та інші будови.
buildtoolbar_popup_obj_FootbridgeB				Мостик, по якому в'язні та персонал можуть перетинати водні та земельні ділянки. Не можна перекидувати через стіни, огорожі та інші будови.
buildtoolbar_popup_obj_FootbridgeSteelB			Мостик, по якому в'язні та персонал можуть перетинати водні та земельні ділянки. Не можна перекидувати через стіни, огорожі та інші будови.
buildtoolbar_popup_obj_BoomBoxRoundHouse		В'язні можуть слухати улюблені хлопчакові групи протягом дня. Це приносить радість мешканцям кімнати.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            М'яка одиночна камера

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Тут можна утримувати психічно хворих в'язнів, м'які стіни справляють заспокійливий ефект.
buildtoolbar_popup_room_paddedholdingcell	    Тут нові психічно хворі в'язні розташовуються, поки готується постійна м'яка камера.
buildtoolbar_popup_room_paddedsolitary			    Персональна кімната для ув'язнення найгірших психічно хворих злочинців.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									М'яка (маленька)
quickbuild_paddedintermediatecell							М'яка (середня)
quickbuild_paddedholdingcell								М'яка камера утримання
quickbuild_paddedsolitarycell								М'яка одиночна камера
quickbuild_PsychiatristOffice								Кабінет психіатра



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Тільки для психічно хворих
interfacetopbar_PrisonerCells_insaneSecOnly	Максимальна кількість хворих: *X

roomgrading_PsychiatristOffice_info				Відкрий та розмісти додаткові об'єкти в кабінеті психіатра, щоб покращити лікування психічно хворих в'язнів. \n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Елемент: *X
roomgrading_PsychiatristOffice_Quality			Спроможність психіатра: *Q
roomgrading_PsychiatristOffice_Upgrade			Покращ кабінет психіатра, щоб збільшити спроможність.

roomgrading_score_average		СЕРЕДНЯ
roomgrading_score_good			ДОБРА
roomgrading_score_verygood		ДУЖЕ ДОБРА
roomgrading_score_outstanding	НАДЗВИЧАЙНА

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Крило психічно хворих
objective_grant_firstinsanecellblock_description	Уряд пропонує нам фінансування для розширення в'язниці з метою утримання та лікування психічно хворих злочинців.\n\nЗапропоновані кошти дадуть можливість побудувати спеціальні м'які камери та найняти кваліфікованих психіатрів. 
objective_grant_firstinsanecellblock_cells			Побудувати крило / блок камер для психічно хворих злочинців на 10 м'яких камер
objective_grant_firstinsanecellblock_prisoners		Взяти на утримання 10 психічно хворих злочинців
objective_grant_firstinsanecellblock_psychiatrist	Найняти 2 психіатрів (кожному потрібен кабінет)

objective_readinsaneletter						Вказівки для керівництва щодо утримання психічно хворих злочинців
objective_readinsaneletter_description			Перш ніж розміщувати у в'язниці психічно хворих злочинців, потрібно підготувати все необхідне обладнання та персонал, щоби про в'язнів могли подбати належним чином. Дирекція.

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Хоук Гартман
warden_wardeninsanehawk_desc                     У минулому спец з розшуку людей, Гартман добре натренував своїх охоронців.\n\n - Усі охоронці значно рідше гублять ключі\n - Витривалість охорони поновлюється при новому надходженні в'язнів
warden_wardeninsanehawk_desc_short               - Витривалість охорони поновлюється при надходженні в'язнів.

warden_wardeninsaneslugworth_name                Доктор Слагворт
warden_wardeninsaneslugworth_desc                Доктор Слагворт відчиняє двері свого кабінету навіть для тих злочинців, від яких відмовилися усі інші в'язниці. Він вірить, що зможе допомогти.\n\n - Психіатричне лікування на 20% ефективніше\n - Більше шансів отримати психічно хворих злочинців із психопатією!
warden_wardeninsaneslugworth_desc_short          - Приймає більше в'язнів-психопатів. Психіатри краще лікують пацієнтів.

warden_wardeninsanehudson_name					 Доктор Хадсон
warden_wardeninsanehudson_desc                   Доктор Хадсон може зробити те, на що не здатен ніхто інший...\n\n - Швидка медична допомога працює на 20% швидше і прибуває раніше\n - Витрати на ремонт знижуються на 10%
warden_wardeninsanehudson_desc_short             - Швидша праця, менше витрат на ремонт.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Смерть хворих в'язнів
victory_warning_insaneprisonersdeaths			 Тебе буде звільнено, якщо забагато хворих в'язнів помре.
victory_insaneprisonersdeaths_units				 Смерті

victory_insaneprisonersabused					 Напади на хворих в'язнів
victory_warning_insaneprisonersabused			 Тебе буде звільнено, якщо буде забагато нападів з боку охорони на хворих в'язнів.
victory_insaneprisonersabused_units				 Напади

victory_adviserwarning_insaneprisonersdeaths1	 Психічно хворі в'язні страждають та помирають в нашій в'язниці, так не може тривати! Журналісти змішають нас з брудом, якщо ми не виправимо ситуацію!
victory_advisernotice_insaneprisonersdeaths1	 Досить! Це твоя провина! Тебе призначили, щоб подбати про психічно хворих, а ти натомість дозволяєш знущатися з них. Тебе звільнено, йди додому та добре подумай над своїм життєвитм вибором.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Психічно хворі в'язні

codex_tooltip_criminallyinsane					Психічно хворі в'язні перебувають у тривожному стані, тому для них потрібні спеціальні м'які камери та допомога психіатрів. Треба задовольняти їх потреби у приватності, комфорті, безпеці та свободі, інакше вони можуть збунтуватися. Якщо увімкнути це налаштування, то звичайні в'язні також можуть збожеволіти, якщо їхні потреби не будуть задоволені. Перетворення в'язнів на психічно хворих в'язнів можна вимкнути у налаштуваннях карти.

codex_prisoner_biography_NITG					Біографія, створена гравцем
codex_options_InsaneGauge						Шкала над головою в'язня

codex_option_desert								Пустельна ділянка
codex_tooltip_desert							Генерує ділянку землі, що схожа на шматочок пустелі.

codex_options_rendercolours						Кольорові шари кімнати

codex_new_selectdog								Обрати сторожових собак

codex_option_prisonerTurning					В'язні можуть збожеволіти

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Психічно хворі
rapsheet_insane_bio_desc                        Психічно хворі в'язні страждають від пригнічення, для заспокоєння вони потребують спеціальних м'яких камер та допомоги психіатра.\n\nЯкщо психічно хворий в'язень збунтується, він може атакувати персонал, завдати шкоди в'язниці, здійснити спробу втечі та проявити інші типи небезпечної поведінки.

reputation_Weak                                 Слабкий
reputation_Insomniac                            З безсонням
reputation_Depressed                            У депресії
reputation_Outbreaks                            Буйний
reputation_Sickness                             З нудотою
reputation_Hyperactive                          Гіперактивний
reputation_Addict                               Із залежністю
reputation_Claustrophobic                       З клаустрофобією
reputation_ExtremelyStoical                     Надзвичайно стійкий
reputation_ExtremelyVolatile                    Надзвичайно непередбачуваний
reputation_Psychopathic                         Психопат
reputation_Insane                               Психічно хворий

reputationtooltip_Weak                          Цей в'язень фізично слабкий, погано б'ється, але може сильніше постраждати у бійці.
reputationtooltip_Insomniac                     Цей в'язень потребує набагато менше сну.
reputationtooltip_Depressed                     Коли цей в'язень пригнічений та занедбаний, він рухається набагато повільніше. 
reputationtooltip_Outbreaks                     Коли цей в'язень пригнічений та занедбаний, він схильний до небезпечної поведінки та пошкоджень.
reputationtooltip_Sickness                      Коли цей в'язень пригнічений та занедбаний, він схильній блювати та іншим чином бруднити себе.
reputationtooltip_Hyperactive                   Коли цей в'язень пригнічений та занедбаний, він починає рухатися дуже швидко.
reputationtooltip_Addict                        Коли цей в'язень пригнічений та занедбаний, він схильний до наркотичної залежності.
reputationtooltip_Claustrophobic                Коли цей в'язень пригнічений та занедбаний, в нього росте бажання утекти та вийти назовні.
reputationtooltip_ExtremelyStoical              Цей в'язень не відчуватиме пригнічення ні у карцері, ні в присутності охорони. Йому байдуже насправді.
reputationtooltip_ExtremelyVolatile             За цим в'язнем треба стежити як слід. Він може вибухнути з будь-якого приводу та стати небезпечним.
reputationtooltip_Psychopathic                  Такі в'язні набагато небезпечніші та непередбачуваніші, ніж інші психічно хворі злочинці.
reputationtooltip_Insane                        Цим в'язням обов'язково потрібні м'які камери та регулярні консультації у психіатра, тільки так вони залишаться спокійними.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Психічно хворий
report_intake_list_tooltip_insane				Психічно хворі в'язні перебувають у тривожному стані, тому для них потрібні спеціальні м'які камери та допомога психіатрів. Треба задовольняти їх потреби у приватності, комфорті, безпеці та свободі, інакше вони можуть збунтуватися.\n\nНе можна утримувати психічно хворих в'язнів, якщо у в'язниці немає спецільних м'яких камер або м'яких камер утримання.\n\nЗвичайні комери можна перетворити на м'які у меню кімнат.
report_intake_insane_intake_empty				Зараз не можна брати на утримання психічно хворих в'язнів.\nСпочатку побудуй спеціальні м'які камери або камери утримання.\nЗвичайні камери можна перетворити на м'які у меню кімнат.
report_staff_group_prisoners_insane				Психічно хворий
report_Criminally_Insane						Психічно хворий
report_Pyschopathic								Психопат

report_intake_enable_insane					Увімкнути
report_intake_psychward_title					Psych Ward: Warden’s Edition
report_intake_psychward_tooltip					Активуйте новий режим в'язниці: Psych Ward: Warden’s Edition.\n\nТепер ви зможете брати на утримання психічно хворих в'язнів, але спочатку підготуйте в'язницю.\n\nМожна шукати та наймати психіатрів та санітарів. Можна будувати м'які камери та камери утримання.\n\nПсихіатри та м'які камери допоможуть заспокоїти психічно хворих в'язнів та тримати їх під контролем. 

reformerror_no_psychiatrist					НЕМАЄ ПСИХІАТРА
reform_completion_psychiatrist              - Завершено: *X - Вилікувано: *Y (*P%)
report_staff_group_orderlies				Санітари

# =============================================================================
# Research
# =============================================================================
research_Orderly							Санітар
research_Psychiatrist							Психіатр
                     
researchtooltip_Orderly							Звичайним охоронцям не можна атакувати психічно хворих в'язнів, тому що вони можуть завдати їм шкоди.\nСанітари вміють знешкоджувати психічно хворих, не завдаючи їм шкоди.\nСанітари також вдягають гамівну сорочку на в'язнів-психопатів на ніч, щоб вони не завдали самі собі шкоди уві сні.
researchtooltip_Psychiatrist					Кваліфікований працівник, що регулярно оглядає та консультує психічно хворих в'язнів.\nКоли у в'язниці з'являється програма надання психіатричних консультацій, психіатри влаштовують окремі сесії для психічно хворих в'язнів. Це допомагає заспокоїти їх.\nЯкщо у в'язниці багато психічно хворих в'язнів, краще найняти декілька психіатрів. У кожного має бути окремий кабінет.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Хворий

buildtoolbar_header_foundationmain				Головне
buildtoolbar_header_foundationmore				Більше

reformprogram_PsychiatricConsultation			Психіатрична консультація
reformprogram_PsychiatricConsultation_text		Усі психічно хворі в'язні потребують індивідуальних заспокійливих сесій з психіатром, щоб зменшити зростаюче відчуття пригнічення. Без постійної допомоги психіатра вони можуть стати небезпечними та спровокувати безлад серед інших в'язнів.
reform_program_properties_NeedToBeEscorted		На сесії психічно хворих треба супроводжувати.
reform_program_intake_insane				Тільки для психічно хворих.

insane_letter									Шановний пане або пані!\n\nОсь декілька важливих вказівок, які допоможуть вам пересвідчитися, що ви маєте необхідний персонал та обладнання для утримання психічно хворих пацієнтів.\n\n1. Потрібні спеціальні м'які камери. Можна перетворити звичайні камери на м'які (у меню кімнат). Коли ви підготуєте м'які камери, можете приймати першу партію психічно хворих в'язнів.\n\n2. У вас мають бути кваліфіковані психіатри та санітари. Для психіатрів треба виділити окремі кабінети.\n\n3. Влаштуйте спеціальну програму психіатричних консультацій. Вона передбачає індивідуальні консультації, які (разом з м'якими камерами) допоможуть тримати в'язнів під контролем. Покращуйте кабінет психіатра, щоб покращити якість лікування.\n\n4. Якщо залишити психічно хворого в'язня без догляду та лікування, він може стати непередбачуваним та небезпечним.\n\n5. Санітари супроводжують в'язнів та допомагають лікувати їх, однак вони не приборкують в'язнів, на відміну від охоронців. Вам також знадобляться гамівні сорочки, щоб вдягати їх на в'язнів-психопатів у кінці дня.\n\n6. Якщо психічно хворі в'язні опиняться серед звичайних, наслідки можуть бути неприємними. Можливо, краще побудувати окрему секцію та розділяти в'язнів на дворі, у їдальні та інших місцях. Кабінет психіатра варто розмістити ближче до камер психічно хворих. \n\n7. Зверніть увагу, що в'язні з іншими режимами також можуть збожеволіти і стати психічно хворими. Стежте за цим.\n\nДирекція\n\nPrison Architects Corp

job_StraitJacket                         Надягти/зняти гамівну сорочку
job_EscortInsane                         Супроводити психічно хворого
status_effect_sedated					Заспокоєний

orderly_description                     Санітари мають спеціальні навички з поводження та заспокоєння (при необхідності) психічно хворих в'язнів.
pyschiatrist_description                УСІ психічно хворі в'язні потребують регулярних індивідуальних сесій з психіатром. Додати психіатричні консультації можна в меню програм.

insanetooltip_status                    Статус: *X
insanetooltip_status_level0             СПОКІЙНИЙ
insanetooltip_status_level1             ЗБУДЖЕНИЙ
insanetooltip_status_level2             НЕСТАБІЛЬНИЙ
insanetooltip_status_level3             СПРОВОКОВАНИЙ!
insanetooltip_behaviour					Поведінка: *X

mutator_name_ReducedDirtBuildup						Зменшує утворення бруду
mutator_tooltip_ReducedDirtBuildup					Швидкість утворення бруду та багна довкола в'язниці знижується вдвічі.
administrator_requiresoffice_psychiatrist            Потрібен кабінет психіатра

dlc_insane_upsell				Це збереження використовує дані з розширення «Psych Ward: Warden's Edition». Оскільки ми не знайшли цього розширення у вашій системі, окремі функції буде вимкнено. Будь ласка, придбайте «Psych Ward: Warden's Edition», щоб без обмежень насолодитися грою Prison Architect.
dlc_insane_upsell_multiplayer 	Господар цієї гри в режимі мультиплеєр придбав розширення «Psych Ward: Warden's Edition». Ви можете отримати доступ в якості гостя. Грайте з задоволенням!

regime_work_pyscho              Програми/Вільний час
regime_worklockdown_pyscho      Програми/Під замком

regimetooltip_work_pyscho			Увага: психічно хворі в'язні не можуть працювати. В робочий час вони можуть тільки відвідувати курси.
regimetooltip_worklockdown_pyscho	Увага: психічно хворі в'язні не можуть працювати. В робочий час вони можуть тільки відвідувати курси.


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Рівень заспокоєності
teacher_teaching_pschiatrist                    Лікування		
pschiatrist_count_status						Психіатричних консультацій завершено: *X


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Відвести у лазарет

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Статус камери

buildtoolbar_popup_help_CellStatus_1			Статус камери показує, які камери зайняті (червоні), а які вільні (зелені).
buildtoolbar_popup_help_CellStatus_2			Можна натиснути зайняту камеру, щоб побачити в'язня.

freeCell										Вільна камера
freeCell_line0									Наразі ці камера вільна.
occupiedCell									Зайнята камера
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Ліва кнопка миші - показати в'язня.
object_prisoner_freshfish						В'язень (новоприбулий)

total_Connections								Загальна кількість підключень: *X
active_Connections								Максимальна кількість активних підключень: *X

interfacedeployment_VisitorDirection			Напрямок для відвідувачів

interface_action_move							Рух

equipment_moreContraband						Контрабанда

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Перевезення в'язнів!
report_intake_list_tooltip_prisonerTransfer		\n\nЧас від часу на утримання пропонуються ризиковані в'язні, надто небезпечні для інших в'язниць.\nЗважай! Саме тому за них більше платять. Це запеклі злочинці, ніхто не хоче мати з ними справу. 
rapsheet_category_PrisonerTransfer				Перевезення в'язнів!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Під нею не можна прокласти труби та електричні кабелі.

buildtoolbar_deployment_VisitorDirection 	Натисніть та перетягніть, щоб розмістити вказівки на підлозі.\n\nЦе допоможе не в'язням зрозуміти, куди йти.\nДопомагає спрямовувати людей у в'язниці.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - *X знадобиться кожному охоронцю

schedule_zone_insaneSecOnly						Для психічно хворих

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Ділянка місячного ландшафту
codex_tooltip_lunar								Генерує ділянку землі, що схожа на шматочок місячної поверхні.

codex_option_doubleClick						Подвійний клік, щоб перемістити об'єкт

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Клонувати кімнату

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Підключитися онлайн
codex_start                         Створити гру
codex_joinonline                    Приєднатися до онлайн-гри
codex_join                          Приєднатися до гри
codex_usernamelabel                 Ім'я гравця:
codex_namelabel                     Назва гри:
codex_passwordlabel                 Пароль:
codex_passwordprotectedlabel        Захистити пароль?
codex_listedlabel                   Опублікувати гру?
codex_roomlistlabel                 Список гри:
codex_connectinglabel               З'єднання із сервером...
codex_retrievingserverlistlabel     Отримання списку гри...
codex_datausage                     Використання даних: відправлення *S кБ/с, отримання *R кБ/с
codex_multiplayeroptions            Керувати гравцями
codex_playeroptions                 Гравці
codex_regionlabel                   Регіон:

multiplayer_chooseroomname          Оберіть назву гри
multiplayer_chooseusername          Оберіть ім'я гравця
multiplayer_joining                 Приєднання: *X
multiplayer_joiningstate_joining    Приєднання до гри
multiplayer_joiningstate_receiving  Отримання світу
multiplayer_joiningstate_loading    Завантаження світу
multiplayer_rejoining               Приєднання до гри після розширення території:
multiplayer_leavegame_confirm       Ви точно хочете вийти з поточної спільної гри?
multiplayer_hostleft                Господар від'єднався.
multiplayer_joingamefailed          Не вдалося приєднатися до гри:
multiplayer_startgamefailed         Не вдалося почати гру:
multiplayer_incorrectpassword       Неправильний пароль
multiplayer_disconnected            Втрачено зв'язок із сервером.
multiplayer_syncerror               Зв'язок розірвано через помилку синхронізації.\n\nБудь ласка, спробуйте ще раз приєднатися до гри.
multiplayer_hostonly                Доступно лише для гравця-господаря.
multiplayer_modsdisabled            Моди вимкнено для онлайн-гри
multiplayer_mutatorsdisabled        Модифікації вимкнено для онлайн-гри
multiplayer_kicked                  Вас вилучили з гри.
multiplayer_kick                    Вилучення
multiplayer_ban                     Бан

multiplayer_host                    Господар:

multiplayer_welcomeanalytics        Ласкаво просимо до Prison Architect в режимі мультиплеєр.\n\nМи доклали немало зусиль, щоб перенести повний досвід Prison Architect у режим мультиплеєра. Prison Architect - велика гра, і оскільки ми вперше пропонуємо зіграти в режимі мультиплеєра, то будемо стежити за всіма проблемами, з якими можуть зітнутися гравці.\n\nУ цій роботі нам дуже допоможе збирання певних анонімних аналітичних даних - так буде легше розбиратися з проблемами. Збирання можна в будь-який момент заборонити через меню параметрів. Які саме дані ми збираємо, можна перевірити у файлі metrics.txt\n\nНасолоджуйтеся грою в Prison Architect разом з друзями.

region_asia                         Азія
region_au                           Австралія
region_cae                          Канада, Схід
region_eu                           Європа
region_in                           Індія
region_jp                           Японія
region_ru                           Росія
region_rue                          Росія, Схід
region_sa                           Південна Америка
region_kr                           Південна Корея
region_us                           США, Схід
region_usw                          США, Захід

codex_options_disableattract            Вимкнути початковий екран
codex_option_escapeplans                Плани втечі
buildtoolbar_rollcall                   Загальна побудка
buildtoolbar_tooltip_rollcall           Вимога до всіх в'язнів вийти і стати поряд з камерою. Доступна лише в режимі сну та вночі.
interfacecontrol_graphs                 Графіки
interfacecontrol_graphs_tooltip         Відкриває вікно графіків, які дають можливість порівняти різні аспекти в'язниці.

graph_title                             Графіки

graph_label_1                           Тип даних 1
graph_label_2                           Тип даних 2
graph_label_day                         День

graph_axis_none                         Немає
graph_axis_profit                       Прибуток
graph_axis_funds                        Кошти
graph_axis_prisonsize                   Розмір в'язниці (м²)
graph_axis_numprisoners                 К-ть в'язнів
graph_axis_numstaff                     К-ть персоналу
graph_axis_releasedprisoners            Звільнені в'язні
graph_axis_totalreleasedprisoners       Загалом звільнених в'язнів
graph_axis_escapedprisoners             Утеклі в'язні
graph_axis_totalescapedprisoners        Загалом в'язнів утекло
graph_axis_entitydeath                  Смерті
graph_axis_totaldeaths                  Загалом смертей
graph_axis_prisonerdeaths               Смерті в'язнів
graph_axis_guarddeaths                  Смерті охоронців
graph_axis_securitygrading              Показники безпеки
graph_axis_healthgrading                Показники здоров'я
graph_axis_reformgrading                Показники реформ
graph_axis_punishmentgrading            Показники покарань
graph_axis_reoffendingrate              Рівень рецидивної злочинності
graph_axis_prisonvalue                  Вартість в'язниці
graph_axis_prisonercapacity             Місткість в'язниці
graph_axis_numincidents                 К-ть інцидентів
graph_axis_totalincidents               Загалом інцидентів

equipment_Photo				Фото	
equipment_SubMachineGun			кулемет	
equipment_Soap				мило	
