# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Changelog complet
clearplan_message				Sigur vrei să ștergi toate planurile desenate?\n \n	Această acțiune nu poate fi anulată.

d11_custom_planning 				Planificare Personalizată

buildtoolbar_popup_planning			Planifică închisoarea ta, fără să îți faci griji că muncitorii tăi se vor apuca de lucru înainte ca tu să fii pregătit. Meniul de Planificare îți permite să alegi să construiești toate Structurile și Ușile planificate, să ștergi anumite secțiuni din planurile tale sau să ștergi întregul plan și să o iei de la început.

buildtoolbar_popup_help_planningDoor_1		Tipul selectat de Ușă va fi folosit atunci când amplasezi o Ușă pe planul tău.
buildtoolbar_popup_help_quickBuildWall_1	Tipul selectat de perete va fi folosit pentru construirea următoarei/următoarelor tale Construcții rapide.


buildtoolbar_popup_mat_blueclassywall			Construiește pereți clasici deasupra fundațiilor pentru a crea noi camere sau zone pentru personal.
buildtoolbar_popup_mat_burgundyclassywall		Construiește pereți clasici deasupra fundațiilor pentru a crea noi camere sau zone pentru personal.
buildtoolbar_popup_mat_greenclassywall			Construiește pereți clasici deasupra fundațiilor pentru a crea noi camere sau zone pentru personal.

buildtoolbar_popup_obj_windowclassy				Face ca partea de exterior să arate mult mai bine decât este de fapt.
buildtoolbar_popup_obj_windowclassyLarge		Face ca partea de exterior să arate mult mai bine decât este de fapt.
buildtoolbar_popup_obj_gravestone				O piatră de mormânt este pusă la dispoziție pentru fiecare deces care are loc în închisoarea ta.

buildtoolbar_popup_staff_psychiatrist			Un angajat avansat care oferă consultații regulate Deținuților Declarați Nebuni.\nPsihiatrii oferă ședințe individuale regulate pentru a-i calma pe Deținuții Declarați Nebuni, odată ce închisoarea are stabilit un program de Consultații Psihiatrice. \nDacă avem foarte mulți Deţinuţi Declarați Nebuni, ar trebui să angajăm câțiva Psihiatri care să le ofere asistență. Asigură-te, de asemenea, că fiecare are cabinetul său.

buildtoolbar_popup_staff_orderly				Personalul medical, special instruit în ceea ce privește gestionarea nebunilor declarați.
buildtoolbar_popup_obj_leatherchair				Se potrivește cu Canapeaua De Piele. Ideal pentru personal ca să stea pe el, dar, cu siguranță, mult prea elegant pentru deținuți.

buildtoolbar_popup_obj_rorschachTest		    Adăugarea unui Test Rorschach la cabinetul de psihiatrie va contribui la îmbunătățirea tratamentului dat de psihiatru deținuților declarați nebuni.
buildtoolbar_popup_obj_anatomyModel				Adăugarea unui Model Anatomic la cabinetul de psihiatrie va contribui la îmbunătățirea tratamentului dat de psihiatru deținuților declarați nebuni.
buildtoolbar_popup_obj_flipboard				Adăugarea unei Table Flipchart la cabinetul de psihiatrie va contribui la îmbunătățirea tratamentului dat de psihiatru deținuților declarați nebuni.
buildtoolbar_popup_obj_medicineCabinetPsych		Adăugarea unui Dulăpior Cu Medicamente la cabinetul de psihiatrie va contribui la îmbunătățirea tratamentului dat de psihiatru deținuților declarați nebuni.
buildtoolbar_popup_obj_leatherchair				Se potrivește cu Canapeaua De Piele. Ideal pentru personal ca să stea pe el, dar, cu siguranță, mult prea elegant pentru deținuți.
buildtoolbar_popup_obj_leatherSofa				Adăugarea unei Canapele clasice de Piele la cabinetul de psihiatrie va contribui la îmbunătățirea tratamentului dat de psihiatru deținuților declarați nebuni.

buildtoolbar_deployment_insaneseczone			Doar deţinuţii declarați nebuni vor avea voie să intre în acest sector.

failuremessage_maximumcountreachedgeneric		Cantitatea Maximă a fost deja Amplasată

buildtoolbar_popup_locked_PsychiatricConsultation				Deblocat după încă *B ședințe la psihiatru
buildtoobar_PsychConItemImproveInfo 			- Crește nota Cabinetului De Psihiatrie.
buildtoobar_PsychConItemImproveSuppression 		- După consultare, reduce gradul de refulare al unui\ndeținut declarat nebun și anumite nevoi cu +5%
buildtoobar_PsychConItemImproveGrace 			- După consultare, oferă unui deținut declarat nebun\no perioadă de „grație” de 1 zi suplimentară,\nînainte de refulare când anumite nevoi încep să se manifeste din nou.
buildtoolbar_popup_obj_Footbridge				Permite deținuților și personalului să traverseze zone cu pământ și apă. Nu se poate construi peste ziduri, garduri și alte clădiri.
buildtoolbar_popup_obj_FootbridgeSteel			Permite deținuților și personalului să traverseze zone cu pământ și apă. Nu se poate construi peste ziduri, garduri și alte clădiri.
buildtoolbar_popup_obj_FootbridgeB				Permite deținuților și personalului să traverseze zone cu pământ și apă. Nu se poate construi peste ziduri, garduri și alte clădiri.
buildtoolbar_popup_obj_FootbridgeSteelB			Permite deținuților și personalului să traverseze zone cu pământ și apă. Nu se poate construi peste ziduri, garduri și alte clădiri.
buildtoolbar_popup_obj_BoomBoxRoundHouse		Le permite deținuților să asculte formațiile de băieți preferate pe parcursul zilei. Face toți deținuții din aceeași cameră puțin mai mulțumiți.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Carceră Capitonată

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Folosită pentru deținuții declarați nebuni, este prevăzută cu pereți capitonați care au un efect de calmare.
buildtoolbar_popup_room_paddedholdingcell	    Locul unde sunt plasați deținuții noi declarați nebuni înainte să fie gata celula capitonată permanentă.
buildtoolbar_popup_room_paddedsolitary			    O formă izolată de deținere pentru cei mai răi dintre deținuții declarați nebuni.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Capitonată (mică)
quickbuild_paddedintermediatecell							Capitonată (medie)
quickbuild_paddedholdingcell								Celulă De Detenție Capitonată
quickbuild_paddedsolitarycell								Carceră Capitonată
quickbuild_PsychiatristOffice								Cabinet De Psihiatrie



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Numai Sect Nebuni
interfacetopbar_PrisonerCells_insaneSecOnly	Capacitate Nebuni Declarați: *X

roomgrading_PsychiatristOffice_info				Deblochează și amplasează obiecte suplimentare în Cabinetul De Psihiatrie pentru a îmbunătăți tratamentul dat deținuților declarați nebuni.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Articol: *X
roomgrading_PsychiatristOffice_Quality			Abilitate Psihiatru: *Q
roomgrading_PsychiatristOffice_Upgrade			Fă upgrade Cabinetului De Psihiatrie pentru a îmbunătăți această abilitate.

roomgrading_score_average		MEDIU
roomgrading_score_good			BUN
roomgrading_score_verygood		FOARTE BUN
roomgrading_score_outstanding	EXCEPȚIONAL

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Aripă Nebuni Declarați
objective_grant_firstinsanecellblock_description	Guvernul este dispus să ne acorde finanțare pentru extinderea închisorii noastre, astfel încât aceasta să poată găzdui și proteja bunăstarea deținuților declarați nebuni.\n\nAcest grant ne va ajuta să construim niște celule capitonate speciale și să angajăm psihiatri instruiți.
objective_grant_firstinsanecellblock_cells			Construiește o aripă / bloc de celule pentru Deținuții Declarați Nebuni cu 10 Celule Capitonate.
objective_grant_firstinsanecellblock_prisoners		Primește 10 Deținuți Nebuni Declarați
objective_grant_firstinsanecellblock_psychiatrist	Angajează 2 Psihiatri (fiecare are nevoie de un cabinet)

objective_readinsaneletter						Îndrumările Directorului General cu privire la Deținuții Declarați Nebuni
objective_readinsaneletter_description			Înainte de a putea primi deținuți declarați nebuni în închisoarea ta, trebuie să fii pregătit cu facilitățile și personalul adecvat pentru a putea răspunde în mod adecvat nevoilor lor - Directorul General...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     În calitate de fost vânător de recompense, Hartman transmite mai departe tehnici valoroase de instruire personalului său de securitate.\n\n - Paznicilor le cad mai rar cheile\n - Rezistența paznicilor se reface la primirea de noi deținuți
warden_wardeninsanehawk_desc_short               - Rezistența paznicilor se reface la primirea de noi deținuți.

warden_wardeninsaneslugworth_name                Dr. Slugworth
warden_wardeninsaneslugworth_desc                Când toate celelalte închisori îi refuză, Slugworth deschide ușa celor mai răi Deținuți Declarați Nebuni care există, fiind convins că îi poate ajuta.\n\n - Tratamentele psihiatrice sunt cu 20% mai benefice\n - Șansele de a primi Deținuți Declarați Nebuni Psihopați sunt mai mari!
warden_wardeninsaneslugworth_desc_short          - Acceptă mai mulți Deținuți Declarați Nebuni Psihopați. Psihiatrii oferă un tratament mai bun.

warden_wardeninsanehudson_name					 Dr Hudson
warden_wardeninsanehudson_desc                   Dr Hudson este pregătit să facă ceea ce niciun alt Director de închisoare nu poate...\n\n - Serviciile de urgență funcționează cu 20% mai rapid și sosesc mai devreme\n - Costurile pentru reparații sunt reduse cu 10%
warden_wardeninsanehudson_desc_short             - Timp mai rapizi de răspuns, iar costurile pentru reparații sunt reduse.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Decese Deținuți Nebuni
victory_warning_insaneprisonersdeaths			 Vei fi concediat, dacă prea mulți deținuți nebuni mor.
victory_insaneprisonersdeaths_units				 Decese

victory_insaneprisonersabused					 Deținuți Nebuni Atacați
victory_warning_insaneprisonersabused			 Vei fi concediat, dacă prea mulți deținuți nebuni sunt atacați de paznici.
victory_insaneprisonersabused_units				 Atacuri

victory_adviserwarning_insaneprisonersdeaths1	 Nu putem continua să lăsăm deținuții declarați nebuni să fie supuși abuzurilor în cadrul închisorii noastre! Ne vom crea o reputație foarte proastă în mass-media dacă nu reușim să ne adunăm!
victory_advisernotice_insaneprisonersdeaths1	 Ai depășit limita! Ești terminat! Trebuia să ai grijă de deținuții cu probleme mentale, dar în loc să faci asta, ai permis ca aceștia să fie supuși unor tratamente de o cruzime de neimaginat. Eu nu te pot decât concedia, dar îți sugerez să te duci acasă și să-ți reevaluezi opțiunile de viață.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Deținuți Declarați Nebuni

codex_tooltip_criminallyinsane					Gestionează deținuții care se simt în mod constant slăbiți, solicită noi celule capitonate și ajutor psihiatric pentru a le reduce nevoile de intimitate, confort, siguranță și libertate înainte ca aceștia să izbucnească. Dacă activezi această setare, unii deținuți obișnuiți vor înnebuni în închisoarea ta dacă nevoile lor nu sunt avute în vedere. Opțiunea ca unii deținuți să ajungă să fie declarați nebuni poate fi dezactivată din Setări hartă.

codex_prisoner_biography_NITG					Biografie personalizată creată de jucător
codex_options_InsaneGauge						Indicatoare Individuale Pentru Deținuți

codex_option_desert								Teren Nisipos
codex_tooltip_desert							Generează un teren inițial care seamănă cu un deșert nisipos.

codex_options_rendercolours						Straturi Cameră Colorată

codex_new_selectdog								Alege Câini de Pază

codex_option_prisonerTurning					Deținuții Pot Ajunge Să Fie Declarați Nebuni

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Nebun Declarat
rapsheet_insane_bio_desc                        Deținuții declarați nebuni se simt în mod constant slăbiți și au nevoie de celule capitonate și de ajutor psihiatric pentru a rămâne calmi.\n\nDeținuții declarați nebuni care izbucnesc pot ataca membrii personalului, pot cauza pagube în închisoare sau pot încerca să evadeze, putând manifesta, de asemenea, și alte comportamente imprevizibile.

reputation_Weak                                 Slăbit
reputation_Insomniac                            Insomniac
reputation_Depressed                            Deprimat
reputation_Outbreaks                            Accese
reputation_Sickness                             Boală
reputation_Hyperactive                          Hiperactiv
reputation_Addict                               Dependent
reputation_Claustrophobic                       Claustrofob
reputation_ExtremelyStoical                     Extrem De Stoic
reputation_ExtremelyVolatile                    Extrem De Volatil
reputation_Psychopathic                         Psihopat
reputation_Insane                               Nebun Declarat

reputationtooltip_Weak                          Deținutul este mai slăbit, nu se descurcă prea bine într-o bătaie și, prin urmare, este mai probabil să sufere vătămări.
reputationtooltip_Insomniac                     Acest deţinut are nevoie de foarte puțin somn.
reputationtooltip_Depressed                     Acest deținut se deplasează mult mai încet atunci când simte că este slăbit și nu este tratat.
reputationtooltip_Outbreaks                     Acest deținut este înclinat să aibă accese de violență și să producă pagube mediului din jur atunci când simte că este slăbit și nu este tratat.
reputationtooltip_Sickness                      Acest deținut este înclinat să vomite sau să facă pe el atunci când simte că este slăbit și nu este tratat.
reputationtooltip_Hyperactive                   Se deplasează mult mai repede atunci când simte că este slăbit și nu este tratat.
reputationtooltip_Addict                        Acest deținut este mai predispus să devină dependent de droguri atunci când simte că este slăbit și nu este tratat.
reputationtooltip_Claustrophobic                Dorința acestui deținut de evadare din mediul în care trăiește este mult mai ridicată atunci când simte că este slăbit și nu este tratat.
reputationtooltip_ExtremelyStoical              Acest deţinut nu va deveni docil când este trimis la carceră sau când se află în prezența paznicilor. Chiar nu îi pasă.
reputationtooltip_ExtremelyVolatile             Stai cu ochii pe acest deținut. Orice îl poate declanșa o criză și lucrurile pot evalua într-o direcție nedorită foarte repede.
reputationtooltip_Psychopathic                  Acest deţinut este mult mai periculos și imprevizibil decât alți Deținuți Declarați Nebuni.
reputationtooltip_Insane                        Asigură-te că acest deținut are acces la sesiunile de consult psihiatric ținute de un psihiatru și la o celulă capitonată, ca să-l ajuți să se calmeze.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Nebun Declarat
report_intake_list_tooltip_insane				Deținuți Declarați Nebuni se simt în mod constant slăbiți și au nevoie de celule capitonate noi și de ajutor psihiatric pentru a le reduce nevoia de intimitate, confort, siguranță și de libertate, înainte să izbucnească.\n\nNu poți solicita Deținuți Declarați Nebuni până când nu ai pregătite câteva Celule Capitonate sau o Celulă De Detenție Capitonată.\n\nCelulele normale pot fi transformate în Celule Capitonate în meniul Camere.
report_intake_insane_intake_empty				Deținuți Declarați Nebuni nu pot fi primiți în acest moment.\n Trebuie să construiești celule capitonate sau celule de detenție capitonate.\nCelulele normale pot fi transformate în Celule Capitonate în meniul Camere.
report_staff_group_prisoners_insane				Nebun Declarat
report_Criminally_Insane						Nebun Declarat
report_Pyschopathic								Psihopat

report_intake_enable_insane					Activare
report_intake_psychward_title					Secția de psihiatrie: Ediția Directorului de închisoare
report_intake_psychward_tooltip					Activează Secția de psihiatrie: Ediția Directorului de închisoare pentru această închisoare.\n\nAsta îți va permite să primești Deținuți Declarați Nebuni, dar mai întâi trebuie să faci niște pregătiri în închisoare.\n\nPsihiatrii și Infirmierii pot fi documentați și angajați. Celulele Capitonate și Celulele de Detenție pot fi create.\n\nAtât Psihiatrii, cât și Celulele Capitonate te vor ajuta să îți menții calmi Deținuții Declarați Nebuni și să îi poți controla. 

reformerror_no_psychiatrist					NICIUN PSIHIATRU
reform_completion_psychiatrist              - *X Terminat - *Y Tratați (*P%)
report_staff_group_orderlies				Infirmieri

# =============================================================================
# Research
# =============================================================================
research_Orderly							Infirmier
research_Psychiatrist							Psihiatru
                     
researchtooltip_Orderly							Paznicii obișnuiți nu au voie să atace deținuți declarați nebuni, pentru că i-ar putea răni.\nInfirmierii dispun de pregătire specială pentru a imobiliza nebunii declarați fără să-i rănească.\nDe asemenea, infirmierii vor pune cămăși de forță deținuților psihopați în timpul nopții pentru a-i împiedica să își provoace vătămări în timpul nopții.
researchtooltip_Psychiatrist					Un angajat avansat care oferă consultații regulate Deținuților Nebuni De Legat.\nPsihiatrii oferă ședințe individuale regulate pentru a-i calma pe Deținuții Nebuni De Legat, odată ce închisoarea are stabilit un program de Consultații Psihiatrice. \nDacă avem foarte mulți Deţinuţi Declarați Nebuni, ar trebui să angajăm câțiva Psihiatri care să le ofere asistență. Asigură-te, de asemenea, că fiecare are cabinetul său.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Nebun

buildtoolbar_header_foundationmain				Principal
buildtoolbar_header_foundationmore				Mai multe

reformprogram_PsychiatricConsultation			Consult Psihiatric
reformprogram_PsychiatricConsultation_text		Toți deținuții declarați nebuni au nevoie de sesiuni individuale regulate de calmare la psihiatrul închisorii, ca să-i ajute să le reducă sentimentul de slăbiciune în creștere. Lipsa asistenței psihiatrice poate duce la izbucniri violente și la alte reacții unice din partea acestor prizonieri.
reform_program_properties_NeedToBeEscorted		Este posibil ca deținuții să trebuiască să fie escortați la aceste sesiuni.
reform_program_intake_insane				Numai pentru Deținuții Declarați Nebuni.

insane_letter									Stimate domnule/doamnă,\n\n\nVă prezentăm câteva îndrumări importante pentru a ne asigura că aveți pregătite facilități și personal adecvat pentru a vă putea ocupa de Deținuți Declarați Nebuni.\n\n1.  Deținuții Declarați Nebuni trebuie să fie ținuți în Celule Capitonate. Puteți transforma celulele standard în celule capitonate (din meniul Camere). După ce veți dispune de celule capitonate, veți putea accepta primul dvs. lot de deținuți.\n\n2.  Asigurați-vă că aveți angajați Psihiatri și Infirmieri în rândul personalului dvs. Psihiatrii au nevoie, de asemenea, de un cabinet dedicat.\n\n3.  Înființați câteva programe de Consult Psihiatric pentru Deținuții Declarați Nebuni. Aceste sesiuni individuale la Psihiatru (și celulele capitonate) contribuie la menținerea controlului asupra deținuților. Modernizarea cabinetului Psihiatrului va duce, de asemenea, la îmbunătățirea abilității acestuia de tratare a deținuților.\n\n4.  Dacă este lăsat netratat și nu este verificat, un Deținut Declarat Nebun poate avea comportamente imprevizibile, poate încerca să evadeze sau poate deveni violent.\n\n5.  Infirmierii ajută la escortarea și vindecarea deținuților; ei nu îi potolesc pe deținuți în același mod ca paznicii obișnuiți. De asemenea, vei avea nevoie de Infirmieri pentru a le pune cămașa de forță Deținuților Declarați Nebuni la sfârșitul zilei. \n\n6.  Deținuții Declarați Nebuni care se amestecă printre ceilalți deținuți pot cauza uneori probleme. Este o idee bună să construiești și să separi sectoarele dedicate Deținuților Declarați Nebuni în zona de Cantină, în Curte, precum și în alte zone. Și este de dorit ca toate cabinetele de psihiatrie să fie situate lângă blocurile de celule destinate Deținuților Declarați Nebuni.\n\n7.  În sfârșit, deținuții de la alte niveluri de securitate pot fi deveni la rândul lor nebuni declarați, așa că trebuie să fii atent.\n\nDirectorul General,\nPrison Architects Corp

job_StraitJacket                         Aplică/Scoate Cămașa de Forță
job_EscortInsane                         Escortează Deținuți Nebuni
status_effect_sedated					Sedat

orderly_description                     Infirmierii sunt special pregătiți pentru manipularea și sedarea (dacă este necesar) Deținuților Declarați Nebuni.
pyschiatrist_description                TOȚI Deținuții Declarați Nebuni au nevoie de sesiuni individuale regulate de Consult Psihiatric la un Psihiatru. Adaugă sesiunile de Consult Psihiatric folosind meniul Programe.

insanetooltip_status                    Stare: *X
insanetooltip_status_level0             CALM
insanetooltip_status_level1             AGITAT
insanetooltip_status_level2             INSTABIL
insanetooltip_status_level3             CRIZAT!
insanetooltip_behaviour					Comportament: *X

mutator_name_ReducedDirtBuildup						Reduce Acumularea de Mizerie
mutator_tooltip_ReducedDirtBuildup					Viteza cu care se acumulează mizeria și nămolul în închisoare este redusă la jumătate.
administrator_requiresoffice_psychiatrist            Necesită Cabinet De Psihiatrie

dlc_insane_upsell				Această salvare folosește conținut din extensia „Secția de psihiatrie: Ediția Directorului de închisoare”. Pentru că nu am putut detecta această extensie în sistemul tău, unele caracteristici vor fi dezactivate. Te rugăm să ai în vedere achiziționarea extensiei „Secția de psihiatrie: Ediția Directorului de închisoare” pentru a beneficia pe deplin de experiențele oferite de jocul Prison Architect.
dlc_insane_upsell_multiplayer 	Gazda acestui joc pentru mai mulți jucători a achiziționat extensia „Secția de psihiatrie: Ediția Directorului de închisoare”, la care și tu vei avea acces, în calitate de invitat.

regime_work_pyscho              Programe/Timp liber
regime_worklockdown_pyscho      Programe/Închidere

regimetooltip_work_pyscho			Notă Deţinuţii nebuni nu pot munci și pot participa numai la diferite programe în timpul perioadelor de muncă
regimetooltip_worklockdown_pyscho	Notă Deţinuţii nebuni nu pot munci și pot participa numai la diferite programe în timpul perioadelor de muncă


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Nivel de Sedare
teacher_teaching_pschiatrist                    Tratament în curs		
pschiatrist_count_status						*X Consulturi Psihiatrice Finalizate


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Escortează la Infirmerie

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Stare Celule

buildtoolbar_popup_help_CellStatus_1			Vizualizarea Stării celulelor îți indică celulele ocupate (roșu) și pe cele libere (verde).
buildtoolbar_popup_help_CellStatus_2			Poți da clic pe o celulă ocupată pentru a vedea deținutul desemnat să o ocupe.

freeCell										Celulă Liberă
freeCell_line0									Această celulă nu este momentan ocupată.
occupiedCell									Celulă Ocupată
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Clic stânga pentru a vedea acest deţinut.
object_prisoner_freshfish						Deţinut (boboc)

total_Connections								Număr total de conexiuni: *X
active_Connections								Numărul maxim de conexiuni active: *X

interfacedeployment_VisitorDirection			Direcție Vizitatori

interface_action_move							Mută

equipment_moreContraband						Contrabandă

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Transfer Deținut!
report_intake_list_tooltip_prisonerTransfer		\n\nLa anumite intervale de timp sunt oferiți deținuți cu risc ridicat care sunt prea periculoși pentru alți deținuți. \nAi grijă! Există un motiv pentru care se plătește bine pentru acești deținuți. Ei sunt criminali înrăiți de care nicio altă facilitate nu vrea să se ocupe.
rapsheet_category_PrisonerTransfer				Transfer Deținut!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Conductele de apă și cablurile electrice nu pot fi instalate dedesubt.

buildtoolbar_deployment_VisitorDirection 	Ține apăsat butonul din stânga și deplasează mouse-ul pentru a vedea indicatoarele de pe podea.\n\nAcestea le indică persoanelor care nu sunt deținuți în ce direcție să meargă.\nContribuie la controlarea fluxului de oameni din închisoare.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - Fiecare paznic are nevoie de un *X

schedule_zone_insaneSecOnly						Sect Nebuni

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Teren Lunar
codex_tooltip_lunar								Generează un teren inițial care seamănă cu suprafața lunară.

codex_option_doubleClick						Dublu clic pentru a muta obiecte

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Cameră Clonare

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Online
codex_start                         Creează joc
codex_joinonline                    Asociază-te Jocului Online
codex_join                          Asociază-te jocului
codex_usernamelabel                 Nume de utilizator:
codex_namelabel                     Nume joc:
codex_passwordlabel                 Parolă:
codex_passwordprotectedlabel        Protejat de parolă?
codex_listedlabel                   Public?
codex_roomlistlabel                 Listă jocuri:
codex_connectinglabel               Conectare la server în curs...
codex_retrievingserverlistlabel     Regăsire Listă jocuri în curs...
codex_datausage                     Utilizare date: Trimise - *SkB/s, Primite - *RkB/s
codex_multiplayeroptions            Gestionează jucători
codex_playeroptions                 Jucători
codex_regionlabel                   Regiune:

multiplayer_chooseroomname          Te rog să alegi un nume de joc
multiplayer_chooseusername          Te rog să alegi un nume de utilizator
multiplayer_joining                 Se efectuează asocierea: *X
multiplayer_joiningstate_joining    Se efectuează asocierea la joc
multiplayer_joiningstate_receiving  Se primește lumea
multiplayer_joiningstate_loading    Se încarcă lumea
multiplayer_rejoining               Se efectuează asocierea din nou la joc după extindere teren:
multiplayer_leavegame_confirm       Sigur vrei să părăsești actualul joc de cooperare?
multiplayer_hostleft                Gazda s-a deconectat.
multiplayer_joingamefailed          Asocierea la joc a eșuat:
multiplayer_startgamefailed         Inițierea jocului a eșuat:
multiplayer_incorrectpassword       Parolă incorectă
multiplayer_disconnected            S-a pierdut conexiunea la server.
multiplayer_syncerror               Deconectat ca urmare a unei erori de sincronizare.\n\nTe rugăm să încerci să te asociezi din nou jocului.
multiplayer_hostonly                Disponibil numai pentru jucătorul gazdă.
multiplayer_modsdisabled            Modurile sunt dezactivate pentru jocul online
multiplayer_mutatorsdisabled        Mutatoarele sunt dezactivate pentru jocul online
multiplayer_kicked                  Ai fost dat afară din joc.
multiplayer_kick                    Dă afară
multiplayer_ban                     Interzice

multiplayer_host                    Gazdă:

multiplayer_welcomeanalytics        Bun venit la Prison Architect Multiplayer\n\nNe-am străduit să oferim posibilitatea experienței complete Prison Architect în jocul pentru mai mulți jucători. Prison Architect este un joc mare și aceasta este prima dată când oferim posibilitatea accesării jocului pentru mai mulți jucători pentru toată lumea, așa că vom fi atenți la toate problemele cu care s-ar putea confrunta jucătorii.\n\nPentru a ne ajuta în acest sens, am vrea să colectăm câteva date analitice anonime pentru a putea rezolva orice probleme pe care le întâmpină cei care joacă acest joc. Această opțiune poate fi dezactivată oricând din meniul opțiuni. Poți vedea datele pe care le colectăm în metrics.txt\n\nSperăm că te distrezi jucând Prison Architect cu prietenii tăi.

region_asia                         Asia
region_au                           Australia
region_cae                          Canada, partea de est
region_eu                           Europa
region_in                           India
region_jp                           Japonia
region_ru                           Rusia
region_rue                          Rusia, partea de est
region_sa                           America de Sud
region_kr                           Coreea de Sud
region_us                           SUA, partea de est
region_usw                          SUA, partea de vest

codex_options_disableattract            Dezactivează ecranul promoțional de început
codex_option_escapeplans                Planuri de evadare
buildtoolbar_rollcall                   Apel nominal
buildtoolbar_tooltip_rollcall           Strigă toți deținuții să iasă în afara celulelor. Disponibil numai în timpul regimurilor de somn și în timpul nopții.
interfacecontrol_graphs                 Grafice
interfacecontrol_graphs_tooltip         Deschide ecranul Grafice, care îți permite să compari grafice ce reprezintă diferite aspecte ale închisorii tale.

graph_title                             Grafice

graph_label_1                           Tip de date 1
graph_label_2                           Tip de date 2
graph_label_day                         Zi

graph_axis_none                         Niciunul
graph_axis_profit                       Profit
graph_axis_funds                        Fonduri
graph_axis_prisonsize                   Dimensiune Închisoare (m²)
graph_axis_numprisoners                 Num Deţinuţi
graph_axis_numstaff                     Num Membri Personal
graph_axis_releasedprisoners            Deţinuţi Eliberați
graph_axis_totalreleasedprisoners       Nr. Total Deţinuţi Eliberați
graph_axis_escapedprisoners             Deţinuţi Evadați
graph_axis_totalescapedprisoners        Nr. Total Deţinuţi Evadați
graph_axis_entitydeath                  Decese
graph_axis_totaldeaths                  Total Decese
graph_axis_prisonerdeaths               Decese Deținuți
graph_axis_guarddeaths                  Decese Paznici
graph_axis_securitygrading              Evaluare Securitate
graph_axis_healthgrading                Evaluare Sănătate
graph_axis_reformgrading                Evaluare Reformă
graph_axis_punishmentgrading            Evaluare Pedepse
graph_axis_reoffendingrate              Rată Recidivă
graph_axis_prisonvalue                  Valoarea Închisorii
graph_axis_prisonercapacity             Capacitate Deţinuţi
graph_axis_numincidents                 Număr Incidente
graph_axis_totalincidents               Număr Total Incidente

equipment_Photo				Fotografie	
equipment_SubMachineGun			Carabina	
equipment_Soap				Săpun	
