# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
roomgrading_Canteen_HasWindow_None	[*E] Nessuna finestra
roomgrading_Yard_RoomSize	[*E] Dimensioni stanza minimo *X mq
roomgrading_Yard_RoomSizeLess	[*E] Dimensioni stanza *X mq o meno
roomgrading_Yard_Item	[*E] Oggetto: *X
roomgrading_Yard_Floor	[*E] Pavimento *X (più di *Y%)
roomgrading_Yard_MultiItems	[*E] Contiene *X degli oggetti precedenti
roomgrading_Yard_Floor_Quantity	[*E] *X mq *Y
roomgrading_CommonRoom_RoomSize	[*E] Dimensioni stanza minimo *X mq
roomgrading_CommonRoom_Item	[*E] Oggetto: *X
roomgrading_Gymnasium_RoomSize	[*E] Dimensioni stanza minimo *X mq
roomgrading_Gymnasium_OutsideWindow	[*E] Finestra sull'esterno *Y
roomgrading_Gymnasium_Item	[*E] Oggetto: *X
roomgrading_Gymnasium_HasWindow_None	[*E] Nessuna finestra
roomgrading_Classroom_RoomSize	[*E] Dimensioni stanza minimo *X mq
roomgrading_Classroom_Item	[*E] Oggetto: *X
roomgrading_Classroom_OutsideWindow	[*E] Finestra sull'esterno *Y

buildtoolbar_improvement	-MIGLIORA il grado di: *R
buildtoolbar_decreased	-RIDUCE il grado di: *R
buildtoolbar_improvement_windows	(se è rivolta all'esterno)

buildtoolbar_planning_autofoundation	Fondamenta automatiche

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	Valutazione sicurezza minima
interfaceLogistics_MedSecGrading	Valutazione sicurezza media
interfaceLogistics_MaxSecGrading	Valutazione sicurezza massima
interfaceLogistics_SuperMaxGrading	Valutazione sicurezza massima +

sectorGrading_title	Settore *X
sectorGrading_housed	Ci sono *X detenuti in *Y
sectorGrading_desiresTransfer	*X detenuti in *Y sperano di essere trasferiti in *Z

sectorGrading_description	Qui sotto trovi i dettagli della valutazione di questo settore. Più privilegi aggiungi, più sale la valutazione. Il massimo è 250.
sectorGrading_encouragement	Maggiore è la differenza di valutazione tra la *X e questo settore, più detenuti in *X saranno incoraggiati a ravvedersi e comportarsi bene, per poter essere trasferiti in questo settore a minore sicurezza.
sectorGrading_discouragement	Puoi anche ridurre la valutazione della *X rimuovendo privilegi e comfort per creare un effetto simile, ma così facendo rischi una reazione violenta dei detenuti.

sectorGrading_transferNote	(NOTA: la motivazione per il trasferimento dei detenuti avrà effetto SOLO dopo aver installato il DLC "Trasferimento autorizzato" e attivato l'opzione "Trasferimento detenuti" nel menu Impostazioni mappa).

sectorGrading_privilegesTitle	Privilegi dei detenuti
sectorGrading_visitation	[+*X] Visite
sectorGrading_mail	[+*X] Posta
sectorGrading_work	[+*X] Accesso al lavoro (denaro)
sectorGrading_education	[+*X] Accesso a educazione/corsi
sectorGrading_meals	[+*X] 2+ pasti al giorno
sectorGrading_freeTime	[+*X] Ampio tempo libero (20%)
sectorGrading_extraFreeTime	[+*X] Tempo libero extra (30%)
sectorGrading_yard	[+*X] Accesso al cortile
sectorGrading_gym	[+*X] Accesso alla palestra
sectorGrading_shop	[+*X] Accesso al negozio
sectorGrading_commonRoom	[+*X] Accesso alla sala comune
sectorGrading_showers	[+*X] Docce calde
sectorGrading_sleep	[+*X] 10 o più ore di sonno

sectorGrading_facilitiesTitle	Strutture
sectorGrading_room	[*X/*Y] Qualità *R (media)

sectorGrading_conditionsTitle	Condizioni
sectorGrading_suppresion	[*X/15] Soppressione *Y
sectorGrading_risk	[*X/20] Rischi *Y (morte e infortuni)
sectorGrading_cleanliness	[*X/15] Pulizia *Y

sectorGrading_grade	Valutazione *X/250
dialog_veryLow	Molto bassa

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	Varie

report_needs_staffBreaks	Questa è la percentuale massima dello staff complessivo che può essere in pausa contemporaneamente.
reports_privilegetitle	Politica privilegi
reports_misconducttitle	Politica cattiva condotta
reports_paroletitle	Politica limite libertà condizionata
reports_parole_info	Regola limite:
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	Privilegio
reports_policy_Visitation	Visite
reports_policy_Mail	Posta
reports_policy_PrisonLabour	Lavoro forzato
reports_policy_All	Tutti
reports_policy_Programs	Corsi
reports_policy_WorkPrograms	Lavoro
reports_policy_EducationPrograms	Educazione
reports_policy_WellnessPrograms	Benessere

reports_policy_defaults	Consigliati
reports_policy_tooltip_recomended	Imposta *X ai valori consigliati, per tutti i livelli di sicurezza selezionati.
reports_policy_tooltip_all	Seleziona/deseleziona tutti i livelli di sicurezza della prigione

reports_privilegesPolicy_tooltip_all	Cambia tutti i programmi a parte udienze per la libertà condizionata, appelli nel braccio della morte e terapie psichiatriche.
reports_privilegesPolicy_tooltip	Scegli quali settori di sicurezza possono partecipare a questi programmi:
reports_privilegesPolicy_tooltip_EducationPrograms	\n-Educazione di base \n-Educazione generale
reports_privilegesPolicy_tooltip_WellnessPrograms	\n-Terapia comportamentale \n-Terapia di gruppo per alcolisti \n-Guida spirituale
reports_privilegesPolicy_tooltip_WorkPrograms	\n-Sicurezza e igiene in cucina \n-Corso di sicurezza in officina \n-Apprendistato falegnameria

report_policy_categoryTooltip_Minsec	Sicurezza minima
report_policy_categoryTooltip_Normal	Sicurezza media
report_policy_categoryTooltip_MaxSec	Sicurezza massima
report_policy_categoryTooltip_Protected	Custodia cautelare
report_policy_categoryTooltip_SuperMax	Sicurezza massima +
report_policy_categoryTooltip_DeathRow	Braccio della morte
report_policy_categoryTooltip_Insane	Malati di mente

report_policy_misconductConflict_tooltip	Sono selezionati diversi tipi di sicurezza con valori diversi per le politiche. Seleziona singole categorie di detenuti per consultare le loro politiche di cattiva condotta.

report_policy_match	Abbina a:

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	Schiera cuochi
interfacedeployment_Doctor	Schiera medici

buildtoolbar_deployment_Chef	Schiera cuochi nei settori della prigione.
buildtoolbar_deployment_Doctor	Schiera medici nei settori della prigione.
buildtoolbar_deployment_PrioritizeJanitor	Usa questa opzione per far sì che gli inservienti schierati diano la priorità ad aree specifiche della tua prigione. Se sei a corto di personale, gli inservienti cercheranno innanzitutto di coprire le aree prioritarie. Assegna 1, 2 o 3 inservienti per definire la priorità dell'area.
buildtoolbar_deployment_PrioritizeGardener	Usa questa opzione per far sì che i giardinieri schierati diano la priorità ad aree specifiche della tua prigione. Se sei a corto di personale, i giardinieri cercheranno innanzitutto di coprire le aree prioritarie. Assegna 1, 2 o 3 giardinieri per definire la priorità dell'area.

researchtooltip_deployment2	Puoi assegnare specificamente questi membri dello staff a settori della prigione nel menu Schieramento.
researchtooltip_prioritize	Puoi assegnare specificamente le priorità per questi membri dello staff a settori della prigione nel menu Schieramento.

interfacetopbar_tooltip_totalChefs	*X cuochi in totale
interfacetopbar_tooltip_totalDoctors	*X medici in totale
interfacetopbar_tooltip_cook	Il numero di cuochi liberi da incarichi di cui disponi nella tua prigione.
interfacetopbar_tooltip_doctor	Il numero di medici liberi da incarichi di cui disponi nella tua prigione.

interfacetopbar_tooltip_priorityStationed	*X lavori prioritari

interfacetopbar_tooltip_totalJanitors	*X inservienti in totale
interfacetopbar_tooltip_totalGardeners	*X giardinieri in totale
interfacetopbar_tooltip_janitor	Il numero di inservienti liberi da incarichi di cui disponi nella tua prigione.
interfacetopbar_tooltip_gardener	Il numero di giardinieri liberi da incarichi di cui disponi nella tua prigione.

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X detenuti *W al trasferimento in *C:
reports_prisoners_transfer_ready	pronti
reports_prisoners_transfer_wanting	disposti
reports_prisoners_transfer_button	APPROVA TUTTI
reports_prsioners_transfer_numCells	(*X celle disponibili)

reports_transfers_offMessage	Puoi attivare i trasferimenti di detenuti nel menu Impostazioni mappa.
report_Transfer	Trasferimenti

transfer_icon_tooltip	Usa queste opzioni per determinare i criteri che i detenuti di *X devono soddisfare per essere trasferiti in *Y. \nPuoi usare la colonna Criteri politica per rendere più difficile per i detenuti qualificarsi per il trasferimento, e altre opzioni per squalificare immediatamente certi tipi di detenuti. \nNon tutti i detenuti sono interessati a un trasferimento, soprattutto quelli con condanne brevi, che stanno scavando un tunnel o semplicemente che non pensano che le condizioni o il comfort del settore di sicurezza inferiore siano tanto meglio.
transfer_tooltip_onOff	Deseleziona per disattivare/attivare per i settori di sicurezza selezionati.

transfer_description	Imposta i criteri che i detenuti devono soddisfare per essere trasferiti a un settore di sicurezza inferiore con maggior comfort.
transfer_use	Criteri per il trasferimento da *X a *Y
transfer_behaviourtitle	Buona condotta
transfer_reformtile	Riabilitazione
transfer_requiredtitle	Richiesto
transfer_qualifiedcaption	Totale detenuti qualificati ora
transfer_hopingcaption	Totale detenuti motivati a qualificarsi
transfer_numPrisoners	*X detenuti (*Y%)

transfer_title	Politiche di trasferimento
transfer_criteria	Criteri delle politiche
transfer_qualifying	Detenuti qualificati

transfer_behaviour_staffAssaults	Nessuna aggressione allo staff
transfer_behaviour_murders	Nessun omicidio
transfer_behaviour_murdersStuff	(staff e detenuti)
transfer_behaviour_escapeAttempts	Nessun tentativo di fuga
transfer_behaviour_contraband	Nessun contrabbando pericoloso
transfer_behaviour_gangMembers	Membri di gang squalificati
transfer_behaviour_previousCrimes	Squalifica per crimini precedenti:

transfer_behaviour_tooltip_staffAssaults	Per qualificarsi per il trasferimento, i detenuti non devono aver aggredito nessuno dello staff per il numero di giorni specificato. Un numero di giorni maggiore squalificherà i detenuti costantemente violenti.
transfer_behaviour_tooltip_murders	Per qualificarsi per il trasferimento, i detenuti non devono aver ucciso staff o detenuti per il numero di giorni specificato. Un numero di giorni maggiore squalificherà i detenuti più pericolosi.
transfer_behaviour_tooltip_escapeAttempts	Per qualificarsi per il trasferimento, i detenuti non devono essere stati scoperti mentre tentavano di fuggire per il numero di giorni specificato.
transfer_behaviour_tooltip_contraband	Per qualificarsi per il trasferimento, i detenuti non devono essere stati scoperti con armi o attrezzi per il numero di giorni specificato.
transfer_behaviour_tooltip_gangMembers	Seleziona per squalificare TUTTI i membri di gang dal trasferimento, oppure solo alcuni gradi in una gang.
transfer_behaviour_tooltip_previousCrimes	Seleziona per squalificare dal trasferimento i detenuti con determinati reati sulla fedina penale con la successiva opzione gruppo di reati.

transfer_reform_tooltip_reoffending	Per qualificarsi per il trasferimento, i detenuti non devono avere una possibilità di recidività pari o inferiore al valore specificato. Un valore più basso qualificherà solo i detenuti con la condootta migliore e più ravveduti.
transfer_reform_tooltip_programsPassed	Per qualificarsi per il trasferimento, i detenuti devono aver completato un numero specificato di corsi. Un valore elevato squalificherà i detenuti poco disposti a ravvedersi.

transfer_required_tooltip	Modifica questo valore per decidere se i detenuti devono soddisfare TUTTI i criteri selezionati per il trasferimento o solo una parte.

transfer_tooltip_uncheck	\nDeseleziona questo criterio per il trasferimento per rimuoverlo.


transfer_reform_reoffending	Possibilità di recidività stimate
transfer_reform_programsPassed	Corsi completati

transfer_required	Criteri precedenti da soddisfare

transfer_criteriaTime	per *X giorni

gangNone	Nessuno
gang_transfer_None	Nessuno
gang_transfer_Soldier	Tutti
gang_transfer_Lieutenant	Capobastone, Capo
gang_transfer_Leader	Capo

report_prisoner_approve	Approva
report_prisoner_approveAll	Approva il trasferimento in *X per tutti i detenuti che soddisfano i relativi criteri. Il numero di detenuti trasferiti dipenderà anche dal numero di celle disponibili.

approveTransfer_title	Approva trasferimento
approveTransfer_message	Approva il trasferimento del detenuto *F *S in *C
approveAllTransfer_message	Approva il trasferimento di tutti i detenuti qualificati in *C
approveAllTransfer_someMessage	Ci sono solo *X celle libere in *C. Vuoi trasferire *X detenuti in *C?
approveTransfer_noFreeCells	Non ci sono celle libere per trasferire i prigionieri idonei.

dialog_group	Gruppo

transfer_pastCrimes_tooltip	Squalifica i prigionieri con reati di Gruppo *X sulla fedina, tra cui:
transfer_criteria_met	*X/*Y

# =============================================================================
# Actions
# =============================================================================

action_RunTreadmill	Usa il tapis roulant
action_PunchingBag	Usa il sacco da pugile
action_Boxing	Usa il ring da boxe

# =============================================================================
# Codex
# =============================================================================

codex_tooltip_escapeplans	Attiva altre opzioni per la fuiga dei detenuti. Ora tenteranno di scalare i muri quando tentano di fuggire.
codex_options_shadowcaption	Ombre sì/no
codex_options_punishmentscaption	Perquisizione e azioni per settore

codex_option_prisonerTransfer	Trasferimento detenuti
codex_tooltip_prisonerTransfer	Con il Trasferimento prigionieri puoi impostare i criteri che i detenuti devono soddisfare per essere trasferiti a un settore di sicurezza più accogliente nella prigione, che offre più comfort, strutture e altri privilegi. \n\nI detenuti ora valuteranno le condizioni del settore in cui sono e quelli del settore a sicurezza minore e decideranno se vogliono essere trasferiti. In quel caso, decideranno se provare a migliorlare la loro condotta per soddisfare i criteri di trasferimento, in base alle loro esigenze e caratteristiche.\n\nCiascun settore è classificato in base ai privilegi e alle strutture che offri ai detenuti in quel settore. Maggior è la "differenza" tra il loro settore e quello a sicurezza minore, più prigionieri vorranno essere trasferiti nel complesso.\n\nUna volta che un detenuto soddisfa i criteri di trasferimento, sei comunque tu a decidere se e quando trasferirli.

# =============================================================================
# Miscelanious
# =============================================================================

action_Stretching	Fa esercizio
action_PlayChess	Gioca a scacchi
action_EatSnack	Fa uno spuntino

report_staff_multidelete	Usa un singolo clic del mouse per licenziare un membro dello staff, oppure tieni premuto e trascina per licenziarne diversi

codex_language_unsupported	---AGGIORNAMENTI INTERROTTI---
codex_language_mod	---MOD LINGUA CREATI DALLA COMMUNITY---

codex_language_unsupportedString	Questa lingua non è supportata ufficialmente, possono mancare alcune traduzioni.

report_policy_privilegesUnchangableTooltip	Le politiche dei privilegi di questo livello di sicurezza sono bloccate.
transfer_review	Esamina trasferimenti
reports_prisoners_transfer_otherPrisoners	*X altri detenuti
approveTransfer_noFreeCells	Non ci sono celle libere in cui trasferire i detenuti. Costruisci altre celle per questo livello di sicurezza per approvare il trasferimento.
prisoner_roomquality_veryLow	Molto bassa
prisoner_roomquality_low	Bassa
prisoner_roomquality_high	Alta
prisoner_roomquality_veryHigh	Molto alta
prisoner_roomquality_supreme	Suprema
report_policy_matchTitle	Abbina settori di sicurezza
report_policy_match_tooltip	Abbina la politica di cattiva condotta di *X a un altro settore di sicurezza.
report_intake_cat_PrisonerTransfer	Detenuto leggendario!

object_barbedwire	Filo spinato
object_roadbarrier	Barriera stradale
buildtoolbar_popup_obj_roadbarrier	Una robusta barricata stradale in grado di fermare persino un camion in corsa. Si chiude solo durante la fase "Rinchiudi".

buildtoolbar_popup_help_Orderly_1	Gli attendenti sono specificamente addestrati per occuparsi dei detenuti malati di mente. \n
buildtoolbar_popup_help_Orderly_2	Possiedono tratti simili a quelli di guardie e medici, ma rispetto alle normali guardie hanno un effetto più rassicurante sui detenuti. \n\n
buildtoolbar_popup_help_Orderly_3	Assumi attendenti per assistere i detenuti malati di mente. Compiti degli attendenti:
buildtoolbar_popup_help_Orderly_4	- Fornire assistenza nelle procedure di arrivo dei detenuti malati di mente.
buildtoolbar_popup_help_Orderly_5	- Scortare i detenuti malati di mente alle sessioni di terapia psichiatrica (programmi).
buildtoolbar_popup_help_Orderly_6	- Curare i detenuti malati di mente.
buildtoolbar_popup_help_Orderly_7	- Sedare i detenuti malati di mente che si comportano in modo violento.
buildtoolbar_popup_help_Orderly_8	- di notte, far indossare camicie di forza ai detenuti malati di mente psicopatici.

buildtoolbar_popup_help_Psychiatrist_1	Gli psichiatri forniscono terapie individuali a cadenza regolare ai detenuti malati di mente.\n\n
buildtoolbar_popup_help_Psychiatrist_2	Ognuno di essi richiede uno speciale ambulatorio di psichiatria.
buildtoolbar_popup_help_Psychiatrist_3	È possibile organizzare sessioni di terapia psichiatrica (programmi), in modo che gli psichiatri possano curare i detenuti malati di mente.
buildtoolbar_popup_help_Psychiatrist_4	È anche possibile potenziare gli ambulatori di psichiatria con nuovi oggetti, così da migliorare la terapia.

rapsheet_action	Azioni
codex_settings_escapeplans	Attiva piani di fuga

############################### Sea and Air Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_WoodenDockFloor	Molo (di legno)
material_waterBed	Letto ad acqua
material_WaterShallow	Acqua (poco profonda)
material_WaterLarge	Acqua (grande)
material_WaterWalkable	Acqua (camminabile)

# =============================================================================
# Objects - Names
# =============================================================================

object_FerryDock	Molo per traghetti
object_FerryBoat	Traghetto da trasporto
object_SupplyBoat	Barca rifornimenti
object_PrisonBoat	Traghetto per carcerati
object_VisitorBoat	Barca per visitatori
object_VisitorHeli	Elicottero per visitatori
object_SupplyHeli	Elicottero rifornimenti
object_PrisonHeli	Elicottero della prigione
object_FireHeli	Elicottero dei pompieri
object_EliteOpsHeli	Squadra operazioni élite
object_SoldiersHeli	Guardia nazionale
object_HearseBoat	Barca funebre
object_HearseHeli	Elicottero funebre
object_ParamedicsHeli	Elicottero dei paramedici
object_Helipad	Eliporto
object_BoatDock	Molo per barche
object_EliteOps	Operazioni élite

object_Fountain	Fontana
object_SteppingStoneLillyPad	Pietre da sentiero (ninfea)
object_SteppingStoneIceBlock	Pietre da sentiero (ghiaccio)
object_SteppingStone	Pietre da sentiero
object_SteppingStonePallet	Pietre da sentiero (pallet)
object_ScannerMonitor	Monitor per scanner
object_ScannerMachine	Scanner
object_CheckPoint	Punto di controllo

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge	Lotto isola
codex_option_islandBridge	Collegato Lotto isola

codex_tooltip_islandNoBridge	Genera un lotto di terra di partenza circondato dall'acqua. Il lotto userà un molo per barche anziché una strada.
codex_tooltip_islandBridge	Genera un lotto di terra di partenza circondato dall'acqua, con un ponte collegato alla strada.

mutator_name_DynamicReputations	Reputazioni dinamiche
mutator_tooltip_DynamicReputations	Nel periodo della loro detenzione, i detenuti hanno l'opportunità di ottenere o perdere tratti di Reputazione sulla base delle esperienze e delle attività che svolgono.

interfacelogistics_deliverytargeting	Consegne
d11_logistic_select_delivery_method	Seleziona consegna
interfacelogistics_vehiclepurpose	Trasporto

buildtoolbar_Logistics_DeliveryTargeting	Collega le zone di consegna, di spazzatura e di esportazione a eliporti, moli e strada. In questo modo potrai controllare la destinazione delle consegne e la modalità di uscita delle esportazioni.
buildtoolbar_Logistics_VehiclePurpose	Controlla quali servizi verranno gestiti da strade, eliporti o moli specifici. Così facendo potrai ricevere merci o detenuti specifici in diversi luoghi della tua prigione, per via aerea o marittima.

d11_logistics_transportTitle	Preferenze di trasporto
d11_logistics_purpose_group_0	Consegne in arrivo
d11_logistics_transport_deliveries_hint	Scegli quali oggetti possono essere consegnati qui.
d11_logistics_purpose_group_0_item_1	Materiali da costruzione
d11_logistics_purpose_group_0_item_2	Cibo
d11_logistics_purpose_group_0_item_3	Posta
d11_logistics_purpose_group_0_item_4	Materiali per officina
d11_logistics_purpose_group_1	Detenuti in arrivo
d11_logistics_transport_prisoners_hint	Scegli quali detenuti possono giungere qui dagli Arrivi.
d11_logistics_purpose_group_1_item_1	Sicurezza minima
d11_logistics_purpose_group_1_item_2	Sicurezza media
d11_logistics_purpose_group_1_item_3	Sicurezza massima
d11_logistics_purpose_group_1_item_4	Braccio della morte
d11_logistics_purpose_group_1_item_5	Malato di mente
d11_logistics_purpose_group_2	Civili in arrivo
d11_logistics_transport_civilians_hint	Scegli se visitatori e insegnanti possono arrivare qui.
d11_logistics_purpose_group_3	Oggetti in uscita
d11_logistics_transport_exports_hint	Scegli quali oggetti possono essere rimossi dalla tua prigione tramite questo luogo.
d11_logistics_purpose_group_3_item_1	Spazzatura
d11_logistics_purpose_group_3_item_2	Esportazioni
d11_logistics_purpose_toggle	Attiva/Disattiva
d11_logistics_purpose_toggle_1	Attiva/Disattiva tutto
d11_logistics_purpose_toggle_on	(SÌ)
d11_logistics_purpose_toggle_off	(NO)

d11_room_error_no_link	Scaricamento bloccato. Controlla le opzioni di logistica consegne e trasporti.

d11_hover_change	Cambia [[*L]]

water_amount	Livello acqua *X%
ferry_timer	Parte tra *X
ferry_warning	Partenza bloccata

d11_hover_dismiss_vehicle	Manda a casa [[*S]]
d11_hover_depart_vehicle	Fai partire [[*S]]
interface_action_dismissVehicle	Manda a casa il veicolo
d11_hover_dismiss_vehicle_desc	Mandare a casa il veicolo per liberare spazio?
d11_hover_dismiss_helicopter_desc	Mandare a casa questo elicottero?
d11_hover_dismiss_ferry_desc	Vuoi far partire il traghetto in anticipo?

d11_hover_fight_fires	Combatti incendi [[*X]]
interface_action_fightFires	Combatti incendi
d11_hover_fight_fires_desc	Vuoi decollare e aiutare a combattere un incendio?

d11_hover_land_heli	Fai atterrare [[*S]]
interface_action_landheli	Fai atterrare l'elicottero
d11_hover_land_heli_desc	Vuoi far atterrare l'elicottero all'eliporto?

d11_hover_eliteOps_select	Pilota elicottero [[*X]]

d11_hover_deploy_squad	Schiera (tieni premuto) [[*X]]
interface_action_deploySquad	Schiera squadra
d11_hover_deploy_squad_desc	Schierare la squadra sotto l'elicottero?

interfacemode_floors	il pavimento
interfaceoverlay_landscape	Territorio e isole

codex_options_hud_waypoints	Location su interfaccia
codex_options_hud_waypoints_all	Tutte attive
codex_options_hud_waypoints_important	Le più importanti
codex_options_hud_waypoints_off	Tutte inattive

d11_hud_waypoints_limited	Tutte (tempo limitato)
waypoints_tooltip	Scegli quali Location mostrare sull'interfaccia: punteranno a vari eventi e allerte nell'area della prigione.

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_obj_FerryDock	Verranno costruiti due moli per traghetti che faranno la spola tra le due isole. Per costruire due moli, devono esserci due sezioni di terra emersa, una di fronte all'altra.
buildtoolbar_popup_obj_BoatDock	Essenziale per consentire alle barche di attraccare alla prigione, trasportare nuovi detenuti o consegnare scorte.
buildtoolbar_popup_obj_Helipad	Essenziale per consentire agli elicotteri di volare fino alla tua prigione, trasportare nuovi detenuti, consegnare scorte o richiamare squadre speciali di emergenza aviotrasportate.

buildtoolbar_popup_obj_DeckChair	Soddisfa l'esigenza "Comfort".
buildtoolbar_popup_obj_Fountain	Posiziona nell'acqua per creare una fontana rilassante.

buildtoolbar_popup_obj_SteppingStoneLillyPad	Crea percorsi per consentire a detenuti e staff di attraversare l'acqua. Solo per esterni. Posizionabile solo sull'acqua.
buildtoolbar_popup_obj_SteppingStone	Crea percorsi per consentire a detenuti e staff di attraversare l'acqua. Solo per esterni. Posizionabile solo sull'acqua.
buildtoolbar_popup_obj_SteppingStoneIceBlock	Crea percorsi per consentire a detenuti e staff di attraversare l'acqua. Solo per esterni. Posizionabile solo sull'acqua.
buildtoolbar_popup_obj_SteppingStonePallet	Crea percorsi per consentire a detenuti e staff di attraversare l'acqua. Solo per esterni. Posizionabile solo sull'acqua.
buildtoolbar_popup_uts_ScannerMonitor	Se collegato a uno Scanner, questo monitor può permettere a una guardia di smascherare operazioni di contrabbando. La capacità della guardia di smascherare il contrabbando dipende dalla sua stanchezza.
buildtoolbar_popup_uts_ScannerMachine	Un macchinario da posizionare in magazzini e aree di consegna, per scansionare casse di legno in cerca di eventuali oggetti di contrabbando. Dev'essere collegato a un monitor. La capacità della guardia di smascherare il contrabbando dipende dalla sua stanchezza.
buildtoolbar_popup_obj_Checkpoint	Un punto di controllo per perquisire detenuti e visitatori. I detenuti possono passare soltanto in una direzione, e solo quando una guardia è presente.
buildtoolbar_popup_mat_waterShallow	Crea aree di acqua poco profonda per ottenere coste più belle, a metà tra le aree di sabbia e di acqua. A differenza dell'acqua normale, su queste caselle è possibile camminare.
buildtoolbar_popup_mat_waterLarge	Crea vaste aree acquatiche, come laghi e oceani.
buildtoolbar_popup_mat_WoodenDockFloor	Un solido pavimento di legno, perfetto per un molo.

landscape_hint	(Si può costruire sull'acqua)

d11_emergencies_hints_fire_heli	Un elicottero con x*A Pompieri. - $*B
d11_squad_name_FireHeli	Elicottero dei pompieri
d11_emergencies_hints_paramedics_heli	Un elicottero con x*A Pompieri. - $*B
d11_squad_name_AirParamedics	Elicottero dei paramedici
d11_emergencies_hints_eliteOps_heli	Un elicottero con x*A soldati delle operazioni élite. - $*B
d11_squad_name_EliteOps	Squadra operazioni élite



quickbuild_OutdoorLake	Lago esterno
quickbuild_River	Fiume

interfacecallout_FireHeli	Elicottero dei pompieri
interfacecallout_EliteOps	Squadra operazioni élite
interfacecallout_AirParamedics	Elicottero dei paramedici


# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint	Richiede un collegamento a terra e una corsia di consegna libera.
delivery_hover_hint	Il menu Logistica > Trasporto ti consente di controllare la funzione di *X.
ferryDock_placement_hint	È necessario che ci sia un'altra sezione di terra emersa verso cui il traghetto possa viaggiare.
transportZones_hover_hint	Collega a eliporti, moli e strade tramite il menu Logistica.

# =============================================================================
# DLC Upsell
# =============================================================================

objective_ReadSandALetter	Lettera dall'amministratore delegato (Confinati su un isola)
island_letter	Gentile Signore/Signora,\n\n\nti do il benvenuto alla tua nuova vita, con Prison Architect Confinati su un isola! Ecco alcuni consigli per iniziare a giocare con moli, eliporti e prigioni su isole.\n\n1. Isole - A seconda delle circostanze, la tua prigione potrebbe non avere collegamenti via terra con il continente. In tal caso avrai bisogno di BARCHE ed ELICOTTERI per fornire servizi di trasporto. Costruisci MOLI PER BARCHE ed ELIPORTI e stabilisci le loro funzioni: ricevere consegne specifiche, nuovi detenuti, nuove unità di emergenza e altro ancora, per via aerea o marittima. - Assicurati che i moli vengano costruiti con una corsia di consegna libera per le barche. - Potrai anche costruire speciali MOLI PER TRAGHETTI per collegare due isole, oltre a PONTI e PIETRE DA SENTIERO. - La tua prigione potrà anche essere protetta da SQUADRE DI OPERAZIONI D'ÉLITE, e da elicotteri in grado di combattere gli incendi dal cielo.\n\n2. Personalizzare consegne e trasporti - Tramite LOGISTICA, potrai decidere quali servizi verranno assegnati a ciascun molo, eliporto e strada, permettendoti così di aumentare l'efficienza della tua prigione. I moli e gli eliporti potranno essere collegati a zone aggiuntive di consegna, reception ed esportazione. Ciò ti permetterà, per esempio, di far consegnare le scorte di cibo il più vicino possibile alla cucina, o di far arrivare i nuovi detenuti di massima sicurezza vicino alla rispettiva ala dell'edificio. Le possibilità sono infinite!\n\n3. Plasmare il territorio - Puoi posizionare l'acqua in modo da creare fossati o interi oceani intorno alla tua prigione, e la terra potrà essere plasmata con coste e spiagge, usando sabbia o altri tipi di terreno. Eventuali sezioni di terraferma o piccole isole create nell'acqua appariranno immediatamente.\n\n4. Nuove misure di sicurezza - Le merci di contrabbando possono arrivare anche via elicottero o barca, quindi abbiamo pensato di fornirti dei nuovi equipaggiamenti all'avanguardia. - Costruisci SCANNER nei magazzini e nelle aree di consegna, per controllare scatole e casse. Avrai bisogno anche di una guardia che controlli attentamente il MONITOR DELLO SCANNER. - Assegna guardie ai PUNTI DI CONTROLLO per perquisire tutti i detenuti e i visitatori di passaggio. Questo è un ottimo modo per smascherare il contrabbando, ma può ridurre il flusso di detenuti se non viene posizionato strategicamente.\n\nPer finire: neppure le isole sono a prova di fuga! Potrebbe quindi essere una buona idea erigere torri con cecchini sulle coste, per tenere d'occhio eventuali "nuotatori".\n\nE questo è tutto! Buona fortuna!\nL'amministratore delegato,\nPrison Architects Corp.

codex_option_dynamicReputations	Reputazioni dinamiche
