# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							รายการบันทึกการเปลี่ยนแปลงทั้งหมด
buildtoolbar_popup_mat_burgundywall				สร้างกำแพงหรูหราที่ด้านบนของฐานรากเพื่อสร้างพื้นที่พนักงานและห้องใหม่ๆ
buildtoolbar_popup_mat_greenwall				สร้างกำแพงหรูหราที่ด้านบนของฐานรากเพื่อสร้างพื้นที่พนักงานและห้องใหม่ๆ
buildtoolbar_popup_mat_orientalwall				สร้างกำแพงศิลปะตะวันออกเพื่อสร้างพื้นที่เรือนจำที่ดูเหมือนยุคญี่ปุ่นโบราณ
buildtoolbar_popup_mat_cushionedwall			สร้างกำแพงที่ด้านบนของฐานรากเพื่อสร้างพื้นที่หรือห้องที่ดูให้ความรู้สึกร่ำรวย พร้อมเครื่องหนังสวยๆ
buildtoolbar_popup_mat_sandstone				วางหินทรายที่พื้นที่ด้านนอก
buildtoolbar_popup_mat_limestonefloor			สีพื้นเป็นสีเขียวมะนาวอ่อนๆ
buildtoolbar_popup_mat_blueCarpet				วางพรมนุ่มๆ เป็นที่ที่เหมาะกับพนักงานสุดๆ
buildtoolbar_popup_mat_redCarpet				วางพรมนุ่มๆ เป็นที่ที่เหมาะกับพนักงานสุดๆ
buildtoolbar_popup_mat_brownCarpet				วางพรมนุ่มๆ เป็นที่ที่เหมาะกับพนักงานสุดๆ
buildtoolbar_popup_mat_paddedfloor				สร้างกำแพงกันกระแทกเพื่อสร้างเรือนจำกันกระแทกสำหรับอาชญากรวิกลจริต
buildtoolbar_popup_mat_grassstones				พื้นที่สนามหญ้าพร้อมหินปูพื้น
buildtoolbar_popup_mat_grassscornerfloor		สนามหญ้าพร้อมดิน เหมาะสำหรับสร้างทางเดิน
buildtoolbar_popup_mat_lunarfloor				พื้นผิวแบบก้อนหินให้ความรู้สึกเหมือนอยู่บนดวงดาว
buildtoolbar_popup_obj_spookytree				ต้นไม้ขนหัวลุก
buildtoolbar_popup_obj_cactustree				เหมาะที่จะปลูกบนที่แห้งมากที่สุด
buildtoolbar_popup_obj_sakuratree				ต้นเชอร์รี่อันสวยงามที่มีดอกสีชมพู
buildtoolbar_popup_obj_plant					ต้นไม้ประดับอันงดงาม
buildtoolbar_popup_obj_plantcactus				ต้นกระบอกเพชรสำหรับปลูกในอาคาร
buildtoolbar_popup_obj_tyrestack				ทำหน้าที่เป็นกำแพงขนาดเล็กให้นักโทษและเจ้าหน้าที่เดินไปมา
buildtoolbar_popup_obj_lamp						ตะเกียงตั้งพื้นเหมาะสำหรับพื้นที่ในออฟฟิศของพนักงาน
buildtoolbar_popup_obj_bathroomSink				ห้องน้ำสะอาดๆ ทุกที่ต้องมีมัน
buildtoolbar_popup_obj_bathroomHandDryer		เข้ากับอ่างล้างมือห้องน้ำเป็นอย่างดี
buildtoolbar_popup_obj_chestOfDrawers			ลิ้นชักไม้
buildtoolbar_popup_obj_woodenStool				เข้ากับโต๊ะไม้อย่างดี
buildtoolbar_popup_obj_woodenTable				เข้ากับเก้าอี้ไม้อย่างดี	
buildtoolbar_popup_obj_bucket					ถังธรรมดาๆ
buildtoolbar_popup_obj_shortbookcase			ตู้หนังสื้อเตี้ยๆ
buildtoolbar_popup_obj_outdoorTable				สำหรับให้นักโทษได้นั่งและกินข้าวนอกอาคาร
buildtoolbar_popup_obj_mooseHead				หัวกวางมูสอันงดงาม
buildtoolbar_popup_obj_toiletSign				กำแพงที่มีป้ายห้องน้ำติดอยู่
buildtoolbar_popup_obj_rightArrowSign			กำแพงที่มีป้ายลูกศรชี้ทางขวาติดอยู่
buildtoolbar_popup_obj_leftArrowSign			กำแพงที่มีป้ายลูกศรชี้ทางซ้ายติดอยู่
buildtoolbar_popup_obj_infirmarySign			กำแพงที่มีป้ายห้องพยาบาลติดอยู่
buildtoolbar_popup_obj_canteenSign				กำแพงที่มีป้ายห้องครัวติดอยู่
buildtoolbar_popup_obj_showerSign				กำแพงที่มีป้ายห้องอาบน้ำติดอยู่
buildtoolbar_popup_obj_armourySign				กำแพงที่มีป้ายห้องคลังอาวุธติดอยู่
buildtoolbar_popup_obj_jaildoorred				ประตูห้องขังทาสีที่ช่วยให้รู้ว่ามีการวางการป้องกันอย่างเต็มที่
buildtoolbar_popup_obj_jaildoorgrey				ประตูห้องขังทาสีที่ช่วยให้รู้ว่ามีการวางการป้องกันที่ต่ำ
buildtoolbar_popup_obj_jaildoororange			ประตูห้องขังทาสีที่ช่วยให้รู้ว่ามีการวางการป้องกันแบบปกติ
buildtoolbar_popup_obj_jaildooryellow			ประตูห้องขังทาสีที่ช่วยให้รู้ว่าเป็นห้องนักโทษคุ้มครอง
buildtoolbar_popup_obj_jaildoorlargered			ประตูห้องขังทาสีขนาดใหญ่ที่ช่วยให้รู้ว่ามีการวางการป้องกันอย่างเต็มที่
buildtoolbar_popup_obj_jaildoorlargegrey		ประตูห้องขังทาสีขนาดใหญ่ที่ช่วยให้รู้ว่ามีการวางการป้องกันที่ต่ำ
buildtoolbar_popup_obj_jaildoorlargeorange		ประตูห้องขังทาสีขนาดใหญ่ที่ช่วยให้รู้ว่ามีการวางการป้องกันแบบปกติ
buildtoolbar_popup_obj_jaildoorlargeYellow		ประตูห้องขังทาสีขนาดใหญ่ที่ช่วยให้รู้ว่าเป็นห้องนักโทษคุ้มครอง
buildtoolbar_popup_obj_coatstand				ที่สำหรับวางเสื้อและหมวกของเจ้าหน้าที่
buildtoolbar_popup_obj_dogbowl					ไว้ใส่น้ำและอาหารสำหรับสุนัขที่เหน็ดเหนื่อยของผู้คุม\nเพิ่มค่าพลังกายของสุนัขเล็กน้อย
buildtoolbar_popup_obj_secretdoor				ประตูลับที่ทำเป็นตู้หนังสือสามารถเปิดให้เจ้าหน้าที่ผ่านเข้าไปได้
buildtoolbar_popup_obj_parkbench				เก้าอี้ยาวนอกอาคาร
buildtoolbar_popup_obj_fencegateguard			ประตูรั้วที่ดูน่าเกรงขาม เฉพาะผู้คุมเท่านั้นที่เปิดได้
buildtoolbar_popup_obj_oaktable					ใช้นั่งกินอาหาร
buildtoolbar_popup_obj_oakbench					ใช้นั่ง เข้ากันดีกับโต๊ะโอ๊ค

buildtoolbar_popup_obj_classic					สุนัขเฝ้ายามรุ่นเดอะ แก่แต่เก๋า
buildtoolbar_popup_obj_dalmation				เคยอาศัยอยู่ในฟาร์ม แต่ตอนนี้ทำหน้าที่ช่วยป้องกันการหลบหนี
buildtoolbar_popup_obj_husky					กับดักสุดอันตรายสำหรับผู้หลบหนี วิ่งในหิมะได้อย่างว่องไว
buildtoolbar_popup_obj_companion				เพื่อนซี้ของผู้คุม
buildtoolbar_popup_obj_cat						ไม่ใช่ทุกคนที่ชอบสุนัข
buildtoolbar_popup_obj_direwoof					ใครจะกล้าหนีอีกละแบบนี้

buildtoolbar_popup_filter_mostused				ใช้บ่อยที่สุด
buildtoolbar_caters_safety						พาไปยังที่ปลอดภัย

interfacedeployment_orderly						กำหนดตามลำดับ
buildtoolbar_deployment_orderly					กำหนดให้ผู้คุมไปประจำในส่วนต่างๆ ของเรือนจำตามลำดับ

interfacedeployment_orderlypatrols				กำหนดตามลำดับ
buildtoolbar_deployment_orderlypatrols			กำหนดให้ผู้คุมเดินลาดตระเวนรอบๆ เรือนจำตามลำดับ

room_PaddedCell                                ห้องขังกันกระแทก
room_PaddedHoldingCell                         ห้องขังชั่วคราวกันกระแทก
room_PsychiatristOffice							สำนักงานของจิตแพทย์

interfaceplanning_BuildPlan			สร้างแผนผัง
interfaceplanning_ClearPlan			ลบแผนผัง
interfaceplanning_Door				ประตู

buildtoolbar_improvement						- พัฒนาระดับของ *R
buildtoolbar_improvement_windows				 (เมื่อมองไปด้านนอก)

buildplan_title					เลือกประเภทของกำแพง			
buildplan_message				พร้อมสร้างแผนผังแล้วรึยัง\n	การกระทำนี้จะไม่สามารถเปลี่ยนแปลงได้\n\n	กำแพงทั้งหมดที่ทำไว้ในแผนผังจะถูกสร้างด้วยกำแพงประเภทเดียวกันทั้งหมด\n	สามารถเปลี่ยนประเภทของกำแพงได้ตามด้านล่าง
clearplan_title					ลบแผนผัง
clearplan_message				คุณต้องการลบแผนผังที่เขียนไว้ทั้งหมดใช่หรือไม่\n\n	การกระทำนี้จะไม่สามารถเปลี่ยนแปลงได้

d11_custom_planning 				แผนผังแบบกำหนดเอง

buildtoolbar_popup_planning			วางแผนเรือนจำของคุณได้โดยไม่ต้องกลัวว่าคนงานจะเริ่มก่อสร้างอะไรลงไป จนกว่าคุณจะพร้อม เมนูแผนผังจะช่วยให้คุณสามารถเลือกและสร้างโครงสร้างและประตูตามที่วางแผน ลบบางส่วนออกจากแผนผัง หรือลบแผนผังทั้งหมดและสร้างขึ้นมาใหม่ได้

buildtoolbar_popup_help_planningDoor_1		ประเภทของประตูที่เลือกจะถูกนำมาใช้เมื่อคุณสร้างประตูในแผนผัง
buildtoolbar_popup_help_quickBuildWall_1	ประเภทของกำแพงที่เลือกจะถูกนำมาใช้ในการใช้สร้างทันทีครั้งต่อไป


buildtoolbar_popup_mat_blueclassywall			สร้างกำแพงหรูหราที่ด้านบนของฐานรากเพื่อสร้างพื้นที่พนักงานและห้องใหม่ๆ
buildtoolbar_popup_mat_burgundyclassywall		สร้างกำแพงหรูหราที่ด้านบนของฐานรากเพื่อสร้างพื้นที่พนักงานและห้องใหม่ๆ
buildtoolbar_popup_mat_greenclassywall			สร้างกำแพงหรูหราที่ด้านบนของฐานรากเพื่อสร้างพื้นที่พนักงานและห้องใหม่ๆ

buildtoolbar_popup_obj_windowclassy				ทำให้ภายนอกดูสวยงามกว่าความเป็นจริง
buildtoolbar_popup_obj_windowclassyLarge		ทำให้ภายนอกดูสวยงามกว่าความเป็นจริง
buildtoolbar_popup_obj_gravestone				ป้ายสุสานจะเกิดขึ้นสำหรับทุกๆ การตายที่เกิดขึ้นในเรือนจำของคุณ

buildtoolbar_popup_staff_psychiatrist			สมาชิกเจ้าหน้าที่ระดับสูงที่คอยให้คำแนะนำในการดูแลอาชญากรวิกลจริต\nเมื่อมีการจัดตั้งโปรแกรมปรึกษาอาการทางจิตในเรือนจำแล้ว จะมีนักจิตวิทยาคอยจัดการสนทนาหนึ่งต่อหนึ่งเป็นประจำเพื่อช่วยสงบสติอารมณ์ของอาชญากรวิกลจริต\nหากเรามีอาชญากรวิกลจริตมากเกินไป เราควรต้องจ้างนักจิตวิยามาเพื่อช่วยเหลือพวกเขาทุกคน อย่าลืมสร้างห้องสำนักงานให้พวกเขาแต่ละคนด้วยล่ะ

buildtoolbar_popup_staff_orderly				เจ้าหน้าที่หน่วยแพทย์ที่ถูกฝึกฝนมาเป็นพิเศษเพื่อรับมือกับอาชญากรวิกลจริต
buildtoolbar_popup_obj_leatherchair				ประกอบโซฟาหนัง เหมาะสำหรับให้เจ้าหน้าที่นั่งสุดๆ และดีเกินไปสำหรับนักโทษของคุณ

buildtoolbar_popup_obj_rorschachTest		    เพิ่มแบบทดสอบรอร์ชัคให้กับสำนักงานของจิตแพทย์จะช่วยเพิ่มประสิทธิภาพการรักษาอาชญากรวิกลจริตของจิตแพทย์
buildtoolbar_popup_obj_anatomyModel				เพิ่มหุ่นจำลองกายวิภาคให้กับสำนักงานของจิตแพทย์จะช่วยเพิ่มประสิทธิภาพการรักษาอาชญากรวิกลจริตของจิตแพทย์
buildtoolbar_popup_obj_flipboard				เพิ่มฟลิปบอร์ดและแผนภูมิสมองให้กับสำนักงานของจิตแพทย์จะช่วยเพิ่มประสิทธิภาพการรักษาอาชญากรวิกลจริตของจิตแพทย์
buildtoolbar_popup_obj_medicineCabinetPsych		เพิ่มตู้ยาให้กับสำนักงานของจิตแพทย์จะช่วยเพิ่มประสิทธิภาพการรักษาอาชญากรวิกลจริตของจิตแพทย์
buildtoolbar_popup_obj_leatherchair				ประกอบโซฟาหนัง เหมาะสำหรับให้เจ้าหน้าที่นั่งสุดๆ และดีเกินไปสำหรับนักโทษของคุณ
buildtoolbar_popup_obj_leatherSofa				เพิ่มโซฟาหนังแบบคลาสสิคให้กับสำนักงานของจิตแพทย์จะช่วยเพิ่มประสิทธิภาพการรักษาอาชญากรวิกลจริตของจิตแพทย์

buildtoolbar_deployment_insaneseczone			เฉพาะอาชญากรวิกลจริตเท่านั้นที่สามารถเข้าสู่บริเวณนี้ได้

failuremessage_maximumcountreachedgeneric		สร้างเต็มจำนวนแล้ว

buildtoolbar_popup_locked_PsychiatricConsultation				ปลดล็อคหลังจากที่เข้าเซสชั่นการบำบัดจิตอีก *B ครั้ง
buildtoobar_PsychConItemImproveInfo 			- พัฒนาระดับของสำนักงานของจิตแพทย์
buildtoobar_PsychConItemImproveSuppression 		- หลังจากเข้ารับการบำบัด จะลดการปราบปรามอาชญากรวิกลจริต\nและความต้องการบางอย่างอีก +5%
buildtoobar_PsychConItemImproveGrace 			- หลังจากเข้ารับการบำบัด อาชญากรวิกลจริตจะได้รับ\nช่วงเวลา 'มารยาทงาม' เพิ่มอีก 1 วัน\nก่อนการปราบปรามและความต้องการบางอย่างจะกลับมาเพิ่มอีกครั้ง
buildtoolbar_popup_obj_Footbridge				ทำให้นักโทษและเจ้าหน้าที่สามารถข้ามพื้นดินและพื้นน้ำได้ ไม่สามารถสร้างเหนือกำแพง รั้ว และสิ่งปลูกสร้างอื่นๆ ได้
buildtoolbar_popup_obj_FootbridgeSteel			ทำให้นักโทษและเจ้าหน้าที่สามารถข้ามพื้นดินและพื้นน้ำได้ ไม่สามารถสร้างเหนือกำแพง รั้ว และสิ่งปลูกสร้างอื่นๆ ได้
buildtoolbar_popup_obj_FootbridgeB				ทำให้นักโทษและเจ้าหน้าที่สามารถข้ามพื้นดินและพื้นน้ำได้ ไม่สามารถสร้างเหนือกำแพง รั้ว และสิ่งปลูกสร้างอื่นๆ ได้
buildtoolbar_popup_obj_FootbridgeSteelB			ทำให้นักโทษและเจ้าหน้าที่สามารถข้ามพื้นดินและพื้นน้ำได้ ไม่สามารถสร้างเหนือกำแพง รั้ว และสิ่งปลูกสร้างอื่นๆ ได้
buildtoolbar_popup_obj_BoomBoxRoundHouse 		ให้นักโทษของคุณฟังวงบอยแบนด์ที่พวกเขาชื่นชอบในขณะทำกิจกรรมในแต่ละวัน ทำให้นักโทษทุกคนในห้องเดียวกันมีความสุขมากขึ้นเล็กน้อย
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            ห้องขังเดี่ยวกันกระแทก

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    สำหรับอาชญากรวิกลจริตโดยเฉพาะ พร้อมด้วยกำแพงกันกระแทกที่จะช่วยสร้างอารมณ์ผ่อนคลาย
buildtoolbar_popup_room_paddedholdingcell	    สถานที่ที่อาชญากรวิกลจริตใหม่ๆ ของเราจะถูกนำไปขังก่อนที่ห้องขังถาวรจะแล้วเสร็จ
buildtoolbar_popup_room_paddedsolitary			    ห้องขังเดี่ยวสำหรับที่สุดแห่งอาชญากรวิกลจริต

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									กันกระแทก (เล็ก)
quickbuild_paddedintermediatecell							กันกระแทก (ปานกลาง)
quickbuild_paddedholdingcell								ห้องขังชั่วคราวกันกระแทก
quickbuild_paddedsolitarycell								ห้องขังเดี่ยวกันกระแทก
quickbuild_PsychiatristOffice								สำนักงานของจิตแพทย์



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  อันตรายระดับบ้าคลั่งเท่านั้น
interfacetopbar_PrisonerCells_insaneSecOnly	ความจุอาชญากรวิกลจริต: *X

roomgrading_PsychiatristOffice_info				ปลดล็อคและสร้างสิ่งของเพิ่มเติมในสำนักงานของจิตแพทย์เพื่อเพิ่มประสิทธิภาพการรักษาอาชญากรวิกลจริต\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				สิ่งของ: *X
roomgrading_PsychiatristOffice_Quality			ความสามารถของจิตแพทย์: *Q
roomgrading_PsychiatristOffice_Upgrade			อัพเกรดสำนักงานของจิตแพทย์เพื่อเพิ่มความสามารถของพวกเขา

roomgrading_score_average		ปานกลาง
roomgrading_score_good			ดี
roomgrading_score_verygood		ดีมาก
roomgrading_score_outstanding	เยี่ยม

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				แดนอาชญากรวิกลจริต
objective_grant_firstinsanecellblock_description	รัฐบาลยินดีจะมอบทุนให้เพื่อขยายเรือนจำของเรา เพื่อเป็นการดูแลรับรองความปลอดภัยและความเป็นอยู่ให้กับอาชญากรวิกลจริต\n\nสิ่งนี้จะช่วยให้เราสามารถสร้างห้องขังกันกระแทกสุดพิเศษ และจ้างนักจิตแพทย์ที่ชำนาญได้
objective_grant_firstinsanecellblock_cells			สร้างแดน / ห้องขังสำหรับอาชญากรวิกลจริตด้วยห้องขังกันกระแทก 10 ห้อง
objective_grant_firstinsanecellblock_prisoners		รับอาชญากรวิกลจริต 10 คน
objective_grant_firstinsanecellblock_psychiatrist	จ้างนักจิตแพทย์ 2 คน (แต่ละคนต้องมีสำนักงาน)

objective_readinsaneletter						คำแนะนำของซีอีโอเกี่ยวกับอาชญากรวิกลจริต
objective_readinsaneletter_description			ก่อนที่จะนำอาชญากรวิกลจริตเข้ามาในเรือนจำของคุณ คุณควรจะต้องเตรียมตัวให้พร้อมทั้งด้านอาคารและเจ้าหน้าที่ เพื่อที่จะรองรับความต้องการของพวกเขาได้อย่างเหมาะสม - ซีอีโอ...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     ฮอว์ก ฮาร์ตแมน
warden_wardeninsanehawk_desc                     ในฐานะอดีตนายประกัน ฮาร์ตแมนได้ถ่ายทอดเทคนิคการฝึกฝนให้กับเจ้าหน้าที่ฝ่ายรักษาความปลอดภัยของเขา\n\n -ผู้คุมทำกุญแจหล่นน้อยลง\n -เมื่อรับนักโทษ ผู้คุมจะได้รับการฟื้นฟูค่ากำลังกาย
warden_wardeninsanehawk_desc_short               - เมื่อรับนักโทษ ผู้คุมจะได้รับการฟื้นฟูค่ากำลังกาย

warden_wardeninsaneslugworth_name                ดร. สลักเวิร์ธ
warden_wardeninsaneslugworth_desc                แม้ว่าเรือนจำที่อื่นต่างปฏิเสธพวกเขา สลักเวิร์ธได้เปิดประตูต้อนรับเหล่าอาชญากรวิกลจริต โดยมีความเชื่อว่าเขาจะสามารถช่วยคนเหล่านี้ได้\n\n - การบำบัดของนักจิตแพทย์จะได้ผลมากขึ้น 20%\n - มีโอกาสได้รับจิตแพทย์บำบัดอาชญากรวิกลจริตเพิ่มมากขึ้น!
warden_wardeninsaneslugworth_desc_short          - รับจิตแพทย์บำบัดอาชญากรวิกลจริตเพิ่มมากขึ้น จิตแพทย์จะบำบัดได้ดีกว่าแพทย์ทั่วไป

warden_wardeninsanehudson_name					 ดร. ฮัดสัน
warden_wardeninsanehudson_desc                   ดร. ฮัดสัน เตรียมพร้อมที่จะทำสิ่งที่พัศดีคนอื่นๆ ไม่สามารถทำได้...\n\n - การบริการฉุกเฉินรวดเร็วมากขึ้น 20% และมาถึงเร็วขึ้น\n - ค่าใช้จ่ายในการซ่อมแซมลดลง 10%
warden_wardeninsanehudson_desc_short             - ตอบรับเร็วขึ้น และค่าใช้จ่ายในการซ่อมแซมลดลง

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 การเสียชีวิตของอาชญากรวิกลจริต
victory_warning_insaneprisonersdeaths			 คุณจะถูกไล่ออกถ้ามีอาชญากรวิกลจริตเสียชีวิตมากเกินไป
victory_insaneprisonersdeaths_units				 เสียชีวิต

victory_insaneprisonersabused					 การทำร้ายอาชญากรวิกลจริต
victory_warning_insaneprisonersabused			 คุณจะถูกไล่ออกถ้ามีอาชญากรวิกลจริตถูกผู้คุ้มทำร้ายมากเกินไป
victory_insaneprisonersabused_units				 ทำร้าย

victory_adviserwarning_insaneprisonersdeaths1	 เราจะปล่อยให้เกิดการทำร้ายร่างกายอาชญากรวิกลจริตในเรือนจำของเราต่อไปไม่ได้! สื่อต่างๆ จะโจมตีเราอย่างหนักถ้าเราไม่ทำอะไรบางอย่างกับเรื่องนี้!
victory_advisernotice_insaneprisonersdeaths1	 นั่นไง! พอแค่นี้แหละ! คุณควรจะให้ความสนใจกับอาการป่วยทางจิต แต่คุณปล่อยให้พวกเขาทนทรมานกับความเจ็บปวดที่ไม่สามารถพูดออกมาได้ ฉันจำเป็นต้องไล่คุณออก แต่ฉันแนะนำให้คุณกลับบ้านไปใตร่ตรองทางเดินของคุณอีกครั้ง

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					อาชญากรวิกลจริต

codex_tooltip_criminallyinsane					ช่วยเหลือนักโทษที่รู้สึกว่าตัวเองโดนกดดันอยู่ตลอดๆ จำเป็นต้องมีห้องขังกันกระแทกและการช่วยเหลือจากจิตแพทย์เพื่อลดความต้องการทางด้านความเป็นส่วนตัว ความสะดวกสบาย และอิสระ ก่อนที่พวกเขาจะสติแตก การเปิดใช้การตั้งค่านี้จะทำให้นักโทษทั่วๆ ไป สามารถเกิดอาการบ้าคลั่งได้หากความต้องการของพวกเขาไม่ถูกเติมเต็ม สามารถปิดการเปลี่ยนจากนักโทษเป็นอาชญากรวิกลจริตได้ที่หน้าการตั้งค่าแผนที่

codex_prisoner_biography_NITG					ชีวประวัติที่ถูกเขียนขึ้นเอง
codex_options_InsaneGauge						เกจบนหัวของนักโทษ

codex_option_desert								พื้นทราย
codex_tooltip_desert							เริ่มต้นพื้นที่ที่เต็มไปด้วยพื้นทราย

codex_options_rendercolours						มุมมองจากห้องสีต่างๆ

codex_new_selectdog								เลือกสุนัขของผู้คุม

codex_option_prisonerTurning					นักโทษสามารถเปลี่ยนเป็นอาชญากรวิกลจริตได้

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						อาชญากรวิกลจริต
rapsheet_insane_bio_desc                        อาชญากรวิกลจริตช่วยเหลือนักโทษที่รู้สึกว่าตัวเองโดนกดดันอยู่ตลอดๆ และต้องใช้ห้องขังกันกระแทกและการช่วยเหลือจากจิตแพทย์เพื่อทำให้พวกเขาใจเย็นลง\n\nอาชญากรวิกลจริตที่สติแตกอาจจะทำร้ายเจ้าหน้าที่ของเรา สร้างความเสียหายแก่เรือนจำ หรือพยายามแหกคุกได้ หรือบางทีอาจจะทำพฤติกรรมบางอย่างที่คาดเดาไม่ได้

reputation_Weak                                 อ่อนแอ
reputation_Insomniac                            นอนไม่หลับ
reputation_Depressed                            ซึมเศร้า
reputation_Outbreaks                            แพร่ระบาด
reputation_Sickness                             เจ็บป่วย
reputation_Hyperactive                          สมาธิสั้น
reputation_Addict                               เสพติด
reputation_Claustrophobic                       กลัวที่แคบ
reputation_ExtremelyStoical                     หมดอาลัยตายอยาก
reputation_ExtremelyVolatile                    โกรธง่ายมาก
reputation_Psychopathic                         อาการทางจิต
reputation_Insane                               อาชญากรวิกลจริต

reputationtooltip_Weak                          นักโทษรายนี้อ่อนแอลง ไม่สามารถต่อสู้ได้อย่างเต็มที่จึงอาจจะได้รับอาการบาดเจ็บมากขึ้น
reputationtooltip_Insomniac                     นักโทษรายนี้ไม่จำเป็นต้องใช้เวลานอนเยอะๆ
reputationtooltip_Depressed                     นักโทษรายนี้เคลื่อนที่ช้าลงอย่างมากเมื่อรู้สึกถูกกัดดันและถูกละเลย
reputationtooltip_Outbreaks                     นักโทษรายนี้มีแนวโน้มที่จะก่อเหตุรุนแรงและสร้างความเสียหายให้กับสิ่งแวดล้อมรอบตัวเมื่อพวกเขารู้สึกถูกกัดดันและถูกละเลย
reputationtooltip_Sickness                      นักโทษรายนี้มีแนวโน้มที่จะอาเจียนหรือทำตัวเองให้สกปรกเมื่อรู้สึกถูกกัดดันและถูกละเลย
reputationtooltip_Hyperactive                   เคลื่อนที่ไปมาอย่างรวดเร็วเมื่อรู้สึกถูกกัดดันและถูกละเลย
reputationtooltip_Addict                        นักโทษรายนี้มีโอกาสที่จะเกิดอาการเสพติดเมื่อรู้สึกถูกกัดดันและถูกละเลย
reputationtooltip_Claustrophobic                ความต้องการในการหนีจากสิ่งรอบตัวของนักโทษคนนี้จะสูงขึ้นเมื่อรู้สึกถูกกัดดันและถูกละเลย
reputationtooltip_ExtremelyStoical              นักโทษรายนี้ไม่รู้สึกกำราบเมื่อถูกขังเดี่ยวหรือต้องเจอกับผู้คุม พวกเขาไม่สนใจอะไรทั้งนั้น
reputationtooltip_ExtremelyVolatile             จับตาดูเขาให้ดีๆ เรื่องเล็กๆ น้อยๆ ก็ทำให้พวกเขาโกรธและทำให้สถานการณ์แย่ลงอย่างรวดเร็วได้
reputationtooltip_Psychopathic                  นักโทษรายนี้อันตรายและคาดเดาไม่ได้ยิ่งกว่าอาชญากรวิกลจริต
reputationtooltip_Insane                        อย่าลืมที่จะทำให้นักโทษรายนี้ได้รับการบำบัดทางจิตกับจิตแพทย์ และอยู่ในห้องขังกันกระแทกเพื่อช่วยพวกเขาใจเย็นลง

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						อาชญากรวิกลจริต
report_intake_list_tooltip_insane				อาชญากรวิกลจริตช่วยเหลือนักโทษที่รู้สึกว่าตัวเองโดนกดดันอยู่ตลอดๆ จำเป็นต้องมีห้องขังกันกระแทกใหม่ และการช่วยเหลือจากจิตแพทย์เพื่อลดความต้องการทางด้านความเป็นส่วนตัว ความสะดวกสบาย และอิสระ ก่อนที่พวกเขาจะสติแตก\n\nคุณไม่สามารถขออาชญากรวิกลจริตได้จนกว่าจะมีห้องขังกันกระแทกหรือห้องขังชั่วคราวกันกระแทกพร้อมใช้งาน\n\nห้องขังทั่วไปสามารถเปลี่ยนเป็นห้องขังกันกระแทกได้ผ่านเมนูห้อง
report_intake_insane_intake_empty				ไม่สามารถรับอาชญากรวิกลจริตได้ในครั้งนี้\nคุณจำเป็นต้องสร้างห้องขังกันกระแทกหรือห้องขังชั่วคราวกันกระแทก\nห้องขังทั่วไปสามารถเปลี่ยนเป็นห้องขังกันกระแทกได้ผ่านเมนูห้อง
report_staff_group_prisoners_insane				อาชญากรวิกลจริต
report_Criminally_Insane						อาชญากรวิกลจริต
report_Pyschopathic								อาการทางจิต

report_intake_enable_insane					เปิดใช้งาน
report_intake_psychward_title					Psych Ward: Warden’s Edition
report_intake_psychward_tooltip					เปิดการใช้งานเกมเพลย์ Psych Ward: Warden’ Edition สำหรับเรือนจำนี้\n\nทำให้คุณสามารถรับอาชญากรวิกลจริตได้ แต่ก่อนอื่นคุณอาจจะอยากเตรียมเรือนจำให้พร้อมก่อน\n\nจิตแพทย์และเจ้าหน้าที่ตามลำดับสมาชิกสามารถทำการวิจัยและจ้างได้ สามารถสร้างห้องขังกันกระแทกหรือห้องขังชั่วคราวกันกระแทกได้\n\nทั้งจิตแพทย์และห้องขังกันกระแทกจะช่วยให้อาชญากรวิกลจริตใจเย็นลงและควบคุมได้ 

reformerror_no_psychiatrist					ไม่มีจิตแพทย์
reform_completion_psychiatrist              - จบหลักสูตร *X คน - รักษาแล้ว *Y คน (*P%)
report_staff_group_orderlies				เจ้าหน้าที่คอยช่วยเหลือ

# =============================================================================
# Research
# =============================================================================
research_Orderly							เจ้าหน้าที่คอยช่วยเหลือ
research_Psychiatrist							จิตแพทย์
                     
