
campaigncutscene_tooltip 				(คลิกเพื่อดำเนินเนื้อเรื่องในบทถัดไป)
cutscene_food_feud1                     เป็นไงมั่ง สบายดีนะ
cutscene_food_feud2                     หยุดพล่ามเสียที ให้ตายเถอะ ชั้นไม่รู้ว่าน้องสาวชั้นเห็นดีเห็นงามอะไรในตัวแก
cutscene_food_feud2b 					นี่เป็นแผนของเธอใช่มั้ย? พวกแกคิดจะฆ่าพ่อใช่มั้ย?
cutscene_food_feud3                     นี่แกคิดได้แค่นี้เหรอไอ้หมูตอน? ชั้นไม่ได้ตั้งใจให้เขาบาดเจ็บ ชั้นรักเขาเหมือนกับพ่อแท้ๆ ของชั้นเอง
cutscene_food_feud3b 					ชั้นเบื่อเต็มทีกับการที่ต้องเห็นไอ้โง่อย่างแกทำลายตระกูลของเราไปเรื่อยๆ
cutscene_food_feud4                     ชั้นตั้งใจวางเพลิงฆ่าแกนั่นแหละ
cutscene_food_feud5                     อ๋อ งั้นเรอะ ถ้างั้นชั้นขอตอบแทนหน่อยก็แล้วกัน
cutscene_food_feud6                     ไม่ต้องมาทำเป็นใจดีหรอก เราสองคนก็รู้อยู่แก่ใจ ยังไงแกก็คิดจะกำจัดชั้นอยู่แล้ว
cutscene_food_feud7                     นั่นสินะนิโค่ แกเองก็ไม่ใช่คนโง่ สารรูปดูไม่จืดเลยนะ แต่อย่ากลัวไปเลย เดี๋ยวแกก็จะไม่เจ็บอีกต่อไปแล้ว
cutscene_food_feud8                     ชั้นเคยบอกแล้วใช่มั้ยว่าให้ระวังตัว
cutscene_food_feud8b                    อือออออ!!!!!.....
cutscene_food_feud8c                    อ้าาาาาาาากกกก!!!!
cutscene_food_feud8d                    ขอแนะนำให้รู้จักแฟรงกี้  เขามีพรสวรรค์ในการใช้สายเปียโนมากเลย
cutscene_food_feud8e                    รับรองว่าเมื่อจบงานนี้แล้ว พวกตำรวจคงคิดว่าเป็นการฆ่าตัวตายแน่ๆ
cutscene_food_feud9                     เรื่องนี้ยังไม่จบง่ายๆ หรอก นิโค่
cutscene_food_feud9b                    ล้อเล่นน่า

cutscene_food_successionintro			เยี่ยมมาก ตอนนี้ทุกอย่างดูดีขึ้นมากเลยทีเดียว และผมคิดว่าเรากลับมาควบคุมสถานการณ์ในเรือนจำได้แล้ว
cutscene_food_successionintro2 			คุณสามารถอยู่ปรับปรุงเรือนจำแห่งนี้ต่อ หรือไปยังเรือนจำแห่งต่อไปก็ได้
cutscene_food_successionintro3 			เมื่อคุณพร้อมไปต่อ ให้คลิกที่รูปโพลารอยด์ของศูนย์พยาบาล

objective_food_runending 				เมื่อคุณพร้อมแล้ว คลิกที่รูปโพลารอยด์ในศูนย์พยาบาลเพื่อดำเนินเนื้อเรื่องต่อ
objective_food_runending_description	ศูนย์พยาบาลจะอยู่ทางตะวันตกเฉียงใต้ของเรือนจำ

cutscene_food_succession1				วิทาเลีย!
cutscene_food_succession1b				...?
cutscene_food_succession2				ที่รัก!
cutscene_food_succession3				ผมขอโทษ ผมทำพลาด
cutscene_food_succession4				เงียบๆ ก่อน
cutscene_food_succession5				พวกนั้นบอกว่าดอนคงอยู่ได้อีกไม่ถึงสัปดาห์
cutscene_food_succession6				ฉันรู้ ฉันแค่มาบอกลา
cutscene_food_succession7				เธอก็รู้ เราจะเลิกทุกอย่างตอนนี้เลยก็ได้ แล้วเราก็จะอยู่ด้วยกันสองคน พอกันทีกับชีวิตบ้าๆ นี่ มันทำทุกอย่างพังหมด
cutscene_food_succession8				ชั้นก็อยากทำอย่างนั้น
cutscene_food_succession9				แต่ชั้นทำไม่ได้ นิโค่ ชั้นก็เป็นปาแลร์โมคนนึง
cutscene_food_succession10				และในเมื่อตอนนี้พ่อก็ไม่อยู่แล้ว แถมเธอก็เป็นคนนอกในคุกนี่ ศัตรูจะต้องเหยียบย่ำครอบครัวของเราแน่นอน
cutscene_food_succession11 				ชั้นยอมไม่ได้ ชั้นจะต้องแสดงให้พวกมันเห็นว่าปาแลร์โมยังครองบัลลังก์อยู่
cutscene_food_succession12				หา แสดงว่าเธอจะมาเก็บชั้นเหรอ? แล้วที่ผ่านมาคืออะไร?
cutscene_food_succession13				โธ่เอ๊ย นิโค่ เธอนี่ช่างหัวโบราณจริงๆ
cutscene_food_succession14 				ไม่หรอก ที่รัก ชั้นแค่ขอหย่ากับคุณก็พอ
cutscene_food_succession15				อะไรนะ? ล้อเล่นใช่มั้ย? ถ้าไม่มีครอบครัวหนุนหลังผมตายแน่
cutscene_food_succession16				ชั้นรู้ ที่รัก แต่นั่นไม่ใช่ปัญหาของชั้นอีกแล้ว
cutscene_food_succession17				ขอให้ไปสู่สุขคตินะคะพ่อ
cutscene_food_succession18				ลาก่อน นิโค่


# =============================================================================
# Riot
# =============================================================================

campaignchapter_riot                    เกมไร้ปรานี
campaignchapter_riot_description		มีเหตุจลาจลเกิดขึ้นในเรือนจำอัลเคมิโค่ สเตต รีบไปควบคุมสถานการณ์ให้เรียบร้อย

campaigncutscene_riotintro              ข่าวด่วน

adviser_riot_newsintro_01				ข่าวด่วน!
adviser_riot_newsintro_02				เกิดเหตุจลาจลขึ้นในเรือนจำอัลเคมิโค่ สเตต เจ้าหน้าที่และหน่วยรักษาความปลอดภัยได้ถอนกำลังออกมารอบนอกเรือนจำเพื่อรอความช่วยเหลือจากกองทัพ
adviser_riot_newsintro_1				บุคลากรจำนวนหนึ่งยังคงสูญหาย รวมถึงซีอีโอของบริษัท ชาร์ลส วอลเลส
adviser_riot_newsintro_2				การจลาจลครั้งนี้เกิดขึ้นหลังจากการจับกุมตัวผู้พิพากษาระดับสูงจำนวนมาก ...
adviser_riot_newsintro_3				... ซึ่งมีความผิดฐานรับเงินสินบนเพื่อตัดสินโทษจำคุกให้รุนแรงขึ้น
adviser_riot_newsintro_4				ซ้ำร้ายไปกว่านี้ แหล่งข่าวยังแจ้งว่ามีเหตุฆาตกรรมนักโทษมีชื่อเสียงเกิดขึ้นหลายครั้ง นับเป็นเรื่องที่สะเทือนวงการอาชญากรรมเป็นอย่างมาก ...
adviser_riot_newsintro_5				... ซึ่งรวมถึงการลอบสังหารหัวหน้าแก๊งมาเฟีย วิกเตอร์ ปาแลร์โม เมื่อเดือนที่ผ่านมา
adviser_riot_newsintro_6				เราได้มอบหมายหน้าที่ควบคุมสถานการณ์ในครั้งนี้ให้กับรองซีอีโอคนใหม่ที่ปฏิบัติหน้าที่แทนชาร์ลส วอลเลส ซึ่งเขายังไม่ค่อยมีประสบการณ์มากนัก
adviser_riot_newsintro_7				เรายังต้องคอยดูกันต่อไปว่าประสบการณ์อันน้อยนิดของเขาจะส่งผลกระทบร้ายแรงในช่วงเวลาวิกฤตนี้หรือไม่
adviser_riot_newsintro_8                เราคาดว่าดักลาส เบเนดิกต์ ผู้ต้องโทษจำคุกตลอดชีวิต น่าจะเป็นผู้นำการก่อความรุนแรงในครั้งนี้

adviser_riot_newsintroheller_1 			นายกเทศมนตรีคาลวิน เฮลเลอร์ เพิ่งออกแถลงการณ์เมื่อครู่นี้
adviser_riot_newsintroheller_2 			ถึงผู้ที่สงสัยนโยบายการลงโทษอันเข้มงวดของเรา เหตุร้ายในครั้งนี้คงเป็นเครื่องเตือนสติพวกคุณได้เป็นอย่างดี
adviser_riot_newsintroheller_3 			เราได้เตรียมที่พักอาศัยและอาหารให้กับพวกเขา อีกทั้งยังมีโอกาสหารายได้จากการทำงาน
adviser_riot_newsintroheller_4 			นี่คือสิ่งที่เขาตอบแทนพวกเราผู้เสียภาษีที่มอบความสะดวกสบายให้พวกเขา

campaigncutscene_riothostages			ตัวประกัน
adviser_name_riotceo					ซีอีโอ
adviser_name_riotbenedict 				เบเนดิกต์

adviser_riot_hostages1					ฟังให้ดี เราจับตัวซีอีโอของพวกแกไว้
adviser_riot_hostages1b 				โอยย.... ...
adviser_riot_hostages2 					กติกาของเราง่ายนิดเดียว ชั้นขออะไร พวกแกก็ให้มาตามนั้น
adviser_riot_hostages3					ถ้ายึกยักเรื่องมาก ส่งคนเข้ามา หรือถ้าชั้นได้กลิ่นตำรวจแม้แต่นิดเดียว ชั้นจะยิงเจ้านี่ทิ้งซะ
adviser_riot_hostages4 					เราต้องการรถที่ไม่มีการทำเครื่องหมาย ติดฟิล์มกระจกดำสนิท เติมน้ำมันเต็มถัง ภายใน 1 ชั่วโมง แค่นี้ก่อน แล้วจะติดต่อไปใหม่
adviser_riot_hostages5 					เอาล่ะ เราคุยถึงไหนกันแล้วนะ
adviser_riot_hostages5b					แกเข้าไปทำอะไรในออฟฟิศ?
adviser_riot_hostages6					ชั้นสาบานได้ ชั้นไม่รู้อะไรจริงๆ
adviser_riot_hostages7					ชั้นส่องกระจกดูตัวเองมามากพอจนรู้แล้วว่าคนชั่วน่ะมันเป็นยังไง
adviser_riot_hostages8					แกกำลังปิดบังอะไรอยู่?
adviser_riot_hostages9					คนอย่างชั้นอยู่ในนี้มันก็สมควรแล้ว แต่เด็กพวกนี้...ให้อยู่ไปมันจะมีประโยชน์อะไร ทำไมเด็กนั่นถึงโดนเพิ่มโทษให้อยู่นานขึ้น?
adviser_riot_hostages10					อย่าโกหก บอกความจริงมาซะ แกจะได้ไม่ต้องตาย

adviser_riot_hostageheller1 			นี่มันแย่สุดๆ เลย เราต้องเห็นภาพในโรงอาหาร จะได้รู้ว่าเกิดอะไรขึ้น
adviser_riot_hostageheller2 			มีห้องหน่วยรักษาความปลอดภัยเล็กๆ อยู่ทางเหนือของโรงอาหาร เราจะต้องยึดห้องนั้นไว้ให้ได้
adviser_riot_hostageheller3 			ให้ผู้คุมเข้าไปที่นั่นแล้วควบคุมคอนโซลกล้องวงจรปิด เพื่อที่เราจะได้เห็นทุกอย่างในห้องขัง

objective_Riot_MaxSecCameras			ยึดห้องของหน่วยรักษาความปลอดภัยกลับคืนมา

campaigncutscene_riotroulette			รูเล็ต

adviser_riot_rouletteintro1             เราส่งผู้คุมเข้าไปในห้องหน่วยรักษาความปลอดภัยแล้ว เพื่อที่จะได้เห็นภาพถ่ายทอดสดจากระบบกล้องวงจรปิด
adviser_riot_rouletteintro2             เรามาดูสถานการณ์ของตัวประกันดีกว่า
adviser_riot_click 						<คลิก>
adviser_riot_roulette1					โอกาสสุดท้ายที่จะได้ออกไปจากที่นี่แล้วนะ ท่านประธาน เคยเล่นรัสเซียนรูเล็ตรึเปล่า?
adviser_riot_roulette2 					กระสุนสองนัด ช่องว่างสี่ช่อง
adviser_riot_roulette2b 				ชั้นเคยเล่นกับพวกกระต่าย เราเป่าหัวพวกมันกระจุยเลย
adviser_riot_roulette3 					เดี๋ยวแกก็จะเป็นอย่างนั้น
adviser_riot_roulette4 					เรามาเริ่มจากคำถามง่ายๆ กันก่อน แกเข้าไปทำอะไรในออฟฟิศ
adviser_riot_roulette5 					ชั้นสาบานได้ ชั้นไม่รู้อะไรจริงๆ
adviser_riot_roulette5b 				จริงๆ นะ
adviser_riot_roulette6 					ก็ได้ ใครจะไปเป็นคนแรก แก? ชั้น?  หรือเจ้านี่?
adviser_riot_roulette7					ไปแล้วหนึ่ง เหมือนกระต่ายพวกนั้นเป๊ะ
adviser_riot_roulette8 					แฟ้มพวกนั้นมีอะไร?
adviser_riot_roulette9 					ชั้นสาบานได้! ชั้นไม่รู้...
adviser_riot_roulette10 				โชคของแกหมดแล้ว ยังมีกระสุนเหลืออยู่ที่ไหนซักแห่ง และชั้นเห็นหมดแล้วว่าแกทำอะไรอยู่
adviser_riot_roulette11b 				ชั้นไม่อยากจะเชื่อสายตาตัวเองเลย
adviser_riot_roulette11c 				ท่านประธานคนใหญ่คนโตของบริษัท นั่งอยู่ในคุกของชั้น ดูสำนึกผิดอย่างน่าสมเพช
adviser_riot_roulette11d 				แฟ้มพวกนั้นมันคงสำคัญมากสินะ
adviser_riot_roulette11					ได้โปรด อย่าเลย ชั้นขอร้อง
adviser_riot_roulette11e 				แกไม่เหลืออะไรให้ต่อรองแล้ว
adviser_riot_roulette12 				เอางี้มั้ย ชั้นจะทำให้เรื่องง่ายขึ้นก็แล้วกัน
adviser_riot_roulette12b	 			เอาล่ะ พอกันทีกับเรื่องงี่เง่าพวกนี้
adviser_riot_roulette13 				ต่อไปก็ตาแกแล้ว ไอ้ชาติชั่ว  ยกเว้นว่า แกจะบอกสิ่งที่ชั้นอยากรู้มาเดี๋ยวนี้
adviser_riot_roulette14 				ชั้นบอกไม่ได้จริงๆ ได้โปรดเถอะ
adviser_riot_roulette15 				โอเค หยุดได้แล้ว ชั้นขอร้องล่ะ อย่ายิง ชั้นทำเพราะเงิน ทั้งหมดที่ชั้นทำไปก็เพราะเงินเท่านั้น
adviser_riot_roulette16 				แค่นั้นเหรอ?
adviser_riot_roulette17 				พวกแกเป็นสินค้าราคาแพงของเรา ยิ่งพวกแกอยู่ในนี้นานเท่าไหร่ เราก็ยิ่งทำกำไรได้มากขึ้น พวกเราแค่เปลี่ยนกฎเท่านั้นเอง
adviser_riot_roulette17b				แฟ้มนั่นเป็นหลักฐานสำคัญ
adviser_riot_roulette18 				แล้วพวกเรามีค่าแค่ไหน? พวกแกได้เงินเท่าไหร่จากการขังพวกเราไว้?
adviser_riot_roulette19 				ปีละเจ็ดหมื่นสามพันดอลลาร์
adviser_riot_roulette20					คนละตั้งเท่านี้เลยเรอะ? ไอ้ระยำเอ๊ย ได้เวลาใช้หนี้แล้ว

campaigncutscene_riotassault 			แหกคุก

adviser_riot_assault01					เอาล่ะ ได้เวลาจบเรื่องนี้ซักที
adviser_riot_assault02 					ทีมของเราประจำตำแหน่งครบทุกคนแล้ว
adviser_riot_assault03					ชั้นอยากได้รถแล้ว วอลเลสจะออกไปกับเราด้วย ถ้าเราเห็นคนตามมาแม้แต่นิดเดียว แกจะได้ตามเก็บซากมันตามทางหลวงแน่
adviser_riot_assault2 					เอาล่ะท่านประธาน แกจะต้องมากับเรา พวกมันคงไม่เสี่ยงทำอะไรโง่ๆ แน่นอน ถ้าแกยังโดนลูกซองจ่ออยู่
adviser_riot_assault3 					พวกเราคงไม่ได้ออกไปจากที่นี่หรอก พวกเขาไม่ได้อยากจะฆ่าแก
adviser_riot_assault4 					ว่าไงนะ?
adviser_riot_assault5					ชั้นทำเพื่อเงิน แต่เขาทำเพื่อผลประโยชน์ทางการเมือง ยิ่งโทษหนักเท่าไหร่ เขาก็จะได้คะแนนโหวตมากขึ้น
adviser_riot_assault6					แกพูดถึงใครอยู่?
adviser_riot_assault7					นายกเทศมนตรีเฮลเลอร์ ทั้งหมดเป็นแผนของเค้า ชั้นเป็นแค่น้ำมันที่หล่อลื่นเครื่องจักรเท่านั้น
adviser_riot_assault7b 					แฟ้มนั่นเป็นหลักฐานที่จะทำลายหน้าที่การงานของเค้าได้เลย
adviser_riot_assault8					ไอ้ชาติชั่วเอ๊ย
adviser_riot_assault9 					ใครน่ะ...
adviser_riot_assault9b					พวกมันมากันแล้ว เตรียมพร้อม!
adviser_riot_assault10					ชั้นเตือนพวกแกแล้วนะ!

# Riot Objectives and help text

adviser_name_negotiator 				นักเจรจา

adviser_riot_negotiator1 				ทุกอย่างวุ่นวายไปหมด ไม่มีใครรับผิดชอบพื้นที่นี้
adviser_riot_negotiator2 				มีผู้เสียชีวิตจำนวนมาก และผู้คุมที่เหลือก็ไม่กล้าเข้าไปในโซนห้องขัง  เราจำเป็นต้องถอยกำลังกลับมารอบนอก
adviser_riot_negotiator3 				หาวิธีหยุดเรื่องวุ่นวายนี้ก่อนที่จะควบคุมไม่อยู่
adviser_riot_negotiator4 				อีกสองสามนาทีตำรวจปราบจลาจลก็จะมาถึงแล้ว

adviser_riot_firstreinforcements1 		ทีมฉุกเฉินทีมแรกมาถึงแล้ว
adviser_riot_firstreinforcements2 	 	พวกเขาคือหน่วยปราบจลาจล คนพวกนี้มีชุดเกราะที่หนากว่าผู้คุมทั่วไปมากๆ ใช้พวกเขายึดพื้นที่เรือนจำที่ถูกชิงไปกลับคืนมา
adviser_riot_firstreinforcements3 		เรายังมีแพทย์ฉุกเฉินบางส่วนจากโรงพยาบาลประจำรัฐที่อยู่ใกล้เคียง
adviser_riot_firstreinforcements4 		ผมแนะนำให้คุณใช้แพทย์ฉุกเฉินเพื่อรักษาอาการบาดเจ็บของหน่วยปราบจลาจลขณะที่พวกเขาชิงเรือนจำคืน

objective_Riot_StopTheRiot 				หยุดการจลาจล
objective_Riot_StopTheRiot_description  ตอนนี้เราขาดคนบริหารงาน คุณจะต้องช่วยแก้ไขปัญหาให้เรา

adviser_riot_helleradvice1				ผมกำลังพูดกับซีอีโอผู้รักษาการณ์แทนอยู่ใช่มั้ยครับ
adviser_riot_helleradvice2 				ผมดีใจที่ในเวลายากลำบากเช่นนี้ พวกเราก็ยังระมัดระวังและใส่ใจกับรายละเอียดของงานอย่างถี่ถ้วน วางใจได้ ผมยินดีให้คุณใช้ทรัพยากรทั้งหมดที่มีอยู่ได้อย่างเต็มที่
adviser_riot_deployguards1				เราควบคุมสถานการณ์ได้บ้าง และยึดเรือนจำบางส่วนกลับคืนมาได้แล้ว ระดับการสูญเสียชีวิตในขณะนี้ก็ถือว่ายังอยู่ในระดับที่สมเหตุสมผล
adviser_riot_deployguards2				แต่ก่อนที่คุณจะเดินหน้าต่อและยึดเรือนจำส่วนที่เหลือคืน คุณควรรักษาความปลอดภัยในบริเวณที่ยึดคืนมาได้
adviser_riot_deployguards3				จ้างผู้คุมมาส่วนหนึ่ง แล้วกำหนดให้พวกเขาประจำในบริเวณที่ยึดคืนมาได้ โดยใช้หน้าจอกระจายกำลัง พวกเขาจะช่วยรับรองว่าบริเวณที่ยึดคืนมาแล้วนั้น จะยังเป็นของเราต่อไป
adviser_riot_deployguards4 				เมื่อคุณจัดการเรียบร้อยแล้ว ให้บุกเข้าไปในบริเวณที่เหลือและปราบเจ้าปีศาจพวกนี้ให้อยู่หมัด คนพวกนี้ไม่สามารถบำบัดได้ และก็ไม่สามารถต่อรองอะไรได้อีกแล้ว
adviser_riot_deployguards5 				ผมกำลังทำเรื่องอนุมัติหน่วยฉุกเฉินติดอาวุธที่จะช่วยจบเรื่องนี้ได้อย่างรวดเร็ว

adviser_riot_infirmary1 				คุณมีคนบาดเจ็บอยู่เต็มคุก และแน่นอนว่าจำนวนคนเจ็บจะต้องเพิ่มขึ้นเรื่อยๆ คุณจะปล่อยให้พวกเขานอนรอความตายไม่ได้
adviser_riot_infirmary2 				สร้างศูนย์พยาบาลขึ้นซักแห่งในเรือนจำ แล้วจ้างแพทย์มารักษาคนเจ็บ
adviser_riot_infirmary3 				นอกจากนี้เรายังมีผู้เสียชีวิตอีกเล็กน้อย  เพื่อศักดิ์ศรีของพวกเขา เราจำเป็นต้องสร้างห้องดับจิตและเริ่มเก็บศพของพวกเขา
adviser_riot_infirmary4					คุณจะต้องจ้างคนงานมารับผิดชอบงานก่อสร้าง อย่าลืมดูแลความปลอดภัยให้พวกเขาด้วย

objective_Riot_ResecureWings 			จ้างผู้คุมและให้พวกเขาประจำตำแหน่งในบริเวณที่ยึดคืนมาได้
objective_riot_medicalneeds				(เพิ่มเติม) ดูแลความต้องการด้านการแพทย์ในเรือนจำของคุณ
objective_Riot_Infirmary				(เพิ่มเติม) สร้างศูนย์พยาบาลและดูแลผู้บาดเจ็บ
objective_Riot_Morgue 					(เพิ่มเติม) สร้างห้องดับจิตและเก็บศพผู้ตาย
objective_Riot_SecureGenPop				ยึดแดนสำหรับนักโทษทั่วไป (กึ่งกลาง) กลับคืนมา
objective_Riot_SecureSpecialWing		ยึดแดนสำหรับนักโทษพิเศษ (ทิศตะวันตก) กลับคืนมา
objective_Riot_SecureMaxSec				ยึดแดนเรือนจำความมั่นคงสูงสุด (ทิศใต้) กลับคืนมา
objective_riot_putoutfires				ควบคุมเพลิงไหม้

adviser_riot_secondreinforcements1		หน่วยปราบจลาจลเพิ่มเติมมาถึงแล้ว

adviser_riot_armedreinforcements1		นายกเทศมนตรีได้นำกำลังตำรวจติดอาวุธมาจากสถานีตำรวจใกล้เคียง
adviser_riot_armedreinforcements2		ระวังคนพวกนี้ให้ดี เรื่องราวอาจจบลงด้วยการนองเลือด ถ้าคุณปล่อยพวกเขาเป็นอิสระมากเกินไป
adviser_riot_armedreinforcements3		หรือไม่อย่างนั้น นักโทษอาจเลือกยอมแพ้เมื่อเห็นคนพวกนี้บุกเข้ามา

adviser_riot_reinforcementsunlocked1 	กำลังเสริมชุดหลักมาถึงแล้ว
adviser_riot_reinforcementsunlocked2 	คุณสามารถเรียกตำรวจปราบจลาจลและแพทย์ฉุกเฉินได้มากเท่าที่ต้องการจากแถบเครื่องมือ "ฉุกเฉิน"

adviser_riot_cleanup1                   เรือนจำกลับมาสู่ภาวะปกติ เราสามารถควบคุมตัวผู้ก่อจลาจลได้แล้ว โชคดีที่เราเสียหายเพียงเท่านี้ จริงๆ สถานการณ์อาจลงเอยแย่กว่านี้มากๆ ก็เป็นได้
adviser_riot_cleanup2                   เรามีเรื่องต้องสะสางกันยกใหญ่เลยทีเดียว ผมจะยินดีมาก ถ้าคุณจะช่วยเหลือเราเมื่อมีเวลา
adviser_riot_cleanup2b 					เราไม่มีผู้รับเหมาก่อสร้างประจำอยู่ในเรือนจำ ดังนั้นขั้นแรกให้ลองจ้างคนงานชุดใหม่มาช่วยซ่อมแซมอาคารก่อน
adviser_riot_cleanup3                   ผมคิดมาตลอดว่าหน่วยรักษาความปลอดภัยของที่นี่หละหลวมเกินไป นักโทษพวกนี้มีอิสระมากเกินไปแล้ว ซึ่งมันจะจบลงวันนี้แหละ
adviser_riot_cleanup4                   ผมต้องการให้คุณสร้างคลังอาวุธแห่งใหม่ จากนั้นกำหนดให้ผู้คุมติดอาวุธประจำในตำแหน่งสำคัญรอบๆ เรือนจำ บรรยากาศเช่นนี้จะทำให้นักโทษสงบลง และคิดให้รอบคอบก่อนจะสร้างปัญหาใหญ่เช่นนี้อีกครั้ง
adviser_riot_cleanup5                   นอกจากนี้ผมยังสนับสนุนเงินทุนค่าชุดเกราะให้กับผู้คุมทุกคนในเรือนจำ คนของเราจำเป็นต้องป้องกันตนเองได้
adviser_riot_cleanup6                   นักโทษเหล่านี้จะต้องมีวินัย เราจะต้องจัดระเบียบให้ชีวิตของพวกเขา ผมขอแนะนำว่า ให้พวกเขาทำความสะอาดเรือนจำเพื่อชดเชยกับความวุ่นวายที่พวกเขาก่อไว้
adviser_riot_cleanup7                   เรามาเริ่มโครงการแรงงานสำหรับนักโทษ เพื่อให้พวกเขาทำความสะอาดเรือนจำและซักรีดเสื้อผ้า
adviser_riot_cleanup7b                  คุณสามารถมอบหมายงานให้กับนักโทษได้จากแถบเครื่องมือ ในหัวข้อ "โลจิสติกส์" เน้นที่เป้าหมายภารกิจเพื่อรับทราบรายละเอียดวิธีดำเนินการเพิ่มเติม
adviser_riot_cleanup8                   เรายังมีงานให้คุณทำเพิ่มเติมอีกเล็กน้อย เราจำเป็นต้องสอนนักโทษให้พวกสำนึกในความผิดที่ได้ก่อไว้ สร้างแดนห้องขังเดี่ยวแห่งใหม่
adviser_riot_cleanup8b                  ผู้คุมของเราจะดูแลการเคลื่อนย้ายนักโทษไปยังห้องขังเดี่ยวตามที่จำเป็น ห้องขังเดี่ยวช่วยให้นักโทษได้มีเวลาสำนึกในสิ่งที่ทำลงไป และสั่งสอนให้เรียนรู้ถึงลำดับการปกครองของที่นี่
adviser_riot_cleanup9                   อย่าลืมเจ้าหน้าที่ที่ร่วมลำบากมากับเรา พวกเขาเหนื่อยมาก
adviser_riot_cleanup9b 					สร้างห้องพักเจ้าหน้าที่ไว้ที่ใดก็ได้ เพื่อให้เจ้าหน้าที่พักผ่อน
adviser_riot_cleanup10                  ประการสุดท้าย เราจะต้องคุมงานทั้งหมดนี้ไม่ให้เกินงบประมาณ ให้แน่ใจว่ายอดดุลบัญชีธนาคารและกระแสเงินสดของเราไม่ติดลบ
adviser_riot_cleanup10b 				แรงงานจากนักโทษนั้นถูกกว่าการจ้างคนทำความสะอาด ดูแลความเรียบร้อย และการซักรีด อยู่พอสมควร
adviser_riot_cleanup11                  มีงานมากมายที่ต้องทำให้เรียบร้อย เราขอบคุณจริงๆ ที่กรุณาให้ความช่วยเหลือ
adviser_riot_cleanup12                  เมื่อคุณคิดว่าได้ทำงานต่างๆ มากพอแล้ว และพร้อมจะไปต่อ ให้คลิกที่ภาพโพลารอยด์ตรงประตูด้านหน้า

adviser_riot_cleanup13 					เยี่ยมมาก ผมคิดว่าความปลอดภัยของที่นี่พัฒนาขึ้นมาก

objective_riot_solitary 				(เพิ่มเติม) สร้างแดนห้องขังเดี่ยวและเริ่มลงโทษผู้ที่ก่อจลาจล
objective_riot_armoury 					(เพิ่มเติม) ดำเนินมาตรการรักษาความปลอดภัยขึ้นใหม่
objective_riot_armoury_research			ปลดล็อคห้องเก็บอาวุธจากแผนการบริหาร
objective_riot_armoury_build 			สร้างห้องเก็บอาวุธ (ในบริเวณที่ปลอดภัย)
objective_riot_armoury_deploy			กำหนดตำแหน่งผู้คุมติดอาวุธให้ประจำการรอบๆ เรือนจำ
objective_riot_armoury_armour 			ปลดล็อคชุดเกราะลำตัวสำหรับเจ้าหน้าที่รักษาความปลอดภัยทุกคน
objective_riot_armoury_tazers 			ปลดล็อคเครื่องช็อตไฟฟ้าสำหรับผู้คุมติดอาวุธ
objective_riot_staffroom 				(เพิ่มเติม) สร้างห้องพักเจ้าหน้าที่ให้กับผู้ที่เหนื่อย
objective_riot_balancebooks 			(เพิ่มเติม) รักษายอดดุลบัญชีเงินสดของคุณ
objective_riot_balancebooks_balance 	ยอดเงินธนาคารเป็นบวก
objective_riot_balancebooks_cashflow 	กระแสเงินสดเป็นบวก
objective_riot_prisonerwork				(เพิ่มเติม) เริ่มโครงการแรงงานสำหรับนักโทษเพื่อการลงโทษ

objective_riot_cleaningcupboard			สร้างห้องเก็บอุปกรณ์ทำความสะอาด
objective_riot_laundry					สร้างห้องซักรีด
objective_riot_inmatesincleaning 		มอบหมายนักโทษให้ทำงานในห้องเก็บอุปกรณ์ทำความสะอาด
objective_riot_inmatesinlaundry			มอบหมายนักโทษให้ทำงานในห้องซักรีด
objective_riot_cleanprison 				ทำความสะอาดเรือนจำ
objective_riot_providelaundry			เตรียมเสื้อผ้าที่สะอาด

objective_riot_armoury_research_description		ไอคอนแผนการบริหารจะอยู่เหนือรายการสิ่งที่ต้องทำ คลิกเพื่อเริ่มงานเกี่ยวกับ "ห้องเก็บอาวุธ" จากนั้นสารวัตรของคุณจะเริ่มทำเอกสารที่จำเป็นให้
objective_riot_armoury_deploy_description       กำหนดตำแหน่งผู้คุมติดอาวุธโดยไปที่ "กระจายกำลัง" จากนั้นเลือก "การลาดตระเวนของผู้คุมติดอาวุธ" คลิกและลากเพื่อวาดเส้นทางการลาดตระเวนที่คุณต้องการ จากนั้นคลิกที่เส้นทางลาดตระเวนนั้นเพื่อมอบหมายให้กับผู้คุมติดอาวุธ
objective_riot_armoury_guardtazers_description  ดูในส่วนของ "รายงาน" / "โครงการ" - คุณจะเห็น "การฝึกอบรมเครื่องช็อตไฟฟ้าสำหรับผู้คุม"\n\nผู้คุมของคุณจำเป็นต้องเข้ารับการฝึกก่อนจึงจะสามารถใช้เครื่องช็อตไฟฟ้าได้ คุณจำเป็นต้องสร้างห้องเรียนเพื่อดำเนินการฝึกนี้
