# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
interfaceLogistics_MaxSecGrading	Grau de Seg. Máx.
interfaceLogistics_SuperMaxGrading	Grau Ultramáx.

sectorGrading_title	*X Setor
sectorGrading_housed	*X detentos são alojados em *Y
sectorGrading_desiresTransfer	*X *Y detentos esperam ser remanejados para *Z

sectorGrading_description	Um resumo do grau desse setor está disponível abaixo. Quanto mais privilégios acrescentados, maior o grau. O grau máximo é 250.
sectorGrading_encouragement	Quanto maior a diferença de grau entre *X e este setor, mais *X prisioneiros serão incentivados a se reintegrar e manter bom comportamento, em busca de uma chance de serem transferidos para o setor de segurança mais baixa.
sectorGrading_discouragement	Também é possível diminuir o grau de *X removendo privilégios e conforto para criar um efeito semelhante, mas você correria o risco de revoltar os detentos.

sectorGrading_transferNote	(NOTA: Prisioneiros motivados por transferência SÓ serão ativados com o DLC “Cleared For Transfer" instalado e a opção “Transferências de Prisioneiros" marcada no menu de configurações do mapa.).

sectorGrading_privilegesTitle	Privilégios de detentos
sectorGrading_visitation	[+*X] Visitação
sectorGrading_mail	[+*X] Correspondência
sectorGrading_work	[+*X] Acesso ao trabalho (dinheiro)
sectorGrading_education	[+*X] Acesso a programas / educação
sectorGrading_meals	[+*X] +2 refeições por dia
sectorGrading_freeTime	[+*X] Tempo livre amplo (20%)
sectorGrading_extraFreeTime	[+*X] Tempo livre extra (30%)
sectorGrading_yard	[+*X] Acesso ao pátio
sectorGrading_gym	[+*X] Acesso à academia
sectorGrading_shop	[+*X] Acesso à loja
sectorGrading_commonRoom	[+*X] Acesso à área comum
sectorGrading_showers	[+*X] Chuveiros quentes
sectorGrading_sleep	[+*X] sono de 10 horas ou mais

sectorGrading_facilitiesTitle	Instalações
sectorGrading_room	[*X/*Y] *R Qualidade (reg.)

sectorGrading_conditionsTitle	Condições
sectorGrading_suppresion	[*X/15] *Y Repressão
sectorGrading_risk	[*X/20] *Y Risco (mortes e ferimentos)
sectorGrading_cleanliness	[*X/15] *Y Limpeza

sectorGrading_grade	Grau *X/250
dialog_veryLow	Muito baixo

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	Diversos

report_needs_staffBreaks	Essa é a porcentagem máxima de empregados de todos os tipos que podem estar de folga ao mesmo tempo.
reports_privilegetitle	Política de Privilégios
reports_misconducttitle	Política de Má Conduta
reports_paroletitle	Política de Seleção de Liberdade Condicional
reports_parole_info	Ajustar Seleção:
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	Privilégios
reports_policy_Visitation	Visitação
reports_policy_Mail	Correspondência
reports_policy_PrisonLabour	Trabalho prisional
reports_policy_All	Todos
reports_policy_Programs	Programas
reports_policy_WorkPrograms	Trabalho
reports_policy_EducationPrograms	Educação
reports_policy_WellnessPrograms	Bem-estar

reports_policy_defaults	Recomendado:
reports_policy_tooltip_recomended	Define *X para os valores recomendados em todos os níveis de segurança.
reports_policy_tooltip_all	Seleciona/desmarca todos os níveis de segurança nas prisões

reports_privilegesPolicy_tooltip_all	Altera todos os programas, exceto audiências de condicional, apelos do corredor da morte e consultas psiquiátricas.
reports_privilegesPolicy_tooltip	Escolha quais setores de segurança podem participar desses programas:
reports_privilegesPolicy_tooltip_EducationPrograms	\nEducação básica \nEducação geral
reports_privilegesPolicy_tooltip_WellnessPrograms	\nTerapia Comportamental \nTerapia em Grupo para Alcoólatras \nOrientação Espiritual
reports_privilegesPolicy_tooltip_WorkPrograms	\nHigiene e Segurança da Cozinha \nIndução de Segurança para Oficinas \nAprendizagem de Carpintaria

report_policy_categoryTooltip_Minsec	Segurança Mínima
report_policy_categoryTooltip_Normal	Segurança Média
report_policy_categoryTooltip_MaxSec	Segurança Máxima
report_policy_categoryTooltip_Protected	Prisão Preventiva
report_policy_categoryTooltip_SuperMax	Ultramáx.
report_policy_categoryTooltip_DeathRow	Corredor da Morte
report_policy_categoryTooltip_Insane	Criminosos psicóticos

report_policy_misconductConflict_tooltip	Vários tipos de segurança são selecionados com diferentes políticas de valores. Selecione categorias de prisioneiros individuais para ver os seus procedimentos de má conduta.

report_policy_match	Combina com:

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	Atribuir Cozinheiros
interfacedeployment_Doctor	Atribuir Médicos

buildtoolbar_deployment_Chef	Atribuir Cozinheiros a setores dentro de sua prisão.
buildtoolbar_deployment_Doctor	Atribuir Médicos a setores dentro de sua prisão.
buildtoolbar_deployment_PrioritizeJanitor	Use esta opção para que os Faxineiros priorizem a execução de seus trabalhos em áreas específicas, antes de outros profissionais em sua prisão. Se você estiver com uma equipe pequena, os Faxineiros vão tentar dar conta de suas áreas prioritárias primeiro. Atribua 1, 2 ou 3 Faxineiros para priorizar uma área.
buildtoolbar_deployment_PrioritizeGardener	Use esta opção para que os Jardineiros priorizem a execução de seus trabalhos em áreas específicas, antes de outros profissionais em sua prisão. Se você estiver com uma equipe pequena, os Jardineiros vão tentar dar conta de suas áreas prioritárias primeiro. Atribua 1, 2 ou 3 Jardineiros para priorizar uma área.

researchtooltip_deployment2	Você pode atribuir especificamente esses membros da equipe para os setores da prisão através do menu de Alocação.
researchtooltip_prioritize	Você pode priorizar especificamente esses membros da equipe para os setores da prisão através do menu de Alocação.

interfacetopbar_tooltip_totalChefs	*X cozinheiros no total
interfacetopbar_tooltip_totalDoctors	*X médicos no total
interfacetopbar_tooltip_cook	Quantia de cozinheiros que você tem disponível para trabalhar em sua prisão.
interfacetopbar_tooltip_doctor	Quantia de médicos que você tem disponível para trabalhar em sua prisão.

interfacetopbar_tooltip_priorityStationed	*X trabalhos prioritários

interfacetopbar_tooltip_totalJanitors	*X faxineiros no total
interfacetopbar_tooltip_totalGardeners	*X jardineiros no total
interfacetopbar_tooltip_janitor	Quantia de faxineiros que você tem disponível para trabalhar em sua prisão.
interfacetopbar_tooltip_gardener	Quantia de jardineiros que você tem disponível para trabalhar em sua prisão.

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X Prisioneiros *W para transferir para *C:
reports_prisoners_transfer_ready	pronto
reports_prisoners_transfer_wanting	requerendo
reports_prisoners_transfer_button	APROVAR TODOS
reports_prsioners_transfer_numCells	(*X Celas disponíveis)

reports_transfers_offMessage	Transferências de prisioneiros podem ser ativadas através do menu de Configuração do mapa.
report_Transfer	Transferências

transfer_icon_tooltip	Use as opções abaixo para determinar os critérios a serem cumpridos por *X prisioneiros, de modo a serem transferidos para *Y. \nVocê pode usar a coluna Política de Critérios para dificultar a qualificação para transferência de detentos, além de outras opções para desqualificar imediatamente certos tipos de prisioneiros. \nNem todos os prisioneiros estão interessados em serem transferidos. Especialmente aqueles que têm penas curtas, estão planejando fugir por um túnel ou simplesmente não acreditam que as condições ou o conforto em um Setor de Segurança mais ameno são muito melhores.
transfer_tooltip_onOff	Desmarque ou marque para DESATIVAR/ATIVAR o(s) Setor(es) de Segurança selecionado(s).

transfer_description	Defina os critérios a serem cumpridos pelos prisioneiros para que possam ser transferidos para um setor de segurança mais ameno e confortável.
transfer_use	Critérios para transferência de *X para *Y
transfer_behaviourtitle	Bom comportamento
transfer_reformtile	Reforma
transfer_requiredtitle	Requer
transfer_qualifiedcaption	Total de prisioneiros que se qualificam agora
transfer_hopingcaption	Total de prisioneiros motivados a se qualificar
transfer_numPrisoners	*X Prisioneiros (*Y%)

transfer_title	Políticas de transferência
transfer_criteria	Critérios da Política
transfer_qualifying	Qualificar prisioneiros

transfer_behaviour_staffAssaults	Sem ataques a funcionários
transfer_behaviour_murders	Sem assassinatos
transfer_behaviour_murdersStuff	(funcionários e detentos)
transfer_behaviour_escapeAttempts	Sem tentativas de fuga
transfer_behaviour_contraband	Sem contrabando perigoso
transfer_behaviour_gangMembers	Membros de gangues são desclassificados
transfer_behaviour_previousCrimes	Desqualificadores de crimes cometidos no passado:

transfer_behaviour_tooltip_staffAssaults	Prisioneiros que se beneficiam de uma transferência não devem ter atacado nenhum empregado pelo número de dias especificado. Um maior número de dias desqualificará detentos consistentemente violentos.
transfer_behaviour_tooltip_murders	Prisioneiros que se beneficiam de uma transferência não devem ter assassinado nenhum empregado pelo número de dias especificado. Um maior número de dias desqualificará detentos consistentemente violentos.
transfer_behaviour_tooltip_escapeAttempts	Prisioneiros que se beneficiam de uma transferência não devem ter sido pegos tentando escapar pelo número de dias especificado.
transfer_behaviour_tooltip_contraband	Prisioneiros que se beneficiam de uma transferência não devem ter sido pegos com quaisquer armas ou ferramentas pelo número de dias especificado.
transfer_behaviour_tooltip_gangMembers	Escolha desqualificar para transferência TODOS os membros da gangue, ou apenas determinados postos dentro de uma gangue.
transfer_behaviour_tooltip_previousCrimes	Escolha desqualificar para transferência prisioneiros que têm certos crimes em seus históricos através das opções do grupo de crimes abaixo.

transfer_reform_tooltip_reoffending	Prisioneiros que se beneficiam de uma transferência não devem ter mais que uma probabilidade específica (%) de reincidência. Um número menor ajudará a garantir que você se comporte melhor e que os prisioneiros mais reformados se qualifiquem.
transfer_reform_tooltip_programsPassed	Prisioneiros que se beneficiam de uma transferência devem ter um passado por um determinado número de programas. Um número mais alto desqualificará presos que não têm demonstrado desejo de se reformar.

transfer_required_tooltip	Ajuste este valor para decidir se os prisioneiros devem atender a todos os seus critérios verificados para transferência ou a uma menor quantidade.

transfer_tooltip_uncheck	\nDesmarque para remover isto como critério de transferência.


transfer_reform_reoffending	(%) chance de reincidência estimada
transfer_reform_programsPassed	Programas cumpridos

transfer_required	Critérios acima a serem cumpridos

transfer_criteriaTime	por *X dia/s

gangNone	Nenhum
gang_transfer_None	Nenhum
gang_transfer_Soldier	Todos
gang_transfer_Lieutenant	Tenente, Líder
gang_transfer_Leader	Líder

report_prisoner_approve	Aprovar
report_prisoner_approveAll	Aprovar todos os prisioneiros que cumprem seus critérios de transferência e remanejá-los para *X. A quantidade de prisioneiros transferidos vai depender também da quantidade de celas disponíveis.

approveTransfer_title	Aprovar transferência
approveTransfer_message	Aprovar transferência de prisioneiro *F *S para *C
approveAllTransfer_message	Aprovar todos os prisioneiros qualificados para transferência para *C
approveAllTransfer_someMessage	Há apenas *X celas vazias em *C. Você deseja transferir *X prisioneiros para *C?
approveTransfer_noFreeCells	Não há celas livres para o(s) prisioneiro(s) selecionável(eis) serem transferidos.

dialog_group	Grupo

transfer_pastCrimes_tooltip	Desqualificar prisioneiros com *X crimes de grupo histórico, incluindo:
transfer_criteria_met	*X/*Y

# =============================================================================
# Actions
# =============================================================================

action_RunTreadmill	Usando a esteira
action_PunchingBag	Usando saco de boxe
action_Boxing	Usando o ringue de boxe

# =============================================================================
# Codex
# =============================================================================

codex_tooltip_escapeplans	Permite mais opções de fuga para os prisioneiros. Eles agora vão procurar escalar suas paredes durante as tentativas de fuga.
codex_options_shadowcaption	Alternar sombras
codex_options_punishmentscaption	Busca e ações por setor

codex_option_prisonerTransfer	Transferências de prisioneiros
codex_tooltip_prisonerTransfer	Transferências de prisioneiros permitem definir os critérios que os presos devem cumprir, a fim de serem transferidos para um setor de segurança mais ameno dentro da sua prisão, o qual pode oferecer mais conforto, facilidades e outros privilégios. \n\nDetentos agora irão avaliar as condições do seu setor e do setor inferior para decidir se eles gostariam de serem transferidos. Caso desejem, eles vão determinar se tentam aprimorar seu comportamento e cumprem com sua política de transferência, de acordo com suas próprias necessidades e características.\n\nCada setor possui um grau com base nos privilégios e facilidades que eles oferecem aos detentos do setor. Quanto maior a “diferença” entre o seu setor e o inferior, maior o número de prisioneiros que desejarão uma transferência.\n\nMesmo após um prisioneiro atender aos seus critérios de transferência, ainda é você quem decide se e quando irá realizar a transferência.

# =============================================================================
# Miscelanious
# =============================================================================

action_Stretching	Exercitando
action_PlayChess	Jogando xadrez
action_EatSnack	Pegando lanche

report_staff_multidelete	Use um único clique do mouse esquerdo para demitir um funcionário, ou arraste e segure para dispensar vários de uma vez só.

codex_language_unsupported	---NÃO MAIS ATUALIZADO---
codex_language_mod	---MODS DE IDIOMA CRIADOS PELA COMUNIDADE---

codex_language_unsupportedString	Esta linguagem não é suportada oficialmente, algumas traduções podem estar ausentes.

report_policy_privilegesUnchangableTooltip	As políticas de privilégio deste Nível de Segurança estão bloqueadas.
transfer_review	Analisar Transferências
reports_prisoners_transfer_otherPrisoners	*X Outros detentos
approveTransfer_noFreeCells	Não há nenhuma cela livre para transferir detentos. Crie mais celas para este nível de segurança afim de aprovar a transferência.
prisoner_roomquality_veryLow	Muito baixa
prisoner_roomquality_low	Baixa
prisoner_roomquality_high	Alta
prisoner_roomquality_veryHigh	Muito alta
prisoner_roomquality_supreme	Suprema
report_policy_matchTitle	Combinar setores de segurança
report_policy_match_tooltip	Combine a Política de Má Conduta *X com outro sector de segurança.
report_intake_cat_PrisonerTransfer	Detento Lendário!

object_barbedwire	Arame Farpado
object_roadbarrier	Barreira Rodoviária
buildtoolbar_popup_obj_roadbarrier	Uma barricada de estrada robusta que pode parar até mesmo caminhões com excesso de velocidade. Fecha apenas durante o Confinamento.

buildtoolbar_popup_help_Orderly_1	Os enfermeiros são especialmente treinados para atender especificamente aos detentos criminosos psicóticos. \n
buildtoolbar_popup_help_Orderly_2	Possuem características semelhantes às dos guardas e médicos, mas não projetam um efeito de opressão sobre os detentos (como os guardas comuns). \n\n
buildtoolbar_popup_help_Orderly_3	Contrate enfermeiros para cuidar dos detentos criminosos psicóticos. Eles irão:
buildtoolbar_popup_help_Orderly_4	- Ajudar na admissão de detentos criminosos psicóticos.
buildtoolbar_popup_help_Orderly_5	- Escoltar detentos criminosos psicóticos para sessões de Consulta Psiquiátrica (Programas).
buildtoolbar_popup_help_Orderly_6	- Curar os detentos criminosos psicóticos feridos.
buildtoolbar_popup_help_Orderly_7	- Sedar detentos criminosos psicóticos que se tornam violentos.
buildtoolbar_popup_help_Orderly_8	- Ajustar detentos criminosos psicóticos psicopatas nas camisas de força de noite.

buildtoolbar_popup_help_Psychiatrist_1	Os psiquiatras oferecem consultas individuais regulares aos detentos criminosos psicóticos.\n\n
buildtoolbar_popup_help_Psychiatrist_2	Cada uma requer um Consultório Psiquiátrico especial.
buildtoolbar_popup_help_Psychiatrist_3	Podem ser organizadas sessões de Consulta Psiquiátrica (Programas), para que os psiquiatras possam tratar os detentos criminosos psicóticos.
buildtoolbar_popup_help_Psychiatrist_4	Os Consultórios Psiquiátricos também podem ser aprimorados com novos itens, para melhorar o tratamento do psiquiatra.

rapsheet_action	Ações
codex_settings_escapeplans	Ativar Planos de Fuga

############################### Sea and Air Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_WoodenDockFloor	Doca (madeira)
material_waterBed	Lençol freático
material_WaterShallow	Água (raso)
material_WaterLarge	Água (grande)
material_WaterWalkable	Água caminhável

# =============================================================================
# Objects - Names
# =============================================================================

object_FerryDock	Porto de balsa
object_FerryBoat	Balsa de transporte
object_SupplyBoat	Barco de suprimentos
object_PrisonBoat	Balsa de detentos
object_VisitorBoat	Barco visitante
object_VisitorHeli	Helicóptero visitante
object_SupplyHeli	Helicóptero de suprimentos
object_PrisonHeli	Helicóptero da prisão
object_FireHeli	Bombeiros aéreos
object_EliteOpsHeli	Equipe de operações de elite
object_SoldiersHeli	Guarda Nacional
object_HearseBoat	Barco fúnebre
object_HearseHeli	Helicóptero fúnebre
object_ParamedicsHeli	Paramédicos aéreos
object_Helipad	Heliporto
object_BoatDock	Ancoradouro
object_EliteOps	Operações de elite


object_Fountain	Fonte
object_SteppingStoneLillyPad	Alpondra (nenúfar)
object_SteppingStoneIceBlock	Alpondra (gelo)
object_SteppingStone	Alpondra
object_SteppingStonePallet	Alpondra (palete)
object_ScannerMonitor	Monitor de scanner
object_ScannerMachine	Scanner
object_CheckPoint	Ponto de controle

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge	Terreno insular
codex_option_islandBridge	Terreno insular Conectado

codex_tooltip_islandNoBridge	Gera um terreno inicial rodeado de água, o qual utilizará um ancoradouro em vez de uma estrada.
codex_tooltip_islandBridge	Gera um terreno inicial rodeado de água com uma ponte ligada à estrada.

mutator_name_DynamicReputations	Reputações dinâmicas
mutator_tooltip_DynamicReputations	Os prisioneiros têm a oportunidade de ganhar ou perder traços de reputação únicos durante a pena na prisão com base nas atividades e experiências em reclusão.

interfacelogistics_deliverytargeting	Entregas
d11_logistic_select_delivery_method	Selecionar entrega
interfacelogistics_vehiclepurpose	Transporte

buildtoolbar_Logistics_DeliveryTargeting	Ligue as áreas de entrega, lixo e exportação a heliportos, docas e estradas. Desta forma, você pode controlar onde as entregas são feitas e como as exportações saem da sua prisão.
buildtoolbar_Logistics_VehiclePurpose	Controle quais serviços serão lidados por docas, heliportos ou a estrada específicos. Desta forma, você pode receber artigos específicos ou prisioneiros em vários locais em torno da sua prisão, por via aérea ou marítima.

d11_logistics_transportTitle	Preferências de transporte
d11_logistics_purpose_group_0	Entregas recebidas
d11_logistics_transport_deliveries_hint	Escolha quais itens devem ser entregues aqui.
d11_logistics_purpose_group_0_item_1	Materiais de construção
d11_logistics_purpose_group_0_item_2	Comida
d11_logistics_purpose_group_0_item_3	Correspondência
d11_logistics_purpose_group_0_item_4	Materiais de oficina
d11_logistics_purpose_group_1	Prisioneiros admitidos
d11_logistics_transport_prisoners_hint	Escolha quais prisioneiros da sua Admissão devem chegar aqui.
d11_logistics_purpose_group_1_item_1	Segurança Mínima
d11_logistics_purpose_group_1_item_2	Segurança Média
d11_logistics_purpose_group_1_item_3	Segurança Máxima
d11_logistics_purpose_group_1_item_4	Corredor da Morte
d11_logistics_purpose_group_1_item_5	Psicótico
d11_logistics_purpose_group_2	Civis admitidos
d11_logistics_transport_civilians_hint	Escolha se visitantes e professores podem chegar aqui.
d11_logistics_purpose_group_3	Itens de saída
d11_logistics_transport_exports_hint	Escolha quais itens são retirados da sua prisão por este local.
d11_logistics_purpose_group_3_item_1	Lixo
d11_logistics_purpose_group_3_item_2	Exportação
d11_logistics_purpose_toggle	Alternar
d11_logistics_purpose_toggle_1	Alternar todos
d11_logistics_purpose_toggle_on	(SIM)
d11_logistics_purpose_toggle_off	(NÃO)

d11_room_error_no_link	Descarga bloqueada. Consulte as opções de entregas e logística de transporte.

d11_hover_change	Mudar [[*L]]

water_amount	Nível da água *X%
ferry_timer	Sai em *X
ferry_warning	Saída bloqueada

d11_hover_dismiss_vehicle	Dispensar [[*S]]
d11_hover_depart_vehicle	Sair [[*S]]
interface_action_dismissVehicle	Dispensar veículo
d11_hover_dismiss_vehicle_desc	Dispensar o veículo para libertar espaço?
d11_hover_dismiss_helicopter_desc	Dispensar este helicóptero?
d11_hover_dismiss_ferry_desc	Adiantar a saída da balsa?

d11_hover_fight_fires	Combater incêndios [[*X]]
interface_action_fightFires	Combater incêndios
d11_hover_fight_fires_desc	Decolar e ajudar a combater os incêndios?

d11_hover_land_heli	Pousar [[*S]]
interface_action_landheli	Pousar helicóptero
d11_hover_land_heli_desc	Pousar o helicóptero no seu heliporto?

d11_hover_eliteOps_select	Comandar helicóptero [[*X]]

d11_hover_deploy_squad	Mobilizar (segurar) [[*X]]
interface_action_deploySquad	Mobilizar pelotão
d11_hover_deploy_squad_desc	Mobilizar o pelotão por baixo do helicóptero?

interfacemode_floors	o chão
interfaceoverlay_landscape	Paisagem e ilhas

codex_options_hud_waypoints	Interface: pontos de notificação
codex_options_hud_waypoints_all	Todos ligados
codex_options_hud_waypoints_important	Mais importantes
codex_options_hud_waypoints_off	Todos desligados

d11_hud_waypoints_limited	Todos (tempo limitado)
waypoints_tooltip	Decidir quais pontos de notificação exibir em volta da interface, apontando para vários eventos e alertas que ocorrem na prisão.

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_obj_FerryDock	Serão construídas dois portos de balsa para circularem paralelamente entre as ilhas como meio de transporte entre elas. Para que sejam construídos, deve haver uma massa continental paralela.
buildtoolbar_popup_obj_BoatDock	Essencial para permitir a ancoragem de barcos na sua prisão, transportar novos prisioneiros ou entregar suprimentos.
buildtoolbar_popup_obj_Helipad	Essencial para permitir a entrada de helicópteros na sua prisão, o transporte de novos prisioneiros, a entrega de suprimentos ou convocar tripulações especiais de emergência por ar.

buildtoolbar_popup_obj_DeckChair	Atende à necessidade de conforto.
buildtoolbar_popup_obj_Fountain	Coloque na água para criar uma fonte de relaxamento.

buildtoolbar_popup_obj_SteppingStoneLillyPad	Crie percursos que permitam a prisioneiros e funcionários atravessarem a água. Apenas ao ar livre. Apenas na água.
buildtoolbar_popup_obj_SteppingStone	Crie percursos que permitam a prisioneiros e funcionários atravessarem a água. Apenas ao ar livre. Apenas na água.
buildtoolbar_popup_obj_SteppingStoneIceBlock	Crie percursos que permitam a prisioneiros e funcionários atravessarem a água. Apenas ao ar livre. Apenas na água.
buildtoolbar_popup_obj_SteppingStonePallet	Crie percursos que permitam a prisioneiros e funcionários atravessarem a água. Apenas ao ar livre. Apenas na água.
buildtoolbar_popup_uts_ScannerMonitor	Monitor para um guarda detectar contrabando, quando ligado a um scanner. A capacidade do guarda de detectar contrabando dependerá do seu nível de cansaço.
buildtoolbar_popup_uts_ScannerMachine	Máquina para áreas de entrega e salas de armazenamento utilizada para vasculhar contrabando em caixotes de madeira. Deve estar ligada a um monitor de scanner para que o guarda consiga detectar qualquer contrabando. A capacidade do guarda de detectar contrabando dependerá do seu nível de cansaço.
buildtoolbar_popup_obj_Checkpoint	Estação de ponto de controle para procurar prisioneiros e visitantes que passam por lá. Os prisioneiros só podem atravessar um ponto de controle em uma direção enquanto houver um guarda presente.
buildtoolbar_popup_mat_waterShallow	Crie áreas de águas rasas para formar litorais mais agradáveis, entre chão de areia e água. Estes blocos podem ser percorridos a pé, ao contrário da água normal.
buildtoolbar_popup_mat_waterLarge	Crie grandes áreas de água, lagos e oceanos.
buildtoolbar_popup_mat_WoodenDockFloor	Chão de madeira maciça, perfeito para o estaleiro.

landscape_hint	(Pode ser construído na água).

d11_emergencies_hints_fire_heli	Helicóptero com x*A bombeiros. - $*B
d11_squad_name_FireHeli	Bombeiros aéreos
d11_emergencies_hints_paramedics_heli	Helicóptero com x*A paramédicos. - $*B
d11_squad_name_AirParamedics	Paramédicos aéreos
d11_emergencies_hints_eliteOps_heli	Helicóptero com x*A soldados de operações de elite. - $*B
d11_squad_name_EliteOps	Equipe de Operações de Elite


quickbuild_OutdoorLake	Lago Externo
quickbuild_River	Rio

interfacecallout_FireHeli	Bombeiros aéreos
interfacecallout_EliteOps	Equipe de Operações de Elite
interfacecallout_AirParamedics	Paramédicos aéreos


# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint	Requer uma ligação com a terra e uma via de navegação livre.
delivery_hover_hint	O menu Logística > Transporte permite controlar os objetivos deste(a) *X.
ferryDock_placement_hint	Deve haver uma massa continental paralela para onde se deslocar.
transportZones_hover_hint	Ligue heliportos, docas e a estrada pelo menu Logística.

# =============================================================================
# DLC Upsell
# =============================================================================

objective_ReadSandALetter	Carta do Diretor-Presidente	(Preso Numa Ilha)
island_letter	Prezado(a),\n\n\nReceba nossas boas-vindas à sua nova vida como arquiteto da prisão insular de Prison Architect! Confira algumas dicas para começar a trabalhar com as docas, heliportos e prisões insulares.\n\n1. Ilhas: dependendo das circunstâncias da prisão, talvez você não tenha ligação física com o continente. Neste caso, serão necessários BARCOS e HELICÓPTEROS para você prestar serviços de transporte. Construa ANCORADOUROS e HELIPORTOS, e determine seus objetivos: receber entregas específicas, novos prisioneiros ou novas unidades de emergência e muito mais, por via marítima ou aérea. -Construa docas com uma via de navegação livre para entrada e saída das embarcações. -Podem ser construídos PORTOS DE BALSA especiais para ligar as ilhas, assim como PONTES e ALPONDRAS. -Sua prisão agora pode ser mais bem protegida graças às novas unidades de OPERAÇÕES DE ELITE, e aos helicópteros capazes de enfrentar incêndios pelo ar.\n\n2. Personalização de entregas e transportes: através da LOGÍSTICA, personalize os serviços atribuídos a cada doca, heliporto e estrada, permitindo aumentar a eficiência da sua prisão. As docas e heliportos podem ser ligados a áreas adicionais de entrega, recepção e exportação. Assim você pode, por exemplo, receber o suprimento de alimentos mais perto da cozinha, ou novos detentos da segurança máxima mais perto da ala de Segurança Máxima da sua ilha. As possibilidades são infinitas!\n\n3. Paisagismo: posicione a água para criar fossos ou oceanos em volta da sua prisão, e molde a terra com o litoral, utilizando terra e outros tipos de piso. Qualquer terreno ou ilhotas criadas na água surgirão imediatamente.\n\n4. Novas medidas de segurança: já que ainda é possível chegar contrabando por barco ou helicóptero, disponibilizamos novos equipamentos de última geração. -Construa SCANNERS nas áreas de entrega e armazenamento para vasculhar caixotes e caixas. Você vai precisar de um guarda atento para vigiar um MONITOR DE SCANNER conectado. -Atribua guardas a PONTOS DE CONTROLE para vigiar todos os prisioneiros e visitantes que passarem. Esta é uma ótima forma de descobrir contrabando, mas pode reduzir o fluxo de prisioneiros caso posicionados sem estratégia.\n\nPor fim, nem mesmo as ilhas são à prova de fuga, por isso talvez seja uma boa ideia construir torres de franco-atiradores no litoral, para ficar de olho nos "nadadores".\n\nÉ isso. Boa sorte!\n\nO Diretor-Presidente,\nPrison Architects Corp.


codex_option_dynamicReputations	Reputações Dinâmicas
codex_tooltip_dynamicReputations	Os prisioneiros têm a oportunidade de ganhar ou perder traços de reputação exclusivos durante a pena na prisão com base nas atividades e experiências em reclusão.\n\nBaixa - Quantidade muito baixa de prisioneiros que iniciam com uma Reputação Dinâmica. A reputação é acumulada lentamente. A quantidade de Prisioneiros Lendários é bastante reduzida.\n\nMédia - Quantidade baixa de prisioneiros que iniciam com uma Reputação Dinâmica. A reputação é acumulada a um ritmo médio. A quantidade de Prisioneiros Lendários é moderada.\n\nAlta - Quantidade moderada de prisioneiros que iniciam com uma Reputação Dinâmica. A reputação é acumulada a um ritmo médio. A quantidade de Prisioneiros Lendários é potencialmente alta.
object_scannermonitor_needsmachine	Transferir para um Scanner
object_scannermachine_needsmonitor	Transferir para um Monitor de scanner

roomerror_nodeliveryarealinked	Sem Área de Entrega ligada a isso em Logística


# =============================================================================
# Missing Strings
# =============================================================================

buildtoolbar_popup_help_jobs_6	A área florestal deve ser cercada para que os prisioneiros sejam designados a trabalhar nelas, evitando, assim, fugas.


research_forestrylabour	Trabalho florestal
researchtooltip_forestrylabour	Permite que você coloque prisioneiros para trabalhar na área florestal através do menu Logística. A área florestal deve ser cercada para que os prisioneiros sejam designados a trabalhar nela, evitando, assim, fugas. Esteja ciente de que os prisioneiros também necessitarão de acesso às áreas de Entrega para replantar árvores.
action_usecomputer	Usar computador


buildtoolbar_popup_help_roomquality_1	O modo de exibição Qualidade do ambiente mostra a classificação de qualidade de todos os aposentos passíveis de atualização da sua prisão. Quanto maior o número, melhor a qualidade. Passar o mouse sobre um aposento mostrará os fatores que determinaram a sua qualidade, e o que você pode adicionar para melhorar essa qualidade.\n\n
buildtoolbar_popup_help_roomquality_2	Com as TRANSFERÊNCIAS DE PRISIONEIROS ATIVADAS
buildtoolbar_popup_help_roomquality_3	- A qualidade do ambiente também contribuirá para o grau geral desse Setor de Segurança.
buildtoolbar_popup_help_roomquality_4	- Os prisioneiros desejarão ser transferidos para um Setor de Segurança inferior, se este for melhor (tiver um grau maior) do que o Setor de Segurança atual deles.\n\n
buildtoolbar_popup_help_roomquality_5	CLASSIFICAÇÃO DA CELA
buildtoolbar_popup_help_roomquality_6	- Os detentos têm direito a uma cela de melhor qualidade por bom comportamento ao longo do tempo. Ter celas de melhor qualidade disponíveis é uma boa maneira de incentivar bom comportamento.
