# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Alle ændringer
buildtoolbar_popup_obj_leatherchair				Matcher lædersofaen. Perfekt for ansatte at sidde på og helt klart alt for fin til dine indsatte.
buildtoolbar_popup_obj_leatherSofa				Tilføj en klassisk lædersofa til psykiaterens kontor for at forbedre psykiaterens behandling af sindssyge indsatte.

buildtoolbar_deployment_insaneseczone			Kun sindssyge fanger har adgang til denne afdeling.

failuremessage_maximumcountreachedgeneric		Maksimal mængde placeret

buildtoolbar_popup_locked_PsychiatricConsultation				Låses op efter *B yderligere psykiatrisessioner
buildtoobar_PsychConItemImproveInfo 			- Forbedrer kvaliteten af en psykiaters kontor.
buildtoobar_PsychConItemImproveSuppression 		- Reducerer en sindssyg indsats \nfølelse af at være undertrykt og visse behov med +5% efter konsultationen
buildtoobar_PsychConItemImproveGrace 			- Giver en sindssyg indsat \nen karensperiode på en ekstra dag efter konsultationen,\nfør følelsen af at være undertrykt og visse behov atter begynder at stige.
buildtoolbar_popup_obj_Footbridge				Lader indsatte og ansatte krydse land- og vandområder. Kan ikke bygges hen over vægge, hegn og andre bygninger.
buildtoolbar_popup_obj_FootbridgeSteel			Lader indsatte og ansatte krydse land- og vandområder. Kan ikke bygges hen over vægge, hegn og andre bygninger.
buildtoolbar_popup_obj_FootbridgeB				Lader indsatte og ansatte krydse land- og vandområder. Kan ikke bygges hen over vægge, hegn og andre bygninger.
buildtoolbar_popup_obj_FootbridgeSteelB			Lader indsatte og ansatte krydse land- og vandområder. Kan ikke bygges hen over vægge, hegn og andre bygninger.
buildtoolbar_popup_obj_BoomBoxRoundHouse		Lad de indsatte lytte til deres yndlings-boyband i løbet af dagen. Gør alle de indsatte i det samme rum en smule gladere.

# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Polstret enecelle

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Med polstrede vægge, der har en beroligende effekt på vores sindssyge indsatte.
buildtoolbar_popup_room_paddedholdingcell	    Her kan vores nye sindssyge indsatte blive placeret, før en permanent polstret celle bliver klar til dem.
buildtoolbar_popup_room_paddedsolitary			    En isoleret indespærring til de værste af vores sindssyge indsatte.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Polstret (Lille)
quickbuild_paddedintermediatecell							Polstret (Medium)
quickbuild_paddedholdingcell								Polstret forvaringscelle
quickbuild_paddedsolitarycell								Polstret enecelle
quickbuild_PsychiatristOffice								Psykiaters kontor



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Kun for sindssyge fanger
interfacetopbar_PrisonerCells_insaneSecOnly	Kapacitet for sindssyge fanger: *X

roomgrading_PsychiatristOffice_info				Lås op for ekstra genstande, og placér dem i psykiaterens kontor for at forbedre behandlingen af sindssyge indsatte.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Genstand: *X
roomgrading_PsychiatristOffice_Quality			Psykiater-evne: *Q
roomgrading_PsychiatristOffice_Upgrade			Opgradér psykiaterens kontor for at forbedre dennes evne.

roomgrading_score_average		GENNEMSNITLIG
roomgrading_score_good			GOD
roomgrading_score_verygood		MEGET GOD
roomgrading_score_outstanding	ENESTÅENDE

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Fløj til sindssyge indsatte
objective_grant_firstinsanecellblock_description	Regeringen er villig til at finansiere en udvidelse af vores fængsel, så vi får bedre plads til at beskytte sindssyge indsatte.\n\nDette tilskud vil hjælpe os med at bygge særlige polstrede celler og ansætte psykiatere.
objective_grant_firstinsanecellblock_cells			Byg en fængselsfløj med 10 polstrede celler til sindssyge indsatte.
objective_grant_firstinsanecellblock_prisoners		Tag mod 10 sindssyge indsatte
objective_grant_firstinsanecellblock_psychiatrist	Ansæt 2 psykiatere (kræver hver deres kontor)

objective_readinsaneletter						Direktørens retningslinjer for sindssyge indsatte
objective_readinsaneletter_description			Før du tager mod sindssyge indsatte i dit fængsel, bør du have de rigtige faciliteter og ansatte klar, så du kan tage dig ordentligt af deres behov. - Direktøren

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     Hartman er en tidligere kautionist, der træner det øvrige sikkerhedspersonale i vigtige teknikker.\n\n - Alle vagter bliver mindre tilbøjelige til at tabe nøgler\n - Vagts udholdenhed bliver genopfyldt ved modtagelse af nye indsatte
warden_wardeninsanehawk_desc_short               - Vagts udholdenhed bliver genopfyldt ved modtagelse af nye indsatte.

warden_wardeninsaneslugworth_name                Dr Slugworth
warden_wardeninsaneslugworth_desc                Hvor alle andre fængsler afviser dem, åbner Slugworth dørene for de værst tænkelige sindssyge indsatte i troen på, at han kan hjælpe dem.\n\n - Psykiatriske behandlinger er 20% mere positive\n - Risikoen for at modtage psykopatiske sindssyge indsatte bliver højere!
warden_wardeninsaneslugworth_desc_short          - Tager mod flere psykopatiske sindssyge indsatte. Psykiatere giver bedre behandling.

warden_wardeninsanehudson_name					 Dr Hudson
warden_wardeninsanehudson_desc                   Dr Hudson er klar til at gøre, hvad ingen andre fængselsansatte kan ...\n\n - Beredskabstjenester arbejder 20% hurtigere og ankommer tidligere\n - Pris på reparationer bliver reduceret med 10%
warden_wardeninsanehudson_desc_short             - Hurtigere responstider og reduceret pris på reparationer.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Dødsfald blandt sindssyge indsatte
victory_warning_insaneprisonersdeaths			 Du bliver fyret, hvis for mange sindssyge indsatte omkommer.
victory_insaneprisonersdeaths_units				 Dødsfald

victory_insaneprisonersabused					 Sindssyge indsatte angrebet
victory_warning_insaneprisonersabused			 Du bliver fyret, hvis for mange sindssyge indsatte bliver angrebet af vagter.
victory_insaneprisonersabused_units				 Angreb

victory_adviserwarning_insaneprisonersdeaths1	 Vi kan ikke længere lade stå til, mens vores sindssyge indsatte bliver mishandlet i vores fængsel! Medierne vil trække vores navn gennem sølet, hvis vi ikke tager os sammen!
victory_advisernotice_insaneprisonersdeaths1	 Det var dråben! Du er færdig! Det var meningen, at du skulle beskytte de sindssyge, men i stedet har du udsat dem for de grusomste ting. Jeg kan kun fyre dig, men jeg vil foreslå, at du går hjem og tænker virkelig godt over de valg, du har truffet her i livet.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Sindssyge indsatte

codex_tooltip_criminallyinsane					Du skal håndtere indsatte, der konstant føler sig undertrykte, og som kræver nye polstrede celler og psykiatrisk hjælp med at reducere deres behov for privatliv, komfort, sikkerhed og frihed, før de går amok. Når du aktiverer denne indstilling, vil visse indsatte også kunne blive sindssyge inde i dit fængsel, hvis du ikke tager dig af deres behov. Du kan deaktivere visning af indsatte, der bliver sindssyge, under kortindstillingerne.

codex_prisoner_biography_NITG					Spilleroprettet biografi
codex_options_InsaneGauge						Målere af indsattes tilstand

codex_option_desert								Ørkengrund
codex_tooltip_desert							Lav en startgrund, der ligner en sandfyldt ørken.

codex_options_rendercolours						Farveeffekt i rum

codex_new_selectdog								Vælg vagthunde

codex_option_prisonerTurning					Indsatte kan blive sindssyge

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Sindssyg
rapsheet_insane_bio_desc                        Sindssyge indsatte føler sig konstant undertrykte og kræver polstrede celler og psykiatrisk hjælp, for at du kan holde dem i ro.\n\nSindssyge indsatte, der går amok, kan finde på at angribe vores ansatte, forvolde skade på fængslet, forsøge at flygte og udvise andre former for uforudsigelig adfærd.

reputation_Weak                                 Svag
reputation_Insomniac                            Søvnløs
reputation_Depressed                            Deprimeret
reputation_Outbreaks                            Udbrud
reputation_Sickness                             Sygdom
reputation_Hyperactive                          Hyperaktiv
reputation_Addict                               Stofmisbruger
reputation_Claustrophobic                       Klaustrofobisk
reputation_ExtremelyStoical                     Ekstremt stoisk
reputation_ExtremelyVolatile                    Ekstremt ustabil
reputation_Psychopathic                         Psykopatisk
reputation_Insane                               Sindssyg

reputationtooltip_Weak                          Denne indsatte er svagere og vil ikke klare sig godt i kampe, og er derfor mere udsat for skader.
reputationtooltip_Insomniac                     Denne indsatte kræver meget lidt søvn.
reputationtooltip_Depressed                     Denne indsatte bevæger sig meget langsommere, når vedkommende føler sig undertrykt og ubehandlet.
reputationtooltip_Outbreaks                     Denne indsatte er tilbøjelig til voldsomme udbrud og skade på sine omgivelser, når vedkommende føler sig undertrykt og ubehandlet.
reputationtooltip_Sickness                      Denne indsatte er tilbøjelig til at kaste op eller tisse og lave i bukserne, når vedkommende føler sig undertrykt og ubehandlet.
reputationtooltip_Hyperactive                   Denne indsatte bevæger sig meget hurtigere rundt, når vedkommende føler sig undertrykt og ubehandlet.
reputationtooltip_Addict                        Der er forhøjet risiko for, at denne indsatte udvikler afhængighed af stoffer, når vedkommende føler sig undertrykt og ubehandlet.
reputationtooltip_Claustrophobic                Denne indsattes trang til at flygte er meget højere, når vedkommende føler sig undertrykt og ubehandlet.
reputationtooltip_ExtremelyStoical              Denne indsatte er totalt ligeglad og vil ikke føle sig undertrykt ved indespærring i en enecelle, eller når der er vagter i nærheden af vedkommende.
reputationtooltip_ExtremelyVolatile             Hold godt øje med denne indsatte. Alt kan få personen til at gå amok, og det kan meget hurtigt gå helt galt.
reputationtooltip_Psychopathic                  Denne indsatte er langt mere farlig og uforudsigelig end andre sindssyge indsatte.
reputationtooltip_Insane                        Sørg for, at denne indsatte har adgang til psykiatriske konsultationer og en polstret celle for at holde vedkommende i ro.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Sindssyg
report_intake_list_tooltip_insane				Sindssyge indsatte føler sig konstant undertrykt og kræver nye polstrede celler og psykiatrisk hjælp med at reducere deres behov for privatliv, komfort, sikkerhed og frihed, før de går amok.\n\nDu kan ikke anmode om at modtage sindssyge indsatte, før du har nogle polstrede celler eller en polstret forvaringscelle klar.\n\nDu kan omdanne normale celler til polstrede celler via menuen Rum.
report_intake_insane_intake_empty				Du kan ikke tage mod sindssyge indsatte lige nu.\n Du skal bygge polstrede celler eller polstrede forvaringssceller.\nDu kan omdanne normale celler til polstrede celler via menuen Rum.
report_staff_group_prisoners_insane				Sindssyg
report_Criminally_Insane						Sindssyg
report_Pyschopathic								Psykopatisk

report_intake_enable_insane					Aktivér
report_intake_psychward_title					Psych Ward: Warden’s Edition
report_intake_psychward_tooltip					Aktivér Psych Ward: Warden’ Edition-spilelementer for dette fængsel.\n\nDette vil lade dig tage mod sindssyge indsatte, men du skal først forberede dit fængsel på det.\n\nDu kan finde og ansætte psykiatere og portører, og du kan bygge polstrede celler og polstrede forvaringsceller.\n\nBåde psykiatere og polstrede celler vil hjælpe dig med at holde sindssyge indsatte i ro og under kontrol. 

reformerror_no_psychiatrist					INGEN PSYKIATER
reform_completion_psychiatrist              - *X færdig - *Y behandlede (*P%)
report_staff_group_orderlies				Portører

# =============================================================================
# Research
# =============================================================================
research_Orderly							Portør
research_Psychiatrist							Psykiater
                     
researchtooltip_Orderly							Det er forbudt for normale vagter at angribe sindssyge indsatte, da de risikerer at give dem skader.\nPortører er særligt trænede i at tilbageholde sindssyge indsatte uden at skade dem.\nPortører kan også sætte spændetrøjer på sindssyge indsatte om natten for at forhindre dem i at forvolde skade på sig selv.
researchtooltip_Psychiatrist					Et avanceret medlem af din fængselsstab, der med jævne mellemrum fører samtaler med sindssyge indsatte.\nPsykiatere holder regelmæssige møder med sindssyge fanger for at få dem til at slappe af, når vi har startet et psykiatrisk konsultationsprogram i fængslet. \nHvis vi har mange sindssyge fanger, bør vi ansætte flere psykiatere, så vi kan tage os af dem alle sammen. Sørg også for, at de får hver deres kontor.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Sindssyg

buildtoolbar_header_foundationmain				Primær
buildtoolbar_header_foundationmore				Mere

reformprogram_PsychiatricConsultation			Psykiatrisk konsultation
reformprogram_PsychiatricConsultation_text		Alle sindssyge indsatte kræver særlige beroligende sessioner hos vores psykiater for at sikre, at de ikke føler sig undertrykt. Mangel på psykiatrisk hjælp kan føre til voldelige udbrud og andre uforudsigelige reaktioner fra disse indsatte.
reform_program_properties_NeedToBeEscorted		De indsatte skal eskorteres til disse sessioner.
reform_program_intake_insane				Kun for sindssyge indsatte.

insane_letter									Kære fængselsansvarlige\n\n\nHer følger nogle vigtige retningslinjer for at sikre, at du er står klar med de rigtige faciliteter og ansatte til korrekt behandling af sindssyge indsatte.\n\n1.  Sindssyge indsatte kræver polstrede celler. Du kan omdanne almindelige celler til polstrede celler via menuen Rum. Når du har polstrede celler, vil du kunne tage mod dine første sindssyge indsatte.\n\n2.  Sørg for at have psykiatere og portører blandt dine ansatte. Psykiatere har også brug for et særligt kontor.\n\n3.  Start psykiatriske programmer for dine sindssyge indsatte. Disse sessioner med en psykiater (og polstrede celler) hjælper med at holde de indsatte under kontrol. Opgradering af psykiaterens kontor vil også forbedre psykiaterens behandlingsevne.\n\n4.  Hvis en sindssyg indsat ikke bliver behandlet og kontrolleret jævnligt, kan vedkommende begynde at opføre sig uforudsigeligt, forsøge at flygte eller blive voldelig.\n\n5.  Portører vil hjælpe med at eskortere og tilse sindssyge indsatte, men de undertrykker dem ikke, som almindelige vagter gør. Du har også brug for portører til at give dine psykopatiske sindssyge indsatte spændetrøjer på om aftenen. \n\n6.  Det kan nogle give problemer at blande sindssyge indsatte med andre. Det er en god idé at bygge og adskille dem fra hinanden, så de sindssyge indsatte har deres egen kantine, gård og andre områder. Det er også en god idé at placere psykiaterens kontor tæt på de sindssyge indsattes cellefløj.\n\n7.  Endelig skal du også være opmærksom på risikoen for, at indsatte på andre sikkerhedsniveauer bliver sindssyge, så hold godt øje med dem.\n\nDirektøren,\nPrison Architects Corp

job_StraitJacket                         Fjern/Påsæt spændetrøje
job_EscortInsane                         Eskortér sindssyg indsat
status_effect_sedated					Bedøvet

orderly_description                     Portører er specialtrænede i håndtering og (om nødvendigt) bedøvelse af sindssyge indsatte.
pyschiatrist_description                Alle sindssyge indsatte kræver regelmæssig psykiatrisk konsultation hos en psykiater. Du kan tilføje psykiatrisk konsultation via menuen Programmer.

insanetooltip_status                    Status: *X
insanetooltip_status_level0             ROLIG
insanetooltip_status_level1             OPHIDSET
insanetooltip_status_level2             USTABIL
insanetooltip_status_level3             VRED
insanetooltip_behaviour					Adfærd: *X

mutator_name_ReducedDirtBuildup						Reducér mængden af skidt
mutator_tooltip_ReducedDirtBuildup					Skidt vil ophobe sig langsommere i dit fængsel.
administrator_requiresoffice_psychiatrist            Kræver et psykiaterkontor

dlc_insane_upsell				Dette gemte spil bruger indhold fra udvidelsen "Psych Ward: Warden's Edition". Eftersom vi ikke kan finde udvidelsen på dit system, vil visse funktioner ikke være tilgængelige for dig. Overvej venligst at købe "Psych Ward: Warden's Edition" for at få mest muligt ud af din oplevelse med Prison Architect.
dlc_insane_upsell_multiplayer 	Værten for dette multiplayerspil har købt udvidelsen "Psych Ward: Warden's Edition", som du også får adgang til som vedkommende gæst. God fornøjelse!

regime_work_pyscho              Programmer/Fritid
regime_worklockdown_pyscho      Programmer/Indespærring

regimetooltip_work_pyscho			Bemærk, at sindssyge indsatte ikke kan arbejde, og at de kun kan deltage i programmer i arbejdsperioder
regimetooltip_worklockdown_pyscho	Bemærk, at sindssyge indsatte ikke kan arbejde, og at de kun kan deltage i programmer i arbejdsperioder


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Bedøvelsesniveau
teacher_teaching_pschiatrist                    Behandler		
pschiatrist_count_status						*X psykiatriske konsultationer afholdt


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Eskortér til infirmeriet

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Cellestatus

buildtoolbar_popup_help_CellStatus_1			Cellestatus viser dig optagede celler (røde) og tomme celler (grønne).
buildtoolbar_popup_help_CellStatus_2			Du kan klikke på en optaget celle for at se den indsatte, der bor i den.

freeCell										Fri celle
freeCell_line0									Denne celle er ledig lige nu.
occupiedCell									Optaget celle
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Venstreklik for at vise denne indsatte.
object_prisoner_freshfish						Indsat (Frisk fisk)

total_Connections								Samlet antal relationer: *X
active_Connections								Maksimalt antal relationer: *X

interfacedeployment_VisitorDirection			Anvisninger for besøgende

interface_action_move							Flyt 

equipment_moreContraband						Forbudte ting

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Fangeoverførsel!
report_intake_list_tooltip_prisonerTransfer		\n\nDu vil fra tid til anden få tilbudt højrisiko-indsatte, som er for farlige til andre fængsler. \nPas godt på, for der er en god grund til, at du får mange penge for dem. Det er hærdede forbrydere, som ingen andre fængsler ønsker at tage mod.
rapsheet_category_PrisonerTransfer				Fangeoverførsel!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Du kan ikke lægge vandrør og elkabler nedenunder.

buildtoolbar_deployment_VisitorDirection 	Klik og træk for at male gulvskiltning.\n\nDette vil fortælle personer, som ikke er indsatte, hvor de skal gå hen.\nHjælper med at kontrollere menneskestrømmen i dit fængsel.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - Hver vagt kræver en *X

schedule_zone_insaneSecOnly						Kun for sindssyge fanger

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Månegrund
codex_tooltip_lunar								Lav en startgrund, der ligner månens overflade.

codex_option_doubleClick						Dobbeltklik for at fjerne genstande

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Kloningsrum

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Gå online
codex_start                         Opret spil
codex_joinonline                    Deltag i onlinespil
codex_join                          Deltag i spil
codex_usernamelabel                 Brugernavn:
codex_namelabel                     Spilnavn:
codex_passwordlabel                 Adgangskode:
codex_passwordprotectedlabel        Beskyttet med adgangskode?
codex_listedlabel                   Offentligt tilgængelig?
codex_roomlistlabel                 Spiliste:
codex_connectinglabel               Tilslutter til server ...
codex_retrievingserverlistlabel     Henter spilliste ...
codex_datausage                     Dataforbrug: Sendt - *SkB/s, Modtaget - *RkB/s
codex_multiplayeroptions            Administrér spillere
codex_playeroptions                 Spillere
codex_regionlabel                   Region:

multiplayer_chooseroomname          Vælg et spilnavn
multiplayer_chooseusername          Vælg et brugernavn
multiplayer_joining                 Deltager i: *X
multiplayer_joiningstate_joining    Deltager i spil
multiplayer_joiningstate_receiving  Modtager verden
multiplayer_joiningstate_loading    Indlæser verden
multiplayer_rejoining               Deltager i spil igen efter udvidelse af grund:
multiplayer_leavegame_confirm       Er du sikker på, at du vil forlade dit samarbejdsspil?
multiplayer_hostleft                Værten gik ud af spillet.
multiplayer_joingamefailed          Du kunne ikke deltage i spillet:
multiplayer_startgamefailed         Du kunne ikke starte spillet:
multiplayer_incorrectpassword       Forkert adgangskode
multiplayer_disconnected            Du mistede forbindelsen til serveren.
multiplayer_syncerror               Din forbindelse blev afbrudt på grund af en synkroniseringsfejl.\n\nPrøv venligst at oprette forbindelse til spillet igen.
multiplayer_hostonly                Kun tilgængelig for spilværten.
multiplayer_modsdisabled            Modifikationer deaktiveret for onlinespil
multiplayer_mutatorsdisabled        Mutatorer deaktiveret for onlinespil
multiplayer_kicked                  Du blev smidt ud af spillet.
multiplayer_kick                    Smid ud
multiplayer_ban                     Blokér

multiplayer_host                    Vært:

multiplayer_welcomeanalytics        Velkommen til Prison Architect Multiplayer.\n\nVi har arbejdet hårdt på at genskabe den fulde Prison Architect-oplevelse i multiplayer. Prison Architect er et stort spil, og det her er første gang, vi gør multiplayer tilgængelig for alle, så vi vil holde øje med alle problemer, som spillerne måtte opleve.\n\nVi vil derfor meget gerne indsamle anonymiserede analysedata for at løse folks problemer med spillet. Du kan deaktivere denne indsamling når som helst via indstillingsmenuen. Du kan se, hvilke data vi indsamler, i filen metrics.txt\n\nVi håber, at du vil more dig med at spille Prison Architect sammen med dine venner.

region_asia                         Asien
region_au                           Australien
region_cae                          Canada, øst
region_eu                           Europa
region_in                           Indien
region_jp                           Japan
region_ru                           Rusland
region_rue                          Rusland, øst
region_sa                           Sydamerika
region_kr                           Sydkorea
region_us                           USA, øst
region_usw                          USA, vest

codex_options_disableattract            Deakivér startskærmen
codex_option_escapeplans                Flugtplaner
buildtoolbar_rollcall                   Navneopråb
buildtoolbar_tooltip_rollcall           Få alle dine fanger til at stille sig uden for deres celler. Kun tilgængelig i søvnperioder og om natten.
interfacecontrol_graphs                 Grafer
interfacecontrol_graphs_tooltip         Åbn skærmen Grafer, hvor du kan sammenligne grafer over forskellige aspekter ved dit fængsel.

graph_title                             Grafer

graph_label_1                           Datatype 1
graph_label_2                           Datatype 2
graph_label_day                         Dag

graph_axis_none                         Ingen
graph_axis_profit                       Profit
graph_axis_funds                        Penge
graph_axis_prisonsize                   Fængselsstørrelse (m²)
graph_axis_numprisoners                 Antal indsatte
graph_axis_numstaff                     Antal ansatte
graph_axis_releasedprisoners            Løsladte indsatte
graph_axis_totalreleasedprisoners       Løsladte indsatte i alt
graph_axis_escapedprisoners             Undvegne indsatte
graph_axis_totalescapedprisoners        Undvegne indsatte i alt
graph_axis_entitydeath                  Dødsfald
graph_axis_totaldeaths                  Dødsfald i alt
graph_axis_prisonerdeaths               Dødsfald blandt indsatte
graph_axis_guarddeaths                  Dødsfald blandt vagter
graph_axis_securitygrading              Sikkerhedsniveau
graph_axis_healthgrading                Helbredsniveau
graph_axis_reformgrading                Rehabiliteringsniveau
graph_axis_punishmentgrading            Straffeniveau
graph_axis_reoffendingrate              Tilbagefaldsrate
graph_axis_prisonvalue                  Fængselsværdi
graph_axis_prisonercapacity             Fængselskapacitet
graph_axis_numincidents                 Antal hændelser
graph_axis_totalincidents               Hændelser i alt

equipment_Photo				Foto	
equipment_SubMachineGun			Maskinpistol	
equipment_Soap				Sæbe	
