
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Ny
buildtoolbar_popup_help_contraband_4        - Hvis du opdager, at et forholdsvis stort antal forbudte ting bliver fundet på et lille antal steder, vil det være en god ide at øge sikkerhedsindsatsen i disse områder.
buildtoolbar_popup_help_contraband_5        - Forskellige forbudte ting opdages på flere forskellige måder. Vagthunde er f.eks. gode til at opdage ting med en stærk lugt.

buildtoolbar_popup_help_informants_1        Informantsoversigten viser en liste for de nuværende Fortrolige Informanter. Derudover er mulige FI markeret med gult, som regel i isolationsceller.\n\n
buildtoolbar_popup_help_informants_2        For at rekruttere en FI, skal du finde en potentiel FI, gå til Oplevelsesfanebladet på deres straffeattest, og klik på Rekrutter Informant-knappen .\n\n
buildtoolbar_popup_help_informants_3        ~For at sætte en informant i gang, skal du klikke på den knap, som hedder Ledig (den vil blinke Aktiv, når du markerer den) og vent på, at informanten bliver ledsaget til Vagtstuen. De vil da vise dig en mængde gemte, forbudte ting, fortælle om indsattes ry og mulige mål for snigmord, alt sammen baseret på deres indhentede viden.\n\n
buildtoolbar_popup_help_informants_4        ^Tips
buildtoolbar_popup_help_informants_5        - At sætte en informant i gang, og foretage ransagningerne baseret på deres indhentede viden, kan mistænkeliggøre dem. Hvis mistanken øges, kan det bringe deres liv i fare ...
buildtoolbar_popup_help_informants_6        - Du kan afskedige en informant ved at klikke på 'X'et' ved siden af deres aktiveringsknap.

buildtoolbar_popup_help_utilities_1         Forsyningsoversigten viser de forskellige forbindelser, som der findes under jorden i fængslet. Du kan trække elektriske kabler og vandrør, og også forbinde forskellige ting ved hjælp af ledninger.\n\n
buildtoolbar_popup_help_utilities_2         ~For at kunne trække elektriske kabler eller rør, hold da Venstre Museknap nede og træk pilen mellem de to punkter, som du gerne vil forbinde. Et Højreklik vil annullere eksisterende opgaver, som drejer sig om kabel- eller rørlægning.\n\n
buildtoolbar_popup_help_utilities_3         ~Når du forbinder ting ved hjælp af ledninger (f.eks. en overvågningsskærm til et overvågningskamera), Venstreklik på den første genstand og Venstreklik dernæst på den anden genstand for at forbinde de to. Hvis du holder tasten Shift nede, kan du forbinde flere genstande.\n\n
buildtoolbar_popup_help_utilities_4         ^Tips
buildtoolbar_popup_help_utilities_5         - Små elektriske ting, såsom lamper og fjernsyn, vil automatisk blive forbundet til elektricitet, så længe der er et elektrisk kabel i nærheden. Større ting, såsom vaskemaskiner eller vandpumper, skal forbindes direkte til kablet.
buildtoolbar_popup_help_utilities_6         - Store vandrør kan forsyne vand over store afstande, mens små rør har en mindre rækkevidde. En god måde at spare penge på er ved kun at have et stort vandrør i en bygning eller område og forbinde de enkelte genstande via mindre rør.
buildtoolbar_popup_help_utilities_7         - Forsyningsoversigten kan være meget omfangsrig, især i større fængsler. Hvis du klikker på en specifik genstand, vil den blive markeret, og det bliver nemmere at se dens forbindelser. Hvis du f.eks. klikker på elektriske kabler, vil det blive nemmere at se alle elektriske kabler og genstande i fængslet.
buildtoolbar_popup_help_utilities_8         - Hvis du har flere Elværk i fængslet, skal de have deres egne Elektriske Kabler. Hvis Elektriske Kabler, som er forbundet til to forskellige Elværk, kommer i kontakt med hinanden, vil begge elværk lukke ned.

buildtoolbar_popup_help_guard_1             Vagter er hovedparten af arbejdsstyrken i fængslet, og vil håndtere alt fra ledsagelse af nye indsatte til deres celler, til håndtering af slåskampe og ransagelse af celler.\n\n
buildtoolbar_popup_help_guard_2             ~Når en vagt er valgt, kan du give ham ordre om at bevæge sig hvor som helst hen i fængslet ved at Højreklikke på området. \n\n
buildtoolbar_popup_help_guard_3             ^Tips
buildtoolbar_popup_help_guard_4             - Vagter kan finde flugtruter ved at ransage toiletterne i Celler. Hvis toilettet ransages, vil de uden tvivl finde eventuelle flugtruter.
buildtoolbar_popup_help_guard_5             - Hvis du har en Sikkerhedschef, kan du se, hvor mange ledige Vagter der er på informationspanelet øverst på skærmen. Hvis det ofte sker, at der er 0 vagter til rådighed, kan det tyde på, at du ikke har vagter nok til at udføre de nuværende arbejdsopgaver.

buildtoolbar_popup_help_workman_1           Arbejdsmænd er de folk, der byggede fængslet, hjælper med at læsse varer af og, i nogle tilfælde, bringe varerne til de forskellige områder i fængslet.\n\n
buildtoolbar_popup_help_workman_2           ^Tips
buildtoolbar_popup_help_workman_3           Arbejdsmænd udfører opgaver mere eller mindre automatisk, men hvis du gerne vil have en bygningsopgave udført hurtigt, kan du klikke på Ctrl+Højreklik for at markere opgaven som en Høj prioritet. Det vil betyde, at den arbejdsmand, som er tættest på, vil stoppe det han laver og udføre opgaven.

buildtoolbar_popup_help_cook_1              Kokke forbereder maden til de indsatte, rengør kantineområderne og bringer madleveringer ind i køkkenerne.\n\n
buildtoolbar_popup_help_cook_2              ^Tips
buildtoolbar_popup_help_cook_3              - Det er vigtigt at sørge for, at du har nok Kokke til at følge med efterspørgslen på mad i fængslet. Hvis der ikke er nok, kan de ikke forberede nok mad, og nogle af de indsatte vil sulte ...

buildtoolbar_popup_help_warden_1            Fængselsinspektører er din forbindelse til Bureaukratiet, som driften af et fængsel medfører. De åbner Bureaukrati-vinduet og giver dig mulighed for at undersøge nye funktioner til brug i fængslet. Når de har fået et Kontor, vil de stort set passe sig selv.

buildtoolbar_popup_help_armedguard_1        Bevæbnede Vagter bruges til at holde styr på særligt farlige og uregerlige indsatte og er altid bevæbnet med et haglgevær. De undertrykker alle Indsatte i nærheden og gør det mindre sandsynligt, at de indsatte vil volde problemer. Hvis deres liv er i fare, vil de bruge deres haglgevær, hvilket sædvanligvis gør, at alle indsatte i nærheden opfører sig ordentligt.\n\n
buildtoolbar_popup_help_armedguard_2        ~Når en Bevæbnet Vagt er valgt, kan du give ham ordre om at bevæge sig hvor som helst hen i fængslet ved at Højreklikke på området. \n\n
buildtoolbar_popup_help_armedguard_3        ^Tips
buildtoolbar_popup_help_armedguard_4        - Hvis Friskud-knappen er aktiveret, vil Bevæbnede Vagter ikke vente til deres liv er i fare, før de skyder. De vil skyde på en hvilken som helst indsat, som volder problemer.
buildtoolbar_popup_help_armedguard_5        - Det er svært for en indsat at overmande de Bevæbnede Vagter, men hvis det lykkes, vil vagtens gevær ligger på gulvet - og hvem som helst kan tage dem ...

buildtoolbar_popup_help_doctor_1            Læger er ansvarlige for behandling af de skader, som indsatte og medarbejdere utvivlsomt vil pådrage sig i løbet af deres tid i fængslet. De behandler skader, tage hånd om indsatte, som har taget en overdosis, og står for behandlingsprogrammer for stofmisbrugere.\n\n
buildtoolbar_popup_help_doctor_2            ~Når en Læge er valgt, kan du give ham ordre om at bevæge sig hvor som helst hen i fængslet ved at Højreklikke på området.

buildtoolbar_popup_help_janitor_1           Pedeller er ansvarlige for at gøre fængslet rent og hjælper også med at drive Vaskerummene.\n\n
buildtoolbar_popup_help_janitor_2           ^Tips
buildtoolbar_popup_help_janitor_3           - Alle de opgaver Pedellerne udfører kan også udføres af arbejdende indsatte. Hvis der er et tilstrækkeligt antal indsatte tilknyttet Vaskerum og Rengøringsskabe, er det muligt at drive fængslet med få eller slet ingen Pedeller.

buildtoolbar_popup_help_gardener_1          Gartnere sørger for at holde udendørsområderne i fængslet pæne, fjerne ukrudt og plante træer.\n\n
buildtoolbar_popup_help_gardener_2          ^Tips
buildtoolbar_popup_help_gardener_3          - Hvis der er et skovområde, er Gartnerne ansvarlige for at plante de stiklinger, som du modtager. Sørg for, at der er nok til at kunne imødekomme behovet!

buildtoolbar_popup_help_doghandler_1        Hundeførere er sat sammen med en Vagthund. Vagthunde udmærker sig ved at kunne lugte sig frem til forbudte ting med kraftig lugt, såsom Stoffer og Alkohol, og kan også finde flugtruter under jorden.\n\n
buildtoolbar_popup_help_doghandler_2        ~Når en Hundefører er valgt, kan du give ham ordre om at bevæge sig hvor som helst hen i fængslet ved at Højreklikke på området. \n\n
buildtoolbar_popup_help_doghandler_3        ^Tips
buildtoolbar_popup_help_doghandler_4        - Hvis du sender en Hundefører til et bestemt område, vil det betyde, at Vagthunden vil prøve at lugte sig frem til forbudte ting, som er gemt i nærheden.
buildtoolbar_popup_help_doghandler_5        - Det kan også ske, at Vagthunden giver tegn, når den går hen over en flugtrute under jorden. En lille markør vil blive efterladt for at vise dette. Nogen gange vil hunden dog give tegn, selvom der ingenting er under jorden ...
buildtoolbar_popup_help_doghandler_6        - Hvis en Hundefører dræbes, vil deres Vagthund muligvis gå amok og prøve at slå deres Førers drabsmand ihjel, før de forlader fængslet.

buildtoolbar_popup_help_sniper_1            Snigskytter placerer sig i Vagttårnene, som du bygger omkring fængslet, hvilket virker afskrækkende på de indsatte og fungerer som sidste skanse mod indsatte, som prøver at flygte.\n\n
buildtoolbar_popup_help_sniper_2            ^Tips
buildtoolbar_popup_help_sniper_3            - Snigskytter har en kraftfuld riffel med lang rækkevidde, men kan kun afdække områder inden for deres sigtelinje.
buildtoolbar_popup_help_sniper_4            -Snigskytter vil affyre varselsskud mod indsatte, som ikke opfører sig ordentligt inden for fængslets mure. Hvis de indsatte ikke overgiver sig, vil snigskytterne skyde direkte på de indsatte.
buildtoolbar_popup_help_sniper_5            - Hvis Friskud er aktiveret, eller en indsat er uden for fængslet og er i gang med at flygte, vil der ikke blive affyret nogen varselsskud.

buildtoolbar_popup_help_chief_1             Sikkerhedschefen er ansvarlig for sikkerheden i fængslet. Han giver dig en statusrapport om tilstanden i fængslet, dvs. sandsynligheden for uro blandt de indsatte og hvor mange vagter, der på nuværende tidspunkt arbejder i fængslet. Han giver dig også mulighed for at undersøge mere avancerede sikkerhedsfunktioner, såsom Vagthunde eller Overvågningskameraer. Når han har Fået et kontor, vil han stort set passe sig selv.

buildtoolbar_popup_help_foreman_1           Arbejdslederen er den øverste chef for vedligeholdelse og byggeri i fængslet, og giver dig derved mulighed for at undersøge og ansætte Pedeller og Gartnere. Han er også ansvarlig for Fængselsarbejde, og fører personligt tilsyn med de indsattes oplæring i brugen af værktøjer i Værkstedet.\n\n
buildtoolbar_popup_help_foreman_2           ^Tips
buildtoolbar_popup_help_foreman_3           - Når du har bygget et Værksted i Fængslet, vil Arbejdslederen være ansvarlig for at undervise i Værkstedssikkerhed, hvilket kan planlægges i Program-fanebladet i rapportvinduet.

buildtoolbar_popup_help_psychologist_1      Psykologen er ansvarlig for at holde øje med de Indsattes psykiske helbred. En Psykolog giver dig mulighed for at forstå de indsattes behov, og han er også ansvarlig for at afholde nogle resocialiseringsprogrammer for de Indsatte.\n\n
buildtoolbar_popup_help_psychologist_2      ^Tips
buildtoolbar_popup_help_psychologist_3      -Når du har en Psykolog i fængslet, kan du se den enkelte indsattes behov ved at markere ham, eller alle de indsattes behov tilsammen i Behov-fanebladet i Rapportvinduet.
buildtoolbar_popup_help_psychologist_4      - Psykologer afholder AA-programmer til behandling af alkoholikere i fængslet, og også adfærdsterapi-programmer for at prøve at håndtere de mere besværlige indsatte. Som sådan, er det godt at have flere Psykologer i fængslet, hvis du synes, at der er behov for dem.

buildtoolbar_popup_help_accountant_1        Bogholderen står for regnskabet i fængslet og giver muligheden for at se fængslets cashflow og samlede værdi, samt nogle researchpunkter for at øge indtægten. Når han har fået et Kontor, vil han stort set passe sig selv.

buildtoolbar_popup_help_lawyer_1            Juristen hjælper dig med at omgå visse love, som kan volde problemer i forhold til driften af fængslet, og kan også hjælper dig med at undgå det juridiske ansvar for ulykkelige hændelser, som kunne ske i fængslet. Han kan også åbne Dødsgangen i fængslet. Når han har fået et kontor, vil han stort set passe sig selv.

buildtoolbar_popup_help_gangs_1             Bandeoversigten viser den nuværende status på alle Bander i fængslet. Du kan læse om hver enkelt bande, hvilke rum tilhører bander, og hvilke indsatte er bandemedlemmer. Du kan også se, hvilket bandemedlem er Næstkommanderende i banden, angivet ved to cirkler, og hvem der er Bandeleder, angivet ved tre cirkler.\n\n
buildtoolbar_popup_help_gangs_2             ~Hvis du med tvang vil fjerne bander fra et område, som de kontrollerer, skal du markere rummet og klikke på den viste Smid ud-knap. Banden vil dog ikke være tilfreds ...\n\n
buildtoolbar_popup_help_gangs_3             ^Tips
buildtoolbar_popup_help_gangs_4             - Du kan ikke ændre områder, som Bander kontrollerer. Hvis du vil tilføje eller fjerne noget fra disse områder, skal du generobre dem først.
buildtoolbar_popup_help_gangs_5             - Indsatte, som ikke er bandemedlem, skal betale for at benytte områder i fængslet, som kontrolleres af en Bande. Rivaliserende Bandemedlemmer vil undgå disse områder helt.
buildtoolbar_popup_help_gangs_6             - Du kan benytte Sikkerhedsrum til at opretholde indflydelse i et område. Enhver Vagt i en Vagtstue, som støder op til et Bandekontrolleret område, vil tælle i din favør.
buildtoolbar_popup_help_gangs_7             - Bandemedlemmer er meget beskyttende overfor deres bandeleder. De bryder sig ikke om, at der sker dem noget ...

buildtoolbar_popup_help_weathermap_1        Temperaturoversigten viser dig temperaturen på tværs af de forskellige områder i fængslet. Temperatur kan primært øges med Radiatorer. Hvis et område er for koldt, vil behovet for Varme øges hos de indsatte.

buildtoolbar_popup_help_prefabs_1           Hurtig Byg-menuen indeholder muligheder, som kan hjælpe dig med at fremskynde bygning af rum, som du har meget brug for. Kloneværktøjet giver dig mulighed for at vælge et område af fængslet, som du gerne vil kopiere og placere et andet sted. De Præfabrikerede rum giver dig mulighed for at placere dem, hvor der er et behov.\n\n
buildtoolbar_popup_help_prefabs_2           ~Når Kloneværktøjet er valgt, hold Højre museknap nede og træk området, som du gerne vil kopiere. Venstreklik dernæst på et andet område i fængslet, hvor du ønsker at bygge en kopi.\n
buildtoolbar_popup_help_prefabs_3           ~Hvis et Præfabrikeret værktøj er valgt, skal du blot klikke på det område af fængslet, hvor du ønsker det bygget, og Arbejdsmændene vil bygge det.\n\n
buildtoolbar_popup_help_prefabs_4           ^Tips
buildtoolbar_popup_help_prefabs_5           - Kloneværktøjet kopierer ikke Forsyningsforbindelser. Du skal forbinde strøm og vand til de nyoprettede områder manuelt.

buildtoolbar_popup_help_zoning_1        Zoneinddelingsværktøjet gør det muligt for dig at kontrollere, hvilke indsatte kan bevæge sig rundt i hvilke områder af fængslet, hvor Delte- og Fri Adgangs-områder er åbne for alle.\n\n
buildtoolbar_popup_help_zoning_2        ~Vælg den kategori, som du vil tildele en zone, og Venstreklik på zonen. Et Højreklik vil ændre zonen til Delt.
buildtoolbar_popup_help_zoning_3        ^Tips
buildtoolbar_popup_help_zoning_4        - Da ingen af de indsatte har adgang til områder, som kun er for Personale, kan du lave 'luftlåse', som gør det umuligt for indsatte at bevæge sig fra visse områder til andre fællesfaciliteter. Det er især nyttigt, hvis du, for eksempel, gerne vil holde alle indsatte med behov for beskyttelse i deres eget område, væk fra en delt Gård eller Fællesstue.
buildtoolbar_popup_help_zoning_5        - Hvis en zone er Åben, vil alle døre i den zone være ulåste.

buildtoolbar_popup_help_guards_1        Vagtværktøjet giver dig mulighed for at positionere Vagter i zoner. En vagt på en post vil bevæge sig tilfældigt rundt i deres tildelte zone og vil udføre enhver Vagtopgave i det område, som f.eks. at åben døre.\n\n
buildtoolbar_popup_help_guards_2        ~Venstreklik for at øge antallet af indsatte vagter i en zone. Højreklik for at fjerne en vagt.\n\n
buildtoolbar_popup_help_guards_3        ^Tips
buildtoolbar_popup_help_guards_4        - Hvis Mikroledelse er åben, vil du have adgang til Implementeringens Planlægningsfunktion Det vil gøre det muligt for dig at lægge en tidsplan for, hvornår vagter er placeret i bestemte områder. Hvis du kun vil have Vagter tildelt i Kantinen ved Måltider, for eksempel, kan du klikke på hver del i Planlægningsfunktionen, dernæst flytte en tidsperiode ind i hver del og klikke på Kantinen for at tildele vagter.
buildtoolbar_popup_help_guards_5        - Du har op til syv forskellige tidsperioder til rådighed i Planlægningen, samt standardfunktionen Altid-aktiv, og du kan derfor skabe komplekse implementeringsrutiner, som passer til de behov, som findes i fængslet.
buildtoolbar_popup_help_guards_6        - Hvis du ikke manuelt vælge en tidsperiode, når du fordeler Vagter, vil Planlægningsfunktionen bruge det nuværende tidspunkt - så sørg for at vælge det korrekte tidspunkt, når du ændrer iImplementeringsplanen!

buildtoolbar_popup_help_patrols_title   Patruljer
buildtoolbar_popup_help_patrols_1       De tre Patruljeværktøjer giver dig mulighed at fastlægge specifikke ruter, som du gerne vil have patruljeret, og dernæst enten vælge almindelige Vagter, Hundeførere eller Bevæbnede vagter (eller en kombination af alle tre) til at patruljere. Disse patruljer kan arbejde på tværs af flere zoner.\n\n
buildtoolbar_popup_help_patrols_2       ~Hold den Venstre Museknap nede, og træk markøren hen over kortet for at fastlægge patruljeruter, og Venstre klik på en eksisterende patruljerute for at tilføje en Vagt til patruljen. Højre klik på en Vagt på patrulje for at fjerne vagten eller hold den Højre Museknap nede, og træk markøren hen over kortet for at fjerne patruljen helt.\n\n
buildtoolbar_popup_help_patrols_3       ^Tips
buildtoolbar_popup_help_patrols_4       - Almindelige Vagter på patrulje vil fortsat udføre Vagtopgaver, såsom at åben døre eller visitere Indsatte. Hundeførere og Bevæbnede vagter vil ikke udføre andre opgaver.
buildtoolbar_popup_help_patrols_5       - Hvis Mikroledelse er åben, vil du have adgang til Implementeringens Planlægningsfunktion. Den virker på samme måde for Patruljer som den gør for Vagtimplementering.

buildtoolbar_popup_help_accessonly_1	Access-Only-værktøjet tillader, at du markerer områder af dit fængsel, som generelt bør undgås, når man bevæger sig rundt i fængslet. Det lader dig standse folk fra at bruge rum som smutveje igennem fængslet, hvis du foretrækker, at de tager en anden rute.\n\n
buildtoolbar_popup_help_accessonly_2	~Venstreklik på den zone, som du vil markere som Access-Only. Dette kan gøres som en tilføjelse til de normale sikkerhedsindstillinger.
buildtoolbar_popup_help_accessonly_3	~Højreklik på zonen for at fjerne Access-Only-indstillingen.\n\n
buildtoolbar_popup_help_accessonly_4	^Tip
buildtoolbar_popup_help_accessonly_5	- Access-Only er ikke en striks indstilling. Den forhindrer ikke udtrykkeligt folk fra at gå ind, i særdeleshed ikke hvis deres mål er inden for det markerede område. Hvis passage via et Access-Only-område er betydeligt kortere end et alternativ (f.eks. ved navigering rundt i hele fængslet), kan folk stadig gå igennem Access-Only-zoner.

job_matsassigned                        Tildelte materialer
job_matsavailable                       Tilgængelige materialer
job_awaitingmaterials                   Venter på materialer
job_inprogress                          - Igangværende-
job_blocked                             -Blokeret-
job_queued                              -I kø-

job_failed_noroute                      Ingen rute
job_failed_nomaterials                  Ingen materialer
job_failed_toodangerous                 For farligt
job_failed_materialsbeingcarried        Materialer på vej

job_rightclicktocancel                  - Højre Klik for at annullere
job_ftofollow							- Tryk på F for at følge
job_makehighpriority					- Ctrl + Venstre Klik for at gøre til Højprioritet
job_removehighpriority					- Ctrl + Højre Klik for at fjerne Højprioritet
job_makehighpriority_mac				- Alt + Venstre Klik for at gøre til Højprioritet
job_removehighpriority_mac				- Alt + Højre Klik for at fjerne Højprioritet
job_highpriority_tooltip				- HASTER
job_refundamount                        - Refunder beløb: *X

failuremessage_blocked                  Blokeret
failuremessage_cantafford               Mangler penge
failuremessage_cantaffordupkeep         Overskrider daglige budget
failuremessage_maximumcountreached      Maks. antal ansatte nået
failuremessage_maxstaff                 For mange ansatte


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                Leverancer
statustoolbar_finances                  Finanser
statustoolbar_regime                    Regime
statustoolbar_escapemap                 Sikkerhed
statustoolbar_electricity               Strøm
statustoolbar_stats                     Statistik
statustoolbar_danger                    Fare
statustoolbar_jobs                      Opgaver
statustoolbar_gangs                     Bander
statustoolbar_staff                     Ansatte
statustoolbar_research                  Forskning


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Grafik-redigeringsværktøj
spritebankeditor_create                 Skab
spritebankeditor_rotate                 Rotér
spritebankeditor_sort                   Sortér
spritebankeditor_markermodetitle        Markeringstilstand


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Hovedmenu
codex_campaign                          Kampagne
codex_cutscenes                         Filmsekvenser
codex_qualifications                    Kvalifikationer
codex_load                              Indlæs fængsel
codex_loadcampaign                      Indlæs kampagne
codex_save                              Gem fængsel
codex_savecampaign                      Gem kampagne
codex_performance						Test ydeevne
codex_developer_load                    (Udvikler) Indlæs bane
codex_developer_save                    (Udvikler) Gem bane
codex_developer_clearach                (Udvikler) Ryd resultater
codex_contacts                          Kontakter
codex_materials                         Materialer
codex_play                              Afspil
codex_play_escape                       Afspil Flugtindstilling
codex_polaroids                         Fotografier
codex_introduction                      Introduktion
codex_restartintroduction               Genstart introduktion
codex_restartchapter                    Genstart kapitel
codex_help                              Hjælp (wiki)
codex_opensavefolder                    Åbn Gemt-mappen
codex_options							Indstillinger
codex_nitgs								Navne i spillet
codex_workshop							Fængselsdeling (Steam)
codex_steamtrending                     Mest populære fængsler (Steam)
codex_checkforupdates                   Søg efter opdateringer
codex_preorder                          Forudbestil nu
codex_termsconditions                   Vilkår og betingelser
codex_twitter                           Twitter
codex_extras                            Ekstra
codex_unlocked                          Låst op for *X/*Y
codex_mapsettings                       Kortindstillinger
codex_othergames						Andre introversioner til spil
codex_mutators                          Mutatorer

codex_cloudsavedesc                     Gem i skyen/cloud
codex_cloud_enabled						Nyligt gemte elementer vil blive opbevaret i skyen/cloud.
codex_cloud_notaccount					Steam Cloud er deaktiveret i Steam-kunden. Reaktiver for at bruge denne funktion.
codex_cloud_notapp						Nyligt gemte elementer vil blive opbevaret på din harddisk.
codex_saveload_delete					Slet

codex_new                               Lav nyt fængsel
codex_new_worldsize                     Størrelse på området
codex_new_small                         Lille
codex_new_medium                        Medium
codex_new_large                         Stor
codex_new_selectwarden                  Vælg din fængselsinspektør
codex_new_selectgender                  Vælg Indsattes køn

codex_options_graphics					Grafik
codex_options_resolution				Opløsning
codex_options_resolutionauto			Automatisk
codex_options_windowed					Vindue
codex_options_highdpi					Høj DPI
codex_options_filtering					Filtrering
codex_options_nofiltering				Fra
codex_options_multisampled				Multisamplet
codex_options_supersampled				Supersamplet

codex_options_audio						Lyd
codex_options_volume					Lydstyrke
codex_options_frequency					Mix-frekvens
codex_options_swapstero					Skift stereo
codex_options_dspenabled				Aktivér DSP
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 Indstillinger for ur
codex_options_clocktype_analogue        Analog
codex_options_clocktype_12h             12 timer
codex_options_clocktype_24h             24 timer

codex_options_directions				Synlighed af gulvskiltning
codex_options_dirrender_hidden			Gemt
codex_options_dirrender_visible			Synlig
codex_options_dirrender_zoom			Zoom

codex_options_tempscale                 Vis temperaturer i celsius

codex_options_gameplay					Spil
codex_options_autosave					Tidsindstillet auto-gem
codex_options_renderrooms				Ternede lokaler
codex_options_apply						Udfør
codex_options_v2gui						Version 2.0 grafisk brugerflade
codex_options_zoomtomouse				Zoom til Mus
codex_options_oneclickrapsheet			Ét klik-straffeattest
codex_options_disableanalytics			Deaktiver analyser
codex_tooltip_disableanalytics          Vi indsamler anonymiserede statistikker for at forbedre spiloplevelsen. De indsamlede data vil kunne ses i metrics.txt

codex_options_language					Sprog

codex_options_experimental              Eksperimental
codex_options_enablevbo                 Aktiver Vertex Buffer-objekter

codex_nitgs_authwarning                 Vigtigt: Hvis du for nyligt har ændret dit Navn i Spillet, skal det godkendes, før det vises på listen.

codex_nitgs_filtercaption               Filter
codex_nitgs_filterall                   Alle
codex_nitgs_filtermen                   Mænd
codex_nitgs_filterwomen                 Kvinder

codex_nitgs_checkingforupdate           Tjekker for opdatering ...
codex_nitgs_updateavailable             Opdatering tilgængelig
codex_nitgs_downloading                 Downloader opdatering ...
codex_nitgs_downloadcomplete            Download afsluttet.
codex_nitgs_downloadfailed              Download mislykkedes.

codex_enabled                           Til
codex_disabled                          Fra

codex_option_intake                     Kontinuerlig tilgang
codex_tooltip_intake                    Når dette er slået til, modtager du et tilfældigt antal nye indsatte hver dag ... for evigt.\n\nNår det er slået fra, kan du selv vælge når du er klar til at modtage indsatte, ved at vælge "Rapporter" og dernæst trykke på "Indsatte"-fanen.
codex_option_fogofwar                   Krigståge
codex_tooltip_fogofwar                  Du vil ikke kunne se hvad der foregår inde i dit fængsel, medmindre du har vagter til at patruljere eller overvågningskameraer til at dække området.
codex_option_lakes                      Generér søer
codex_tooltip_lakes                     Vilkårlige søer kommer til at blokere dele af din grund. ADVARSEL: Eksperimentel.
codex_option_forests                    Generér skove
codex_tooltip_forests                   Der vil opstå klynger af træer på din grund.
codex_option_buildings                  Generér bygninger
codex_tooltip_buildings                 Tilfældige forladte bygninger står efterladte på din grund, du kan selv bestemme hvad de skal bruges til.
codex_option_failure                    Fiasko betingelser
codex_tooltip_failure                   En ekstra udfordring! Du bliver fyret og spillet slutter, hvis tilstandene bliver for dårlige. (Oprør, konkurs, for mange dødsfald eller flugtforsøg, osv.)
codex_option_unlimitedfunds             Uendelige penge
codex_tooltip_unlimitedfunds            Et ægte sandkassespil! Du kan bruge ligeså mange penge du har lyst til fra start, helt uden bekymring.
codex_option_gangs                      Bander
codex_tooltip_gangs                     Nogle indsatte ankommer med tilhørsforhold til bander, og de angriber medlemmer fra rivaliserende bander. En ekstra udfordring.
codex_option_events                     Hændelser
codex_tooltip_events                    Der opstår hændelser undervejs i spillet, for at holde dig på dupperne. Gør det ekstra svært og mere uforudsigeligt.
codex_option_weather                    Vejr og Temperatur
codex_tooltip_weather                   Tilføjer skiftende vejr og temperatur til dit fængsel og tvinger dig til at overveje opvarmning.
codex_option_enablecheats				Aktivér Værktøjer og Omveje
codex_tooltip_enablecheats				Aktiverer udviklerens værktøjer og omveje i dette fængsel. Hvis dette vælges, kan det ikke deaktiveres, bedrifter vil ikke blive belønnet, og du vil ikke kunne sælge fængslet.
codex_option_staffneeds                 Medarbejderes behov
codex_tooltip_staffneeds                Aktiver behov for dine vagter, det vil sige, at de vil have behov for mad, hvile og andre bekvemmeligheder for at kunne gøre et godt stykke arbejde.
codex_option_wardenmode                 Fængselsinspektørindstilling
codex_tooltip_wardenmode                Spil som den fængselsinspektør, der arbejder i det fængslet du bygger.
codex_option_wardenmode_permadeath      Permadød
codex_tooltip_wardenmode_permadeath     Hvis du dør som fængselsinspektør, vil spillet slutte!

codex_option_funds                      Penge
codex_tooltip_funds                     Du starter med dette beløb på din konto. Sælg dine etablerede fængsler fra vurderingsskærmen for at starte med flere penge.

codex_transfer							Overflyt
codex_transferring						Overflytter
codex_in_prison							P.t. indespærret
codex_unavailable                       Utilgængelig
codex_useravatar                        Dette er mig
codex_tooltip_useravatar                Markér denne fange som din egen. Hvis du på en eller anden måde skulle ende i fængsel, så vil denne fange repræsentere dig.
codex_tooltip_flagbio                   Meld denne biografi som anstødelig eller krænkende.

codex_workshop_current					Nuværende fængsel
codex_workshop_publish					Offentliggør dette fængsel
codex_workshop_update					Opdater
codex_workshop_play						Spil
codex_workshop_downloading				Downloader
codex_workshop_download_failed			Download mislykkedes
codex_workshop_publishing				Offentliggører...
codex_workshop_new						NYE
codex_workshop_title					Titel
codex_workshop_desc						Beskrivelse
codex_workshop_view_in_workshop			Se i Steam-værkstedet
codex_workshop_heading_pubed			Dine offentliggjorte fængsler
codex_workshop_heading_subed			Downloadede fængsler
codex_workshop_published_by				Offentliggjort af *P
codex_workshop_published_by_you			Offentliggjort af dig
codex_workshop_published_good			Fængsel offentliggjort
codex_workshop_published_good_msg		Dit fængsel er blevet offentliggjort.
codex_workshop_published_bad			Offentliggørelse af fængsel mislykkedes
codex_workshop_published_bad_msg		Det lykkedes ikke at offentliggøre dit fængsel.
codex_workshop_published_bad_msg_new	Det lykkedes ikke at offentliggøre dit nye fængsel. Prøv venligst igen.
codex_workshop_busy						De er igang med at trylle hos Steam. Vent venligst til de er færdige, og prøv så igen.
