# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Все изменения
object_ScannerMonitor	Монитор сканера
object_ScannerMachine	Сканер
object_CheckPoint	Контрольный пункт

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge	Остров
codex_option_islandBridge	Соединенный Oстров

codex_tooltip_islandNoBridge	Начальный участок земли окружен водой, а вместо дороги используется лодочный причал.
codex_tooltip_islandBridge	Начальный участок земли окружен водой, а с дорогой его соединяет мост.

mutator_name_DynamicReputations	Динамическая репутация
mutator_tooltip_DynamicReputations	Заключенные могут получать или терять уникальные черты репутации, пока отбывают срок. Эти черты зависят от того, что с ними происходит в тюрьме.

interfacelogistics_deliverytargeting	Доставка
d11_logistic_select_delivery_method	Выбрать способ доставки
interfacelogistics_vehiclepurpose	Транспорт

buildtoolbar_Logistics_DeliveryTargeting	Соедините зоны доставки, сбора мусора и отправки товаров с вертолетными площадками, причалами и дорогой, чтобы определить, каким образом ваша тюрьма будет получать и отправлять грузы.
buildtoolbar_Logistics_VehiclePurpose	Выберите, куда будут прибывать определенные виды грузов или заключенные. Они могут поступать на выбранные вами причалы и вертолетные площадки, а также их могут привозить наземным транспортом по дороге.

d11_logistics_transportTitle	Настройки транспорта
d11_logistics_purpose_group_0	Прибывающие грузы
d11_logistics_transport_deliveries_hint	Выберите, какие грузы будут доставляться сюда.
d11_logistics_purpose_group_0_item_1	Стройматериалы
d11_logistics_purpose_group_0_item_2	Питание
d11_logistics_purpose_group_0_item_3	Посылки
d11_logistics_purpose_group_0_item_4	Материалы для мастерской
d11_logistics_purpose_group_1	Поступающие заключенные
d11_logistics_transport_prisoners_hint	Выберите, какие заключенные будут поступать сюда из распределителя.
d11_logistics_purpose_group_1_item_1	Общий режим
d11_logistics_purpose_group_1_item_2	Средний режим
d11_logistics_purpose_group_1_item_3	Строгий режим
d11_logistics_purpose_group_1_item_4	Смертники
d11_logistics_purpose_group_1_item_5	Сумасшедшие
d11_logistics_purpose_group_2	Прибывающие гражданские
d11_logistics_transport_civilians_hint	Выберите, могут ли сюда прибывать посетители и учителя.
d11_logistics_purpose_group_3	Вывоз грузов
d11_logistics_transport_exports_hint	Выберите, какие грузы будут вывозить отсюда.
d11_logistics_purpose_group_3_item_1	Мусор
d11_logistics_purpose_group_3_item_2	Отправка товаров
d11_logistics_purpose_toggle	Переключить
d11_logistics_purpose_toggle_1	Переключить все
d11_logistics_purpose_toggle_on	(ВКЛ)
d11_logistics_purpose_toggle_off	(ВЫКЛ)

d11_room_error_no_link	Выгрузка заблокирована. Проверьте настройки доставки и транспортной логистики.

d11_hover_change	Изменить: [[*L]]

water_amount	Уровень воды *X%
ferry_timer	Отправляется через *X
ferry_warning	Не может отправиться

d11_hover_dismiss_vehicle	Отпустить: [[*S]]
d11_hover_depart_vehicle	Отправить: [[*S]]
interface_action_dismissVehicle	Отпустить транспорт
d11_hover_dismiss_vehicle_desc	Отпустить транспорт, чтобы освободить место?
d11_hover_dismiss_helicopter_desc	Отпустить вертолет?
d11_hover_dismiss_ferry_desc	Отправить паром раньше времени?

d11_hover_fight_fires	Тушить пожар: [[*X]]
interface_action_fightFires	Тушить пожар
d11_hover_fight_fires_desc	Взлететь и помочь с тушением пожара?

d11_hover_land_heli	Приземлиться: [[*S]]
interface_action_landheli	Посадить вертолет
d11_hover_land_heli_desc	Посадить вертолет на эту площадку?

d11_hover_eliteOps_select	Приказать вертолету: [[*X]]

d11_hover_deploy_squad	Высадить (удерживать) [[*X]]
interface_action_deploySquad	Высадить отряд
d11_hover_deploy_squad_desc	Высадить отряд под вертолетом?

interfacemode_floors	пол
interfaceoverlay_landscape	Ландшафт и острова

codex_options_hud_waypoints	Показывать путевые точки
codex_options_hud_waypoints_all	Включить все
codex_options_hud_waypoints_important	Самые важные
codex_options_hud_waypoints_off	Выключить все

d11_hud_waypoints_limited	Все (ограниченное время)
waypoints_tooltip	Настройте отображение путевых точек в интерфейсе. Такие точки указывают на различные происшествия и события в тюрьме.

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_obj_FerryDock	Постройте два паромных причала на разных островах, и вы сможете перевозить между ними грузы. Их необходимо размещать напротив друг друга на берегах этих островов.
buildtoolbar_popup_obj_BoatDock	Позволяет лодкам швартоваться рядом с вашей тюрьмой, перевозить заключенных на паромах и доставлять припасы.
buildtoolbar_popup_obj_Helipad	Позволяет вертолетам прилетать в вашу тюрьму, привозить новых заключенных и доставлять припасы. Кроме того, вы сможете вызывать воздушные службы быстрого реагирования.

buildtoolbar_popup_obj_DeckChair	Удовлетворяет потребность «Комфорт».
buildtoolbar_popup_obj_Fountain	Установите в воде, и на этом месте появится фонтан, у которого можно отдохнуть.

buildtoolbar_popup_obj_SteppingStoneLillyPad	Стройте дорожки, которые позволят заключенным и персоналу пересекать водоемы. Можно разместить только снаружи и на воде.
buildtoolbar_popup_obj_SteppingStone	Стройте дорожки, которые позволят заключенным и персоналу пересекать водоемы. Можно разместить только снаружи и на воде.
buildtoolbar_popup_obj_SteppingStoneIceBlock	Стройте дорожки, которые позволят заключенным и персоналу пересекать водоемы. Можно разместить только снаружи и на воде.
buildtoolbar_popup_obj_SteppingStonePallet	Стройте дорожки, которые позволят заключенным и персоналу пересекать водоемы. Можно разместить только снаружи и на воде.
buildtoolbar_popup_uts_ScannerMonitor	Монитор для подключения к сканеру. С его помощью охранник сможет обнаружить контрабанду. Эффективность обнаружения зависит от усталости охранника.
buildtoolbar_popup_uts_ScannerMachine	Этот аппарат следует размещать в зонах доставки и на складах. Он сканирует деревянные ящики и ищет в них контрабанду. Сканер подключается к монитору, на котором охранник будет видеть содержимое груза. Эффективность обнаружения контрабанды зависит от усталости охранника.
buildtoolbar_popup_obj_Checkpoint	Контрольный пункт для обыска заключенных и посетителей. Если на нем работает дежурит охранник, заключенный сможет пройти через пункт только в одном направлении.
buildtoolbar_popup_mat_waterShallow	Стройте участки с неглубокой водой, чтобы получить красиво оформленные берега между клетками воды и песка. По этим клеткам, в отличие от обычной воды, можно ходить.
buildtoolbar_popup_mat_waterLarge	Создавайте крупные водоемы, озера и океаны.
buildtoolbar_popup_mat_WoodenDockFloor	Прочный дощатый пол, который идеально подходит для причала.

landscape_hint	(Можно строить на воде)

d11_emergencies_hints_fire_heli	Вертолет, который перевозит x*A пожарных. - $*B
d11_squad_name_FireHeli	Пожарный вертолет
d11_emergencies_hints_paramedics_heli	Вертолет, который перевозит x*A парамедиков. - $*B
d11_squad_name_AirParamedics	Медицинский вертолет
d11_emergencies_hints_eliteOps_heli	Вертолет, который перевозит x*A бойцов элитного спецназа. - $*B
d11_squad_name_EliteOps	Группа элитного спецназа


quickbuild_OutdoorLake	Открытое озеро
quickbuild_River	Река

interfacecallout_FireHeli	Пожарный вертолет
interfacecallout_EliteOps	Группа элитного спецназа
interfacecallout_AirParamedics	Медицинский вертолет


# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint	Необходима связь с землей и свободный маршрут доставки.
delivery_hover_hint	*X: назначение можно настроить в меню Логистика > Транспорт.
ferryDock_placement_hint	Необходим участок суши напротив.
transportZones_hover_hint	Привяжите к вертолетным площадкам, причалам и дороге в меню логистики.

# =============================================================================
# DLC Upsell
# =============================================================================

objective_ReadSandALetter	Письмо от директора (Остров изоляции)
island_letter	Дорогой архитектор тюрьмы!\n\n\nПоздравляю вас с началом новой жизни и новой работой на Острове изоляции. Позвольте дать вам пару советов по работе причалов, вертолетных площадок и островных тюрем.\n\n1. Острова. — Некоторые тюрьмы, расположенные на островах, не имеют прямой связи с континентом, и для доставки грузов и перевозки заключенных вам потребуются лодки и вертолеты. Стройте причалы и вертолетные площадки и определяйте, чем они будут заниматься. Вы можете приспособить их для получения и отправки грузов, приема заключенных или вызова новых экстренных служб. При строительстве причалов проследите, чтобы на пути лодок не было никаких препятствий. — Для того, чтобы связать острова, вы можете строить ПАРОМНЫЕ ПРИЧАЛЫ, МОСТЫ и ВОДНЫЕ ПУТИ. — Теперь вашей тюрьме ничего не страшно. Вы можете вызывать отряды ЭЛИТНОГО СПЕЦНАЗА и пожарные вертолеты.\n\n2. Настройка транспорта и системы доставки. — В меню ЛОГИСТИКА вы можете распределить различные задачи между доступными причалами, вертолетными площадками и дорогой, чтобы повысить эффективность работы тюрьмы. Причалы и вертолетные площадки можно закрепить за дополнительными зонами доставки, приема и отправки товаров. Это удобно, если вы хотите, чтобы продукты доставлялись прямо к кухне, а новые заключенные строгого режима прибывали сразу к соответствующему крылу вашей тюрьмы. Экспериментируйте!\n\n3. Создание рельефа. — Теперь вы можете окружить свою тюрьму рвом или океаном, а переход между водой и сушей превратить в красивый берег. Используйте для этого, например, клетки земли. Любой участок суши или маленький остров, который вы создаете в воде, появится немедленно.\n\n4. Новые меры безопасности. — На лодках и вертолетах в вашу тюрьму могут ввозить контрабанду, поэтому мы дали вам доступ к самому современному оборудованию. Стройте СКАНЕРЫ на складах и в зонах доставки, чтобы проверять все коробки и ящики. Поставьте у МОНИТОРА СКАНЕРА бдительного охранника, чтобы выявлять нежелательные грузы. — Ставьте охранников на КОНТРОЛЬНЫХ ПУНКТАХ, и они будут обыскивать всех заключенных и посетителей при входе и отбирать контрабанду. Будьте внимательны: контрольный пункт в неудачном месте снижает пропускную способность.\n\nИ последнее. Даже с острова можно сбежать, поэтому подумайте о том, чтобы построить на берегах снайперские вышки, которые остановят тех, кто решил поплавать.\n\nот, кажется, и все. Удачи вам!\n\nДиректор\nPrison Architects Corp.


codex_option_dynamicReputations	Динамическая репутация
codex_tooltip_dynamicReputations	Заключенные могут получать или терять уникальные черты репутации, пока отбывают срок. Эти черты зависят от того, что с ними происходит в тюрьме.\n\n Низко: динамические репутации появляются крайне редко и развиваются медленно. Количество легендарных заключенных значительно сокращено.\n\n Средне: динамические репутации появляются редко и развиваются со средней скоростью. Количество легендарных заключенных умеренное.\n\n Высоко: динамические репутации появляются регулярно и развиваются со средней скоростью. Возможное количество легендарных заключенных высокое.
object_scannermonitor_needsmachine	Подключить к сканеру
object_scannermachine_needsmonitor	Подключить к монитору сканера

roomerror_nodeliveryarealinked	За участком не закреплено зоны доставки в разделе логистики



# =============================================================================
# Missing Strings
# =============================================================================

buildtoolbar_popup_help_jobs_6	Зоны лесничества, где работают заключенные, должны быть огорожены, чтобы предотвратить побеги.


research_forestrylabour	Работа в лесничестве
researchtooltip_forestrylabour	Позволяет вам отправлять рабочих в лесничество из меню логистики. Районы с лесом нужно огораживать: в этом случае вы сможете закреплять за ними заключенных и не бояться побега. Не забудьте дать заключенным доступ к зонам доставки, чтобы они могли высаживать новые деревья.
action_usecomputer	Использовать компьютер


buildtoolbar_popup_help_roomquality_1	Вид «Оценка качества камер» показывает качество всех камер вашей тюрьмы, которые можно улучшить. Чем выше оценка, тем лучше камера. Наведите курсор на помещение, и вы увидите факторы, которые учитываются при оценке его качества, а также узнаете, как можно повысить этот показатель.\n\n
buildtoolbar_popup_help_roomquality_2	Со включенным ПЕРЕВОДОМ ЗАКЛЮЧЕННЫХ
buildtoolbar_popup_help_roomquality_3	— Качество камеры также влияет на общую оценку режима содержания.
buildtoolbar_popup_help_roomquality_4	— Если определенный режим заключения комфортнее других, заключенные захотят, чтобы их туда перевели.\n\n
buildtoolbar_popup_help_roomquality_5	РАСПРЕДЕЛЕНИЕ КАМЕР
buildtoolbar_popup_help_roomquality_6	- Заключенные получают право на перевод в камеру с более высоким качеством содержания за примерное поведение, продемонстрированное в течение некоторого промежутка времени. Наличие камер более высокого качества является хорошим стимулом для хорошего поведения заключенных.
buildtoolbar_popup_help_roomquality_7	- Важно иметь в наличии несколько камер низкого качества, поскольку вам необходимо будет где-то размещать вновь прибывших заключенных, и если качество всех свободных камер слишком высокое, новички могут оказаться в общей камере.
buildtoolbar_popup_help_roomquality_8	- При отсутствии свободных мест заключенных можно переводить в камеры более высокого качества, чем они заслуживают, но это может огорчить других заключенных...

interface_landbuyoverwater	Используется для создания дополнительных островов без нарушения маршрутов доставки или на воде.
interface_landbuywaterislands	ОСТРОВА
interface_landbuywateronly	ТОЛЬКО ВОДА

codex_option_landExpansion	Расширение
codex_tooltip_landExpansion	Увеличивает территорию вашего участка один раз в каждую сторону; позволяет начать игру сразу на участке большей площади.


quickbuild_smallIsland	Остров (маленький)
quickbuild_mediumIsland	Остров (средний)
quickbuild_largeIsland	Остров (большой)
quickbuild_smallLand	Территория (маленькая)
quickbuild_largeLand	Территория (большая)


buildtoolbar_quickbuild_smallIsland	Самый обычный остров, окруженный мелководьем; отлично впишется в любой архипелаг.
buildtoolbar_quickbuild_mediumIsland	Самый обычный остров, окруженный мелководьем; отлично впишется в любой архипелаг.
buildtoolbar_quickbuild_largeIsland	Самый обычный остров, окруженный мелководьем; отлично впишется в любой архипелаг.
buildtoolbar_quickbuild_smallLand	Стандартный набор клеток песка, земли и травы для увеличения территории.
buildtoolbar_quickbuild_largeLand	Стандартный набор клеток песка, земли и травы для увеличения территории.

material_islandgenerator	Быстрые острова
buildtoolbar_popup_mat_islandgenerator	Обведите область на воде, чтобы создать случайный остров. Будьте внимательны и не нарушьте водные маршруты доставки!

online_check_fail	В данный момент вы не можете использовать эту игровую функцию.

job_failed_routetomaterial_blocked	Путь между материалом и заданием заблокирован

############################### Green Machine ###############################

# =============================================================================
# Materials - Names
# =============================================================================

#console only
material_FlowerField	Цветущее поле
#

material_ReclaimedWoodWall	Деревянная стена из вторсырья
material_BottleWall	Бутылочная стена
material_WhitePicketFence	Белая ограда
material_ReclaimedBrickFloor	Кирпич из вторсырья
material_ReclaimedRubberFloor	Резина из вторсырья
material_HayBailWall	Соломенная стена
material_WoodenFence	Деревянная ограда
material_GardenWall	Садовая ограда
material_SellMaterial	Продать материал

# =============================================================================
# Objects - Names
# =============================================================================

object_shed	Амбар
object_BasicAutoGatherer	Простой автосборщик
object_AdvanceAutoGatherer	Улучшенный автосборщик
object_AutoHarvester	Автокомбайн
object_AutoScythe	Автокосилка
object_Farmer	Фермер
object_CompostFertilizer	Компостное удобрение
object_HighQualityFertilizer	Улучшенное удобрение

object_CropCarrotPlant	Морковь
object_CropPotatoPlant	Картофель
object_CropTomatoPlant	Помидор
object_CropCabbagePlant	Капуста
object_CropAppleTree	Яблоня
object_CropBananaTree	Банан
object_CropOrangeTree	Апельсин
object_CropPeachTree	Персик
object_CropCornPlant	Кукуруза
object_CropWheatPlant	Пшеница
object_CropBarleyPlant	Ячмень

object_CropAppleTreeSeed	Семя яблони
object_CropBananaTreeSeed	Семя банана
object_CropOrangeTreeSeed	Семя апельсина
object_CropPeachTreeSeed	Семя персика

object_CropCarrotPlantSeed	Семя моркови
object_CropPotatoPlantSeed	Семя картофеля
object_CropTomatoPlantSeed	Семя помидора
object_CropCabbagePlantSeed	Семя капусты
object_CropCornPlantSeed	Семя кукурузы
object_CropWheatPlantSeed	Семя пшеницы
object_CropBarleyPlantSeed	Семя ячменя

object_apple	Яблоко
object_banana	Банан
object_Peach	Персик
object_orange	Апельсин
object_carrot	Морковь
object_cabbage	Капуста
object_potato	Картофель
object_tomato	Помидор
object_barley	Ячмень
object_wheat	Пшеница
object_corn	Кукуруза
object_organicwaste	Органические отходы

object_SolarPanels	Солнечные панели
object_Transformer	Трансформатор
object_WindTurbine	Ветровая турбина
object_SolarWindHybrid	Ветросолнечная установка
object_Battery	Батарея
object_PowerExportMeter	Счётчик продаваемой энергии
object_PracticeSolarPanel	Эксплуатируемая солнечная панель

object_TallFridge	Высокий холодильник
object_StorageShelf	Стеллаж
object_CropSprinkler	Поливалка
object_DripPipe	Орошающий трубопровод

object_compostbin	Контейнер для компоста
object_RecyclingBin	Контейнер для отходов
object_RecyclingBag	Мешок с мусором

object_GardenGnome	Садовый гном
object_TopiaryBush	Подстриженный куст
object_TopiaryBushBall	Подстриженный куст (шар)
object_TopiaryBushWarden	Подстриженный куст (надзиратель)
object_TopiaryBushSwan	Подстриженный куст (лебедь)
object_TopiaryBushDeer	Подстриженный куст (олень)
object_TopiaryBushDog	Подстриженный куст (собака)
object_TopiaryBushCat	Подстриженный куст (кошка)
object_TopiaryBushRex	Подстриженный куст (король)
object_SolarLight	Фонарь (солнечный)

# 						RECREATIONAL GARDENING

object_FlowerRoseBush	Розовый куст
object_FlowerSunflower	Подсолнух
object_FlowerMixedBegonias	Бегонии разных сортов
object_FlowerHeatherBushes	Вересковые кусты
object_FlowerHydrangeaPlant	Гортензия

object_FlowerRoseBushSeed	Семя розового куста
object_FlowerSunflowerSeed	Семя подсолнуха
object_FlowerMixedBegoniasSeed	Семя бегонии
object_FlowerHeatherBushesSeed	Семя вереска
object_FlowerHydrangeaPlantSeed	Семя гортензии

object_BarnDoor	Амбарная дверь
object_WhitePicketGate	Белая калитка
object_DoubleDoor	Двустворчатая дверь
object_DoubleStaffDoor	Двустворчатая служебная дверь
object_DoubleVisitorDoor	Двустворчатая дверь для посетителей
object_SellUtility	Продать инженерную сеть
object_dumpObject	Избавиться от объекта

object_SellUtility	Продать инженерную сеть

# =============================================================================
# Equipment - Names
# =============================================================================

equipment_trowel	Совок
equipment_handFork	Садовая вилка
equipment_HerbPlant	Наркотики
equipment_Kicker	Сеноворошилка
equipment_Drink	Напиток
equipment_BoozeBag	Пакет с выпивкой
equipment_Orange	Апельсин
equipment_ProducedDrugs	Изготовлены наркотики
equipment_ProducedBooze	Изготовлена выпивка
equipment_ProducedNarcotics	Изготовлены наркотические вещества

# =============================================================================
# Room - Names
# =============================================================================

room_VegetableAllotment	Огород
room_FruitOrchard	Фруктовый сад
room_FarmingField	Фермерское поле
room_pantry	Кладовая

#=========================================================================
# Quick Rooms
#=========================================================================

quickbuild_flowerGarden	Цветочный сад
quickbuild_grove	Роща
quickbuild_hedgeMaze	Лабиринт из кустарника
quickbuild_yard	Двор

buildtoolbar_quickbuild_flowerGarden	Место, где отдыхают наши заключённые.
buildtoolbar_quickbuild_grove	Деревья, благодаря которым наша территория станет живописнее.
buildtoolbar_quickbuild_hedgeMaze	Незамысловатый лабиринт из кустарника, который смогут исследовать наши заключённые.
buildtoolbar_quickbuild_yard	Обычный двор, в котором есть всё, что может понадобиться нашим заключённым.


# =============================================================================
# Carousel - Hint strings
# =============================================================================

#console only
buildtoolbar_popup_mat_FlowerField	Участок земли, покрытый травой и цветами.
#

buildtoolbar_popup_mat_ReclaimedWoodWall	Деревянные стены, изготовленные из переработанных материалов.
buildtoolbar_popup_mat_BottleWall	Яркие и живописные стены, изготовленные из переработанных материалов.
buildtoolbar_popup_mat_WhitePicketFence	Подходит для защиты цветов, но заключённых не удержит.
buildtoolbar_popup_mat_ReclaimedBrickFloor	Напольное покрытие с узором «ёлочкой», изготовленное из переработанных материалов.
buildtoolbar_popup_mat_ReclaimedRubberFloor	Резиновое напольное покрытие, изготовленное из переработанных материалов.

buildtoolbar_popup_obj_shed	Здесь хранят семена, инструменты и другие фермерские принадлежности, также здесь есть водопроводный кран для полива.
buildtoolbar_popup_obj_BasicAutoGatherer	Включается каждые 6 часов, чтобы собрать с участка (5х5) урожай и отправить его на хранение.
buildtoolbar_popup_obj_AdvancedAutoGatherer	Включается каждые 6 часов, чтобы собрать с участка (10х10) урожай и отправить его на хранение.
buildtoolbar_popup_obj_AutoHarvester	Включается каждые 6 часов, чтобы собрать урожай с участка длиной 10 клеток. Стены и двери могут помешать сбору урожая.
buildtoolbar_popup_obj_AutoScythe	Роботизированный фермерский инструмент, включающийся каждые 6 часов игрового времени. Собирает урожай с участка 5х5 клеток.

buildtoolbar_popup_room_pantry	Помещение для хранения спелых фруктов и овощей. Низкая температура сохраняет свежесть собранного тюремного урожая.
buildtoolbar_popup_room_VegetableAllotment	Помещение для выращивания овощей, которые можно использовать в рационе заключённых или продавать.
buildtoolbar_popup_room_FarmingField	Помещение для выращивания злаков. Их зерно годится только на продажу.
buildtoolbar_popup_room_FruitOrchard	Помещение для выращивания фруктовых деревьев, которые будут регулярно плодоносить после первого сбора. Фрукты можно использовать в рационе заключённых или продавать.
buildtoolbar_popup_room_flowergarden	Садовый участок для отдыха, где заключённые могут выращивать растения и ухаживать за ними.

buildtoolbar_popup_obj_CropCarrotPlant	Вырастите собственную морковь! Купите пачку из 20 семян и вырастите 20 отличных морковок! Собранную морковь можно продать по 4 $ за единицу.
buildtoolbar_popup_obj_CropPotatoPlant	Выращивайте собственный картофель! Купите пачку из 20 семян и вырастите 60 отличных клубней! Собранный картофель можно продать по 3 $ за единицу.
buildtoolbar_popup_obj_CropTomatoPlant	Выращивайте собственные помидоры! Купите пачку из 10 семян и вырастите 50 помидоров! Собранные помидоры можно продать по 4 $ за единицу.
buildtoolbar_popup_obj_CropCabbagePlant	Выращивайте собственную капусту! Купите пачку из 30 семян и вырастите 30 кочанов! Собранную капусту можно продать по 4 $ за единицу.
buildtoolbar_popup_obj_CropAppleTree	Вырастите дерево, которое даёт урожай яблок! В пачке 5 семян. Каждое дерево даёт в среднем 10 яблок. Собранные яблоки можно продать по 4 $ за единицу.
buildtoolbar_popup_obj_CropBananaTree	Вырастите дерево, которое даёт урожай бананов! В пачке 5 семян. Каждое дерево даёт в среднем 16 бананов. Собранные бананы можно продать по 6 $ за единицу.
buildtoolbar_popup_obj_CropPeachTree	Вырастите дерево, которое даёт урожай персиков! В пачке 5 семян. Каждое дерево даёт в среднем 10 персиков. Собранные персики можно продать по 6 $ за единицу.
buildtoolbar_popup_obj_CropOrangeTree	Вырастите дерево, которое даёт урожай апельсинов! В пачке 5 семян. Каждое дерево даёт в среднем 8 апельсинов. Собранные апельсины можно продать по 3 $ за единицу.
buildtoolbar_popup_obj_CropCornPlant	Выращивайте собственную кукурузу! Купите пачку из 10 семян и вырастите 50 початков кукурузы! Собранную кукурузу можно продать по 5 $ за единицу.
buildtoolbar_popup_obj_CropBarleyPlant	Выращивайте собственный ячмень! Купите пачку из 20 семян и вырастите 40 колосков ячменя! Собранный ячмень можно продать по 3 $ за единицу.
buildtoolbar_popup_obj_CropWheatPlant	Выращивайте собственную пшеницу! Купите пачку из 20 семян и вырастите 80 колосков пшеницы! Собранную пшеницу можно продать по 6 $ за единицу.
buildtoolbar_popup_obj_CompostFertilizer	При использовании повышает скорость роста и созревания возделываемых растений на 25%.
buildtoolbar_popup_obj_HighQualityFertilizer	При использовании повышает скорость роста и созревания возделываемых растений и овощей на 50%. Также увеличивает вероятность получения семян.
buildtoolbar_popup_obj_sellMaterial	Продать материалы по сниженной цене.
buildtoolbar_popup_obj_dumpObject	Избавиться от объектов в вашей тюрьме.
buildtoolbar_popup_obj_sellUtility	Продать объекты инженерной сети по сниженной цене.

buildtoolbar_popup_obj_TallFridge	Теперь продукты можно хранить на уровне головы!
buildtoolbar_popup_obj_StorageShelf	Ещё больше места для хранения.
buildtoolbar_popup_obj_CropSprinkler	Обеспечивает автоматический полив травы, цветов и деревьев.
buildtoolbar_popup_obj_DripPipe	Автоматизируйте поливку растений в пределах двух соседних клеток с помощью этой поливочной системы. Трубопровод можно размещать только по прямой линии, при этом горизонтальные и вертикальные участки не соединяются.

buildtoolbar_popup_uts_SolarPanels	Электрогенератор, обуздавший энергию самого Солнца! Его можно подключить к разнообразным источникам чистой энергии, но, прежде чем использовать эту энергию в вашей тюрьме, понадобится установить трансформатор.
buildtoolbar_popup_uts_Transformer	Позволяет получать электричество из источников чистой энергии. К трансформатору можно подключить несколько устройств в пределах 3000 единиц мощности. Электрические кабели необходимо подключать в направлении, указанном стрелками.
buildtoolbar_popup_uts_WindTurbine	Электрогенератор, обуздавший энергию ветра! Его можно подключить к разнообразным источникам чистой энергии, но, прежде чем использовать её в вашей тюрьме, понадобится установить трансформатор.
buildtoolbar_popup_uts_SolarWindHybrid	Электрогенератор, обуздавший энергии ветра и Солнца! Его можно подключить к разнообразным источникам чистой энергии, но, прежде чем использовать её в вашей тюрьме, понадобится установить трансформатор.
buildtoolbar_popup_uts_Battery	Накапливает излишки энергии, преобразованной трансформатором, на случай аварии или для продажи. Размещается рядом с трансформатором.
buildtoolbar_popup_uts_PowerExportMeter	Объект, позволяющий возвращать излишки накопленной энергии обратно в сеть и получать за это компенсацию. Требует подключения к соответствующему трансформатору.
buildtoolbar_popup_obj_PracticeSolarPanel	Отдельная солнечная панель, прикреплённая к небольшому столу. До четырёх заключённых могут использовать её энергию в мастерской при работе в рамках программы по эксплуатации солнечных панелей.


buildtoolbar_popup_obj_object_compostbin	Помогает перерабатывать пищевые и органические отходы в полезное удобрение.
buildtoolbar_popup_obj_RecyclingBin	Переработка мусора вместо складирования его на свалке благотворно сказывается не только на экологии, но, после введения поощрения за утилизацию отходов, и на вашем кошельке!
buildtoolbar_popup_obj_GardenGnome	Классическое садовое украшение.
buildtoolbar_popup_obj_TopiaryBush	Куст причудливой формы.
buildtoolbar_popup_obj_TopiaryBushBall	Куст в форме леденца на палочке.
buildtoolbar_popup_obj_TopiaryBushWarden	Куст в форме начальника тюрьмы.
buildtoolbar_popup_obj_TopiaryBushSwan	Куст в форме элегантного лебедя.
buildtoolbar_popup_obj_TopiaryBushDeer	Куст в форме величественного оленя.
buildtoolbar_popup_obj_TopiaryBushDog	Куст в форме лучшего друга человека.
buildtoolbar_popup_obj_TopiaryBushCat	Куст в форме того, кто гуляет сам по себе.
buildtoolbar_popup_obj_TopiaryBushRex	Куст, внешний вид которого поражает воображение.
buildtoolbar_popup_obj_SolarLight	Фонарь на солнечной энергии, который включается автоматически с наступлением сумерек.
buildtoolbar_popup_obj_FlowerRoseBush	Декоративный куст, усыпанный красными цветами.
buildtoolbar_popup_obj_FlowerSunflower	Большой жёлтый цветок.
buildtoolbar_popup_obj_FlowerMixedBegonias	Скопление ярких цветков.
buildtoolbar_popup_obj_FlowerHeatherBushes	Живописный куст.
buildtoolbar_popup_obj_FlowerHydrangeaPlant	Декоративное растение, усыпанное синими цветами.
buildtoolbar_popup_obj_BarnDoor	Теперь вопрос о деревенском происхождении заключённых можно считать закрытым.
buildtoolbar_popup_obj_WhitePicketGate	Подходит для защиты цветов, но заключённых не удержит.
buildtoolbar_popup_obj_DoubleDoor	Двустворчатая дверь, в которую может зайти кто угодно.
buildtoolbar_popup_obj_DoubleStaffDoor	Двустворчатая дверь, предназначенная для сотрудников тюрьмы.
