# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Hele endringsloggen
buildtoolbar_popup_obj_leatherchair				Passer til skinnsofaen. Perfekt for ansatte å sitte på, og altfor fin for de innsatte.
buildtoolbar_popup_obj_leatherSofa				Hvis du handler inn en klassisk skinnsofa til psykiaterkontoret, vil psykiateren kunne tilby bedre behandling av psykisk syke innsatte.

buildtoolbar_deployment_insaneseczone			Bare psykisk syke innsatte har lov til å være i denne avdelingen.

failuremessage_maximumcountreachedgeneric		Maksimalt antall plassert

buildtoolbar_popup_locked_PsychiatricConsultation				Låses opp etter *B psykiatersamtaler til
buildtoobar_PsychConItemImproveInfo 			– Forbedrer kvaliteten på psykiaterkontoret.
buildtoobar_PsychConItemImproveSuppression 		– Etter en samtale reduseres en psykisk syk innsatts\nfølelse av å være kuet samt visse behov med 5 %.
buildtoobar_PsychConItemImproveGrace 			– Etter en samtale blir en psykisk syk innsatt\nrolig i 1 ekstra dag\nfør visse behov og følelsen av å være kuet begynner å melde seg igjen.
buildtoolbar_popup_obj_Footbridge				Gjør at innsatte og ansatte kan krysse områder med land og vann. Kan ikke bygges over vegger, gjerder og andre bygninger.
buildtoolbar_popup_obj_FootbridgeSteel			Gjør at innsatte og ansatte kan krysse områder med land og vann. Kan ikke bygges over vegger, gjerder og andre bygninger.
buildtoolbar_popup_obj_FootbridgeB				Gjør at innsatte og ansatte kan krysse områder med land og vann. Kan ikke bygges over vegger, gjerder og andre bygninger.
buildtoolbar_popup_obj_FootbridgeSteelB			Gjør at innsatte og ansatte kan krysse områder med land og vann. Kan ikke bygges over vegger, gjerder og andre bygninger.
buildtoolbar_popup_obj_BoomBoxRoundHouse		Fangene kan høre på sine favoritt-boyband mens de holder på med de daglige gjøremålene. Gjør alle fangene i samme rom litt mer fornøyde.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Polstret isolatcelle

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Holdes av for psykisk syke innsatte, med polstrete vegger som gir en følelse av ro.
buildtoolbar_popup_room_paddedholdingcell	    Det er her nyankomne psykisk syke innsatte plasseres før en permanent polstret celle er klar.
buildtoolbar_popup_room_paddedsolitary			    En isolatcelle for de verste av våre psykisk syke innsatte.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Polstret (liten)
quickbuild_paddedintermediatecell							Polstret (middels)
quickbuild_paddedholdingcell								Polstret varetektscelle
quickbuild_paddedsolitarycell								Polstret isolatcelle
quickbuild_PsychiatristOffice								Psykiaterkontor



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Kun for rettspsykiatrisk avdeling
interfacetopbar_PrisonerCells_insaneSecOnly	Kapasitet for psykisk syke: *X

roomgrading_PsychiatristOffice_info				Lås opp og plasser flere gjenstander på psykiaterkontoret for å forbedre behandlingen av psykisk syke innsatte.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Gjenstand: *X
roomgrading_PsychiatristOffice_Quality			Psykiaterferdighet: *Q
roomgrading_PsychiatristOffice_Upgrade			Oppgrader psykiaterkontoret for å kunne tilby bedre behandling.

roomgrading_score_average		GJENNOMSNITTLIG
roomgrading_score_good			BRA
roomgrading_score_verygood		SVÆRT BRA
roomgrading_score_outstanding	FREMRAGENDE

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Rettspsykiatrisk avdeling
objective_grant_firstinsanecellblock_description	Myndighetene har sagt seg villig til å gi oss økonomisk støtte til en utvidelse av fengselet vårt, slik at vi kan huse og gi beskyttelse til psykisk syke innsatte.\n\nMed disse midlene kan vi bygge polstrete celler og ansatte kvalifiserte psykiatere.
objective_grant_firstinsanecellblock_cells			Bygg en rettspsykiatrisk avdeling med 10 polstrete celler for psykisk syke.
objective_grant_firstinsanecellblock_prisoners		Ta inn 10 psykisk syke innsatte
objective_grant_firstinsanecellblock_psychiatrist	Ansett 2 psykiatere (som trenger hvert sitt kontor)

objective_readinsaneletter						Administrerende direktørs retningslinjer vedrørende psykisk syke innsatte
objective_readinsaneletter_description			Før du tar inn psykisk syke innsatte i fengselet, må du klargjøre nødvendige fasiliteter og ansette medarbeidere som kan ivareta de nyankomnes behov. Fra adm.dir

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     Som tidligere pengeinnkrever har Hartman mye nyttig å lære bort til sikkerhetsvaktene.\n\n – Vakter mister ikke nøklene like ofte\n – Vaktenes utholdenhet øker når det kommer nye innsatte
warden_wardeninsanehawk_desc_short               – Vaktenes utholdenhet øker når det kommer nye innsatte

warden_wardeninsaneslugworth_name                Dr. Slugworth
warden_wardeninsaneslugworth_desc                Når andre fengsler sier nei, åpner Slugworth døren for de verste psykisk syke innsatte, overbevist om at han kan hjelpe.\n\n – Psykiatriske behandlinger gir 20 % større effekt\n – Du får større sjanse til å få psykopatiske innsatte!
warden_wardeninsaneslugworth_desc_short          – Gir deg flere psykopatiske innsatte. Psykiatere gir bedre behandling.

warden_wardeninsanehudson_name					 Dr. Hudson
warden_wardeninsanehudson_desc                   Dr. Hudson er beredt til å gjøre det ingen andre fengselsdirektører kan.\n\n – Redningstjenesten reagerer 20 % raskere og ankommer tidligere\n – Reparasjonskostnader reduseres med 10 %
warden_wardeninsanehudson_desc_short             – Raskere utrykning, reduserte reparasjonskostnader.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Dødsfall blant psykisk syke innsatte
victory_warning_insaneprisonersdeaths			 Du får sparken hvis for mange psykisk syke innsatte dør.
victory_insaneprisonersdeaths_units				 Dødsfall

victory_insaneprisonersabused					 Overfall på psykisk syke innsatte
victory_warning_insaneprisonersabused			 Du får sparken hvis for mange psykisk syke innsatte blir overfalt av vakter.
victory_insaneprisonersabused_units				 Overfall

victory_adviserwarning_insaneprisonersdeaths1	 Vi kan ikke tillate at psykisk syke innsatte blir mishandlet i fengselet vårt! Media vil dra navnet vårt gjennom sølen hvis vi ikke skjerper oss!
victory_advisernotice_insaneprisonersdeaths1	 Nok er nok! Du har sparken! Oppgaven din var å gi omsorg til de psykisk syke, men i stedet har du latt dem gjennomgå fryktelige lidelser. Jeg må gi deg sparken, og jeg håper du tenker godt gjennom hva det er du holder på med.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Psykisk syke innsatte

codex_tooltip_criminallyinsane					Ta deg av innsatte som konstant føler seg kuet, og som trenger nye polstrete celler og psykiatrisk hjelp for at behovet deres for privatliv, komfort, sikkerhet og frihet skal imøtekommes før de mister kontrollen. Aktiverer du denne innstillingen, kan vanlige innsatte også bli psykisk syke hvis behovene deres ikke tilfredsstilles. Du kan slå av dette i kartinnstillingene.

codex_prisoner_biography_NITG					Skreddersydd, spillerskapt biografi
codex_options_InsaneGauge						Stabilitetsmåler over hodet

codex_option_desert								Ørkentomt
codex_tooltip_desert							Lag en starttomt som minner om en ørken.

codex_options_rendercolours						Fargede romoverlegg

codex_new_selectdog								Velg vakthunder

codex_option_prisonerTurning					Innsatte kan bli psykisk syke

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Psykisk syk
rapsheet_insane_bio_desc                        Psykisk syke innsatte går med en konstant følelse av å være kuet, og uten polstrete celler og psykiatrisk hjelp vil de ikke holde seg i ro.\n\nPsykisk syke innsatte som mister kontrollen, kan gå til angrep på ansatte, ødelegge inventar i fengselet, forsøke å rømme eller utvise andre typer uforutsigbar atferd.

reputation_Weak                                 Svak
reputation_Insomniac                            Søvnløs
reputation_Depressed                            Deprimert
reputation_Outbreaks                            Utbrudd
reputation_Sickness                             Sykdom
reputation_Hyperactive                          Hyperaktiv
reputation_Addict                               Narkoman
reputation_Claustrophobic                       Klaustrofobisk
reputation_ExtremelyStoical                     Svært karakterfast
reputation_ExtremelyVolatile                    Svært ustabil
reputation_Psychopathic                         Psykopatisk
reputation_Insane                               Psykisk syk

reputationtooltip_Weak                          Dette er en innsatt som er svak og ikke vil kunne forsvare seg i en slåsskamp. Han blir derfor lettere skadet.
reputationtooltip_Insomniac                     Dette er en innsatt som trenger veldig lite søvn.
reputationtooltip_Depressed                     Dette er en innsatt som beveger seg mye langsommere når han føler seg kuet og ubehandlet.
reputationtooltip_Outbreaks                     Dette er en innsatt som er tilbøyelig for voldelige utbrudd mot mennesker og interiør når han føler seg kuet og ubehandlet.
reputationtooltip_Sickness                      Dette er en innsatt som er tilbøyelig for å kaste opp eller gjøre på seg når han føler seg kuet og ubehandlet.
reputationtooltip_Hyperactive                   Dette er en innsatt som beveger seg mye raskere når han føler seg kuet og ubehandlet.
reputationtooltip_Addict                        Dette er en innsatt som er tilbøyelig for å misbruke narkotika når han føler seg kuet og ubehandlet.
reputationtooltip_Claustrophobic                Dette er en innsatt som tenker mye på å rømme når han føler seg kuet og ubehandlet.
reputationtooltip_ExtremelyStoical              Dette er en innsatt som ikke lar seg kue av å være låst inne på isolat eller befinne seg i nærheten av vakter. Han bryr seg ikke.
reputationtooltip_ExtremelyVolatile             Dette er en innsatt du må følge godt med på. Han kan klikke av hva som helst.
reputationtooltip_Psychopathic                  Dette er en innsatt som er mye farligere og mer uforutsigbar enn andre psykisk syke innsatte.
reputationtooltip_Insane                        Dette er en innsatt som må ha tilgang til en polstret celle og samtaler med psykiater for å holde seg rolig.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Psykisk syke
report_intake_list_tooltip_insane				Psykisk syke innsatte føler seg konstant kuet og kan når som helst miste kontrollen. For at dette ikke skal skje, trenger de nye polstrete celler og psykiatrisk hjelp, siden dette reduserer behovet for privatliv, komfort, sikkerhet og frihet.\n\nDu kan ikke søke om overføring av psykisk syke innsatte før du har bygget polstrete celler eller klargjort en polstret varetektscelle.\n\nVanlige celler kan konverteres til polstrete celler i Rom-menyen.
report_intake_insane_intake_empty				Du kan ikke ta inn psykisk syke innsatte ennå.\nFørst må du bygge polstrete celler eller polstrete varetektsceller.\nVanlige celler kan konverteres til polstrete celler i Rom-menyen.
report_staff_group_prisoners_insane				Psykisk syk
report_Criminally_Insane						Psykisk syk
report_Pyschopathic								Psykopatisk

report_intake_enable_insane					Aktiver
report_intake_psychward_title					Psych Ward: Warden’s Edition
report_intake_psychward_tooltip					Aktiver Psych Ward: Warden’s Edition for dette fengselet.\n\nMed denne utvidelsen kan du ta inn psykisk syke innsatte, men først må du klargjøre fengselet.\n\nDu kan gjøre undersøkelser om og ansette psykiatere og sykepassere. Du kan bygge polstrete celler og varetektsceller.\n\nPsykiatere og polstrete celler holder psykisk syke innsatte rolige. 

reformerror_no_psychiatrist					INGEN PSYKIATER
reform_completion_psychiatrist              – * X ferdige – * Y behandlede (* P %)
report_staff_group_orderlies				Sykepassere

# =============================================================================
# Research
# =============================================================================
research_Orderly							Sykepasser
research_Psychiatrist							Psykiater
                     
researchtooltip_Orderly							Det er forbudt for vanlige vakter å utøve vold mot psykisk syke innsatte, siden de kan komme til å skade dem.\nSykepassere har spesialtrening i å pasifisere psykisk syke uten å skade dem.\nSykepassere kan også sette tvangstrøyer på psykopatiske innsatte for å hindre at de skader seg om natten.
researchtooltip_Psychiatrist					En høyt utdannet ansatt som gir psykisk syke innsatte regelmessig oppfølging.\nHvis fengselet har et psykiatrisk konsultasjonsprogram, vil psykiaterne ha regelmessige samtaler med psykisk syke innsatte for å roe dem ned. \nHvis vi har mange psykisk syke innsatte, bør vi ansette flere psykiatere for kunne tilby tilstrekkelig hjelp. Du må også sørge for at alle har sitt eget kontor.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Psykisk syk

buildtoolbar_header_foundationmain				Hovedbygning
buildtoolbar_header_foundationmore				Mer

reformprogram_PsychiatricConsultation			Psykiatrisk konsultasjon
reformprogram_PsychiatricConsultation_text		Alle psykisk syke innsatte trenger regelmessige samtaler med psykiateren vår for å motvirke følelsen av å være kuet. Mangel på psykiatrisk hjelp kan utløse voldelige episoder og andre uforutsette reaksjoner fra denne typen innsatte.
reform_program_properties_NeedToBeEscorted		Innsatte må muligens eskorteres til samtalen.
reform_program_intake_insane				Kun for psykisk syke innsatte.

insane_letter									Hei \n\n\nHer er noen viktige retningslinjer for å sikre at du tilrettelegger for inntak av psykisk syke innsatte ved å bygge egnede fasiliteter og ansetter kvalifiserte medarbeidere.\n\n1. Psykisk syke innsatte må ha polstrede celler. Vanlige celler kan bygges om til polstrede celler i Rom-menyen. Når du har polstrede celler, vil du kunne ta imot den første gruppen med innsatte.\n\n2. Forsikre deg om at du har psykiatere og sykepassere på lønningslisten. Psykiatere må ha et eget kontor.\n\n3. Sett opp samtaler med psykiater for dine psykisk syke innsatte. Samtaler med en psykiater (og en polstret celle) bidrar til å holde de innsatte under kontroll. Oppgrader psykiaterkontoret for å forbedre behandlingen.\n\n4. Hvis psykisk syke ikke får den behandlingen og det oppsynet de trenger, kan de utvise uforutsigbar oppførsel, forsøke å rømme eller bli voldsomme.\n\n5. Sykepassere bidrar med å eskortere og pleie de innsatte, og de kuer dem ikke slik vanlige fengselsbetjenter gjør. Du trenger også sykepassere til å sette tvangstrøye på dine psykopatiske innsatte når kvelden kommer. \n\n6. Det kan oppstå problemer hvis psykisk syke innsatte er sammen med andre. Det er lurt å ha atskilte områder i matsaler, luftegårder og andre steder. Det er også lurt å ha psykiaterkontorer i nærheten av celleblokkene for psykisk syke.\n\n7. Til slutt nevner vi at innsatte i andre avdelinger også kan bli psykisk syke, så vær på vakt.\n\nAdministrerende direktør,\nPrison Architects Corp

job_StraitJacket                         Ta på/av tvangstrøye
job_EscortInsane                         Eskorter psykisk syk innsatt
status_effect_sedated					Neddopet

orderly_description                     Sykepassere er spesielt opplærte i håndtering av psykisk syke innsatte og om nødvendig gi dem behandling med beroligende midler.
pyschiatrist_description                Alle psykisk syke innsatte må ha regelmessige samtaler med en psykiater. Slike samtaler legger du til i Programmer-menyen.

insanetooltip_status                    Status: *X
insanetooltip_status_level0             ROLIG
insanetooltip_status_level1             UROLIG
insanetooltip_status_level2             USTABIL
insanetooltip_status_level3             HYSTERISK!
insanetooltip_behaviour					Atferd: *X

mutator_name_ReducedDirtBuildup						Reduser skittopphoping
mutator_tooltip_ReducedDirtBuildup					Det tar dobbelt så lang tid før fengselet blitt skittent.
administrator_requiresoffice_psychiatrist            Forutsetter et psykiaterkontor

dlc_insane_upsell				Denne lagringsfilen bruker innhold fra utvidelsen «Psych Ward: Warden’s Edition». Siden vi ikke kunne finne denne i systemet ditt, vil noen funksjoner være deaktiverte. Kjøp gjerne «Psych Ward: Warden’s Edition» for å få mest mulig ut av Prison Architect.
dlc_insane_upsell_multiplayer 	Verten for denne flerspillerrunden har kjøpt «Psych Ward: Warden’s Edition». Som gjest vil du også ha tilgang til denne. God fornøyelse!

regime_work_pyscho              Programmer/fritid
regime_worklockdown_pyscho      Programmer/innlåsing

regimetooltip_work_pyscho			Vær klar over at psykisk syke innsatte ikke kan jobbe. De kan bare delta i programmer i arbeidstiden.
regimetooltip_worklockdown_pyscho	Vær klar over at psykisk syke innsatte ikke kan jobbe. De kan bare delta i programmer i arbeidstiden.


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Nivå av neddopet
teacher_teaching_pschiatrist                    Behandler		
pschiatrist_count_status						*X samtaler med psykiater fullført


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Eskorter til sykestuen

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Cellestatus

buildtoolbar_popup_help_CellStatus_1			Cellestatusen forteller deg hvilke celler som er opptatte (røde) og ledige (grønne).
buildtoolbar_popup_help_CellStatus_2			Du kan klikke på en opptatt celle for å se hvilken innsatt som hører til der.

freeCell										Ledig celle
freeCell_line0									Denne cellen er ledig.
occupiedCell									Opptatt celle
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Venstreklikk for å vise den innsatte.
object_prisoner_freshfish						Innsatt (nylig ankommet)

total_Connections								Totalt antall tilkoblinger: *X
active_Connections								Maks antall aktive tilkoblinger: *X

interfacedeployment_VisitorDirection			Anvisning for besøkende

interface_action_move							Flytt

equipment_moreContraband						Smuglergods

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Overføring av innsatt!
report_intake_list_tooltip_prisonerTransfer		\n\nDu vil innimellom bli tilbudt høyrisikoinnsatte som er for farlige for andre fengsler. \nMen vær advart! Det er en grunn til at du får godt betalt for å ta deg av dem. Dette er hardbarka kriminelle som ingen andre ønsker å ta ansvaret for.
rapsheet_category_PrisonerTransfer				Overføring av innsatt!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Vannrør og strømkabler kan ikke bygges under de ytre murene.

buildtoolbar_deployment_VisitorDirection 	Klikk og dra for å rette inn skilter på gulvet.\n\nDisse forteller besøkende hvor de skal gå.\nGir mer kontroll over flyten av mennesker i fengselet.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             – Hver vakt forutsetter en/et *X

schedule_zone_insaneSecOnly						Rettspsykiatrisk avdeling

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Månetomt
codex_tooltip_lunar								Lag en starttomt som minner om månens overflate.

codex_option_doubleClick						Dobbeltklikk for å flytte gjenstander.

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Klon rom

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Gå på nett
codex_start                         Opprett spill
codex_joinonline                    Bli med på et nettspill
codex_join                          Bli med på spill
codex_usernamelabel                 Brukernavn:
codex_namelabel                     Spillnavn:
codex_passwordlabel                 Passord:
codex_passwordprotectedlabel        Vil du ha passordbeskyttelse?
codex_listedlabel                   Skal spillet være offentlig?
codex_roomlistlabel                 Liste over spill:
codex_connectinglabel               Kobler til server …
codex_retrievingserverlistlabel     Henter liste over spill …
codex_datausage                     Databruk: *S kB/s sendt, *R kB/s mottatt
codex_multiplayeroptions            Administrere spillere
codex_playeroptions                 Spillere
codex_regionlabel                   Region:

multiplayer_chooseroomname          Velg et spillnavn
multiplayer_chooseusername          Velg et brukernavn
multiplayer_joining                 Blir med i: *X
multiplayer_joiningstate_joining    Blir med i et spill
multiplayer_joiningstate_receiving  Henter verden
multiplayer_joiningstate_loading    Laster inn verden
multiplayer_rejoining               Blir med i spill igjen etter landutvidelse:
multiplayer_leavegame_confirm       Vil du virkelig forlate dette samarbeidsspillet?
multiplayer_hostleft                Verten har koblet seg fra.
multiplayer_joingamefailed          Det gikk ikke å bli med i spillet:
multiplayer_startgamefailed         Det gikk ikke å starte spillet:
multiplayer_incorrectpassword       Feil passord
multiplayer_disconnected            Forbindelsen til serveren ble brutt.
multiplayer_syncerror               Frakoblet på grunn av synkroniseringsfeil.\n\nForsøk å koble til igjen.
multiplayer_hostonly                Bare tilgjengelig for verten.
multiplayer_modsdisabled            Modifikasjoner kan ikke brukes i nettspill.
multiplayer_mutatorsdisabled        Mutatorer kan ikke brukes i nettspill.
multiplayer_kicked                  Du ble sparket fra spillet.
multiplayer_kick                    Spark
multiplayer_ban                     Utesteng

multiplayer_host                    Vert:

multiplayer_welcomeanalytics        Velkommen til flerspillermodusen til Prison Architect.\n\nVi har forsøkt å få hele Prison Architect-opplevelsen til å fungere i flerspiller. Prison Architect er et stort spill, og dette er første gang vi åpner flerspiller for alle. Derfor vil vi holde øye med eventuelle problemer spillerne kan støte på.\n\nDette trenger vi hjelp til, så vi vil gjerne samle inn anonymiserte data som kan bidra til å løse eventuelle problemer spillerne kan oppleve. Innsamlingen kan når som helst deaktiveres i innstillingene. Hvilke data vi samler inn, kan du se i metrics.txt\n\nVi håper du liker å spille Prison Architect sammen med vennene dine.

region_asia                         Asia
region_au                           Australia
region_cae                          Canada, øst
region_eu                           Europa
region_in                           India
region_jp                           Japan
region_ru                           Russland
region_rue                          Russland, øst
region_sa                           Sør-Amerika
region_kr                           Sør-Korea
region_us                           USA, øst
region_usw                          USA, vest

codex_options_disableattract            Endre startskjem
codex_option_escapeplans                Rømningsplaner
buildtoolbar_rollcall                   Opprop
buildtoolbar_tooltip_rollcall           Gi alle de innsatte beskjed om å stille seg utenfor cellen sin. Bare tilgjengelig ved leggetid og om natten.
interfacecontrol_graphs                 Grafer
interfacecontrol_graphs_tooltip         Åpner Grafer-skjermen, der du kan se statistikk over ulike aspekter ved fengselet.

graph_title                             Grafer

graph_label_1                           Datatype 1
graph_label_2                           Datatype 2
graph_label_day                         Dag

graph_axis_none                         Ingen
graph_axis_profit                       Fortjeneste
graph_axis_funds                        Midler
graph_axis_prisonsize                   Fengselsstørrelse (m²)
graph_axis_numprisoners                 Antall innsatte
graph_axis_numstaff                     Antall ansatte
graph_axis_releasedprisoners            Frigitte innsatte
graph_axis_totalreleasedprisoners       Frigitte innsatte totalt
graph_axis_escapedprisoners             Rømte innsatte
graph_axis_totalescapedprisoners        Rømte innsatte totalt
graph_axis_entitydeath                  Dødsfall
graph_axis_totaldeaths                  Dødsfall totalt
graph_axis_prisonerdeaths               Dødsfall blant innsatte
graph_axis_guarddeaths                  Dødsfall blant vakter
graph_axis_securitygrading              Sikkerhetsgradering
graph_axis_healthgrading                Helsegradering
graph_axis_reformgrading                Reformgradering
graph_axis_punishmentgrading            Straffgradering
graph_axis_reoffendingrate              Tilbakefallsgrad
graph_axis_prisonvalue                  Fengselets verdi
graph_axis_prisonercapacity             Kapasitet for innsatte
graph_axis_numincidents                 Antall hendelser
graph_axis_totalincidents               Hendelser totalt

equipment_Photo				Bilde	
equipment_SubMachineGun			Underpistol	
equipment_Soap				Såpe	
