# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
multiplayer_joining	Uniéndote a: *X
multiplayer_joiningstate_joining	Uniéndote a partida
multiplayer_joiningstate_receiving	Recibiendo mundo
multiplayer_joiningstate_loading	Cargando mundo
multiplayer_rejoining	Volviendo a unirte tras expansión de terrenos:
multiplayer_leavegame_confirm	¿Seguro que quieres abandonar la partida cooperativa actual?
multiplayer_hostleft	El anfitrión se ha desconectado.
multiplayer_joingamefailed	Error al guardar partida:
multiplayer_startgamefailed	Error al iniciar partida:
multiplayer_incorrectpassword	Contraseña incorrecta
multiplayer_disconnected	Conexión con el servidor interrumpida.
multiplayer_syncerror	Desconexión por error de sincronización.\n\nIntenta volver a unirte.
multiplayer_hostonly	Solo disponible para el anfitrión.
multiplayer_modsdisabled	Los mods están desactivados durante el juego online.
multiplayer_mutatorsdisabled	Los mutágenos están desactivados durante el juego online.
multiplayer_kicked	Te han expulsado de la partida.
multiplayer_kick	Expulsar
multiplayer_ban	Vetar

multiplayer_host	Anfitrión:

multiplayer_welcomeanalytics	Esto es el multijugador de Prison Architect.\n\nHemos trabajado mucho para traer la experiencia de Prison Architect al multijugador en su totalidad. Prison Architect es un juego enorme y es la primera vez que el multijugador está disponible para todos, así que estaremos atentos para resolver cualquier problema que surja.\n\nPara ayudarnos en nuestro empeño, queremos recoger ciertos datos anonimizados de análisis para resolver los problemas que surjan. Puedes desactivar esta función cuando quieras en las opciones. Para ver los datos que recopilamos, consulta metrics.txt\n\nEsperemos que disfrutes de Prison Architect con tus amigos.

region_asia	Asia
region_au	Australia
region_cae	Canadá, Este
region_eu	Europa
region_in	India
region_jp	Japón
region_ru	Rusia
region_rue	Rusia, Este
region_sa	Sudamérica
region_kr	Corea del Sur
region_us	EE. UU., Este
region_usw	EE. UU., Oeste

codex_options_disableattract	Desactivar pantalla de atracción de arranque
codex_option_escapeplans	Planes de fuga
buildtoolbar_rollcall	Pasar lista
buildtoolbar_tooltip_rollcall	Llama a todos los presos a que se coloquen frente a sus celdas. Solo disponible durante las horas de sueño y de noche.
interfacecontrol_graphs	Gráficas
interfacecontrol_graphs_tooltip	Abre la pantalla de gráficas que te permite comparar diversos aspectos de tu prisión.

graph_title	Gráficas

graph_label_1	Tipo de datos 1
graph_label_2	Tipo de datos 2
graph_label_day	Día

graph_axis_none	Nada
graph_axis_profit	Beneficios
graph_axis_funds	Fondos
graph_axis_prisonsize	Tamaño de prisión (m²)
graph_axis_numprisoners	Número de presos
graph_axis_numstaff	Número de personal
graph_axis_releasedprisoners	Presos liberados
graph_axis_totalreleasedprisoners	Presos liberados en total
graph_axis_escapedprisoners	Presos fugados
graph_axis_totalescapedprisoners	Presos fugados totales
graph_axis_entitydeath	Muertes
graph_axis_totaldeaths	Muertes totales
graph_axis_prisonerdeaths	Muertes de reclusos
graph_axis_guarddeaths	Muertes de guardias
graph_axis_securitygrading	Calificación de seguridad
graph_axis_healthgrading	Calificación de salud
graph_axis_reformgrading	Calificación de reforma
graph_axis_punishmentgrading	Calificación de castigo
graph_axis_reoffendingrate	Calificación de reincidencia
graph_axis_prisonvalue	Valor de la prisión
graph_axis_prisonercapacity	Capacidad de presos
graph_axis_numincidents	Incidentes
graph_axis_totalincidents	Incidentes totales

equipment_Photo	Foto
equipment_SubMachineGun	Pistola ametralladora
equipment_Soap	Jabón

############################### Prison Wing Priviledges UPDATE ###############################

# =============================================================================
# Interface Mode
# =============================================================================

room_gymnasium	Gimnasio
buildtoolbar_popup_room_gymnasium	Un lugar para que los reclusos se ejerciten y descarguen la agresividad acumulada, o para que practiquen la resolución de conflictos a la antigua usanza.


buildtoolbar_popup_help_CellStatus_1	La vista de estado de celda te muestra las celdas ocupadas (en naranja), de una pandilla (en rojo) y vacantes (en verde).

object_punchbag_blocked	No se puede llegar al saco de boxeo
object_trainingdummy_blocked	No se puede llegar al muñeco de prácticas

gangCell	Celda *X
gangMember	Miembro de pandilla
gangSoldier	Soldado de pandilla
gangLieutenant	Lugarteniente de pandilla
gangLeader	Jefe de pandilla

interfacedeployment_CustomSector	Sector personalizado

# =============================================================================
# Materials - Names
# =============================================================================

material_RunningTrack	Pista de atletismo
material_BambooFloor	Bambú
material_pipewall	Pared (tuberías)
material_overgrownwall	Pared (hiedra)
material_derelictwall	Pared (abandonada)
material_slumwall	Pared (barrios bajos)
material_rustywall	Pared (oxidada)
material_bamboofence	Valla (bambú)
material_decayedWall	Pared (desgastada)
material_flowerfield	Campo florido
material_FenceAndGrass	Valla (hierba)
material_WallMinSec	Pared (mín. seg.)
material_WallMedSec	Pared (med. seg.)
material_WallMaxSec	Pared (máx. seg.)
material_WallInsaneSec	Pared (blanca)
material_WallProtective	Pared (amarilla)
material_CliffEdge	Borde de acantilado

# =============================================================================
# Objects - Names
# =============================================================================

object_ovalStaffTable	Mesa (ovalada)
object_Painting1	Cuadro
object_Painting2	Cuadro
object_ChessTable	Mesa de ajedrez
object_GlassWindow	Ventana de cristal
object_GlassWindowLarge	Ventana de cristal (grande)
object_GymMat	Colchoneta
object_SinkMirror	Lavabo y espejo
object_TableFootball	Futbolín
object_TableTennis	Tenis de mesa
object_TyreApparatus	Aparato de neumáticos
object_bambooDoor	Puerta (bambú)
object_Canvas	Lienzo y pinturas
object_PetBird	Pájaro mascota
object_SoftPillow	Almohada blanda
object_BoxingRing	Cuadrilátero
object_DumbbellRack	Estante de pesas
object_Treadmill	Cinta de andar
object_Fan	Ventilador
object_PunchBag	Saco de boxeo
object_WardenStatue	Estatua del alcaide
object_WaterCooler	Máquina de agua
object_SnackMachine	Máquina de comida
object_Mattress	Cama (colchón de espuma)
object_MetalBarrel	Barril de metal
object_WoodenBarrel	Barril de madera
object_MooringBollard	Bolardo de anclaje
object_DeckChair	Silla de cubierta
object_LightGreen	Luz (verde)
object_LightRed	Luz (roja)
object_Buoy	Boya
object_LifeRing	Salvavidas
object_CoffeeMachine	Máquina de café
object_ComputerStation	Estación informática
object_PASystem	Sistema de megafonía
object_TrainingDummy	Muñeco de entrenamiento
object_StoneWaterSpout	Drenaje de piedra
object_WindSock	Manga de viento
object_ComfyBed	Cama cómoda
object_IndoorTreePlanter	Maceta de interior
object_OldBed	Cama vieja
object_CameraPillar	Pilar para cámaras
object_Blackboard	Pizarra
object_JailDoorWhite	Puerta de la cárcel (blanca)
object_JailDoorLargeWhite	Gran puerta de la cárcel (blanca)

object_SignNumber0	Cartel (número 0)
object_SignNumber1	Cartel (número 1)
object_SignNumber2	Cartel (número 2)
object_SignNumber3	Cartel (número 3)
object_SignNumber4	Cartel (número 4)
object_SignNumber5	Cartel (número 5)
object_SignNumber6	Cartel (número 6)
object_SignNumber7	Cartel (número 7)
object_SignNumber8	Cartel (número 8)
object_SignNumber9	Cartel (número 9)

object_SignLetterA	Cartel (letra A)
object_SignLetterB	Cartel (letra B)
object_SignLetterC	Cartel (letra C)
object_SignLetterD	Cartel (letra D)
object_SignLetterE	Cartel (letra E)
object_SignLetterF	Cartel (letra F)
object_SignLetterG	Cartel (letra G)
object_SignLetterH	Cartel (letra H)
object_SignLetterI	Cartel (letra I)
object_SignLetterJ	Cartel (letra J)
object_SignLetterK	Cartel (letra K)
object_SignLetterL	Cartel (letra L)
object_SignLetterM	Cartel (letra M)
object_SignLetterN	Cartel (letra N)
object_SignLetterO	Cartel (letra O)
object_SignLetterP	Cartel (letra P)
object_SignLetterQ	Cartel (letra Q)
object_SignLetterR	Cartel (letra R)
object_SignLetterS	Cartel (letra S)
object_SignLetterT	Cartel (letra T)
object_SignLetterU	Cartel (letra U)
object_SignLetterV	Cartel (letra V)
object_SignLetterW	Cartel (letra W)
object_SignLetterX	Cartel (letra X)
object_SignLetterY	Cartel (letra Y)
object_SignLetterZ	Cartel (letra Z)


equipment_StrikePlacard	Pancarta de huelga

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_Armoury	Armería
quickbuild_Infirmary	Enfermería
quickbuild_Laundry	Lavandería
quickbuild_Library	Biblioteca
quickbuild_MailRoom	Sala de correos
quickbuild_Visitation	Sala de visitas

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly	- REDUCE el grado de una celda de prisión.

buildtoolbar_popup_obj_ovalStaffTable	Hace juego con sillas en zonas de personal.
buildtoolbar_popup_obj_painting1	Que sea una prisión no impide que sea elegante.
buildtoolbar_popup_obj_painting2	Que sea una prisión no impide que sea elegante.
buildtoolbar_popup_obj_chessTable	El juego de los reyes... y de los maleantes que ignoran la ley. Atiende a la necesidad de entretenimiento.
buildtoolbar_popup_obj_GLassWindow	Para admirar la luz del sol.
buildtoolbar_popup_obj_GlassWindowLarge	Para admirar la luz del sol en grandes cantidades.
buildtoolbar_popup_obj_GymMat	Para estirarse y quitar achaques.\n -Atiende a la necesidad de ejercicio.
buildtoolbar_popup_obj_TableTennis	Da un pasatiempo extra a tus reclusos.\n -Atiende a la necesidad de entretenimiento.
buildtoolbar_popup_obj_TableFootball	Da un pasatiempo extra a tus reclusos.\n -Atiende a la necesidad de entretenimiento.
buildtoolbar_popup_obj_TyreApparatus	Algunos presos insisten en tener una forma de practicar la escalada.\n -Atiende a la necesidad de ejercicio.
buildtoolbar_popup_obj_SinkMirror	Da a los presos un lavabo y un espejo.\n -Atiende a la necesidad de higiene.
buildtoolbar_popup_obj_bambooDoor	Una puerta de bambú a juego con la valla. \nFunciona como una puerta normal.
buildtoolbar_popup_obj_canvas	Una forma creativa para que los prisioneros se expresen sin recurrir al apuñalamiento.
buildtoolbar_popup_obj_PetBird	Un pequeño amigo que hace compañía a los prisioneros.\n -Atiende a las necesidades de familia, comodidad y lujo.
buildtoolbar_popup_obj_SoftPillow	Mejora aún más la comodidad y la calidad de la cama de un preso con una almohada de plumas.\n -Atiende a las necesidades de comodidad y sueño.
buildtoolbar_popup_obj_BoxingRing	Ninguna prisión está completa sin un gimnasio. La mayoría de los reclusos prefieren pintar en este lienzo.
buildtoolbar_popup_obj_DumbbellRack	Para los reclusos que quieren hacer músculos.\n -Atiende a la necesidad de ejercicio.
buildtoolbar_popup_obj_Treadmill	Para que los prisioneros se mantengan en forma. Los prisioneros que hagan mucho ejercicio podrían correr más rápido.\n -Atiende a la necesidad de ejercicio.
buildtoolbar_popup_obj_Fan	Un típico ventilador de pie para enfriar el aire un poco.
buildtoolbar_popup_obj_PunchBag	Cuando los reclusos tienen que descargar su agresividad usan esto.\n -Atiende a las necesidades de ejercicio y entretenimiento.
buildtoolbar_popup_obj_WardenStatue	Una gran estatua de piedra, muestra del dominio del alcaide sobre la prisión. Tener demasiadas hace que los presos se sientan reprimidos. \n -AUMENTA un poco la represión.
buildtoolbar_popup_obj_WaterCooler	Momento de máquina de agua de Prison Architect.
buildtoolbar_popup_obj_SnackMachine	Rica será en calorías, porque lo demás...
buildtoolbar_popup_obj_Mattress	Un colchón de espuma semicómodo. La cama más barata que hay, sigue siendo mejor que el suelo.
buildtoolbar_popup_obj_MetalBarrel	Se suele ver en puertos.
buildtoolbar_popup_obj_WoodenBarrel	Se suele ver en puertos.
buildtoolbar_popup_obj_MooringBollard	Un clásico de los puertos. También sirve de pared.
buildtoolbar_popup_obj_LightGreen	Una luz de exteriores con bombilla verde. Ideal para helipuertos.
buildtoolbar_popup_obj_LightRed	Una luz de exteriores con bombilla roja. Ideal para helipuertos.
buildtoolbar_popup_obj_Buoy	Flota en el agua.
buildtoolbar_popup_obj_LifeRing	Un clásico de los puertos.
buildtoolbar_popup_obj_ArcadeCabinet	Una recreativa moderna para disfrute de los presidiarios.\n -Atiende a las necesidades de entretenimiento y comodidad.
buildtoolbar_popup_obj_CoffeeMachine	Lo que cualquier empleado sobrecargado ansía.
buildtoolbar_popup_obj_ComputerStation	Atiende a las necesidades de literatura y comodidad.
buildtoolbar_popup_obj_PASystem	Reprime a los reclusos con recordatorios constantes de que sí, siguen en la cárcel.\n -AUMENTA el nivel de represión de los presos si lo colocas en un bloque de celdas o un patio.
buildtoolbar_popup_obj_TrainingDummy	Un muñeco de entrenamiento Shaolin.\n -¡Los prisioneros que entrenan mucho podrían aprender técnicas de combate!
buildtoolbar_popup_obj_StoneWaterSpout	Una gárgola de piedra gótica que echa agua por la boca si la conectas a una fuente de agua.
buildtoolbar_popup_obj_WindSock	La manga de viento avisa de las calamidades con 1 hora de antelación y muestra la dirección y velocidad del viento.
buildtoolbar_popup_obj_ComfyBed	Una cama de lujo con colchón de espuma con memoria. Mejor imposible para dormir.
buildtoolbar_popup_obj_IndoorTreePlanter	Una maceta baja de interior para plantar árboles.
buildtoolbar_popup_obj_OldBed	Una cama de prisión tradicional. Más cómoda que un colchón de espuma, menos que una cama normal.
buildtoolbar_popup_obj_Blackboard	Para un aula completa necesitas una.
buildtoolbar_popup_obj_JailDoorWhite	Una puerta de cárcel con colores para etiquetar las secciones de presos con problemas mentales.
buildtoolbar_popup_obj_JailDoorLargeWhite	Una puerta de cárcel con colores para etiquetar las secciones de presos con problemas mentales.
buildtoolbar_popup_obj_camerapillar	Se coloca en zonas abiertas y se acopla una cámara en uno de los lados.

buildtoolbar_popup_obj_signNumber0	Un cartel de pared con el número 0. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber1	Un cartel de pared con el número 1. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber2	Un cartel de pared con el número 2. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber3	Un cartel de pared con el número 3. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber4	Un cartel de pared con el número 4. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber5	Un cartel de pared con el número 5. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber6	Un cartel de pared con el número 6. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber7	Un cartel de pared con el número 7. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber8	Un cartel de pared con el número 8. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signNumber9	Un cartel de pared con el número 9. Alinea carteles para crear palabras como "BLOQUE 4".

buildtoolbar_popup_obj_signLetterA	Un cartel de pared con la letra A. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterB	Un cartel de pared con la letra B. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterC	Un cartel de pared con la letra C. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterD	Un cartel de pared con la letra D. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterE	Un cartel de pared con la letra E. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterF	Un cartel de pared con la letra F. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterG	Un cartel de pared con la letra G. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterH	Un cartel de pared con la letra H. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterI	Un cartel de pared con la letra I. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterJ	Un cartel de pared con la letra J. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterK	Un cartel de pared con la letra K. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterL	Un cartel de pared con la letra L. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterM	Un cartel de pared con la letra M. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterN	Un cartel de pared con la letra N. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterO	Un cartel de pared con la letra O. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterP	Un cartel de pared con la letra P. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterQ	Un cartel de pared con la letra Q. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterR	Un cartel de pared con la letra R. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterS	Un cartel de pared con la letra S. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterT	Un cartel de pared con la letra T. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterU	Un cartel de pared con la letra U. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterV	Un cartel de pared con la letra V. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterW	Un cartel de pared con la letra W. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterX	Un cartel de pared con la letra X. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterY	Un cartel de pared con la letra Y. Alinea carteles para crear palabras como "BLOQUE 4".
buildtoolbar_popup_obj_signLetterZ	Un cartel de pared con la letra Z. Alinea carteles para crear palabras como "BLOQUE 4".


buildtoolbar_popup_mat_pipewall	Construye paredes de tuberías sobre los cimientos para crear nuevas zonas o salas.
buildtoolbar_popup_mat_derelictwall	Construye paredes abandonadas y baratas para obtener un aspecto desvencijado.
buildtoolbar_popup_mat_overgrownwall	Construye paredes cubiertas de hiedra baratas, porque la vida se abre camino, hasta en la cárcel.
buildtoolbar_popup_mat_rustywall	Construye paredes oxidadas baratas para un aspecto postapocalíptico.
buildtoolbar_popup_mat_slumwall	Construye paredes baratas de barrios bajos. Así puedes destinar el dinero que ahorras en cuidar presos a ampliar tu oficina otra vez.
buildtoolbar_popup_mat_bambooFence	Una valla artesanal de bambú para darle un toque de campamento a tu cárcel.
buildtoolbar_popup_mat_RunningTrack	Perfecto para que tus prisioneros corran por el patio.
buildtoolbar_popup_mat_BambooFloor	Un suelo con aspecto de campamento de jungla.
buildtoolbar_popup_mat_DecayedWall	Construye paredes baratas hechas de bloques agujereados de hormigón sobre los cimientos.
buildtoolbar_popup_mat_flowerfield	Una zona con césped y florecillas.
buildtoolbar_popup_mat_fenceandgrass	Secciones de valla con césped debajo en vez de tierra.
buildtoolbar_popup_mat_WallMinSec	Construye paredes de colores para indicar el nivel de seguridad del sector de la prisión.
buildtoolbar_popup_mat_WallMedSec	Construye paredes de colores para indicar el nivel de seguridad del sector de la prisión.
buildtoolbar_popup_mat_WallMaxSec	Construye paredes de colores para indicar el nivel de seguridad del sector de la prisión.
buildtoolbar_popup_mat_WallInsaneSec	Construye paredes de colores para indicar el nivel de seguridad del sector de la prisión.
buildtoolbar_popup_mat_WallProtective	Construye paredes de colores para indicar el nivel de seguridad del sector de la prisión.
buildtoolbar_popup_mat_CliffEdge	Construye paredes de acantilado para crear zonas elevadas o inaccesibles en tu prisión o isla.

interfaceoverlay_signs	Carteles
interfacemode_walls	Paredes
interfacemode_doors	Puertas
interface_action_snackbought	Comida comprada

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors	TODOS los sectores
crisisSector_StopAll	Pausar TODO
crisisSector_SharedOnly	Solo compartido
crisisSector_MinSecOnly	Solo mín. seg.
crisisSector_MedSecOnly	Solo med. seg.
crisisSector_MaxSecOnly	Solo máx. seg.
crisisSector_InsaneOnly	Solo prob. ment.
crisisSector_ProtectedOnly	Solo protegido
crisisSector_SuperMaxOnly	Solo súper-máxima
crisisSector_DeathRowOnly	Solo corredor de la muerte

crisisToolbarTitle_WeaponsFree	FUEGO A DISCRECIÓN
crisisToolbarTitle_TunnelSearch	REGISTRAR TÚNEL
crisisToolbarTitle_Shakedown	REGISTRO
crisisToolbarTitle_Lockdown	CONFINAMIENTO
crisisToolbarTitle_Bangup	EMERGENCIA
crisisToolbarTitle_RollCall	PASAR LISTA
crisisToolbarQuestion	- Elige sectores

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message	Elige qué niveles de seguridad pueden entrar en el sector personalizado.
customsectorwindow_minseccaption	Mín. Seg.
customsectorwindow_medseccaption	Med. Seg.
customsectorwindow_maxseccaption	Máx. Seg.
customsectorwindow_supermaxcaption	Súper-máxima
customsectorwindow_deathrowcaption	Corredor de la muerte
customsectorwindow_protectivecaption	Custodia protectora
customsectorwindow_insanecaption	Problemas mentales

customSector_title	Sector personalizado de seguridad
customSector_subtitle	Este sector permite acceso a:

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging	Mejorar la sala aumentará el grado del sector de seguridad.
roomGrading_prisonerTransfer	Las mejoras SOLO motivan a los prisioneros si tienes el DLC "Traslado autorizado" y la opción "Transferencia de reclusos" está activa en los ajustes del mapa.

roomgrading_Cell_BadWalls	[*E] Estas paredes son deprimentes
roomgrading_Cell_OutsideWindow_Large	[*E]*Y Ventana grande
roomgrading_Cell_HasWindow_None	[*E] No hay ventanas
roomgrading_Dormitory_BadWalls	[*E] Estas paredes son deprimentes
roomgrading_Dormitory_Mattress	[*E] La mayoría de las camas son malas
roomgrading_Dormitory_HasWindow_None	[*E] No hay ventanas
roomgrading_Canteen_RoomSize	[*E] Tamaño de sala de al menos *X casillas
roomgrading_Canteen_Item	[*E] Objeto: *X
roomgrading_Canteen_MealQuality	[*E] Calidad NORMAL de comidas
roomgrading_Canteen_MealQuality_High	[*E] Calidad ALTA de comidas
roomgrading_Canteen_MealQuality_Low	[*E] Calidad BAJA de comidas
roomgrading_Canteen_MealQuality_None	[*E] Calidad INEXISTENTE de comidas
roomgrading_Canteen_MealVariety	[*E] Variedad NORMAL de comida
roomgrading_Canteen_MealVariety_High	[*E] Variedad ALTA de comida
roomgrading_Canteen_MealVariety_Low	[*E] Variedad BAJA de comida
roomgrading_Canteen_MealVariety_None	[*E] Variedad INEXISTENTE de comida
roomgrading_Canteen_HasWindow_None	[*E] No hay ventanas
roomgrading_Yard_RoomSize	[*E] Tamaño de sala de al menos *X casillas
roomgrading_Yard_RoomSizeLess	[*E] Tamaño de sala de menos de *X casillas
roomgrading_Yard_Item	[*E] Objeto: *X
roomgrading_Yard_Floor	[*E] Suelo *X (más del *Y %)
roomgrading_Yard_MultiItems	[*E] Contiene *X de los objetos anteriores
roomgrading_Yard_Floor_Quantity	[*E] *X *Y casillas
roomgrading_CommonRoom_RoomSize	[*E] Tamaño de sala de al menos *X casillas
roomgrading_CommonRoom_Item	[*E] Objeto: *X
roomgrading_Gymnasium_RoomSize	[*E] Tamaño de sala de al menos *X casillas
roomgrading_Gymnasium_OutsideWindow	[*E] *Y Ventana al exterior
roomgrading_Gymnasium_Item	[*E] Objeto: *X
roomgrading_Gymnasium_HasWindow_None	[*E] No hay ventanas
roomgrading_Classroom_RoomSize	[*E] Tamaño de sala de al menos *X casillas
roomgrading_Classroom_Item	[*E] Objeto: *X
roomgrading_Classroom_OutsideWindow	[*E] *Y Ventana al exterior

buildtoolbar_improvement	-MEJORA el grado de: *R
buildtoolbar_decreased	-REDUCE el grado de: *R
buildtoolbar_improvement_windows	(si está de cara al exterior)

buildtoolbar_planning_autofoundation	Cimientos automáticos

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	Grado de mín. seg.
interfaceLogistics_MedSecGrading	Grado de med. seg.
interfaceLogistics_MaxSecGrading	Grado de máx. seg.
interfaceLogistics_SuperMaxGrading	Grado de súper-máxima

sectorGrading_title	Sector *X
sectorGrading_housed	Los presos *X se alojan en *Y
sectorGrading_desiresTransfer	*X presos *Y esperan traslado a *Z

sectorGrading_description	A continuación se detalla el grado del sector. Cuantos más privilegios tenga el sector, mayor será el grado. El límite es de 250.
sectorGrading_encouragement	Cuanto mayor sea la diferencia de grado entre *X y aquí, más presos *X querrán reformarse y portarse bien por el posible traslado a este sector de menor seguridad.
sectorGrading_discouragement	También podrías reducir el grado de *X retirando sus privilegios y comodidad para crear un efecto similar, pero te arriesgarías a que los presos se enfadaran.

sectorGrading_transferNote	(NOTA: Las mejoras SOLO motivan a los prisioneros si tienes el DLC "Traslado autorizado" y la opción "Transferencia de reclusos" está activa en los ajustes del mapa.).

sectorGrading_privilegesTitle	Privilegios de los presos
sectorGrading_visitation	[+*X] Sala de visitas
sectorGrading_mail	[+*X] Correo
sectorGrading_work	[+*X] Acceso a trabajo (efectivo)
sectorGrading_education	[+*X] Acceso a educación / programas
sectorGrading_meals	[+*X] 2 comidas al día o más
sectorGrading_freeTime	[+*X] Bastante tiempo libre (20 %)
sectorGrading_extraFreeTime	[+*X] Mucho tiempo libre (30 %)
sectorGrading_yard	[+*X] Acceso al patio
sectorGrading_gym	[+*X] Acceso al gimnasio
sectorGrading_shop	[+*X] Acceso a la tienda
sectorGrading_commonRoom	[+*X] Acceso a sala comunitaria
sectorGrading_showers	[+*X] Duchas calientes
sectorGrading_sleep	[+*X] 10 horas o más de sueño

sectorGrading_facilitiesTitle	Instalaciones
sectorGrading_room	[*X/*Y] calidad de *R (media)

sectorGrading_conditionsTitle	Condiciones
sectorGrading_suppresion	[*X/15] *Y Represión
sectorGrading_risk	[*X/20] *Y Riesgo (muertes y lesiones)
sectorGrading_cleanliness	[*X/15] *Y Limpieza

sectorGrading_grade	Grado *X/250
dialog_veryLow	Muy bajo

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	Varios

report_needs_staffBreaks	Porcentaje máximo del personal que puede tomarse un descanso a la vez.
reports_privilegetitle	Política de privilegios
reports_misconducttitle	Política de mala conducta
reports_paroletitle	Política de límite de libertad condicional
reports_parole_info	Ajustar límite:
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	Privilegio
reports_policy_Visitation	Sala de visitas
reports_policy_Mail	Correo
reports_policy_PrisonLabour	Trabajos de presos
reports_policy_All	Todos
reports_policy_Programs	Programas
reports_policy_WorkPrograms	Trabajo
reports_policy_EducationPrograms	Educación
reports_policy_WellnessPrograms	Bienestar

reports_policy_defaults	Recomendado
reports_policy_tooltip_recomended	Ajusta *X a su valor recomendado para todos los niveles de seguridad seleccionados.
reports_policy_tooltip_all	Selecciona/Deselecciona todos los niveles de seguridad

reports_privilegesPolicy_tooltip_all	Cambia todos los programas excepto el proceso de libertad condicional, la apelación del corredor de la muerte y las consultas psiquiátricas.
reports_privilegesPolicy_tooltip	Elige qué sectores de seguridad pueden participar en estos programas:
reports_privilegesPolicy_tooltip_EducationPrograms	\n-Educación básica \n-Educación general
reports_privilegesPolicy_tooltip_WellnessPrograms	\n-Terapia de comportamiento \n-Terapia de Grupo de Alcohólicos \n-Guía espiritual
reports_privilegesPolicy_tooltip_WorkPrograms	\n-Seguridad en la cocina e higiene \n-Inducción a la seguridad en el taller \n-Aprendizaje de carpintería

report_policy_categoryTooltip_Minsec	Mínima seguridad
report_policy_categoryTooltip_Normal	Media seguridad
report_policy_categoryTooltip_MaxSec	Máxima seguridad
report_policy_categoryTooltip_Protected	Custodia protectora
report_policy_categoryTooltip_SuperMax	Súper-máxima
report_policy_categoryTooltip_DeathRow	Corredor de la muerte
report_policy_categoryTooltip_Insane	Problemas mentales

report_policy_misconductConflict_tooltip	Hay seleccionados múltiples tipos de seguridad con distintos valores de política. Elige categorías individuales de prisioneros para ver sus políticas de mala conducta.

report_policy_match	Coincide con:

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	Asigna cocineros
interfacedeployment_Doctor	Asigna médicos

buildtoolbar_deployment_Chef	Asigna cocineros a los sectores de tu prisión.
