
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Novo

buildtoolbar_popup_help_jobs_1              A vista de Trabalho Prisional mostra-te os espaços onde os prisioneiros podem trabalhar e quantos prisioneiros estão atualmente destacados para cada espaço.\n\n
buildtoolbar_popup_help_jobs_2              ~Clica no botão esquerdo sobre um espaço para adicionares um turno de trabalho ao mesmo. Cada turno de trabalho pode ser potencialmente preenchido por um prisioneiro durante um regime de trabalho. Clica no botão direito sobre o espaço para removeres um turno.\n\n
buildtoolbar_popup_help_jobs_3              ^Dicas
buildtoolbar_popup_help_jobs_4              - Para alguns trabalhos, como trabalhar na cozinha ou na oficina, o prisioneiro tem de primeiro obter aprovação num curso de formação. Podes organizar estes cursos a partir do separador de Programas na tua janela de relatórios.
buildtoolbar_popup_help_jobs_5              - Os prisioneiros que trabalham recebem uma pequena remuneração por cada hora de trabalho. Talvez não seja necessariamente boa ideia atribuir o número máximo de trabalhos, porque dessa forma os prisioneiros recebem uma remuneração mesmo que não tenham nada para fazer.

buildtoolbar_popup_help_source_1           A vista de Perigos mostra o contrabando que um prisioneiro pode roubar de cada um dos espaços na tua prisão. Além disso, à direita podes ver a oferta e procura de cada tipo de contrabando. Se a procura de um tipo específico de contrabando for superior à oferta, há mais probabilidades de um prisioneiro tentar roubá-lo, sobretudo se necessitar desesperadamente de qualquer coisa.\n\n
buildtoolbar_popup_help_source_2           ^Dicas
buildtoolbar_popup_help_source_3           - Os prisioneiros não têm de ter acesso a todos os espaços que são fonte de contrabando e, na realidade, o seu acesso a esses espaços pode ser limitado ou bloqueado na totalidade.
buildtoolbar_popup_help_source_4           - Aqui vês os espaços da tua prisão onde é possível roubar contrabando. Mas estes espaços não são a única forma dos prisioneiros obterem o que precisam...

buildtoolbar_popup_help_contraband_title    Contrabando
buildtoolbar_popup_help_contraband_1        A vista de Contrabando mostra todo o contrabando que foi encontrado na tua prisão, no último dia ou na última semana, e onde foi encontrado.\n\n
buildtoolbar_popup_help_contraband_2        ~Paira com o rato sobre um objeto específico de contrabando para veres o seu historial, incluindo de que forma foi inicialmente adquirido pelo prisioneiro e por onde andou antes de ser descoberto.\n\n
buildtoolbar_popup_help_contraband_3        ^Dicas
buildtoolbar_popup_help_contraband_4        - Se chegares à conclusão de que grande parte do contrabando tem origem num número relativamente reduzido de espaços, talvez seja hora de apertares a segurança nessas áreas.
buildtoolbar_popup_help_contraband_5        - Os diferentes tipos de contrabando são detetados de diferentes formas. Por exemplo, os cães-guarda são muito bons a detetar coisas com um odor muito característico.

buildtoolbar_popup_help_informants_1        A vista de Informadores mostra-te uma lista dos teus Informadores Confidenciais atuais. Além disso, os potenciais Informadores Confidenciais são destacados a amarelo, normalmente nas celas da Solitária.\n\n
buildtoolbar_popup_help_informants_2        ~Para recrutares um Informador Confidencial, encontra um potencial Informador Confidencial, vai até ao separador de Experiência do seu registo criminal e clica no botão Recrutar Informador.\n\n
buildtoolbar_popup_help_informants_3        ~Para ativares um informador, clica no botão que diz Inativo (passará para Ativo quando o destacares) e espera que o informador seja acompanhado até à Sala de Segurança. Depois, com base na área que cobre, o informador irá mostrar-te algum contrabando escondido e dar-te informações sobre a reputação dos prisioneiros e potenciais alvos de assassinato.\n\n
buildtoolbar_popup_help_informants_4        ^Dicas
buildtoolbar_popup_help_informants_5        - Ao ativares um informador e realizares buscas com base nas informações fornecidas pelo mesmo, irás aumentar o nível de suspeição. Se for demasiado alto, o informador poderá estar em maus lençóis...
buildtoolbar_popup_help_informants_6        - Clica no "X" junto ao botão de ativação para dispensares um informador.

buildtoolbar_popup_help_utilities_1         A vista Utilitários mostra as várias ligações que passam sob a superfície da prisão. Podes criar cabos elétricos e tubos de água e também ligar vários itens com fios.\n\n
buildtoolbar_popup_help_utilities_2         ~Ao criar cabos elétricos ou tubos, mantém premido o botão esquerdo do rato e arrasta entre os dois pontos que pretendes ligar. Se clicares no botão direito, cancelas quaisquer tarefas existentes para colocar cabos ou tubos.\n\n
buildtoolbar_popup_help_utilities_3         ~Ao ligar itens com fios (ex.: um Monitor de CCTV a uma Câmara de CCTV), clica com o botão esquerdo do rato no primeiro objeto e, em seguida, clica com o botão esquerdo no objeto que pretendes ligar. Mantém premida a tecla Shift para ligares vários objetos.\n\n
buildtoolbar_popup_help_utilities_4         ^Dicas
buildtoolbar_popup_help_utilities_5         - Pequenos objetos elétricos, como luzes e televisores, ligam-se automaticamente à alimentação, desde que exista um cabo elétrico nas proximidades. Objetos maiores, como Máquinas de Lavar Roupa ou Bombas de Água, têm de ser ligados diretamente ao cabo.
buildtoolbar_popup_help_utilities_6         - Os tubos de água maiores podem transportar água a uma grande distância, mas os tubos mais pequenos têm um alcance inferior. Uma boa forma de economizar dinheiro é colocar um tubo grande único que conduz a um edifício ou área e ligar objetos individuais com tubos mais pequenos.
buildtoolbar_popup_help_utilities_7         - A vista Utilitários pode apresentar muitos dados, especialmente em prisões maiores. Se clicares num objeto específico, realças as ligações relacionadas de forma muito mais clara, o que facilita a visualização. Por exemplo, clicar em cabos elétricos torna muito mais claros todos os cabos e objetos elétricos da prisão.
buildtoolbar_popup_help_utilities_8         - Se tiveres várias Centrais Elétricas na prisão, cada uma tem de ter Cabos Elétricos separados. Se os Cabos Elétricos ligados a duas Centrais Elétricas entrarem em contacto, ambas as centrais desligam-se.

buildtoolbar_popup_help_guard_1             Os guardas são os principais recursos humanos na prisão e tratam de todas as questões, desde o acompanhamento de novos prisioneiros às suas celas até à procura de contrabando e resolução de lutas.\n\n
buildtoolbar_popup_help_guard_2             ~Com um guarda selecionado, podes ordenar-lhe para se deslocar para qualquer ponto da prisão clicando com o botão direito nesse local. \n\n
buildtoolbar_popup_help_guard_3             ^Dicas
buildtoolbar_popup_help_guard_4             - Os Guardas conseguem encontrar túneis de fuga ao efetuar buscas nas casas de banho das celas. Se a casa de banho for alvo de uma busca específica, descobrem sempre os eventuais túneis de fuga existentes.
buildtoolbar_popup_help_guard_5             - Se tiveres um Chefe de Segurança, podes ver quantos Guardas inativos tens na barra de informações na parte superior do ecrã. Se tiveres frequentemente nenhum Guarda disponível, poderá ser uma indicação de que não tens guardas suficientes para lidar com a carga de trabalho atual.

buildtoolbar_popup_help_workman_1           Os Operários são as pessoas que constroem a prisão, ajudam a descarregar as entregas e, em alguns casos, a transportar essas entregas até diversos pontos da prisão.\n\n
buildtoolbar_popup_help_workman_2           ^Dicas
buildtoolbar_popup_help_workman_3           Os Operários funcionam sobretudo de forma automática, mas se quiseres que uma obra seja concluída rapidamente, podes usar Ctrl+Clique direito na tarefa para a marcar como Alta Prioridade. Desta forma, o Operário mais próximo deixa o que está a fazer e ajuda a concluir a tua tarefa.

buildtoolbar_popup_help_cook_1              Os Cozinheiros preparam os alimentos dos prisioneiros, limpam as áreas de refeição e transportam os alimentos até às cozinhas.\n\n
buildtoolbar_popup_help_cook_2              ^Dicas
buildtoolbar_popup_help_cook_3              - É importante garantir que tens cozinheiros suficientes para responder às necessidades alimentares da tua prisão. Se não forem suficientes, não conseguem preparar alimentos suficientes e alguns dos prisioneiros vão passar fome...

buildtoolbar_popup_help_warden_1            Os Supervisores são a tua ligação à Burocracia que a gestão de uma prisão acarreta. Desbloqueiam a janela de Burocracia, permitindo-te pesquisar novas funcionalidades que podes utilizar na prisão. Depois de receberem um Gabinete, gerem-se praticamente sozinhos.

buildtoolbar_popup_help_armedguard_1        Os Guardas Armados têm sempre uma caçadeira consigo e são utilizados para manter na linha prisioneiros especialmente perigosos ou desordeiros. Suprimem todos os prisioneiros nas proximidades, reduzindo a probabilidade de provocarem distúrbios e, se a sua vida for ameaçada, irão utilizar a caçadeira, o que normalmente faz com que todos os restantes prisioneiros nas proximidades parem de provocar distúrbios.\n\n
buildtoolbar_popup_help_armedguard_2        ~Com um Guarda Armado selecionado, podes ordenar-lhe para se deslocar para qualquer ponto da prisão clicando com o botão direito nesse local. \n\n
buildtoolbar_popup_help_armedguard_3        ^Dicas
buildtoolbar_popup_help_armedguard_4        - Se o botão Fogo Livre estiver ativado, os Guardas Armados não esperam que a sua vida esteja em perigo para usarem a caçadeira. Limitam-se a disparar sobre quaisquer prisioneiros que provoquem distúrbios.
buildtoolbar_popup_help_armedguard_5        - É difícil os prisioneiros derrubarem os Guardas Armados, mas se conseguirem, a arma acaba caída no chão, onde qualquer um a pode apanhar...

buildtoolbar_popup_help_doctor_1            Os Médicos são responsáveis pelo tratamento dos ferimentos que a maioria dos prisioneiros e funcionários terão durante o tempo na prisão. Tratam os ferimentos, tratam prisioneiros com overdoses e gerem programas de tratamento para toxicodependentes.\n\n
buildtoolbar_popup_help_doctor_2            ~Com um Médico selecionado, podes ordenar-lhe para se deslocar para qualquer ponto da prisão clicando com o botão direito nesse local.

buildtoolbar_popup_help_janitor_1           Os Funcionários de Limpeza são responsáveis por manter a prisão limpa, ajudando também a gerir as Lavandarias.\n\n
buildtoolbar_popup_help_janitor_2           ^Dicas
buildtoolbar_popup_help_janitor_3           - Todas as tarefas realizadas pelos Funcionários de Limpeza podem também ser realizadas por prisioneiros que trabalham. Se tiveres um número suficiente de prisioneiros atribuídos às Lavandarias e Armários de Limpeza, pode ser possível prescindir de quase todos ou todos os Funcionários de Limpeza.

buildtoolbar_popup_help_gardener_1          Os Jardineiros mantêm em ordem as zonas exteriores da prisão, removendo as ervas daninhas e plantando árvores.\n\n
buildtoolbar_popup_help_gardener_2          ^Dicas
buildtoolbar_popup_help_gardener_3          - Se tiveres uma Área Florestal, os Jardineiros são responsáveis por plantar as mudas de árvores que receberes. Certifica-te de que tens suficientes para lidar com o que recebes!

buildtoolbar_popup_help_doghandler_1        Os Tratadores de Cães têm sempre um Cão de Guarda. Os Cães de Guarda são excelentes para sentir o rasto de contrabando com odor forte, como Drogas e Álcool, podendo também detetar túneis de fuga subterrâneos ocultos.\n\n
buildtoolbar_popup_help_doghandler_2        ~Com um Treinador de Cães selecionado, podes ordenar-lhe para se deslocar para qualquer ponto da prisão clicando com o botão direito nesse local.\n\n
buildtoolbar_popup_help_doghandler_3        ^Dicas
buildtoolbar_popup_help_doghandler_4        - Se enviares um Cão de Guarda para determinada área, o Cão de Guarda tenta captar o rasto de qualquer contrabando que possa estar escondido nas proximidades.
buildtoolbar_popup_help_doghandler_5        - Ao caminhar sobre um túnel de fuga subterrâneo, o Cão de Guarda poderá assinalar a existência deste. Para o indicar, é deixado um pequeno marcador. No entanto, por vezes, o Cão pode assinalar o local, mesmo que este não tenha nada...
buildtoolbar_popup_help_doghandler_6        - Se um Treinador de Cães morrer, o respetivo Cão de Guarda pode perder a cabeça e matar o assassino do Treinador antes de sair da prisão.

buildtoolbar_popup_help_sniper_1            Os Snipers posicionam-se nas Torres de Vigia que constróis na prisão, criando um forte elemento dissuasor para prisioneiros desordeiros e agindo como a última linha de defesa contra prisioneiros em fuga.\n\n
buildtoolbar_popup_help_sniper_2            ^Dicas
buildtoolbar_popup_help_sniper_3            - Os Snipers têm uma espingarda potente, de longo alcance, mas apenas podem cobrir áreas na sua linha de visão direta.
buildtoolbar_popup_help_sniper_4            - Os Snipers disparam tiros de aviso contra prisioneiros que se estejam a comportar indevidamente dentro da prisão. Se os prisioneiros não se renderem, começam a disparar diretamente contra os prisioneiros.
buildtoolbar_popup_help_sniper_5            - Se Fogo Livre estiver ativo, ou se um prisioneiro estiver a fugir fora da prisão, não são disparados tiros de aviso.

buildtoolbar_popup_help_chief_1             O Chefe é o responsável pela segurança da prisão. Dá-te uma leitura geral do ambiente na prisão, apresentando a probabilidade de os prisioneiros provocarem distúrbios e informa-te também de quantos guardas estão ocupados na prisão. Também te permite pesquisar funcionalidades de segurança mais avançadas, como Cães de Guarda ou Câmaras de CCTV. Depois de receber um Gabinete, gere-se praticamente sozinho.

buildtoolbar_popup_help_foreman_1           O Capataz é o responsável pela manutenção e construção na prisão, permitindo-te procurar e contratar Funcionários de Limpeza e Jardineiros. Trata também dos Trabalhos da Prisão e supervisiona pessoalmente a formação dos prisioneiros na utilização das ferramentas da Oficina.\n\n
buildtoolbar_popup_help_foreman_2           ^Dicas
buildtoolbar_popup_help_foreman_3           - Depois de construíres uma Oficina na Prisão, o Capataz é responsável por ensinar os programas de Introdução à Segurança na Oficina, que podem ser agendados no separador Programas da janela de relatórios.

buildtoolbar_popup_help_psychologist_1      O Psicólogo é responsável pela monitorização da saúde mental dos prisioneiros. O Psicólogo permite-te analisar as necessidades atuais dos prisioneiros. Também é responsável por gerir alguns programas de reabilitação para prisioneiros.\n\n
buildtoolbar_popup_help_psychologist_2      ^Dicas
buildtoolbar_popup_help_psychologist_3      - Com um Psicólogo na prisão, podes analisar as necessidades individuais dos prisioneiros, ou as necessidades coletivas de todos os prisioneiros no separador Necessidades da janela Relatórios.
buildtoolbar_popup_help_psychologist_4      - Os Psicólogos gerem os Programas AA, para o tratamento do alcoolismo na prisão, e também os programas de Terapia Comportamental, que tentam gerir os prisioneiros mais problemáticos. Desta forma, podes ter vários Psicólogos na prisão, se achares que precisas deles.

buildtoolbar_popup_help_accountant_1        O Contabilista gere as finanças da prisão e desbloqueia a capacidade de ver o fluxo de caixa e o valor total da prisão, assim como alguns itens de pesquisa, para melhorar o rendimento. Depois de receber um Gabinete, gere-se praticamente sozinho.

buildtoolbar_popup_help_lawyer_1            O Advogado ajuda-te a contornar determinadas leis que poderiam ser problemáticas para a gestão da prisão. Além disso, também te pode ajudar a evitar a responsabilidade legal por eventuais ocorrências particularmente desastrosas na tua prisão. Também consegue desbloquear a opção Corredor da Morte para a tua Prisão. Depois de receber um Gabinete, gere-se praticamente sozinho.

buildtoolbar_popup_help_gangs_1             A vista Gangues mostra o estado atual de quaisquer Gangues na prisão. Podes ver informações sobre cada gangue individual, assim como as divisões detidas pelos gangues e os prisioneiros que são membros de gangues. Consegues também ver que membros de gangues são Tenentes de Gangues, realçados com 2 círculos, e Líderes de Gangues, realçados com 3 círculos.\n\n
buildtoolbar_popup_help_gangs_2             ~Se quiseres remover à força os gangues de uma área por estes controlada, realça a divisão e clica no botão Expulsar. No entanto, o gangue não vai ficar contente...\n\n
buildtoolbar_popup_help_gangs_3             ^Dicas
buildtoolbar_popup_help_gangs_4             - Não consegues mudar as áreas da prisão controladas por Gangues. Se quiseres adicionar ou remover alguma coisa nessas áreas, primeiro tens de as reivindicar.
buildtoolbar_popup_help_gangs_5             - As pessoas que não sejam membros de gangues terão de pagar para utilizar as instalações nas áreas da prisão controladas por Gangues. Os membros de Gangues rivais evitam completamente essas áreas.
buildtoolbar_popup_help_gangs_6             - Podes usar salas de Segurança para ajudar a manter a tua influência em determinada área. Quaisquer Guardas de um Gabinete de Segurança adjacente a uma potencial área de um Gangue contam para o teu controlo.
buildtoolbar_popup_help_gangs_7             - Os membros de Gangues são muito protetores do líder do seu gangue. Não vão gostar se lhe acontecer alguma coisa...

buildtoolbar_popup_help_weathermap_1        A vista Temperatura mostra a temperatura nas diferentes áreas da prisão. É possível aumentar a Temperatura sobretudo através do uso de Radiadores. Se uma área estiver muito fria, os prisioneiros que lá tiverem têm necessidade de mais Calor.

buildtoolbar_popup_help_prefabs_1           O menu Construção Rápida contém opções que te ajudam a acelerar a construção de divisões muito usadas. A ferramenta Clone permite-te selecionar e copiar uma área da prisão e, depois, colocar novamente essa área. As divisões Pré-fabricadas permitem-te posicionar divisões pré-fabricadas que cumprem automaticamente os requisitos.\n\n
buildtoolbar_popup_help_prefabs_2           ~Com a ferramenta Clone selecionada, mantém premido o botão direito do rato e arrasta a área que pretendes copiar. Em seguida, clica com o botão esquerdo noutro ponto da prisão para colocar em fila a construção de uma cópia dessa área.\n
buildtoolbar_popup_help_prefabs_3           ~Com uma ferramenta Pré-fabricada selecionada, basta clicar com o botão esquerdo do rato na área da prisão onde queres construir a divisão e esta será construída pelos Operários.\n\n
buildtoolbar_popup_help_prefabs_4           ^Dicas
buildtoolbar_popup_help_prefabs_5           - A ferramenta Clone não copia as ligações das Redes de Serviços Públicos. Terás de ligar manualmente a eletricidade e água às áreas que acabaste de criar.

buildtoolbar_popup_help_zoning_1        As ferramentas Zonas permitem-te controlar quais os prisioneiros que podem entrar em diferentes áreas da prisão; Partilhada e Desbloqueada estão acessíveis a todas as categorias de prisioneiros.\n\n
buildtoolbar_popup_help_zoning_2        ~Seleciona a categoria que pretendes atribuir a uma zona e clica com o botão esquerdo do rato na zona. Se clicares no botão direito, irás repor o estado da zona para Partilhada.\n\n
buildtoolbar_popup_help_zoning_3        ^Dicas
buildtoolbar_popup_help_zoning_4        - Uma vez que os prisioneiros não podem entrar em áreas Apenas para Funcionários, consegues criar "câmaras seguras" que impedem que os prisioneiros de determinadas áreas acedam a instalações que, de outra forma, seriam partilhadas. Esta funcionalidade pode revelar-se especialmente útil se, por exemplo, quiseres manter todos os prisioneiros em custódia dentro da sua própria área, afastados de uma Sala Comum ou Pátio partilhados.
buildtoolbar_popup_help_zoning_5        - Se uma zona for definida como Desbloqueada, todas as portas dessa área ficam abertas.

buildtoolbar_popup_help_guards_1        A ferramenta de Guardas permite-te colocares Guardas nas zonas. Um guarda destacado move-se aleatoriamente pela zona que lhe foi atribuída e irá realizar quaisquer tarefas de Guarda nessa área, como a abertura de portas.\n\n
buildtoolbar_popup_help_guards_2        ~Clica no botão esquerdo do rato para aumentares o número de Guardas destacados para uma zona. Clica no botão direito do rato para removeres um Guarda.\n\n
buildtoolbar_popup_help_guards_3        ^Dicas
buildtoolbar_popup_help_guards_4        - Se a Microgestão estiver desbloqueada, terás acesso ao Planeador de Destacamentos. Desta forma, podes criar um horário do destacamento dos guardas para determinadas áreas. Por exemplo, se só quiseres Guardas destacados na Cantina durante o regime de Alimentação, podes clicar em cada bloco do Planeador que se alinha com o teu regime de Alimentação e, em seguida, desloca a barra de deslizamento de tempo para esse bloco e clica na Cantina, para destacar os guardas.
buildtoolbar_popup_help_guards_5        - Tens até 7 blocos de tempo diferentes disponíveis para Planeamento, além do modo predefinido Sempre Ativo, o que te permite criar rotinas de destacamento complexas que correspondem às necessidades da tua prisão.
buildtoolbar_popup_help_guards_6        - Se não selecionares manualmente um bloco de tempo ao atribuir Guardas, o Planeador utiliza o tempo atual; certifica-te de que está selecionado o tempo correto quando trocares o Destacamento!

buildtoolbar_popup_help_patrols_title   Patrulhas
buildtoolbar_popup_help_patrols_1       As 3 ferramentas de Patrulhas permitem-te criar itinerários específicos que pretendes que sejam patrulhados e, depois, destacar regularmente Guardas, Tratadores de Cães ou Guardas Armados (ou uma combinação dos três) para fazer a ronda. Estas patrulhas podem abranger várias zonas.\n\n
buildtoolbar_popup_help_patrols_2       ~Prime continuamente o botão esquerdo do rato e arrasta para criares itinerários de rondas e clica no botão esquerdo sobre um itinerário de ronda existente para adicionares um Guarda a essa patrulha. Clica no botão direito sobre um Guarda numa patrulha para o removeres ou prime continuamente o botão direito do rato e arrasta para removeres a patrulha na totalidade.\n\n
buildtoolbar_popup_help_patrols_3       ^Dicas
buildtoolbar_popup_help_patrols_4       - Os Guardas normais em patrulha continuam a executar as tarefas de Guardas, como a abertura de portas ou a procura de prisioneiros. Tal não acontece com os Tratadores de Cães e os Guardas Armados.
buildtoolbar_popup_help_patrols_5       - Se a Microgestão estiver desbloqueada, terás acesso ao Planeador de Destacamento, que funciona para as Patrulhas da mesma forma que para o Destacamento normal de Guardas.

buildtoolbar_popup_help_accessonly_1	A ferramenta Acesso limitado permite-lhe marcar áreas da prisão que, normalmente, seriam evitadas durante as deslocações na prisão. Permite-lhe impedir que as pessoas utilizem divisões como atalhos na prisão, caso prefira que utilizem outro percurso.\n\n
buildtoolbar_popup_help_accessonly_2	~Clique com o botão esquerdo na zona que pretende marcar como Acesso limitado. Poderá fazê-lo como um acréscimo às definições normais de segurança.
buildtoolbar_popup_help_accessonly_3	~Clique com o botão direito na zona para remover a definição Acesso limitado.\n\n
buildtoolbar_popup_help_accessonly_4	^Dicas
buildtoolbar_popup_help_accessonly_5	- Acesso limitado não é uma definição rigorosa. Não impede explicitamente a entrada das pessoas, especialmente se o seu objetivo se situar no interior da área marcada. Se atravessar uma área Acesso limitado for significativamente mais rápido do que a alternativa (por exemplo, ter de circundar toda a prisão), as pessoas poderão continuar a atravessar as zonas Acesso limitado.

job_matsassigned                        Materiais atribuídos
job_matsavailable                       Materiais disponíveis
job_awaitingmaterials                   À espera de materiais
job_inprogress                          -Em curso-
job_blocked                             -Bloqueado-
job_queued                              -Em fila de espera-

job_failed_noroute                      Sem rota
job_failed_nomaterials                  Sem materiais
job_failed_toodangerous                 Muito perigoso
job_failed_materialsbeingcarried        Materiais a caminho

job_rightclicktocancel                  - Clica no botão direito do rato para cancelares
job_ftofollow							- Prime F para seguires
job_makehighpriority					- CTRL + clique com o botão esquerdo do rato para atribuíres Elevada Prioridade
job_removehighpriority					- CTRL + clique com o botão direito do rato para removeres a Elevada Prioridade
job_makehighpriority_mac				- ALT + clique com o botão esquerdo do rato para atribuíres Elevada Prioridade
job_removehighpriority_mac				- ALT + clique com o botão direito do rato para removeres a Elevada Prioridade
job_highpriority_tooltip				- URGENTE
job_refundamount                        - Valor do reembolso: *X

failuremessage_blocked                  Bloqueado
failuremessage_cantafford               Fundos insuficientes
failuremessage_cantaffordupkeep         Excede o orçamento diário
failuremessage_maximumcountreached      Limite máximo atingido
failuremessage_maxstaff                 Excesso de funcionários


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                Entregas
statustoolbar_finances                  Finanças
statustoolbar_regime                    Regime
statustoolbar_escapemap                 Segurança
statustoolbar_electricity               Eletricidade
statustoolbar_stats                     Estatísticas
statustoolbar_danger                    Perigo
statustoolbar_jobs                      Trabalhos
statustoolbar_gangs                     Gangues
statustoolbar_staff                     Equipa
statustoolbar_research                  Pesquisa


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Editor de sprites
spritebankeditor_create                 Criar
spritebankeditor_rotate                 Rotação
spritebankeditor_sort                   Ordenar
spritebankeditor_markermodetitle        Modo Marcador


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Menu Principal
codex_campaign                          Campanha
codex_cutscenes                         Animações
codex_qualifications                    Qualificações
codex_load                              Carregar prisão
codex_loadcampaign                      Carregar campanha
codex_save                              Guardar prisão
codex_savecampaign                      Guardar campanha
codex_performance						Teste de desempenho
codex_developer_load                    (Desenvolvedor) Carregar mapa
codex_developer_save                    (Desenvolvedor) Guardar mapa
codex_developer_clearach                (Desenvolvedor) Remover conquistas
codex_contacts                          Contatos
codex_materials                         Materiais
codex_play                              Reproduzir
codex_play_escape                       Jogar Modo de Fuga
codex_polaroids                         Polaroides
codex_introduction                      Introdução
codex_restartintroduction               Reiniciar introdução
codex_restartchapter                    Reiniciar capítulo
codex_help                              Ajuda (Wiki)
codex_opensavefolder                    Abrir pasta de Salvos
codex_options							Opções
codex_nitgs								Nomes no jogo
codex_workshop							Partilha de Prisões (Steam)
codex_steamtrending                     Prisões Mais Populares (Steam)
codex_checkforupdates                   Verificar se há atualizações
codex_preorder                          Faz agora o pedido antecipado
codex_termsconditions                   Termos e Condições
codex_twitter                           Twitter
codex_extras                            Extras
codex_unlocked                          Destrancado *X/*Y
codex_mapsettings                       Definições do Mapa
codex_othergames						Outros jogos da Introversion
codex_mutators                          Mutadores

codex_cloudsavedesc                     Guardar na nuvem
codex_cloud_enabled						Os ficheiros guardados recentemente serão armazenados na nuvem.
codex_cloud_notaccount					Steam Cloud está desativado no cliente Steam. Volte a ativá-lo para utilizar esta funcionalidade.
codex_cloud_notapp						Os ficheiros guardados recentemente serão armazenados no seu disco rígido.
codex_saveload_delete					Eliminar

codex_new                               Criar nova prisão
codex_new_worldsize                     Tamanho do mapa
codex_new_small                         Pequeno
codex_new_medium                        Médio
codex_new_large                         Grande
codex_new_selectwarden                  Escolha um diretor
codex_new_selectgender                  Selecionar Género do Prisioneiro

codex_options_graphics					Gráficos
codex_options_resolution				Resolução
codex_options_resolutionauto			Automático
codex_options_windowed					Modo Janela
codex_options_highdpi					DPI Alto
codex_options_filtering					Filtragem
codex_options_nofiltering				Desligada
codex_options_multisampled				Multiamostragem
codex_options_supersampled				Superamostragem

codex_options_audio						Áudio
codex_options_volume					Volume Principal
codex_options_frequency					Frequência
codex_options_swapstero					Alternar estéreo
codex_options_dspenabled				Ativar DSP
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 Tipo de relógio
codex_options_clocktype_analogue        Analógico
codex_options_clocktype_12h             12 Horas
codex_options_clocktype_24h             24 Horas

codex_options_directions				Apresentação da sinalização no piso
codex_options_dirrender_hidden			Oculta
codex_options_dirrender_visible			Visível
codex_options_dirrender_zoom			Zoom

codex_options_tempscale                 Apresentar a temperatura em Celsius

codex_options_gameplay					Jogo
codex_options_autosave					Temporizador de salvamento autom.
codex_options_renderrooms				Seleção de cela
codex_options_apply						Aplicar
codex_options_v2gui						Versão 2.0 GUI
codex_options_zoomtomouse				Ampliar para ponto do rato
codex_options_oneclickrapsheet			Cadastro de um só clique
codex_options_disableanalytics			Desativar dados analíticos
codex_tooltip_disableanalytics          Recolhemos dados estatísticos anónimos para ajudar a melhorar a experiência de jogo. É possível visualizar os dados que recolhemos em metrics.txt

codex_options_language					Idioma

codex_options_experimental              Experimental
codex_options_enablevbo                 Ativar objetos com memória intermédia de vértice

codex_nitgs_authwarning                 Importante: se tiveres alterado recentemente o teu Nome na entrada de Jogo, este terá de ser autorizado antes de aparecer na lista.

codex_nitgs_filtercaption               Filtro
codex_nitgs_filterall                   Todos
codex_nitgs_filtermen                   Homens
codex_nitgs_filterwomen                 Mulheres

codex_nitgs_checkingforupdate           A procurar atualização...
codex_nitgs_updateavailable             Atualização disponível
codex_nitgs_downloading                 A transferir atualização...
codex_nitgs_downloadcomplete            Transferência completa.
codex_nitgs_downloadfailed              Ocorreu um erro na transferência.

codex_enabled                           Ativado
codex_disabled                          Desativado

codex_option_intake                     Admissão contínua
codex_tooltip_intake                    Se ativado, recebes uma quantidade aleatória de novos prisioneiros todos os dias...para sempre. Se desativado, podes escolher quando recebes novos prisioneiros tendo acesso à ala de prisioneiros na ala de Admissão.
codex_option_fogofwar                   Neblina de Guerra
codex_tooltip_fogofwar                  Perdes a visibilidade do interior dos edifícios da prisão, a menos que tenhas Guardas patrulhando ou câmeras CITV cobrindo a área.
codex_option_lakes                      Gerar lagos
codex_tooltip_lakes                     Lagos gerados aleatoriamente bloqueiam seções do terreno. AVISO: Experimental.
codex_option_forests                    Gerar florestas
codex_tooltip_forests                   Grupos de árvores aparecerão no teu terreno.
codex_option_buildings                  Gerar estruturas
codex_tooltip_buildings                 Escombros aleatórios serão deixados no seu terreno, para serem ser usados como bem entenderes.
codex_option_failure                    Condições de fracasso
codex_tooltip_failure                   Um desafio a mais! Vais ser despedido e será o teu fim se deixares as coisas ficarem muito feias (rebeliões, falência, muitas Mortes ou Fugas, etc.)
codex_option_unlimitedfunds             Recursos ilimitados
codex_tooltip_unlimitedfunds            Modo construção total! Podes gastar quanto quiseres desde o início, sem teres de ter preocupar ou esperar por mais dinheiro depois.
codex_option_gangs                      Gangues
codex_tooltip_gangs                     Alguns prisioneiros que chegam farão parte de gangues e atacarão membros de gangues rivais no local. Desafio extra!
codex_option_events                     Eventos
codex_tooltip_events                    Faz com que eventos ocorram durante o jogo para ficares mais atento aos seus arredores. Acrescenta mais desafios e um elemento de imprevisibilidade.
codex_option_weather                    Condições Meteorológicas e Temperatura
codex_tooltip_weather                   Adiciona condições meteorológicas instáveis e variações de temperatura à tua prisão, pelo que tens de ponderar a instalação de equipamento de climatização.
codex_option_enablecheats				Ativar ferramentas e truques
