# June27th Update									
									
# =============================================================================									
# Codex									
# =============================================================================									
									
codex_viewchangelog							Registo de alterações completo		
buildtoolbar_popup_obj_leatherchair				Combina com o sofá em couro. Perfeito para os funcionários se sentarem e bom demais para os prisioneiros.

buildtoolbar_popup_obj_rorschachTest		    Adicionar um teste de Rorschach ao gabinete de psiquiatria melhorará o tratamento dado pelo psiquiatra aos reclusos criminalmente loucos.
buildtoolbar_popup_obj_anatomyModel				Adicionar um modelo anatómico ao gabinete de psiquiatria melhorará o tratamento dado pelo psiquiatra aos reclusos criminalmente loucos.
buildtoolbar_popup_obj_flipboard				Adicionar um quadro com um mapa do cérebro ao gabinete de psiquiatria melhorará o tratamento dado pelo psiquiatra aos reclusos criminalmente loucos.
buildtoolbar_popup_obj_medicineCabinetPsych		Adicionar um armário de medicamentos ao gabinete de psiquiatria melhorará o tratamento dado pelo psiquiatra aos reclusos criminalmente loucos.
buildtoolbar_popup_obj_leatherchair				Combina com o sofá em couro. Perfeito para os funcionários se sentarem e bom demais para os prisioneiros.
buildtoolbar_popup_obj_leatherSofa				Adicionar uma sofá em couro clássico ao gabinete de psiquiatria melhorará o tratamento dado pelo psiquiatra aos reclusos criminalmente loucos.

buildtoolbar_deployment_insaneseczone			Só os prisioneiros criminalmente loucos poderão entrar neste setor.

failuremessage_maximumcountreachedgeneric		Quantidade máx. colocada

buildtoolbar_popup_locked_PsychiatricConsultation				Desbloqueada após mais *B sessões psiquiátricas
buildtoobar_PsychConItemImproveInfo 			- Melhora a classificação do gabinete de psiquiatria.
buildtoobar_PsychConItemImproveSuppression 		- Após uma consulta, reduz a repressão e certas necessidades\ndos reclusos criminalmente loucos em +5%
buildtoobar_PsychConItemImproveGrace 			- Após uma consulta, concede um ‘estado de graça’ de mais 1 dia\na um recluso criminalmente louco,\nantes de voltarem a aumentar a repressão e certas necessidades.
buildtoolbar_popup_obj_Footbridge				Permite que os reclusos e os funcionários cruzem áreas de terra e água. Não pode ser construída sobre muros, grades e outros edifícios.
buildtoolbar_popup_obj_FootbridgeSteel			Permite que os reclusos e os funcionários cruzem áreas de terra e água. Não pode ser construída sobre muros, grades e outros edifícios.
buildtoolbar_popup_obj_FootbridgeB				Permite que os reclusos e os funcionários cruzem áreas de terra e água. Não pode ser construída sobre muros, grades e outros edifícios.
buildtoolbar_popup_obj_FootbridgeSteelB			Permite que os reclusos e os funcionários cruzem áreas de terra e água. Não pode ser construída sobre muros, grades e outros edifícios.
buildtoolbar_popup_obj_BoomBoxRoundHouse		Permite aos prisioneiros ouvir as suas boys band preferidas durante o dia. Torna todos os prisioneiros na mesma divisão ligeiramente mais felizes.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Cela solitária almofadada

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Destinada a reclusos criminalmente loucos, com paredes almofadadas que produzem um efeito calmante.
buildtoolbar_popup_room_paddedholdingcell	    Onde os novos reclusos criminalmente loucos são colocados antes de estarem preparadas as celas almofadadas permanentes.
buildtoolbar_popup_room_paddedsolitary			    Uma forma isolada de detenção para os piores reclusos criminalmente loucos.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Almofadada (Pequena)
quickbuild_paddedintermediatecell							Almofadada (Média)
quickbuild_paddedholdingcell								Cela temporária almofadada
quickbuild_paddedsolitarycell								Cela solitária almofadada
quickbuild_PsychiatristOffice								Gabinete de psiquiatria



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Apenas para Loucos
interfacetopbar_PrisonerCells_insaneSecOnly	Lotação Criminalmente Loucos: *X

roomgrading_PsychiatristOffice_info				Desbloqueia e coloca objetos adicionais no gabinete de psiquiatria para melhorar o tratamento dos reclusos criminalmente loucos.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Objeto: *X
roomgrading_PsychiatristOffice_Quality			Competência do psiquiatra: *Q
roomgrading_PsychiatristOffice_Upgrade			Melhora o gabinete de psiquiatria para melhorar a competência.

roomgrading_score_average		MÉDIA
roomgrading_score_good			BOA
roomgrading_score_verygood		MUITO BOA
roomgrading_score_outstanding	FENOMENAL

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Ala dos Criminalmente Loucos
objective_grant_firstinsanecellblock_description	O governo está disposto a financiar a expansão da prisão de modo a acomodar e proteger o bem-estar dos reclusos criminalmente loucos.\n\nEste apoio ajudará na construção de celas almofadadas especiais e na contratação de psiquiatras especializados.
objective_grant_firstinsanecellblock_cells			Constrói uma ala/um bloco para os criminalmente loucos com 10 celas almofadadas
objective_grant_firstinsanecellblock_prisoners		Admite 10 prisioneiros criminalmente loucos
objective_grant_firstinsanecellblock_psychiatrist	Contrata 2 psiquiatras (cada um requer um gabinete)

objective_readinsaneletter						Diretivas do Diretor relativas a reclusos criminalmente loucos
objective_readinsaneletter_description			Antes de aceitarmos reclusos criminalmente loucos na nossa prisão, temos de prepará-la com o pessoal e as instalações adequadas para cuidar devidamente das suas necessidades - O Diretor...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     Como antigo agente de fianças, Hartman transmite técnicas valiosas à sua equipa de segurança.\n\n - Todos os guardas deixam cair as chaves menos vezes\n - O vigor de um guarda é reposto após a admissão
warden_wardeninsanehawk_desc_short               - O vigor de um guarda é reposto após a admissão.

warden_wardeninsaneslugworth_name                Dr. Slugworth
warden_wardeninsaneslugworth_desc                Quando todas as outras prisões os recusaram, Slugworth abriu as portas aos piores reclusos criminalmente loucos que há, na esperança de poder ajudá-los.\n\n - Os tratamentos psiquiátricos são 20% mais positivos\n - As probabilidades de receber reclusos psicopatas é mais elevada!
warden_wardeninsaneslugworth_desc_short          - Aceita mais reclusos psicopatas. Os psiquiatras proporcionam melhor tratamento.

warden_wardeninsanehudson_name					 Dr. Hudson
warden_wardeninsanehudson_desc                   O Dr. Hudson está preparado para fazer o que nenhum outro diretor consegue...\n\n - Os serviços de emergência trabalham 20% mais depressa e chegam mais cedo\n - Os custos das reparações diminuem em 10%
warden_wardeninsanehudson_desc_short             - Tempos de resposta mais rápidos e redução dos custos de reparação.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Mortes de reclusos loucos
victory_warning_insaneprisonersdeaths			 Se demasiados reclusos loucos morrerem, vais para o olho da rua.
victory_insaneprisonersdeaths_units				 Mortes

victory_insaneprisonersabused					 Ataques a reclusos loucos
victory_warning_insaneprisonersabused			 Se demasiados reclusos loucos forem atacados pelos guardas, vais para o olho da rua.
victory_insaneprisonersabused_units				 Ataques

victory_adviserwarning_insaneprisonersdeaths1	 Não podemos continuar a permitir que os nossos reclusos criminalmente loucos sejam alvo de abusos na nossa prisão! A comunicação social vai crucificar-nos, se não travarmos isto!
victory_advisernotice_insaneprisonersdeaths1	 Basta! Não dá! Devias cuidar do bem-estar de pessoas com problemas mentais e, ao invés, permitiste que sofressem crueldades indescritíveis. Vais para o olho da rua, mas sugiro que repenses as tuas escolhas de vida quando chegares a casa.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Reclusos Criminalmente Loucos

codex_tooltip_criminallyinsane					Lida com reclusos que se sentem constantemente reprimidos e precisam de celas almofadadas e acompanhamento psiquiátrico para diminuir as suas necessidades de privacidade, conforto, segurança e liberdade, antes de terem surtos. Ativar esta definição também permitirá que reclusos normais se tornem loucos na prisão, caso as suas necessidades não sejam satisfeitas. Podes desativar os reclusos que se tornam criminalmente loucos nas Definições do Mapa.

codex_prisoner_biography_NITG					Biografia personalizada criada pelo jogador
codex_options_InsaneGauge						Indicadores Superiores em Reclusos

codex_option_desert								Terreno Desértico
codex_tooltip_desert							Gera um terreno inicial que se assemelha a um deserto arenoso.

codex_options_rendercolours						Sobreposições de Setores com Cores

codex_new_selectdog								Escolhe Cães de Guarda

codex_option_prisonerTurning					Reclusos podem tornar-se Criminalmente Loucos

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Criminalmente Louco
rapsheet_insane_bio_desc                        Os reclusos criminalmente loucos sentem um nível de repressão constante e precisam de celas almofadadas e acompanhamento psiquiátrico para se manterem calmos.\n\nQuando ficam transtornados, podem atacar os funcionários, causar danos na prisão ou tentar fugir, a par de outros comportamentos imprevisíveis.

reputation_Weak                                 Fraco
reputation_Insomniac                            Insónias
reputation_Depressed                            Deprimido
reputation_Outbreaks                            Surtos
reputation_Sickness                             Doença
reputation_Hyperactive                          Hiperativo
reputation_Addict                               Viciado
reputation_Claustrophobic                       Claustrofóbico
reputation_ExtremelyStoical                     Extremamente inabalável
reputation_ExtremelyVolatile                    Extremamente instável
reputation_Psychopathic                         Psicopata
reputation_Insane                               Criminalmente Louco

reputationtooltip_Weak                          Este prisioneiro é mais fraco, sairá maltratado de uma luta e, como tal, é mais suscetível a ferimentos.
reputationtooltip_Insomniac                     Este prisioneiro precisa de dormir pouco.
reputationtooltip_Depressed                     Este prisioneiro move-se mais devagar quando se sente reprimido e sem tratamento.
reputationtooltip_Outbreaks                     Este prisioneiro tende a ter surtos violentos e danifica o ambiente em seu redor quando se sente reprimido e sem tratamento.
reputationtooltip_Sickness                      Este prisioneiro tende a vomitar ou a conspurcar-se quando se sente reprimido e sem tratamento.
reputationtooltip_Hyperactive                   Move-se muito mais depressa quando se sente reprimido e sem tratamento.
reputationtooltip_Addict                        Este prisioneiro tem maior tendência a viciar-se em drogas quando se sente reprimido e sem tratamento.
reputationtooltip_Claustrophobic                O desejo de fugir deste prisioneiro é muito superior quando se sente reprimido e sem tratamento.
reputationtooltip_ExtremelyStoical              Este prisioneiro não ficará reprimido quando trancado na solitária ou na presença de guardas. Ele não quer saber de nada.
reputationtooltip_ExtremelyVolatile             Fica de olho neste. Qualquer coisa pode dar-lhe a volta à cabeça e tornar tudo muito mau em menos de nada.
reputationtooltip_Psychopathic                  Este prisioneiro é muito mais perigoso e imprevisível do que outros reclusos criminalmente loucos.
reputationtooltip_Insane                        Certifica-te de que este recluso tem acesso a consultas com um psiquiatra e a uma cela almofadada para se acalmar.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Criminalmente Louco
report_intake_list_tooltip_insane				Os reclusos criminalmente loucos sentem um nível de repressão constante e precisam de novas celas almofadadas e acompanhamento psiquiátrico para diminuir as suas necessidades de privacidade, conforto, segurança e liberdade.\n\nNão podes acolher reclusos criminalmente loucos até teres celas almofadadas prontas ou uma cela temporária almofadada.\n\nAs celas normais podem ser convertidas em celas almofadadas no menu Setores.
report_intake_insane_intake_empty				De momento, não é possível aceitar reclusos criminalmente loucos.\n Tens de construir celas almofadadas ou celas temporárias almofadadas.\nAs celas normais podem ser convertidas em celas almofadadas no menu Setores.
report_staff_group_prisoners_insane				Criminalmente Louco
report_Criminally_Insane						Criminalmente Louco
report_Pyschopathic								Psicopata

report_intake_enable_insane					Ativar
report_intake_psychward_title					Ala Psiquiátrica: Edição de Diretor
report_intake_psychward_tooltip					Ativa o modo de jogo Ala Psiquiátrica: Edição de Diretor para esta prisão.\n\nIsto permite-te aceitar reclusos criminalmente loucos, mas primeiro tens de preparar a prisão.\n\nPsiquiatras e auxiliares podem ser pesquisados e contratados. Celas almofadadas e celas temporárias almofadadas têm de ser criadas.\n\nTanto os psiquiatras como as celas almofadadas ajudarão a manter os teus reclusos criminalmente loucos calmos e sob controlo. 

reformerror_no_psychiatrist					SEM PSIQUIATRA
reform_completion_psychiatrist              - *X Concluídos - *Y Tratados (*P%)
report_staff_group_orderlies				Auxiliares

# =============================================================================
# Research
# =============================================================================
research_Orderly							Auxiliar
research_Psychiatrist							Psiquiatra
                     
researchtooltip_Orderly							Os guardas normais estão proibidos de atacar reclusos criminalmente loucos, porque podem magoá-los nesse processo.\nOs auxiliares recebem formação especial para controlar os criminalmente loucos sem os magoar.\nOs auxiliares também vão vestir coletes de forças aos reclusos psicopatas à noite, para impedir que estes se magoem no período da noite.
researchtooltip_Psychiatrist					Funcionário especializado que consulta regularmente os reclusos criminalmente loucos.\nQuando a prisão tem em vigor um programa de consultas psiquiátricas, os psiquiatras efetuam sessões individuais regulares para ajudar a acalmar os prisioneiros criminalmente loucos. \nSe houver muitos prisioneiros criminalmente loucos, é preciso contratar alguns psiquiatras para dar apoio a todos. Cada um deles precisa de um gabinete de psiquiatria.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Louco

buildtoolbar_header_foundationmain				Principal
buildtoolbar_header_foundationmore				Mais

reformprogram_PsychiatricConsultation			Consulta Psiquiátrica
reformprogram_PsychiatricConsultation_text		Todos os reclusos criminalmente loucos requerem sessões individuais regulares com o psiquiatra para se acalmarem e reduzirem a sua sensação crescente de repressão. A inexistência de um psiquiatra pode despoletar surtos violentos e outras reações únicas nestes prisioneiros.
reform_program_properties_NeedToBeEscorted		Os reclusos podem precisar de ser escoltados até estas sessões.
reform_program_intake_insane				Apenas reclusos criminalmente loucos.

insane_letter									Caro Senhor/Cara Senhora\n\n\nEis algumas diretivas importantes para assegurar que possui as instalações e os funcionários adequados para cuidar devidamente de reclusos criminalmente loucos.\n\n1. Os reclusos criminalmente loucos têm de ter celas almofadadas. Pode transformar celas normais em celas almofadadas (no menu Setores). Quando tiver celas almofadadas, poderá aceitar o primeiro grupo de reclusos.\n\n2. Certifique-se de que contratou psiquiatras e auxiliares. Os psiquiatras vão necessitar de um gabinete próprio.\n\n3. Crie programas de Consulta Psiquiátrica para os reclusos criminalmente loucos. Estas sessões individuais com um psiquiatra (e células almofadadas) ajudam a manter os reclusos sob controlo. Melhorar o gabinete de psiquiatria melhora a capacidade de tratamento dos psiquiatras.\n\n4. Se não for tratado nem acompanhado, um recluso criminalmente louco pode exibir comportamentos imprevisíveis, tentar fugir e tornar-se violento.\n\n5. Os auxiliares vão ajudar a escoltar e a curar os reclusos e não os reprimem como os guardas normais. Também serão necessários auxiliares para vestir os coletes de forças aos reclusos criminalmente loucos ao fim do dia. \n\n6. Misturar reclusos criminalmente loucos com outros pode gerar problemas. É boa ideia construir setores só para os loucos em cantinas, pátios e outras áreas. Também convém que os gabinetes de psiquiatria se situem perto dos blocos dos loucos.\n\n7. Por fim, reclusos de outros níveis de segurança têm agora a possibilidade de se tornarem criminalmente loucos, pelo que deve permanecer alerta\n\nO Diretor,\nPrison Architects Corp

job_StraitJacket                         Aplicar/Remover Colete de Forças
job_EscortInsane                         Escoltar Recluso Louco
status_effect_sedated					Sedado

orderly_description                     Os auxiliares recebem formação especial para controlar e sedar (em caso de necessidade) reclusos criminalmente loucos.
pyschiatrist_description                TODOS os reclusos criminalmente loucos precisam de consultas individuais regulares com um psiquiatra. Acrescenta as consultas psiquiátricas através do menu Programas.

insanetooltip_status                    Estado: *X
insanetooltip_status_level0             CALMO
insanetooltip_status_level1             AGITADO
insanetooltip_status_level2             INSTÁVEL
insanetooltip_status_level3             TRANSTORNADO!
insanetooltip_behaviour					Comportamento: *X

mutator_name_ReducedDirtBuildup						Reduzir Acumulação de Sujidade
mutator_tooltip_ReducedDirtBuildup					A velocidade a que a sujidade se acumula na tua prisão é reduzida para metade.
administrator_requiresoffice_psychiatrist            Requer Gabinete de Psiquiatria

dlc_insane_upsell				Esta gravação usa conteúdo da expansão "Ala Psiquiátrica: Edição de Diretor". Como não conseguimos detetar a expansão no teu sistema, algumas funcionalidades estarão inativas. Considera adquirir a "Ala Psiquiátrica: Edição de Diretor" para aproveitar ao máximo a tua experiência no Prison Architect.
dlc_insane_upsell_multiplayer 	O anfitrião deste jogo multijogador comprou a expansão "Ala Psiquiátrica: Edição de Diretor", à qual também terás acesso enquanto convidado. Aproveita!

regime_work_pyscho              Programas/Tempo Livre
regime_worklockdown_pyscho      Programas/Encarceramento

regimetooltip_work_pyscho			Lembra-te que os prisioneiros loucos não conseguem trabalhar e só podem participar nos programas durante os períodos de trabalho
regimetooltip_worklockdown_pyscho	Lembra-te que os prisioneiros loucos não conseguem trabalhar e só podem participar nos programas durante os períodos de trabalho


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Nível de Sedação
teacher_teaching_pschiatrist                    Tratar		
pschiatrist_count_status						*X Consultas Psiquiátricas Efetuadas


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Escoltar até Enfermaria

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Estado das Celas

buildtoolbar_popup_help_CellStatus_1			O Estado das Celas mostra as células ocupadas (vermelho) e vazias (verde).
buildtoolbar_popup_help_CellStatus_2			Podes clicar numa cela ocupada para ver o prisioneiro designado.

freeCell										Cela Livre
freeCell_line0									De momento, esta cela está desocupada.
occupiedCell									Cela Ocupada
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Botão esquerdo para mostrar este prisioneiro.
object_prisoner_freshfish						Prisioneiro (Peixe Fresco)

total_Connections								O número total de ligações: *X
active_Connections								O número máximo de ligações ativas: *X

interfacedeployment_VisitorDirection			Direção dos visitantes

interface_action_move							Mover

equipment_moreContraband						Contrabando

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Transferência de Prisioneiro!
report_intake_list_tooltip_prisonerTransfer		\n\nDe tempos a tempos, são propostas transferências de prisioneiros de alto risco que são demasiado perigosos para outras prisões. \nCuidado! Há motivos para pagarem tão bem. São criminosos difíceis que nenhum outro estabelecimento quer aceitar.
rapsheet_category_PrisonerTransfer				Transferência de Prisioneiro!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Não é possível colocar tubos de água e cabos elétricos por baixo.

buildtoolbar_deployment_VisitorDirection 	Clica e arrasta para pintar sinalização no piso.\n\nFornece uma indicação de direção aos não prisioneiros.\nAjuda a controlar o fluxo de pessoas na prisão.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - Cada guardar requer *X

schedule_zone_insaneSecOnly						Setor Loucos

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Terreno Lunar
codex_tooltip_lunar								Gera um terreno inicial que se assemelha à superfície lunar.

codex_option_doubleClick						Duplo clique para mover objetos

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Clonar Setor

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Entrar Online
codex_start                         Criar Jogo
codex_joinonline                    Participar em Jogo Online
codex_join                          Participar em Jogo
codex_usernamelabel                 Nome de Utilizador:
codex_namelabel                     Nome do Jogo:
codex_passwordlabel                 Palavra-passe:
codex_passwordprotectedlabel        Protegido por Palavra-passe?
codex_listedlabel                   Listado Publicamente?
codex_roomlistlabel                 Lista de Jogos:
codex_connectinglabel               A ligar ao servidor...
codex_retrievingserverlistlabel     A obter lista de jogos...
codex_datausage                     Uso de Dados: Enviados - *SkB/s, Recebidos - *RkB/s
codex_multiplayeroptions            Gerir Jogadores
codex_playeroptions                 Jogadores
codex_regionlabel                   Região:

multiplayer_chooseroomname          Escolhe um nome de jogo
multiplayer_chooseusername          Escolhe um nome de utilizador
multiplayer_joining                 A participar: *X
multiplayer_joiningstate_joining    A participar em jogo
multiplayer_joiningstate_receiving  A receber mundo
multiplayer_joiningstate_loading    A carregar mundo
multiplayer_rejoining               Regressar ao jogo após expansão de propriedade:
multiplayer_leavegame_confirm       Queres mesmo abandonar o teu jogo cooperativo atual?
multiplayer_hostleft                O anfitrião desligou-se.
multiplayer_joingamefailed          Não foi possível participar no jogo:
multiplayer_startgamefailed         Não foi possível iniciar o jogo:
multiplayer_incorrectpassword       Palavra-passe incorreta.
multiplayer_disconnected            Ligação ao servidor perdida.
multiplayer_syncerror               Desligado devido a erro de sincronização.\n\nTenta regressar ao jogo.
multiplayer_hostonly                Apenas disponível para anfitrião.
multiplayer_modsdisabled            Mods desativados para jogo online
multiplayer_mutatorsdisabled        Mutadores desativados para jogo online
multiplayer_kicked                  Expulsaram-te do jogo.
multiplayer_kick                    Expulsar
multiplayer_ban                     Banir

multiplayer_host                    Anfitrião:

multiplayer_welcomeanalytics        Damos-te as boas-vindas ao Multijogador de Prison Architect.\n\nTemos trabalhado para converter a experiência completa de Prison Architect em multijogador. Prison Architect é um grande jogo e esta é a primeira vez que vamos disponibilizar multijogador a todos, pelo que vamos estar atentos a quaisquer problemas que os jogadores possam encontrar.\n\nPara nos ajudar nessa tarefa, gostaríamos de recolher alguns dados anónimos, para ajudar a resolver quaisquer problemas que possam estar a ocorrer no jogo. Esta recolha pode ser desativada a qualquer momento no menu de opções. Podes ver os dados que recolhemos em metrics.txt\n\nEsperamos que te divirtas a jogar Prison Architect com os teus amigos.

region_asia                         Ásia
region_au                           Austrália
region_cae                          Canadá, Este
region_eu                           Europa
region_in                           Índia
region_jp                           Japão
region_ru                           Rússia
region_rue                          Rússia, Este
region_sa                           América do Sul
region_kr                           Coreia do Sul
region_us                           EUA, Este
region_usw                          EUA, Oeste

codex_options_disableattract            Desativar Ecrã de Atração Inicial
codex_option_escapeplans                Planos de Fuga
buildtoolbar_rollcall                   Chamada
buildtoolbar_tooltip_rollcall           Chama todos os prisioneiros para ficarem de pé fora das celas. Apenas disponíveis durante regimes de sono e à noite.
interfacecontrol_graphs                 Gráficos
interfacecontrol_graphs_tooltip         Abre o ecrã de Gráficos, que permite comparar gráficos de vários aspetos da tua prisão.

graph_title                             Gráficos

graph_label_1                           Tipo de Dados 1
graph_label_2                           Tipo de Dados 2
graph_label_day                         Dia

graph_axis_none                         Nenhum
graph_axis_profit                       Lucro
graph_axis_funds                        Fundos
graph_axis_prisonsize                   Dimensão da Prisão (m²)
graph_axis_numprisoners                 Núm. Prisioneiros
graph_axis_numstaff                     Núm. Funcionários
graph_axis_releasedprisoners            Prisioneiros Libertados
graph_axis_totalreleasedprisoners       Total de Prisioneiros Libertados
graph_axis_escapedprisoners             Prisioneiros Evadidos
graph_axis_totalescapedprisoners        Total de Prisioneiros Evadidos
graph_axis_entitydeath                  Mortes
graph_axis_totaldeaths                  Total de Mortes
graph_axis_prisonerdeaths               Mortes de Prisioneiros
graph_axis_guarddeaths                  Mortes de Guardas
graph_axis_securitygrading              Classificação de Segurança
graph_axis_healthgrading                Classificação de Saúde
graph_axis_reformgrading                Classificação de Reintegração
graph_axis_punishmentgrading            Classificação de Punições
graph_axis_reoffendingrate              Taxa de Reincidência
graph_axis_prisonvalue                  Valor da Prisão
graph_axis_prisonercapacity             Lotação de Prisioneiros
graph_axis_numincidents                 Núm. de Incidentes
graph_axis_totalincidents               Total de Incidentes

equipment_Photo				Foto	
equipment_SubMachineGun			Submetralhadora	
equipment_Soap				Sabonete	

online_check_fail									No momento, você não tem permissão para acessar este recurso do jogo.
action_readbook	Ler um livro
action_FlowerGarden	Descansando
action_ClimbTyreApparatus	Exercitando
action_PassiveBookShelf	Ler um livro
action_PassiveCanvas	Descansando
action_ListenToBird	Descansando
action_ListenToBirdTwo	Descansando
action_PlayTableTennis	Jogando
action_PlayTableFootball	Jogando
action_UseDummy	Exercitando
codex_tooltip_startingSeason    Escolha a estação inicial. O clima avançará naturalmente pelas estações.
