# June 27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Kompletní seznam změn
buildtoolbar_popup_mat_burgundyclassywall		Postav klasické zdi na základech a vytvoř nové oblasti či místnosti pro zaměstnance.
buildtoolbar_popup_mat_greenclassywall			Postav klasické zdi na základech a vytvoř nové oblasti či místnosti pro zaměstnance.

buildtoolbar_popup_obj_windowclassy				Venek bude vypadat mnohem lépe než ve skutečnosti.
buildtoolbar_popup_obj_windowclassyLarge		Venek bude vypadat mnohem lépe než ve skutečnosti.
buildtoolbar_popup_obj_gravestone				Náhrobní kámen dostaneš za každé úmrtí, ke kterému dojde ve tvé věznici.

buildtoolbar_popup_staff_psychiatrist			Pokročilý zaměstnanec, který našim choromyslným vězňům poskytuje pravidelné konzultace.\nPsychiatři nabízejí pravidelná soukromá sezení, aby pomohli uklidnit naše choromyslné vězně, jakmile ve věznici zavedeme program Psychiatrická konzultace.\nPokud budeme mít choromyslných vězňů hodně, měli bychom najmout několik psychiatrů, aby je zvládli všechny. Každý z nich by také měl mít svou kancelář.

buildtoolbar_popup_staff_orderly				Zdravotník, speciálně vycvičený pro jednání s choromyslnými vězni.
buildtoolbar_popup_obj_leatherchair				Hodí se ke kožené pohovce. Dokonalé pro zaměstnance, kteří si do něj mohou sednout, a samozřejmě až příliš dobré pro vězně.

buildtoolbar_popup_obj_rorschachTest		    Když do kanceláře psychiatra přidáš Rorschachův test, zlepší se psychiatrická péče o choromyslné vězně.
buildtoolbar_popup_obj_anatomyModel				Když do kanceláře psychiatra přidáš anatomický model, zlepší se psychiatrická péče o choromyslné vězně.
buildtoolbar_popup_obj_flipboard				Když do kanceláře psychiatra přidáš papírovou tabuli se schématem mozku, zlepší se psychiatrická péče o choromyslné vězně.
buildtoolbar_popup_obj_medicineCabinetPsych		Když do kanceláře psychiatra přidáš skříň s léky, zlepší se psychiatrická péče o choromyslné vězně.
buildtoolbar_popup_obj_leatherchair				Hodí se ke kožené pohovce. Dokonalé pro zaměstnance, kteří si do něj mohou sednout, a samozřejmě až příliš dobré pro vězně.
buildtoolbar_popup_obj_leatherSofa				Když do kanceláře psychiatra přidáš koženou pohovku, zlepší se psychiatrická péče o choromyslné vězně.

buildtoolbar_deployment_insaneseczone			Do tohoto sektoru budou mít povolen vstup pouze choromyslní vězni.

failuremessage_maximumcountreachedgeneric		Maximální umístěné množství

buildtoolbar_popup_locked_PsychiatricConsultation				Odemčeno po ještě *B psychiatrických sezeních
buildtoobar_PsychConItemImproveInfo 			- Vylepšuje stupeň kanceláře psychiatra.
buildtoobar_PsychConItemImproveSuppression 		- Po konzultaci se snižuje pocit utiskování choromyslného vězně\na určité potřeby o +5 %
buildtoobar_PsychConItemImproveGrace 			- Po konzultaci získá choromyslný vězeň období „hájení“\nna další 1 den, než začne pocit utiskování\na určité potřeby opět stoupat.
buildtoolbar_popup_obj_Footbridge				Umožňuje vězňům a zaměstnancům dostat se přes pozemní a vodní plochy. Nelze postavit přes zdi, ploty a další budovy.
buildtoolbar_popup_obj_FootbridgeSteel			Umožňuje vězňům a zaměstnancům dostat se přes pozemní a vodní plochy. Nelze postavit přes zdi, ploty a další budovy.
buildtoolbar_popup_obj_FootbridgeB				Umožňuje vězňům a zaměstnancům dostat se přes pozemní a vodní plochy. Nelze postavit přes zdi, ploty a další budovy.
buildtoolbar_popup_obj_FootbridgeSteelB			Umožňuje vězňům a zaměstnancům dostat se přes pozemní a vodní plochy. Nelze postavit přes zdi, ploty a další budovy.
buildtoolbar_popup_obj_BoomBoxRoundHouse		Nech vězně poslouchat jejich oblíbené chlapecké kapely, když se věnují svým věcem. Zařiď, aby byli vězni ve stejné místnosti trochu šťastnější.

# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Polstrovaná samotka

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Určená pro naše choromyslné vězně, s polstrovanými zdmi, které uklidňují.
buildtoolbar_popup_room_paddedholdingcell	    Sem se umisťují noví choromyslní vězni, než pro ně bude připravena polstrovaná cela.
buildtoolbar_popup_room_paddedsolitary			    Izolace pro uvěznění těch nejhorších choromyslných vězňů.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Polstrovaná (malá)
quickbuild_paddedintermediatecell							Polstrovaná (střední)
quickbuild_paddedholdingcell								Polstrovaná společná cela
quickbuild_paddedsolitarycell								Polstrovaná samotka
quickbuild_PsychiatristOffice								Kancelář psychiatra



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Pouze choromyslní
interfacetopbar_PrisonerCells_insaneSecOnly	Kapacita choromyslných: *X

roomgrading_PsychiatristOffice_info				Odemkni si dodatečné předměty a rozmísti je v kanceláři psychiatra, čímž se zlepší péče o choromyslné vězně.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Položka : *X
roomgrading_PsychiatristOffice_Quality			Schopnost psychiatra: *Q
roomgrading_PsychiatristOffice_Upgrade			Vylepši kancelář psychiatra a zvyš jeho schopnosti.

roomgrading_score_average		PRŮMĚRNÁ
roomgrading_score_good			LEPŠÍ
roomgrading_score_verygood		VELMI DOBRÁ
roomgrading_score_outstanding	VYNIKAJÍCÍ

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Křídlo pro choromyslné
objective_grant_firstinsanecellblock_description	Vláda je ochotná poskytnout financování na rozšíření naší věznice za účelem ubytování a ochranu blaha choromyslných vězňů.\n\nTento grant pomůže budovat speciální polstrované cely a najmout cvičené psychiatry.
objective_grant_firstinsanecellblock_cells			Postav křídlo / blok pro choromyslné s 10 polstrovanými celami
objective_grant_firstinsanecellblock_prisoners		Přijmi 10 choromyslných vězňů
objective_grant_firstinsanecellblock_psychiatrist	Najmi 2 psychiatry (každý potřebuje kancelář)

objective_readinsaneletter						Pokyny ředitele ohledně choromyslných vězňů
objective_readinsaneletter_description			Než do svého vězení začnete přijímat choromyslné vězně, měli byste si pořídit příslušné vybavení a zaměstnance, aby se řádně starali o jejich potřeby. - Ředitel...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     Jakožto bývalý správce kaucí nabízí Hartman cenné školicí techniky pro svůj bezpečnostní tým.\n\n -Všechny stráže upouštějí klíče méně často\n -Výdrž stráže se po příjmu obnovuje
warden_wardeninsanehawk_desc_short               - Výdrž stráže se po příjmu obnovuje.

warden_wardeninsaneslugworth_name                Dr. Slugworth
warden_wardeninsaneslugworth_desc                Když je všechny ostatní věznice odmítnou, Slugworth otevře dveře i těm nejhorším choromyslným vězňům, neboť věří, že jim dokáže pomoct.\n\n - Psychiatrická péče má o 20 % lepší výsledky\n - Šance na příjem choromyslných vězňů je vyšší!
warden_wardeninsaneslugworth_desc_short          - Přijímá víc choromyslných vězňů. Psychiatři poskytují lepší péči.

warden_wardeninsanehudson_name					 Dr. Hudson
warden_wardeninsanehudson_desc                   Dr. Hudson je připraven udělat to, co nedokáže žádný jiný strážce...\n\n - Tísňové služby fungují o 20 % rychleji a dorazí dříve\n - Náklady za opravy jsou o 10 % nižší
warden_wardeninsanehudson_desc_short             - Rychlejší reakční doba a nižší náklady na opravy.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Úmrtí choromyslných vězňů
victory_warning_insaneprisonersdeaths			 Pokud zemře příliš mnoho choromyslných vězňů, dojde k tvému propuštění.
victory_insaneprisonersdeaths_units				 Úmrtí

victory_insaneprisonersabused					 Napadnutí choromyslní vězni
victory_warning_insaneprisonersabused			 Pokud stráže napadnou příliš mnoho choromyslných vězňů, dojde k tvému propuštění.
victory_insaneprisonersabused_units				 Napadení

victory_adviserwarning_insaneprisonersdeaths1	 Musíme učinit přítrž týrání choromyslných vězňů v naší věznici! Jestli situaci nevylepšíme, média si nás vezmou na paškál!
victory_advisernotice_insaneprisonersdeaths1	 Tak dost! Končíte! Měli jste se postarat o duševně choré, a oni místo toho museli kvůli vám přetrpět nevýslovně kruté zacházení. Můžu vás jen vyhodit, ale podle mě byste měli jít domů a pořádně se zamyslet nad tím, co v životě děláte.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Choromyslní vězni

codex_tooltip_criminallyinsane					Starej se o vězně, kteří se neustále cítí utiskovaní, vyžadují nové polstrované cely a psychiatrickou péči, aby se jim snížily potřeby soukromí, pohodlí, bezpečí a svobody, než se vzbouří. Když toto nastavení zapneš, bude moct pár normálních vězňů ve tvé věznici zešílet, pokud se nebudeš starat o jejich potřeby. Choromyslné vězně můžeš vypnout v nastavení mapy.

codex_prisoner_biography_NITG					Vlastní životopis vytvořený hráčem
codex_options_InsaneGauge						Ukazatel nad hlavami vězňů

codex_option_desert								Pouštní pozemek
codex_tooltip_desert							Vygeneruje počáteční políčko, které připomíná písečnou poušť.

codex_options_rendercolours						Barevné překrytí místností

codex_new_selectdog								Vyber si služební psy

codex_option_prisonerTurning					Vězni mohou zešílet

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Choromyslní vězni
rapsheet_insane_bio_desc                        Choromyslní vězni se cítí neustále utiskovaní a vyžadují polstrované cely a psychiatrickou péči, aby zůstali klidní.\n\nChoromyslní vězni, kteří se vzbouří, mohou napadnout naše zaměstnance, napáchat škody ve věznici, pokusit se utéct nebo podlehnout jinému nepředvídatelnému chování.

reputation_Weak                                 Slabý
reputation_Insomniac                            Nespavost
reputation_Depressed                            Depresivní
reputation_Outbreaks                            Záchvaty
reputation_Sickness                             Nemocný
reputation_Hyperactive                          Hyperaktivní
reputation_Addict                               Závislý
reputation_Claustrophobic                       Klaustrofobní
reputation_ExtremelyStoical                     Extrémně stoický
reputation_ExtremelyVolatile                    Extrémně labilní
reputation_Psychopathic                         Psychopatický
reputation_Insane                               Choromyslní vězni

reputationtooltip_Weak                          Tento vězeň je slabší, nepovede si dobře v bitkách, a proto je náchylnější vůči zranění.
reputationtooltip_Insomniac                     Tento vězeň vyžaduje velmi málo spánku.
reputationtooltip_Depressed                     Tento vězeň se pohybuje mnohem pomaleji, když se cítí utlačovaně a zanedbaně.
reputationtooltip_Outbreaks                     Tento vězeň má sklony k násilným záchvatům a poškozování svého okolí, když se cítí utlačovaně a zanedbaně.
reputationtooltip_Sickness                      Tento vězeň má sklony ke zvracení či pokálení se, když se cítí utlačovaně a zanedbaně.
reputationtooltip_Hyperactive                   Pohybuje se mnohem rychleji, když se cítí utlačovaně a zanedbaně.
reputationtooltip_Addict                        Tento vězeň má vyšší šanci, že si navykne na drogy, když se cítí utlačovaně a zanedbaně.
reputationtooltip_Claustrophobic                Tento vězeň cítí mnohem větší touhu utéct, když se cítí utlačovaně a zanedbaně.
reputationtooltip_ExtremelyStoical              Zavření na samotku ani přítomnost stráží nepřiměje tohoto vězně k poslušnosti. Je mu to jedno.
reputationtooltip_ExtremelyVolatile             Na tohohle si dej pozor. Rozčílit ho může cokoliv a může to skončit hodně špatně hodně rychle.
reputationtooltip_Psychopathic                  Tento vězeň je mnohem nebezpečnější a nepředvídatelnější než ostatní choromyslní vězni.
reputationtooltip_Insane                        Postarej se, aby měl tento vězeň přístup k psychiatrické konzultaci a k polstrované cele, aby zůstal klidný.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Choromyslní vězni
report_intake_list_tooltip_insane				Choromyslní vězni se neustále cítí utlačovaně a vyžadují nové polstrované cely a psychiatrickou péči, aby se jim snížily potřeby soukromí, pohodlí, bezpečí a svobody, než se vzbouří.\n\nChoromyslné vězně si můžeš vyžádat až poté, co budeš mít připravených pár polstrovaných cel nebo polstrovanou společnou celu.\n\nNormální cely můžeš předělat na polstrované v nabídce Místnosti.
report_intake_insane_intake_empty				Choromyslné vězně momentálně nemůžeš přijímat.\nBudeš muset postavit polstrované cely nebo polstrované společné cely.\nNormální cely můžeš předělat na polstrované v nabídce Místnosti.
report_staff_group_prisoners_insane				Choromyslní vězni
report_Criminally_Insane						Choromyslní vězni
report_Pyschopathic								Psychopatický

report_intake_enable_insane					Povolit
report_intake_psychward_title					Psych Ward: Warden's Edition
report_intake_psychward_tooltip					Aktivuj pro tuto věznici herní obsah Psych Ward: Warden's Edition.\n\nPak budeš moct přijímat choromyslné vězně, ale nejdřív na to budeš muset věznici připravit.\n\nMůžeš hledat a najímat psychiatry a zřízence. Můžeš budovat polstrované cely a společné cely.\n\nPsychiatři a polstrované cely ti pomohou udržet choromyslné vězně v klidu a pod kontrolou. 

reformerror_no_psychiatrist					ŽÁDNÍ PSYCHIATŘI
reform_completion_psychiatrist              - Dokončeno: *X - Vyléčeno: *Y (*P %)
report_staff_group_orderlies				Zřízenci

# =============================================================================
# Research
# =============================================================================
research_Orderly							Zřízenec
research_Psychiatrist							Psychiatr
                     
researchtooltip_Orderly							Normální stráže nesmějí útočit na choromyslné vězně, protože by je přitom mohly zranit.\nZřízenci mají speciální výcvik, aby choromyslné vězně zkrotili, aniž by je zranili.\nZřízenci navíc dají choromyslným vězňům na noc svěrací kazajky, aby se přes noc sami nezranili.
researchtooltip_Psychiatrist					Pokročilý zaměstnanec, který našim choromyslným vězňům poskytuje pravidelné konzultace.\nPsychiatři nabízejí pravidelná sezení jeden na jednoho, aby pomohli uklidnit naše choromyslné vězně, jakmile ve věznici zavedeme program Psychiatrická konzultace.\nPokud budeme mít choromyslných vězňů hodně, měli bychom najmout několik psychiatrů, aby je zvládli všechny. Každý z nich by také měl mít svou psychiatrickou kancelář.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Šílený

buildtoolbar_header_foundationmain				Hlavní
buildtoolbar_header_foundationmore				Větší

reformprogram_PsychiatricConsultation			Psychiatrická konzultace
reformprogram_PsychiatricConsultation_text		Všichni choromyslní vězni vyžadují pravidelné soukromé uklidňující sezení s naším psychiatrem, aby se zmírnil jejich rostoucí pocit útlaku. Nedostatek psychiatrů může u těchto vězňů způsobit násilné záchvaty a další jedinečné reakce.
reform_program_properties_NeedToBeEscorted		Vězni na toto sezení můžou vyžadovat doprovod.
reform_program_intake_insane				Pouze pro choromyslné vězně.

insane_letter									Vážený pane / Vážená paní,\n\n\nmáme pro vás pár důležitých pokynů, abyste měli jistotu, že máte připravené patřičné zařízení a zaměstnance, abyste se dokázali řádně postarat o choromyslné vězně.\n\n1. Choromyslní vězni musí mít polstrované cely. Polstrované cely můžete udělat ze standardních cel (v nabídce Místnosti). Jakmile budete mít polstrované cely, budete moct přijmout první skupinu vězňů.\n\n2. Nezapomeňte najmout psychiatry a zřízence. Psychiatři budou rovněž potřebovat speciální kancelář.\n\n3. Zaveďte pro své choromyslné vězně program psychiatrických konzultací. Tato soukromá sezení u psychiatra (a polstrované cely) pomáhají udržet vězně pod kontrolou. Pokud kancelář psychiatra vylepšíte, budou se o vězně moct starat ještě lépe.\n\n4. Pokud choromyslné vězně necháte bez péče a bez dozoru, mohou se začít chovat nepředvídatelně, pokusit se o útěk nebo začnou být násilní.\n\n5. Zřízenci budou vězně doprovázet a léčit a nebudou je utiskovat tak jako běžné stráže. Zřízenci budou rovněž zapotřebí k tomu, aby psychopatické choromyslné vězně na konci dne vybavili svěrací kazajkou.\n\n6. Kombinování choromyslných vězňů s ostatními může občas vést k problémům. Je dobrý nápad vybudovat samostatné sektory pro choromyslné vězně, včetně jídelen, dvorů a dalších obalstí. A kanceláře psychiatrů doporučujeme postavit poblíž blokům pro choromyslné vězně.\n\n7. A nakonec, vězni z ostatních sektorů věznice mohou nyní zešílet, takže na ně dávejte pozor.\n\nŘeditel,\nPrison Architects Corp.

job_StraitJacket                         Navléknout/svléknout svěrací kazajku
job_EscortInsane                         Doprovodit choromyslného vězně
status_effect_sedated					Pod sedativy

orderly_description                     Zřízenci mají speciální výcvik pro zacházení s choromyslnými vězni a podávání sedativ (pokud je to nutné).
pyschiatrist_description                VŠICHNI choromyslní vězni vyžadují pravidelné soukromé psychiatrické konzultace u psychiatra. Psychiatrické konzultace přidáš přes nabídku Programy.

insanetooltip_status                    Status: *X
insanetooltip_status_level0             KLIDNÝ
insanetooltip_status_level1             ROZRUŠENÝ
insanetooltip_status_level2             NESTABILNÍ
insanetooltip_status_level3             ROZZUŘENÝ!
insanetooltip_behaviour					Chování: *X

mutator_name_ReducedDirtBuildup						Snížit rychlost špinění
mutator_tooltip_ReducedDirtBuildup					Rychlost, s jakou se kolem věznice tvoří špína a svinstvo, je poloviční.
administrator_requiresoffice_psychiatrist            Vyžaduje kancelář psychiatra

dlc_insane_upsell				Tato úložná pozice používá obsah z rozšíření „Psych Ward: Warden's Edition“. Jelikož jsme na tvém systému nedokázali toto rozšíření najít, budou některé funkce vypnuté. Zvaž prosím nákup „Psych Ward: Warden's Edition“, ať ze svého zážitku s hrou Prison Architect vytěžíš maximum.
dlc_insane_upsell_multiplayer 	Hostitel této hry pro více hráčů má zakoupené rozšíření „Psych Ward: Warden's Edition“, ke kterému budeš mít jako jeho host také přístup. Příjemnou zábavu!

regime_work_pyscho              Programy/Volný čas
regime_worklockdown_pyscho      Programy/Pobyt v cele

regimetooltip_work_pyscho			Poznámka: Šílení vězni nemohou pracovat a během pracovní doby mohou pouze navštěvovat programy
regimetooltip_worklockdown_pyscho	Poznámka: Šílení vězni nemohou pracovat a během pracovní doby mohou pouze navštěvovat programy


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Úroveň sedativ
teacher_teaching_pschiatrist                    Léčí		
pschiatrist_count_status						*X dokončených psychiatrických konzultací


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Doprovodit na ošetřovnu

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Stav cel

buildtoolbar_popup_help_CellStatus_1			Zobrazení stavu cel ukazuje obsazené cely (červené) a volné cely (zelené).
buildtoolbar_popup_help_CellStatus_2			Můžeš kliknout na obsazenou celu a zobrazit si vězně, který je do ní přiřazen.

freeCell										Volná cela
freeCell_line0									Tato cela je momentálně neobsazená.
occupiedCell									Obsazená cela
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Levým kliknutím si zobrazíš tohoto vězně.
object_prisoner_freshfish						Vězeň (nová krev)

total_Connections								Celkový počet připojení: *X
active_Connections								Maximální počet aktivních připojení: *X

interfacedeployment_VisitorDirection			Směr návštěvníků

interface_action_move							Přesunout

equipment_moreContraband						Kontraband

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Přesun vězňů!
report_intake_list_tooltip_prisonerTransfer		\n\nObčas dostaneš nabídku na rizikové vězně, kteří jsou na ostatní věznice příliš nebezpeční.\nPozor! Existuje důvod, proč se za ně platí tolik. Jsou to zocelení zločinci, které nechce žádná jiná věznice přijmout.
rapsheet_category_PrisonerTransfer				Přesun vězňů!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Vodní potrubí a kabely nelze stavět pod.

buildtoolbar_deployment_VisitorDirection 	Klikni na nápis na podlaze a přetáhni ho.\n\nTak osoby, které nejsou vězni, získají nápovědu, kterým směrem jít.\nPomáhá ovládat pohyb lidí ve vězení.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - *X pro každého strážného

schedule_zone_insaneSecOnly						Sektor pro choromyslné

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Měsíční pozemek
codex_tooltip_lunar								Vygeneruje počáteční políčko, které připomíná měsíční povrch.

codex_option_doubleClick						Předměty přesouváš dvojím kliknutím

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Klonovací místnost

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Jít online
codex_start                         Založit hru
codex_joinonline                    Přidat se k online hře
codex_join                          Přidat se ke hře
codex_usernamelabel                 Uživatelské jméno:
codex_namelabel                     Název hry:
codex_passwordlabel                 Heslo:
codex_passwordprotectedlabel        Chráněné heslem?
codex_listedlabel                   Veřejně uvedené?
codex_roomlistlabel                 Seznam her:
codex_connectinglabel               Připojuji se k serveru...
codex_retrievingserverlistlabel     Načítám seznam her...
codex_datausage                     Využití dat: Odesláno: *SkB/s, přijato: *RkB/s
codex_multiplayeroptions            Spravovat hráče
codex_playeroptions                 Hráči
codex_regionlabel                   Region:

multiplayer_chooseroomname          Zadej název hry
multiplayer_chooseusername          Zadej uživatelské jméno
multiplayer_joining                 Připojuji se k: *X
multiplayer_joiningstate_joining    Připojuji se ke hře
multiplayer_joiningstate_receiving  Vyhledávám svět
multiplayer_joiningstate_loading    Načítám svět
multiplayer_rejoining               Opětovné připojení ke hře po rozšíření pozemku:
multiplayer_leavegame_confirm       Opravdu chceš odejít z aktuální kooperativní hry?
multiplayer_hostleft                Hostitel se odpojil.
multiplayer_joingamefailed          Nepodařilo se připojit ke hře:
multiplayer_startgamefailed         Nepodařilo se zahájit hru:
multiplayer_incorrectpassword       Nesprávné heslo
multiplayer_disconnected            Připojení k serveru se přerušilo.
multiplayer_syncerror               Došlo k odpojení kvůli chybě synchronizace.\n\nZkus se ke hře připojit znovu.
multiplayer_hostonly                Dostupné pouze pro hostitele.
multiplayer_modsdisabled            Modifikace jsou pro online hru vypnuté.
multiplayer_mutatorsdisabled        Mutátory jsou pro online hru vypnuté.
multiplayer_kicked                  Vyhodili tě ze hry.
multiplayer_kick                    Vyhodit
multiplayer_ban                     Zablokovat

multiplayer_host                    Hostitel:

multiplayer_welcomeanalytics        Vítá tě Prison Architect pro více hráčů.\n\nPracovali jsme na to, abychom zprovoznili kompletní zážitek se hrou Prison Architect ve verzi pro více hráčů. Prison Architect je velká hra a toto je poprvé, co hru více hráčů zpřístupňujeme všem, takže budeme dávat pozor, jestli nedojde k nějakým problémům.\n\nKvůli tomu bychom rádi sbírali anonymní analytická data, která nám pomohou vyřešit problémy, na které mohou hráči ve hře narazit. Tuto funkci můžeš kdykoliv vypnout v nastavení. Na data, která shromažďujeme, se můžeš podívat v souboru metrics.txt.\n\nDoufáme, že si užiješ hraní Prison Architect s kamarády.

region_asia                         Asie
region_au                           Austrálie
region_cae                          Kanada, východ
region_eu                           Evropa
region_in                           Indie
region_jp                           Japonsko
region_ru                           Rusko
region_rue                          Rusko, východ
region_sa                           Jižní Amerika
region_kr                           Jižní Korea
region_us                           USA, východ
region_usw                          USA, západ

codex_options_disableattract            Vypnout úvodní obrazovku
codex_option_escapeplans                Plány na útěk
buildtoolbar_rollcall                   Kontrola prezence
buildtoolbar_tooltip_rollcall           Svolej všechny vězně, aby se postavili před cely. Dostupné pouze během spánkových režimů a během noci.
interfacecontrol_graphs                 Grafy
interfacecontrol_graphs_tooltip         Otevři obrazovku grafů, na které můžeš porovnat grafy různých aspektů svého vězení.

graph_title                             Grafy

graph_label_1                           Typ dat 1
graph_label_2                           Typ dat 2
graph_label_day                         Den

graph_axis_none                         Noc
graph_axis_profit                       Zisk
graph_axis_funds                        Prostředky
graph_axis_prisonsize                   Velikost věznice (m²)
graph_axis_numprisoners                 Počet vězňů
graph_axis_numstaff                     Počet zaměstnanců
graph_axis_releasedprisoners            Propuštění vězni
graph_axis_totalreleasedprisoners       Propuštění vězni celkem
graph_axis_escapedprisoners             Uprchlí vězni
graph_axis_totalescapedprisoners        Uprchlí vězni celkem
graph_axis_entitydeath                  Úmrtí
graph_axis_totaldeaths                  Úmrtí celkem
graph_axis_prisonerdeaths               Úmrtí vězňů
graph_axis_guarddeaths                  Úmrtí strážných
graph_axis_securitygrading              Hodnocení strážných
graph_axis_healthgrading                Hodnocení zdraví
graph_axis_reformgrading                Hodnocení nápravy
graph_axis_punishmentgrading            Hodnocení trestů
graph_axis_reoffendingrate              Pravděpodobnost recidivity
graph_axis_prisonvalue                  Hodnota věznice
graph_axis_prisonercapacity             Kapacita věznice
graph_axis_numincidents                 Počet incidentů
graph_axis_totalincidents               Incidentů celkem

equipment_Photo				Fotografie	
equipment_SubMachineGun			Samopal	
equipment_Soap				Mýdlo
