# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	전체 변경 로그
quickbuild_Infirmary	의무실
quickbuild_Laundry	세탁실
quickbuild_Library	도서관
quickbuild_MailRoom	우편실
quickbuild_Visitation	면회실

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly	-감방 등급을 낮춥니다.

buildtoolbar_popup_obj_ovalStaffTable	직원 공간에는 의자가 잘 어울립니다.
buildtoolbar_popup_obj_painting1	교도소에도 클래식한 인테리어가 잘 어울립니다.
buildtoolbar_popup_obj_painting2	교도소에도 클래식한 인테리어가 잘 어울립니다.
buildtoolbar_popup_obj_chessTable	왕들과... 법을 따르지 못하는 못된 사람들을 위한 게임입니다. '오락' 욕구에 적합합니다.
buildtoolbar_popup_obj_GLassWindow	햇빛이 통하도록 합니다.
buildtoolbar_popup_obj_GlassWindowLarge	햇빛이 많이 통하도록 합니다.
buildtoolbar_popup_obj_GymMat	스트레칭으로 통증을 완화합니다.\n- 운동 욕구에 적합합니다.
buildtoolbar_popup_obj_TableTennis	재소자에게 여가 생활 시간을 추가로 제공합니다.\n- 오락 욕구에 적합합니다.
buildtoolbar_popup_obj_TableFootball	재소자에게 여가 생활 시간을 추가로 제공합니다.\n- 오락 욕구에 적합합니다.
buildtoolbar_popup_obj_TyreApparatus	일부 죄수가 암벽 등반 연습이 필요하다고 주장합니다.\n- 운동 욕구에 적합합니다.
buildtoolbar_popup_obj_SinkMirror	죄수에게 세면대와 거울이 있는 감방을 제공합니다.\n- 위생 욕구에 적합합니다.
buildtoolbar_popup_obj_bambooDoor	대나무 철조망과 일치한 수제 대나무 문입니다.\n일반적인 문으로 취급됩니다.
buildtoolbar_popup_obj_canvas	죄수들이 서로를 찌르지 않고 감정을 창의적으로 표현하는 방법입니다.
buildtoolbar_popup_obj_PetBird	수감자와 함께 있는 작은 동료입니다.\n- 가족, 안정, 사치 욕구에 적합합니다.
buildtoolbar_popup_obj_SoftPillow	푹신푹신한 깃털 베개로 수감자의 침대 품질을 높이고 편안하게 합니다.\n- 편안함과 수면 욕구에 적합합니다.
buildtoolbar_popup_obj_BoxingRing	체육관이 없으면 교도소가 완공되지 않습니다. 대부분의 재소자는 이 캔버스에 그림을 그리고 싶어 합니다.
buildtoolbar_popup_obj_DumbbellRack	둔한 재소자에게 필요합니다.\n- 운동 욕구에 적합합니다.
buildtoolbar_popup_obj_Treadmill	재소자의 체격을 관리합니다. 열심히 훈련하는 죄수는 달리기 속도가 더욱 빨라집니다.\n- 운동 욕구에 적합합니다.
buildtoolbar_popup_obj_Fan	구식 팬으로 시원한 공기를 소량 순환합니다.
buildtoolbar_popup_obj_PunchBag	재소자의 공격성을 해소할 때 필요합니다.\n- 운동 및 오락 욕구에 적합합니다.
buildtoolbar_popup_obj_WardenStatue	교도관이 교도소를 관리하고 있음을 상징하는 돌 조각상입니다. 많이 설치할 경우 재소자가 압박을 느낍니다.\n- 압박을 소량 증가시킵니다.
buildtoolbar_popup_obj_WaterCooler	Prisoner Architect의 냉수기입니다.
buildtoolbar_popup_obj_SnackMachine	칼로리는 높고 품질은 낮은 간식을 제공합니다.
buildtoolbar_popup_obj_Mattress	적당히 편안한 폼 매트리스입니다. 침대 중 가장 저렴하지만 바닥보다는 낫습니다.
buildtoolbar_popup_obj_MetalBarrel	조선소에서 자주 볼 수 있습니다.
buildtoolbar_popup_obj_WoodenBarrel	조선소에서 자주 볼 수 있습니다.
buildtoolbar_popup_obj_MooringBollard	부두의 전형적인 모습을 만듭니다. 작은 벽의 역할도 합니다.
buildtoolbar_popup_obj_LightGreen	초록색 전구를 사용한 외부 조명입니다. 헬리콥터 착륙장에 어울립니다.
buildtoolbar_popup_obj_LightRed	붉은색 전구를 사용한 외부 조명입니다. 헬리콥터 착륙장에 어울립니다.
buildtoolbar_popup_obj_Buoy	물에 뜹니다.
buildtoolbar_popup_obj_LifeRing	부두의 전형적인 모습을 만듭니다.
buildtoolbar_popup_obj_ArcadeCabinet	최신 레트로 게임기로 재소자를 즐겁게 합니다.\n- 오락 및 편안하고자 하는 욕구에 적합합니다.
buildtoolbar_popup_obj_CoffeeMachine	잔업이 많은 직원이 좋아합니다.
buildtoolbar_popup_obj_ComputerStation	문학' 및 '편안함' 욕구에 적합합니다.
buildtoolbar_popup_obj_PASystem	여전히 교도소에 있다고 정기적으로 알려 죄수를 압박합니다.\n- 교도소 구역이나 운동장에 설치하면 재소자가 느끼는 압박을 증가시킵니다.
buildtoolbar_popup_obj_TrainingDummy	구식 소림사 훈련 인형입니다.\n- 열심히 훈련하는 재소자는 새 싸움 기술을 익힐 수도 있습니다!
buildtoolbar_popup_obj_StoneWaterSpout	수원에 연결하면 입에서 물을 뿜는 석조 고딕 머리입니다.
buildtoolbar_popup_obj_WindSock	풍향계는 참사가 다가오기 1시간 전에 이를 경고하며 풍향과 풍속을 보여줍니다.
buildtoolbar_popup_obj_ComfyBed	메모리 폼 매트리스가 있어 숙면을 할 수 있는 럭셔리 침대입니다.
buildtoolbar_popup_obj_IndoorTreePlanter	실내에서 나무를 키울 수 있는 움푹한 화분입니다.
buildtoolbar_popup_obj_OldBed	구식 감방 침대입니다. 폼 매트리스보다 편하지만 일반 침대보다 불편합니다.
buildtoolbar_popup_obj_Blackboard	교실을 완성하는 데 반드시 필요합니다.
buildtoolbar_popup_obj_JailDoorWhite	정신병 재소자가 있는 감옥 블록을 표시할 수 있도록 색이 있는 철창문입니다.
buildtoolbar_popup_obj_JailDoorLargeWhite	정신병 재소자가 있는 감옥 블록을 표시할 수 있도록 색이 있는 철창문입니다.
buildtoolbar_popup_obj_camerapillar	양쪽에 카메라가 있어 열린 공간에 설치할 수 있습니다.

buildtoolbar_popup_obj_signNumber0	숫자 0이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber1	숫자 1이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber2	숫자 2이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber3	숫자 3이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber4	숫자 4이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber5	숫자 5이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber6	숫자 6이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber7	숫자 7이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber8	숫자 8이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signNumber9	숫자 9이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.

buildtoolbar_popup_obj_signLetterA	문자 A이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterB	문자 B이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterC	문자 C이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterD	문자 D이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterE	문자 E이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterF	문자 F이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterG	문자 G이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterH	문자 H이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterI	문자 I이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterJ	문자 J이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterK	문자 K이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterL	문자 L이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterM	문자 M이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterN	문자 N이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterO	문자 O이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterP	문자 P이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterQ	문자 Q이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterR	문자 R이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterS	문자 S이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterT	문자 T이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterU	문자 U이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterV	문자 V이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterW	문자 W이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterX	문자 X이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterY	문자 Y이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.
buildtoolbar_popup_obj_signLetterZ	문자 Z이(가) 표시된 벽 표지판입니다. 나열하여 '감옥 블록 4' 등의 단어나 표지판을 만들 수 있습니다.



buildtoolbar_popup_mat_pipewall	토대에 파이프 벽을 건설해 새로운 공간이나 방을 만드세요.
buildtoolbar_popup_mat_derelictwall	저렴한 폐허 벽을 건설해 낡은 분위기를 만드세요.
buildtoolbar_popup_mat_overgrownwall	저렴한 잡초 벽을 건설해 교도소에서도 생명을 느껴 보세요.
buildtoolbar_popup_mat_rustywall	저렴하고 낡은 벽을 건설해 종말 후의 분위기를 만드세요.
buildtoolbar_popup_mat_slumwall	저렴한 슬럼 벽을 만들어 재소자의 복지에 드는 비용을 절약해 사무실에 더 많은 비용을 투자하세요.
buildtoolbar_popup_mat_bambooFence	야영 분위기를 만드는 수제 대나무 벽입니다.
buildtoolbar_popup_mat_RunningTrack	재소자들이 운동장에서 뛰기에 좋습니다.
buildtoolbar_popup_mat_BambooFloor	정글 야영 분위기의 바닥입니다.
buildtoolbar_popup_mat_DecayedWall	토대 위에 낡은 경량 블록으로 만든 저렴한 벽을 건설하세요.
buildtoolbar_popup_mat_flowerfield	아름다운 꽃이 자라는 잔디 공간입니다.
buildtoolbar_popup_mat_fenceandgrass	흙 대신 잔디가 자라는 철조망 공간입니다.
buildtoolbar_popup_mat_WallMinSec	색이 있는 벽을 세워 교도소의 보안 구역을 표시합니다.
buildtoolbar_popup_mat_WallMedSec	색이 있는 벽을 세워 교도소의 보안 구역을 표시합니다.
buildtoolbar_popup_mat_WallMaxSec	색이 있는 벽을 세워 교도소의 보안 구역을 표시합니다.
buildtoolbar_popup_mat_WallInsaneSec	색이 있는 벽을 세워 교도소의 보안 구역을 표시합니다.
buildtoolbar_popup_mat_WallProtective	색이 있는 벽을 세워 교도소의 보안 구역을 표시합니다.
buildtoolbar_popup_mat_CliffEdge	절벽을 세워 교도소 또는 섬 주변에 높고 통과할 수 없는 지역을 만듭니다.

interfaceoverlay_signs	표지판
interfacemode_walls	벽
interfacemode_doors	문
interface_action_snackbought	구입한 간식

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors	모든 구역
crisisSector_StopAll	모두 중단
crisisSector_SharedOnly	공용 전용
crisisSector_MinSecOnly	저위험자 전용
crisisSector_MedSecOnly	중위험자 전용
crisisSector_MaxSecOnly	고위험자 전용
crisisSector_InsaneOnly	정신이상자 전용
crisisSector_ProtectedOnly	보호감호자 전용
crisisSector_SuperMaxOnly	초고위험자 전용
crisisSector_DeathRowOnly	사형수 전용

crisisToolbarTitle_WeaponsFree	발포허가
crisisToolbarTitle_TunnelSearch	땅굴수색
crisisToolbarTitle_Shakedown	전면수색
crisisToolbarTitle_Lockdown	전체 잠금
crisisToolbarTitle_Bangup	전원입실
crisisToolbarTitle_RollCall	점호
crisisToolbarQuestion	- 어떤 구역을 선택하시겠습니까?

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message	이 맞춤 구역에 입장을 허용할 보안 수준을 선택합니다.
customsectorwindow_minseccaption	저위험자
customsectorwindow_medseccaption	중위험자
customsectorwindow_maxseccaption	고위험자
customsectorwindow_supermaxcaption	초고위험도
customsectorwindow_deathrowcaption	사형수
customsectorwindow_protectivecaption	보호감호
customsectorwindow_insanecaption	정신 이상자

customSector_title	맞춤 보안 구역
customSector_subtitle	이 보안 구역은 다음이 허용됩니다.

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging	이 방을 업그레이드하면 보안 구역 등급도 개선됩니다.
roomGrading_prisonerTransfer	'Cleared For Transfer(이감 허용)' DLC가 설치된 상태에서 지도 설정 메뉴의 '죄수 이감' 옵션을 켰을 때만 죄수들에게 동기 부여가 됩니다.

roomgrading_Cell_BadWalls	[*E] 압박 벽으로 둘러싸임
roomgrading_Cell_OutsideWindow_Large	[*E] 큰 창문 *Y개
roomgrading_Cell_HasWindow_None	[*E] 창문 없음
roomgrading_Dormitory_BadWalls	[*E] 압박 벽으로 둘러싸임
roomgrading_Dormitory_Mattress	[*E] 저품질 침대 다수
roomgrading_Dormitory_HasWindow_None	[*E] 창문 없음
roomgrading_Canteen_RoomSize	[*E] 방 크기 최소 *X제곱
roomgrading_Canteen_Item	[*E] 아이템: *X
roomgrading_Canteen_MealQuality	[*E] 식단 품질 평균
roomgrading_Canteen_MealQuality_High	[*E] 식단 품질 높음
roomgrading_Canteen_MealQuality_Low	[*E] 식단 품질 낮음
roomgrading_Canteen_MealQuality_None	[*E] 식단 품질 없음
roomgrading_Canteen_MealVariety	[*E] 식단 다양성 평균
roomgrading_Canteen_MealVariety_High	[*E] 식단 다양성 높음
roomgrading_Canteen_MealVariety_Low	[*E] 식단 다양성 낮음
roomgrading_Canteen_MealVariety_None	[*E] 식단 다양성 없음
roomgrading_Canteen_HasWindow_None	[*E] 창문 없음
roomgrading_Yard_RoomSize	[*E] 방 크기 최소 *X제곱
roomgrading_Yard_RoomSizeLess	[*E] 방 크기 *X제곱 이하
roomgrading_Yard_Item	[*E] 아이템: *X
roomgrading_Yard_Floor	[*E] 바닥 *X개(*Y% 이상)
roomgrading_Yard_MultiItems	[*E] *X개 이상의 물품 포함
roomgrading_Yard_Floor_Quantity	[*E] *Y제곱 *X
roomgrading_CommonRoom_RoomSize	[*E] 방 크기 최소 *X제곱
roomgrading_CommonRoom_Item	[*E] 아이템: *X
roomgrading_Gymnasium_RoomSize	[*E] 방 크기 최소 *X제곱
roomgrading_Gymnasium_OutsideWindow	[*E] 외부 창문 *Y개
roomgrading_Gymnasium_Item	[*E] 아이템: *X
roomgrading_Gymnasium_HasWindow_None	[*E] 창문 없음
roomgrading_Classroom_RoomSize	[*E] 방 크기 최소 *X제곱
roomgrading_Classroom_Item	[*E] 아이템: *X
roomgrading_Classroom_OutsideWindow	[*E] 외부 창문 *Y개

buildtoolbar_improvement	- *R 등급을 올립니다
buildtoolbar_decreased	- *R 등급을 낮춥니다
buildtoolbar_improvement_windows	(외부를 향할 때)

buildtoolbar_planning_autofoundation	자동 토대

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	저위험자 등급
interfaceLogistics_MedSecGrading	중위험자 등급
interfaceLogistics_MaxSecGrading	고위험자 등급
interfaceLogistics_SuperMaxGrading	초고위험자 등급

sectorGrading_title	*X 구역
sectorGrading_housed	재소자 *X명이 *Y에 수감되었습니다
sectorGrading_desiresTransfer	*Y 재소자 *X명이 *Z로 이동하려고 합니다

sectorGrading_description	이 구역의 등급 세부 안내는 다음과 같습니다. 특혜를 더 많이 제공할수록 등급이 높습니다. 최고 등급은 250입니다.
sectorGrading_encouragement	*X과 이 구역의 등급 차가 클수록 *X 죄수가 교정되고 행동을 개선하려고 하며 더 낮은 보안 등급으로 이감될 확률이 높아집니다.
sectorGrading_discouragement	특혜 및 편안함을 제거하면 *X 등급을 낮춰 비슷한 효과를 낼 수 있지만 재소자가 자극 받을 확률이 높습니다.

sectorGrading_transferNote	(참고: 'Cleared For Transfer(이감 허용)' DLC가 설치된 상태에서 지도 설정 메뉴의 '죄수 이감' 옵션을 켰을 때만 죄수들에게 동기 부여가 됩니다.)

sectorGrading_privilegesTitle	재소자 특혜
sectorGrading_visitation	[+*X] 면회
sectorGrading_mail	[+*X] 우편물
sectorGrading_work	[+*X] 노역 가능(현금)
sectorGrading_education	[+*X] 교육/프로그램 이용 가능
sectorGrading_meals	[+*X] 하루 2회 이상의 식사
sectorGrading_freeTime	[+*X] 충분한 자유 시간(20%)
sectorGrading_extraFreeTime	[+*X] 추가 자유 시간(30%)
sectorGrading_yard	[+*X] 운동장 이용 가능
sectorGrading_gym	[+*X] 체육관 이용 가능
sectorGrading_shop	[+*X] 판매점 이용 가능
sectorGrading_commonRoom	[+*X] 휴게실 이용 가능
sectorGrading_showers	[+*X] 뜨거운 샤워
sectorGrading_sleep	[+*X] 10시간 이상 수면

sectorGrading_facilitiesTitle	시설
sectorGrading_room	[*X/*Y] *R 품질(평균)

sectorGrading_conditionsTitle	조건
sectorGrading_suppresion	[*X/15] *Y 압박
sectorGrading_risk	[*X/20] *Y 위험(사망 및 부상)
sectorGrading_cleanliness	[*X/15] *Y 청결

sectorGrading_grade	등급 *X/250
dialog_veryLow	매우 낮음

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	다양함

report_needs_staffBreaks	모든 직원군에서 즉시 휴가 가능한 최대 비율입니다.
reports_privilegetitle	특혜 정책
reports_misconducttitle	불법행위 정책
reports_paroletitle	가석방 기준 정책
reports_parole_info	조정 컷오프:
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	특혜
reports_policy_Visitation	면회실
reports_policy_Mail	우편물
reports_policy_PrisonLabour	수감자 노역
reports_policy_All	모두
reports_policy_Programs	프로그램
reports_policy_WorkPrograms	노역
reports_policy_EducationPrograms	교육
reports_policy_WellnessPrograms	복지

reports_policy_defaults	추천
reports_policy_tooltip_recomended	선택한 보안 수준 전부의 추천 값으로 *X를 설정합니다.
reports_policy_tooltip_all	모든 교도소 보안 수준을 선택/선택 해제합니다.

reports_privilegesPolicy_tooltip_all	가석방 결정, 사형 신청, 정신과 상담 외의 모든 프로그램을 변경합니다.
reports_privilegesPolicy_tooltip	프로그램에 참여할 보안 구역을 선택합니다.
reports_privilegesPolicy_tooltip_EducationPrograms	\n- 기본 교육\n- 일반 교육
reports_privilegesPolicy_tooltip_WellnessPrograms	\n- 행동 치료\n- 알콜 중독 그룹 치료\n- 정신 수양
reports_privilegesPolicy_tooltip_WorkPrograms	\n- 주방 안전과 위생 \n- 작업장 안전 교육 \n- 목수 견습

report_policy_categoryTooltip_Minsec	저위험도
report_policy_categoryTooltip_Normal	중위험도
report_policy_categoryTooltip_MaxSec	고위험도
report_policy_categoryTooltip_Protected	보호감호
report_policy_categoryTooltip_SuperMax	초고위험도
report_policy_categoryTooltip_DeathRow	사형수
report_policy_categoryTooltip_Insane	정신 이상자

report_policy_misconductConflict_tooltip	다양한 정책 값에 여러 보안 유형이 선택되었습니다. 각 불법행위 정책을 보려면 개별 죄수 범주를 선택합니다.

report_policy_match	일치:

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	요리사 배치
interfacedeployment_Doctor	의사 배치

buildtoolbar_deployment_Chef	교도소의 구역에 요리사를 배치합니다.
buildtoolbar_deployment_Doctor	교도소의 구역에 의사를 배치합니다.
buildtoolbar_deployment_PrioritizeJanitor	이 옵션을 선택하면 교도관이 교도소 내 다른 구역보다 특정 구역에서의 작업을 우선합니다. 직원이 부족하면 교도관이 우선 구역을 먼저 관리합니다. 지역을 우선 관리하려면 교도관 1, 2, 3명을 배치합니다.
buildtoolbar_deployment_PrioritizeGardener	이 옵션을 선택하면 정원사가 교도소 내 다른 구역보다 특정 구역에서의 작업을 우선합니다. 직원이 부족하면 정원사가 우선 구역을 먼저 관리합니다. 지역을 우선 관리하려면 정원사 1, 2, 3명을 배치합니다.

researchtooltip_deployment2	배치 메뉴에서 교도소 내 구역에 직원을 특별히 배치합니다.
researchtooltip_prioritize	배치 메뉴에서 교도소 내 구역에 직원을 특별히 우선 배치합니다.

interfacetopbar_tooltip_totalChefs	총 요리사 *X명
interfacetopbar_tooltip_totalDoctors	총 의사 *X명
interfacetopbar_tooltip_cook	현재 교도소에서 활용할 수 있는 요리사가 몇 명인지 나타냅니다.
interfacetopbar_tooltip_doctor	현재 교도소에서 활용할 수 있는 의사가 몇 명인지 나타냅니다.

interfacetopbar_tooltip_priorityStationed	우선 작업 *X개

interfacetopbar_tooltip_totalJanitors	총 교도관 *X명
interfacetopbar_tooltip_totalGardeners	총 정원사 *X명
interfacetopbar_tooltip_janitor	현재 교도소에서 활용할 수 있는 교도관이 몇 명인지 나타냅니다.
interfacetopbar_tooltip_gardener	현재 교도소에서 활용할 수 있는 정원사가 몇 명인지 나타냅니다.

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X 죄수 *W명을 *C(으)로 이감합니다.
reports_prisoners_transfer_ready	준비
reports_prisoners_transfer_wanting	희망
reports_prisoners_transfer_button	전부 승인
reports_prsioners_transfer_numCells	(감방 *X개 사용 가능)

reports_transfers_offMessage	죄수 이감은 지도 설정 메뉴에서 켤 수 있습니다.
report_Transfer	이감

transfer_icon_tooltip	아래 옵션을 사용하면 *X 죄수 조건이 달성되어 *Y(으)로 이감할 수 있습니다. \n 정책 조건 열을 사용하면 재소자의 이감을 어렵게 하거나 특정 조건의 죄수 이감 조건을 즉시 이감 불가로 만들 수 있습니다.\n모든 죄수가 이감에 관심이 있는 것은 아닙니다. 형량이 짧거나, 땅굴을 뚫을 예정이거나, 보안 구역의 조건 또는 편안함을 생각하지 않는 죄수의 경우는 특히 그렇습니다.
transfer_tooltip_onOff	선택 해제로 선택 보안 구역의 선택 끄기/켜기

transfer_description	죄수를 보안 등급이 낮거나 더 편안한 보안 구역으로 이감할 수 있도록 조건을 설정합니다.
transfer_use	이감 조건 *X에서 *Y(으)로 변경
transfer_behaviourtitle	좋은 행동
transfer_reformtile	교정
transfer_requiredtitle	필요
transfer_qualifiedcaption	총 유자격자 죄수
transfer_hopingcaption	자격 확보 희망 죄수
transfer_numPrisoners	*X 죄수(*Y%)

transfer_title	이감 정책
transfer_criteria	정책 조건
transfer_qualifying	유자격자 죄수

transfer_behaviour_staffAssaults	직원 공격 없음
transfer_behaviour_murders	살인 없음
transfer_behaviour_murdersStuff	(직원 및 재소자)
transfer_behaviour_escapeAttempts	탈옥 시도 없음
transfer_behaviour_contraband	위험물 반입 없음
transfer_behaviour_gangMembers	갱단원 자격 미달
transfer_behaviour_previousCrimes	전과 미달:

transfer_behaviour_tooltip_staffAssaults	죄수가 이감 조건을 만족하려면 일정 기간 동안 직원을 공격하지 않아야 합니다. 기간이 길면 꾸준히 공격성을 보이는 재소자가 자격을 얻을 수 없습니다.
transfer_behaviour_tooltip_murders	죄수가 이감 조건을 만족하려면 일정 기간 동안 직원이나 재소자를 죽이지 않아야 합니다. 기간이 길면 위험한 재소자가 자격을 얻을 수 없습니다.
transfer_behaviour_tooltip_escapeAttempts	죄수가 이감 조건을 만족하려면 일정 기간 동안 탈옥을 시도하지 않아야 합니다.
transfer_behaviour_tooltip_contraband	죄수가 이감 조건을 만족하려면 일정 기간 동안 무기 또는 도구 소지가 적발되지 않아야 합니다.
transfer_behaviour_tooltip_gangMembers	모든 갱단원 또는 특정 등급인 갱단원의 이감을 허용하지 않습니다.
transfer_behaviour_tooltip_previousCrimes	다음 범죄 그룹 옵션에서 특정 전과 기록이 있는 죄수의 이감을 허용하지 않습니다.

transfer_reform_tooltip_reoffending	죄수가 이감 조건을 만족하려면 재범률이 특정 비율 미만이어야 합니다. 비율이 낮을수록 죄수 교정 및 행동 교정 효과가 좋다는 것을 의미합니다.
transfer_reform_tooltip_programsPassed	죄수가 이감 조건을 만족하려면 특정 수의 프로그램을 통과해야 합니다. 숫자를 높일수록 교정을 받을 의도가 없는 죄수의 이감을 허용하지 않습니다.

transfer_required_tooltip	값을 조정하여 이감 조건을 전부 만족하거나 일부만 만족하게 할 수 있습니다.

transfer_tooltip_uncheck	\n해제하면 이감 조건에서 제외합니다.


transfer_reform_reoffending	%, 예상 재범 가능성
transfer_reform_programsPassed	통과한 프로그램

transfer_required	위의 필수 조건

transfer_criteriaTime	*X일 동안 충족해야 할

gangNone	없음
gang_transfer_None	없음
gang_transfer_Soldier	모두
gang_transfer_Lieutenant	행동대장, 리더
gang_transfer_Leader	리더

report_prisoner_approve	승인
report_prisoner_approveAll	이감 조건을 만족하는 모든 죄수를 *X(으)로 이감합니다. 이감 가능 죄수 수는 이용 가능한 감방 수에 따라 다릅니다.

approveTransfer_title	이감 승인
approveTransfer_message	승인된 죄수 *F명 *S에서 *C
approveAllTransfer_message	유자격 죄수 전부를 *C(으)로 이감
approveAllTransfer_someMessage	*C의 이용 가능 감방이 *X개 밖에 없습니다. *X명의 죄수를 *C(으)로 이감합니까?
approveTransfer_noFreeCells	이감이 가능한 감방이 없습니다.

dialog_group	그룹

