# June27th Update
# =============================================================================

# Codex
# =============================================================================

codex_viewchangelog	Pełny Dziennik Zmian
buildtoolbar_popup_uts_ScannerMachine	Maszyna używana w obszarach dostaw i magazynowych do skanowania drewnianych skrzyń pod kątem kontrabandy. Aby wykrywać kontrabandę, musi być połączona z Monitorem skanera. Wykrywanie kontrabandy przez strażnika zależy od jego poziomu zmęczenia.
buildtoolbar_popup_obj_Checkpoint	Punkt kontrolny, gdzie przeszukiwani są więźniowie i odwiedzający. Więźniowie mogą przechodzić go tylko w jednym kierunku.\n-Musi pracować tu strażnik.
buildtoolbar_popup_mat_waterShallow	Utwórz obszary płytkiej wody, aby powstały ładne linie brzegowe pomiędzy posadzką Piasek i Woda. Po tych kafelkach można chodzić jak po zwykłej wodzie.
buildtoolbar_popup_mat_waterLarge	Utwórz duże obszary wodne, jeziora i oceany.
buildtoolbar_popup_mat_WoodenDockFloor	Solidna posadzka drewniana, idealnie nadaje się na przystań.

landscape_hint	(Można używać na wodzie)

d11_emergencies_hints_fire_heli	Śmigłowiec ze strażakami x*A. - $*B
d11_squad_name_FireHeli	Jednostki gaśnicze
d11_emergencies_hints_paramedics_heli	Śmigłowiec z sanitariuszami x*A. - $*B
d11_squad_name_AirParamedics	Sanitariusze lotniczy
d11_emergencies_hints_eliteOps_heli	Śmigłowiec z elitarnym zespołem operacyjnym x*A. - $*B
d11_squad_name_EliteOps	Elitarny zespół operacyjny


interfacecallout_FireHeli	Jednostki gaśnicze
interfacecallout_EliteOps	Elitarny zespół operacyjny
interfacecallout_AirParamedics	Sanitariusze lotniczy
interfacecallout_AirSoldiers	Żołnierze lotniczy


buildtoolbar_Logistics_DeliveryTargeting	Połącz strefy Dostaw, Odpadów i Eksportu z Lądowiskami, Przystaniami i Drogami, aby sterować miejscem odbioru dostaw i sposobem opuszczania więzienia przez więźniów.
buildtoolbar_Logistics_VehiclePurpose	Steruje usługami obsługiwanymi przez daną Przystań, Lądowisko lub Drogę. Pozwala to na odbieranie określonych towarów lub więźniów z różnych lokalizacji w więzieniu drogą morską lub powietrzną.


# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint	Wymaga połączenia ze stałym lądem i trasy dostaw wodnych.
delivery_hover_hint	W menu Logistyka > Transport można sterować zastosowaniem: *X.
ferryDock_placement_hint	Wymagana jest docelowa, równoległa masa lądu.
transportZones_hover_hint	Połącz z Lądowiskami, Przystaniami i Drogami za pomocą menu Logistyka.


# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_OutdoorLake	Jezioro zewnętrzne
quickbuild_River	Rzeka

# =============================================================================
# CODEX - Menu Entries
# =============================================================================

codex_options_hud_waypoints	Punkty kierunkowe
codex_options_hud_waypoints_all	Wszystko wł.
codex_options_hud_waypoints_important	Najważniejsze
codex_options_hud_waypoints_off	Wszystko wył.

d11_hud_waypoints_limited	Wszystko (ograniczony czas)
waypoints_tooltip	Określ Punkty kierunkowe wyświetlane w interfejsie – oznaczają one różne zdarzenia i alerty w więzieniu.


# =============================================================================
# DLC
# =============================================================================

objective_ReadSandALetter	List od prezesa (Wyspa)
island_letter	Szanowna Pani/Szanowny Panie,\n\n\nWitamy na początku nowej drogi zawodowej jako architekt więzienny na wyspie! Oto kilka wskazówek, które pomogą wydajniej zarządzać przystaniami, lądowiskami i całym więzieniem na wyspie.\n\n1. Wyspy: W zależności od warunków panujących w zakładzie karnym mogą nie być fizycznie połączone ze stałym lądem, a jeśli są, to i tak potrzebne będą ŁODZIE i SMIGŁOWCE transportowe. Zbuduj PRZYSTANIE i LĄDOWISKA oraz określ ich przeznaczenie – czy będą służyć do przyjmowania konkretnych dostaw, nowych więźniów czy nowych służb ratowniczych drogą morską i powietrzną. -Upewnij się, że przystanie zapewniają pławny szlak żeglugowy dla przypływających i odpływających łodzi. -Specjalne PRZYSTANIE DLA PROMÓW pozwalają łączyć wyspy, podobnie jak MOSTY I KAMIENIE POSADZKOWE. -Więzienie może być lepiej chronione dzięki nowym ELITARNYM JEDNOSTKOM oraz śmigłowcom, które gaszą pożary z powietrza.\n\n2. Regulacja dostaw i transportu: Za pomocą menu LOGISTYKA można określić, które usługi są przypisane do danej przystani, lądowiska i drogi, co pozwoli zwiększyć wydajność więzienia. Przystanie i lądowiska mogą być połączone z dodatkowymi strefami Dostaw, Odbioru i Eksportu. Pozwoli to na przykład na dostarczenie zapasów żywności bliżej kuchni lub na sprowadzenie nowych najniebezpieczniejszych więźniów bliżej skrzydła o maksymalnym rygorze. Możliwości są nieograniczone!\n\n3. Krajobraz: Za pomocą wody można tworzyć fosy lub oceany wokół więzienia, a ląd można kształtować za pomocą linii brzegowej, gruntu i innych rodzajów posadzek. Każdy ląd lub mniejsze wyspy utworzone na wodzie będą generowane natychmiast.\n\n4. Nowe środki bezpieczeństwa: Kontrabandę nadal można szmuglować łodziami i śmigłowcami, więc dodajemy również kilka nowych urządzeń; -MASZYNY SKANERÓW rozstawione w miejscach dostaw i magazynowania pozwolą prześwietlić skrzynki i pudła. Do obserwacji na podłączonym MONITORZE SKANERA potrzebny będzie strażnik. -Przydziel strażników w PUNKTACH KONTROLNYCH, aby sprawdzali wszystkich więźniów i odwiedzających, którzy przez nie przechodzą. Jest to świetny sposób na wykrycie kontrabandy, ale może blokować przepływ więźniów, jeśli nie jest umieszczony strategicznie.\n\nNo i na koniec – nawet z wyspy da się zbiec, więc warto rozważyć wybudowanie Wież strażniczych obsadzonych snajperami, aby mieć oko na „pływaków”.\n\nTo wszystko. Powodzenia!\n\nPrezes,\nPrison Architects Corp.


codex_option_dynamicReputations	Dynamiczna reputacja
codex_tooltip_dynamicReputations	Więźniowie, na podstawie swoich zachowań i sytuacji w więzieniu, mogą zyskiwać i tracić reputację podczas odbywania kary.\n\n Niska – Ekstremalnie mało więźniów zaczyna z dynamiczną reputacją. Reputacja jest zdobywana w zwolnionym tempie. Liczba więźniów o legendarnym statusie jest znacznie zmniejszona.\n\n Średnia – Mało więźniów zaczyna z dynamiczną reputacją. Reputacja jest zdobywana w średnim tempie. Liczba więźniów o legendarnym statusie jest umiarkowana.\n\n Wysoka – Umiarkowana liczba więźniów zaczyna z dynamiczną reputacją. Reputacja jest zdobywana w średnim tempie. Liczba więźniów o legendarnym statusie, którzy mogą zostać wprowadzeni jest wysoka.
object_scannermonitor_needsmachine	Przewód do urządzenia skanera
object_scannermachine_needsmonitor	Przewód do monitora skanera

roomerror_nodeliveryarealinked	Brak powiązanej strefy Dostaw w Logistyce


# =============================================================================
# Missing Strings
# =============================================================================

buildtoolbar_popup_help_jobs_6	Plantacja drzew musi być zamknięta, aby można było przypisać więźniów do pracy w niej oraz aby zapobiec ucieczkom.


research_forestrylabour	Praca na plantacji drzew
researchtooltip_forestrylabour	Umożliwia skierowanie więźniów do pracy na plantacji drzew za pomocą menu Logistyka. Plantacja drzew musi być zamknięta, aby można było przypisać więźniów do pracy w niej oraz aby zapobiec ucieczkom. Aby sadzić drzewa, więźniowie będą potrzebować dostępu do stref dostaw.
action_usecomputer	Użyj komputera


buildtoolbar_popup_help_roomquality_1	Widok Jakość pomieszczeń pozwala sprawdzić jakość wszystkich znajdujących się w więzieniu pomieszczeń, które można ulepszyć. Im wyższa liczba, tym lepsza jakość. Najechanie kursorem myszy na pomieszczenie pokazuje czynniki, które składają się na ocenę jego jakości oraz co można zrobić, aby ją poprawić.\n\n
buildtoolbar_popup_help_roomquality_2	Po włączeniu PRZENOSZENIA WIĘŹNIÓW
buildtoolbar_popup_help_roomquality_3	- Jakość pomieszczenia będzie wpływać na ogólną klasyfikację tego sektora bezpieczeństwa.
buildtoolbar_popup_help_roomquality_4	- Więźniowie będą chcieli przeniesienia do niższego sektora bezpieczeństwa, jeśli jest lepszy (ma wyższą klasyfikację) niż ich obecny sektor bezpieczeństwa.\n\n
buildtoolbar_popup_help_roomquality_5	KLASYFIKACJA CEL
buildtoolbar_popup_help_roomquality_6	– W nagrodę za dobre sprawowanie więźniowie uzyskują prawo do celi o wyższej jakości. Posiadanie dostępnych cel o wyższej jakości to skuteczny sposób na motywowanie dobrego sprawowania.
buildtoolbar_popup_help_roomquality_7	– Ważne jest, aby posiadać w więzieniu kilka cel o niskiej jakości, ponieważ trzeba gdzieś umieścić nowych więźniów, a jeśli wszystkie dostępne cele są zbyt wysokiej jakości, może zaistnieć potrzeba przetrzymywania nowych więźniów w celi pobytu tymczasowego.
buildtoolbar_popup_help_roomquality_8	– Więźnia można umieścić w celi o wyższej jakości, niż na to zasługuje, jeśli nie ma innych wolnych miejsc, ale to może wywołać niezadowolenie innych więźniów...

interface_landbuyoverwater	Wybierz, aby wygenerować dodatkowe wyspy w okolicy szlaków żeglugowych i zapewnić rozwój nad wodą.
interface_landbuywaterislands	WYSPY
interface_landbuywateronly	TYLKO WODA

codex_option_landExpansion	Rozbudowa terenu
codex_tooltip_landExpansion	Rozszerza rozmiar działki jeden raz dla danej strony, dzięki czemu twoja startowa działka od początku jest znacznie większa.


quickbuild_smallIsland	Wyspa (mała)
quickbuild_mediumIsland	Wyspa (średnia)
quickbuild_largeIsland	Wyspa (duża)
quickbuild_smallLand	Teren (mały)
quickbuild_largeLand	Teren (duży)


buildtoolbar_quickbuild_smallIsland	Wyspa produkcji seryjnej otoczona przez płytką wodę. Pasuje do dowolnego archipelagu.
buildtoolbar_quickbuild_mediumIsland	Wyspa produkcji seryjnej otoczona przez płytką wodę. Pasuje do dowolnego archipelagu.
buildtoolbar_quickbuild_largeIsland	Wyspa produkcji seryjnej otoczona przez płytką wodę. Pasuje do dowolnego archipelagu.
buildtoolbar_quickbuild_smallLand	Podstawowy zestaw płytek piasku, ziemi i trawy do wykorzystania podczas poszerzania terenu.
buildtoolbar_quickbuild_largeLand	Podstawowy zestaw płytek piasku, ziemi i trawy do wykorzystania podczas poszerzania terenu.

material_islandgenerator	Szybkie wyspy
buildtoolbar_popup_mat_islandgenerator	Przeciągaj obszary na wodzie, aby generować losowe wyspy. Uważaj tylko na trasy żeglugowe swoich łodzi.

online_check_fail	Aktualnie nie masz dostępu do tej funkcji gry.

job_failed_routetomaterial_blocked	Zablokowana ścieżka między Materiałem i Zadaniem

############################### Green Machine ###############################

# =============================================================================
# Materials - Names
# =============================================================================

#console only
material_FlowerField	Kwieciste pole
#

material_ReclaimedWoodWall	Ściana z odzyskanego drewna
material_BottleWall	Szklana ściana
material_WhitePicketFence	Biały płot
material_ReclaimedBrickFloor	Cegła z odzysku
material_ReclaimedRubberFloor	Guma z odzysku
material_HayBailWall	Słomiana ściana
material_WoodenFence	Drewniany płot
material_GardenWall	Ściana ogrodu
material_SellMaterial	Sprzedaj materiał

# =============================================================================
# Objects - Names
# =============================================================================

object_shed	Szopa
object_BasicAutoGatherer	Podstawowy automatyczny zbieracz
object_AdvancedAutoGatherer	Zaawansowany automatyczny zbieracz
object_AutoHarvester	Automatyczny kombajn
object_AutoScythe	Automatyczna kosa
object_Farmer	Rolnik
object_CompostFertilizer	Kompost
object_HighQualityFertilizer	Wysokiej jakości nawóz

object_CropCarrotPlant	Marchew
object_CropPotatoPlant	Ziemniak
object_CropTomatoPlant	Pomidor
object_CropCabbagePlant	Kapusta
object_CropAppleTree	Jabłoń
object_CropBananaTree	Bananowiec
object_CropOrangeTree	Drzewo pomarańczowe
object_CropPeachTree	Drzewo brzoskwiniowe
object_CropCornPlant	Kukurydza
object_CropWheatPlant	Pszenica
object_CropBarleyPlant	Jęczmień

object_CropAppleTreeSeed	Nasiono jabłoni
object_CropBananaTreeSeed	Nasiono bananowca
object_CropOrangeTreeSeed	Nasiono drzewa pomarańczowego
object_CropPeachTreeSeed	Nasiono drzewa brzoskwiniowego

object_CropCarrotPlantSeed	Nasiono marchwi
object_CropPotatoPlantSeed	Bulwa ziemniaka
object_CropTomatoPlantSeed	Nasiono pomidora
object_CropCabbagePlantSeed	Nasiono kapusty
object_CropCornPlantSeed	Nasiono kukurydzy
object_CropWheatPlantSeed	Nasiono pszenicy
object_CropBarleyPlantSeed	Nasiono jęczmienia

object_apple	Jabłko
object_banana	Banan
object_Peach	Brzoskwinia
object_orange	Pomarańcza
object_carrot	Marchew
object_cabbage	Kapusta
object_potato	Ziemniak
object_tomato	Pomidor
object_barley	Jęczmień
object_wheat	Pszenica
object_corn	Kukurydza
object_organicwaste	Odpady organiczne

object_SolarPanels	Panele słoneczne
object_Transformer	Transformator
object_WindTurbine	Turbina wiatrowa
object_SolarWindHybrid	Hybryda słoneczno-wiatrowa
object_Battery	Akumulator
object_PowerExportMeter	Miernik prądu
object_PracticeSolarPanel	Próbny panel słoneczny

object_TallFridge	Wysoka lodówka
object_StorageShelf	Regał magazynowy
object_CropSprinkler	Zraszacz do roślin
object_DripPipe	Rura nawadniająca

object_compostbin	Kompostownik
object_RecyclingBin	Kosz do recyklingu
object_RecyclingBag	Worek do recyklingu

object_GardenGnome	Krasnal ogrodowy
object_TopiaryBush	Krzew ozdobny
object_TopiaryBushBall	Krzew ozdobny (kulisty)
object_TopiaryBushWarden	Krzew ozdobny (naczelnik)
object_TopiaryBushSwan	Krzew ozdobny (łabędź)
object_TopiaryBushDeer	Krzew ozdobny (jeleń)
object_TopiaryBushDog	Krzew ozdobny (pies)
object_TopiaryBushCat	Krzew ozdobny (kot)
object_TopiaryBushRex	Krzew ozdobny (dinozaur)
object_SolarLight	Światło (słoneczne)

# 						RECREATIONAL GARDENING

object_FlowerRoseBush	Krzew różany
object_FlowerSunflower	Słonecznik
object_FlowerMixedBegonias	Mieszane begonie
object_FlowerHeatherBushes	Wrzos
object_FlowerHydrangeaPlant	Hortensja

object_FlowerRoseBushSeed	Nasiono krzewu różanego
object_FlowerSunflowerSeed	Nasiono słonecznika
object_FlowerMixedBegoniasSeed	Nasiono begonii
object_FlowerHeatherBushesSeed	Nasiono wrzosu
object_FlowerHydrangeaPlantSeed	Nasiono hortensji

object_BarnDoor	Drzwi do stodoły
object_WhitePicketGate	Biała brama
object_DoubleDoor	Podwójne drzwi
object_DoubleStaffDoor	Podwójne drzwi dla personelu
object_DoubleVisitorDoor	Podwójne drzwi dla odwiedzających
object_SellUtility	Sprzedaj obiekt użytkowy
object_dumpObject	Wyrzuć przedmiot

buildtoolbar_popup_obj_sellUtility	Sprzedaj obiekt użytkowy

# =============================================================================
# Equipment - Names
# =============================================================================

equipment_trowel	Kielnia
equipment_handFork	Widły
equipment_HerbPlant	Narkotyki
equipment_Kicker	Dopalacz
equipment_Drink	Napój
equipment_BoozeBag	Torba na alkohol
equipment_Orange	Pomarańcza
equipment_ProducedDrugs	Wyprodukowane narkotyki
equipment_ProducedBooze	Wyprodukowany alkohol
equipment_ProducedNarcotics	Wyprodukowane narkotyki

# =============================================================================
# Room - Names
# =============================================================================

room_VegetableAllotment	Działka warzywna
room_FruitOrchard	Sad owocowy
room_FarmingField	Pole uprawne
room_pantry	Spiżarnia

#=========================================================================
# Quick Rooms
#=========================================================================

quickbuild_flowerGarden	Ogród kwiatowy
quickbuild_grove	Gaj
quickbuild_hedgeMaze	Labirynt ogrodowy
quickbuild_yard	Dziedziniec

buildtoolbar_quickbuild_flowerGarden	Spokojne miejsce do odpoczynku dla więźniów.
buildtoolbar_quickbuild_grove	Skupisko drzew, które dodaje uroku otaczającej przestrzeni.
buildtoolbar_quickbuild_hedgeMaze	Podstawowy labirynt z krzewów dla więźniów.
buildtoolbar_quickbuild_yard	Standardowy dziedziniec ze wszystkim, czego potrzebują więźniowie.


# =============================================================================
# Carousel - Hint strings
# =============================================================================

#console only
buildtoolbar_popup_room_FlowerField	Trawiasty obszar z ładnymi kwiatami.
#

buildtoolbar_popup_mat_ReclaimedWoodWall	Drewniane ściany stworzone przy pomocy ponownie wykorzystanych materiałów.
buildtoolbar_popup_mat_BottleWall	Piękne, kolorowe ściany stworzone przy pomocy ponownie wykorzystanych materiałów.
buildtoolbar_popup_mat_WhitePicketFence	Wspaniały do zabezpieczenia ogrodów, ale nie sprawdzi się w przypadku więźniów.
buildtoolbar_popup_mat_ReclaimedBrickFloor	Płytki podłogowe ze wzorem w jodełkę stworzone przy pomocy ponownie wykorzystanych materiałów.
buildtoolbar_popup_mat_ReclaimedRubberFloor	Gumowe płytki podłogowe stworzone przy pomocy ponownie wykorzystanych materiałów.

buildtoolbar_popup_obj_shed	Obszar do przechowywania nasion, narzędzi i innych przyborów. Wyposażony w kran umożliwiający irygację.
buildtoolbar_popup_obj_BasicAutoGatherer	Włącza się co 6 godzin, aby gromadzić i przechowywać wszystkie składniki na obszarze 5x5.
buildtoolbar_popup_obj_AdvancedAutoGatherer	Włącza się co 6 godzin, aby gromadzić i przechowywać wszystkie składniki na obszarze 10x10.
buildtoolbar_popup_obj_AutoHarvester	Włącza się co 6 godzin, aby zebrać wszystkie plony na obszarze o długości 10 pól z przodu — jest blokowany przez ściany i drzwi.
buildtoolbar_popup_obj_AutoScythe	Robot rolniczy, który włącza się co 6 godzin, aby zebrać wszystkie plony na obszarze 5x5.

buildtoolbar_popup_room_pantry	Pomieszczenie do przechowywania świeżych warzyw i owoców. Niska temperatura zapewnia dłuższą świeżość.
buildtoolbar_popup_room_VegetableAllotment	Pomieszczenie do hodowli warzyw, które można wykorzystać do przygotowania posiłków lub przeznaczyć do eksportu.
buildtoolbar_popup_room_FarmingField	Pomieszczenie do hodowli zbóż, które można przeznaczyć do eksportu.
buildtoolbar_popup_room_FruitOrchard	Pomieszczenie do hodowli drzew owocowych. Po pierwszym zasianiu drzewa regularnie owocują, a plony można wykorzystać do przygotowania posiłków lub przeznaczyć na eksport.
buildtoolbar_popup_room_flowergarden	Ogród rekreacyjny, w którym więźniowie mogą dbać o rośliny.

buildtoolbar_popup_obj_CropCarrotPlant	Wyhoduj własną marchew! Jedna paczka 20 nasion daje 1 składnik na nasiono. Po zbiorze marchew można sprzedać za 4 $ za sztukę.
buildtoolbar_popup_obj_CropPotatoPlant	Wyhoduj własne ziemniaki! Jedna paczka 20 nasion daje 3 rośliny na nasiono. Po zbiorze ziemniaki można sprzedać za 3 $ za sztukę.
buildtoolbar_popup_obj_CropTomatoPlant	Wyhoduj własne pomidory! Jedna paczka 10 nasion daje 5 roślin na nasiono. Po zbiorze pomidory można sprzedać za 4 $ za sztukę.
buildtoolbar_popup_obj_CropCabbagePlant	Wyhoduj własną kapustę! Jedna paczka 30 nasion daje 1 roślinę na nasiono. Po zbiorze kapustę można sprzedać za 4 $ za sztukę.
buildtoolbar_popup_obj_CropAppleTree	Wyrasta z niego drzewo, które regularnie daje owoce! Kup paczkę 5 nasion. Każde drzewo zazwyczaj wydaje 10 owoców. Zebrane jabłka można sprzedać za 4 $ za sztukę.
buildtoolbar_popup_obj_CropBananaTree	Wyrasta z niego drzewo, które regularnie daje owoce! Kup paczkę 5 nasion. Każde drzewo zazwyczaj wydaje 16 owoców. Zebrane banany można sprzedać za 6 $ za sztukę.
buildtoolbar_popup_obj_CropPeachTree	Wyrasta z niego drzewo, które regularnie daje owoce! Kup paczkę 5 nasion. Każde drzewo zazwyczaj wydaje 10 owoców. Zebrane brzoskwinie można sprzedać za 6 $ za sztukę.
buildtoolbar_popup_obj_CropOrangeTree	Wyrasta z niego drzewo, które regularnie daje owoce! Kup paczkę 5 nasion. Każde drzewo zazwyczaj wydaje 8 owoców. Zebrane pomarańcze można sprzedać za 3 $ za sztukę.
buildtoolbar_popup_obj_CropCornPlant	Wyhoduj własną kukurydzę! Jedna paczka 10 nasion daje 5 roślin na nasiono. Po zbiorze kukurydzę można sprzedać za 5 $ za sztukę.
buildtoolbar_popup_obj_CropBarleyPlant	Wyhoduj własny jęczmień! Jedna paczka 20 nasion daje 2 rośliny na nasiono. Po zbiorze jęczmień można sprzedać za 3 $ za sztukę.
buildtoolbar_popup_obj_CropWheatPlant	Wyhoduj własną pszenicę! Jedna paczka 20 nasion daje 4 rośliny na nasiono. Po zbiorze pszenicę można sprzedać za 6 $ za sztukę.
buildtoolbar_popup_obj_CompostFertilizer	Po użyciu na roślinach plony rosną i dojrzewają o 25% szybciej.
buildtoolbar_popup_obj_HighQualityFertilizer	Po użyciu na roślinach hodowlanych plony rosną i dojrzewają o [50%] szybciej. Daje też większą szansę na uzyskanie nasion.
buildtoolbar_popup_obj_sell_Material	Sprzedaj materiały za niższą cenę.
buildtoolbar_popup_obj_Dump_Obj	Wyrzuć przedmioty z więzienia.
buildtoolbar_popup_obj_sellUtility	Sprzedaj obiekty użytkowe za niższą cenę.

buildtoolbar_popup_obj_TallFridge	Od teraz możesz wydajnie przechowywać składniki posiłków!
buildtoolbar_popup_obj_StorageShelf	Znacznie ogranicza zużytą przestrzeń magazynową.
buildtoolbar_popup_obj_CropSprinkler	Automatycznie spryskuje obszar wodą w celu podlewania traw, roślin i innej zieleni.
buildtoolbar_popup_obj_DripPipe	Uruchamia automatyczne nawadnianie na 2 przyległych polach dzięki rurze nawadniającej. Można ją umieścić tylko w prostej linii, bez łączenia linii poziomych z pionowymi.

buildtoolbar_popup_uts_SolarPanels	Generator prądu, który czerpie energię ze Słońca! Można go podłączyć do wielu ekologicznych źródeł zasilania, ale przed użyciem energia musi przepływać przez transformator.
buildtoolbar_popup_uts_Transformer	Przekształca energię elektryczną z ekologicznych źródeł zasilania na prąd użytkowy. Można go podłączyć do wielu źródeł, ale transformatory mają limit wejściowy wynoszący 3000 jednostek. Kable elektryczne należy podłączyć w sposób pokazany strzałkami.
buildtoolbar_popup_uts_WindTurbine	Generator prądu, który czerpie energię z wiatru! Można go podłączyć do wielu ekologicznych źródeł zasilania, ale przed użyciem energia musi przepływać przez transformator.
buildtoolbar_popup_uts_SolarWindHybrid	Generator prądu, który czerpie energię ze Słońca i wiatru! Można go podłączyć do wielu ekologicznych źródeł zasilania, ale przed użyciem energia musi przepływać przez transformator.
buildtoolbar_popup_uts_Battery	Przechowuje nadmiar energii produkowanej przez transformator, którą można wykorzystać w sytuacjach awaryjnych lub przeznaczyć na eksport. Musi być umieszczony obok transformatora.
buildtoolbar_popup_uts_PowerExportMeter	Umożliwia przesyłanie przechowywanej energii do sieci elektrycznej w zamian za pieniądze. Musi być podłączony do odpowiedniego transformatora.
buildtoolbar_popup_obj_PracticeSolarPanel	Pojedynczy panel słoneczny na małe biurko, używany przez maksymalnie 4 więźniów na warsztatach w ramach programu rozwoju energii słonecznej.


buildtoolbar_popup_obj_object_compostbin	Służy do przekształcania odpadów organicznych i żywności w nawóz.
buildtoolbar_popup_obj_RecyclingBin	Recykling zamiast wyrzucania odpadów jest dobry dla środowiska, a po wynalezieniu „Programu zachęcającego do recyklingu” także dla portfela!
buildtoolbar_popup_obj_GardenGnome	Wesoły klasyk ogrodowy.
buildtoolbar_popup_obj_TopiaryBush	Poskręcany, ozdobny krzew.
buildtoolbar_popup_obj_TopiaryBushBall	Ozdobny krzew w kształcie lizaka.
buildtoolbar_popup_obj_TopiaryBushWarden	Ozdobny krzew w kształcie naczelnika.
buildtoolbar_popup_obj_TopiaryBushSwan	Ozdobny krzew w kształcie eleganckiego łabędzia.
buildtoolbar_popup_obj_TopiaryBushDeer	Ozdobny krzew w kształcie majestatycznego jelenia.
buildtoolbar_popup_obj_TopiaryBushDog	Ozdobny krzew w kształcie najlepszego przyjaciela człowieka.
buildtoolbar_popup_obj_TopiaryBushCat	Ozdobny krzew w kształcie najbardziej leniwego przyjaciela człowieka.
buildtoolbar_popup_obj_TopiaryBushRex	Ozdobny krzew o imponującym kształcie.
buildtoolbar_popup_obj_SolarLight	Autonomiczne oświetlenie słoneczne, które włącza się automatycznie po zmierzchu.
buildtoolbar_popup_obj_FlowerRoseBush	Dekoracyjny krzew z czerwonymi kwiatami.
buildtoolbar_popup_obj_FlowerSunflower	Duży, żółty kwiat.
buildtoolbar_popup_obj_FlowerMixedBegonias	Kolorowe kwiaty.
buildtoolbar_popup_obj_FlowerHeatherBushes	Kolorowy, powszechnie spotykany krzak.
buildtoolbar_popup_obj_FlowerHydrangeaPlant	Dekoracyjny krzew z niebieskimi kwiatami.
buildtoolbar_popup_obj_BarnDoor	Teraz pytanie o to, czy więźniowie wychowali się w stodole jest czysto retoryczne.
buildtoolbar_popup_obj_WhitePicketGate	Wspaniała do zabezpieczenia ogrodów, ale nie sprawdzi się w przypadku więźniów.
buildtoolbar_popup_obj_DoubleDoor	Podwójne drzwi dla każdego.
buildtoolbar_popup_obj_DoubleStaffDoor	Podwójne drzwi dla personelu.
buildtoolbar_popup_obj_DoubleVisitorDoor	Podwójne drzwi dla odwiedzających.
buildtoolbar_popup_obj_SellUtility	Sprzedaj obiekty użytkowe za niższą cenę.

buildtoolbar_popup_staff_farmer	Dba o wzrost plonów i zajmuje się wszystkimi pracami na działce warzywnej, w sadzie owocowym lub na polu uprawnym.

buildtoolbar_popup_mat_HayBailWall	Wysokie, ale słabe bele siana. Raczej ozdoba niż zabezpieczenie. Można je umieszczać wyłącznie na zewnątrz.
buildtoolbar_popup_mat_WoodenFence	Ręcznie wykonany płot o naturalnym wyglądzie. Można go umieszczać tylko na zewnątrz.
buildtoolbar_popup_mat_GardenWall	Dodaje koloru ogrodzeniu więzienia. Można umieszczać na zewnątrz i wewnątrz pomieszczeń.


# =============================================================================
# Interface
# =============================================================================

#console only

d11_researchhint_l_farming	To badanie odblokowuje wiele funkcji związanych z rolnictwem, takich jak przedmioty do irygacji, droższe rośliny uprawne, kompostownik i nawóz, spiżarnię, wysoką lodówkę, jak również zadania związane z pracą więzienną i metodę kontroli rozmieszczenia plonów.

d11_farm_work	Praca rolnicza
d11_farm_work_desc	Przydziel więźniów do pracy na działce warzywnej, w sadzie owocowym lub na polu uprawnym. Pod okiem wykwalifikowanych rolników zajmą się sadzeniem, zbiorami i ogólnymi pracami w danym pomieszczeniu. Tylko więźniowie, którzy przeszli szkolenie z zakresu bezpieczeństwa na roli mogą tutaj pracować.
d11_check_ingredients_menu	Sprawdź menu składników, aby dowiedzieć się więcej.
d11_meal_cost_per_meal	*X $ / posiłek
d11_meal_cost_total	Łączna cena
d11_meal_estimated_price	Szacunkowa cena
d11_meal_quantity_description	Dostosuj ilość składników, które każdy więzień będzie spożywał każdego dnia: od 1 do 3. Opcja ta steruje ilością dostarczanych składników na podstawie wybranego ustawienia, liczby więźniów oraz bieżącej podaży żywności.
d11_meal_variety_description	Opcja ta steruje liczbą typów składników, które są dostarczane do więzienia. Zmiana tej opcji nie ma wpływu na ilość zamówionych składników, a jedynie na ich różnorodność i koszt.

#ingredient menu
d11_meal_system_description	Więzienny system żywienia opiera się na 4 czynnikach: opcjach posiłków (różnorodność i ilość), bieżącej liczbie więźniów, liczbie posiłków każdego dnia oraz na ilości przechowywanych składników. W przeciwieństwie do importowanych składników, które są pełne konserwantów, rośliny hodowane w więzieniu są dużo bardziej odżywcze, dlatego kucharze będą je chętniej wykorzystywać. Statystyki związane ze składnikami i systemem żywienia można znaleźć poniżej.
d11_fresh_ingredients	Świeże składniki
d11_imported_ingredients	Importowane składniki
d11_meal_ingredients_count_per_meal	Składniki na posiłek
d11_meal_ingredients_count_per_day	Składniki na dzień
d11_crops_per_day	Zbiory na dzień
d11_imported_ingredients_cost	Koszt importowanych składników
d11_crop_cost	Koszt zbiorów

d11_hover_alert_green_electricity	Wymaga ekologicznej energii
d11_powerstation_overloaded	Przeciążenie
d11_powerstation_overloaded_green	Przeciążenie – usuń elementy zasilane energią elektryczną lub dodaj więcej ekologicznych źródeł energii
d11_powerstation_overloaded_two_transformers	Przeciążenie – transformatory nie mogą znajdować się w tym samym obwodzie
d11_powerstation_overloaded_merged_power	Przeciążenie – ekologicznej energii nie można łączyć ze standardową energią

d11_transformer_input_power	Produkcja energii: *X jedn.
