
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nowa gra
buildtoolbar_popup_help_guards_3	^Wskazówki
buildtoolbar_popup_help_guards_4	– Odblokowanie Mikrozarządzania daje dostęp do Terminarza rozmieszczenia strażników. To pozwala na stworzenie harmonogramu przypisania strażników do pewnych obszarów. Na przykład jeśli Strażnicy mają być obecni w Stołówce tylko w Czasie posiłku, można kliknąć każdy blok w Terminarzu, który pokrywa się z Czasem posiłku, a następnie przesunąć suwak czasu do takiego bloku i kliknąć Stołówkę, aby wysłać tam Strażników.
buildtoolbar_popup_help_guards_5	- W Terminarzu znajduje się siedem bloków czasowych, którymi można zarządzać, plus tryb Zawsze, co pozwala na tworzenie złożonych harmonogramów rozmieszczenia Strażników zgodnie z potrzebami więzienia.
buildtoolbar_popup_help_guards_6	- Jeśli nie wybierzesz bloku czasowego ręcznie przy przypisywaniu Strażników do stref, Terminarz przyjmie aktualną godzinę; pamiętaj, aby wybrać odpowiednie godziny przy dokonywaniu zmian Rozmieszczenia strażników!

buildtoolbar_popup_help_patrols_title	Patrole
buildtoolbar_popup_help_patrols_1	Trzy narzędzia Patrolu pozwalają na wyznaczenie konkretnych tras patrolowych i przypisanie do nich zwykłych Strażników, Strażników z psami lub Strażników uzbrojonych (można też ich łączyć). Takie trasy mogą przechodzić przez kilka stref.\n\n
buildtoolbar_popup_help_patrols_2	~Przytrzymaj i przeciągnij lewym przyciskiem myszy, aby utworzyć trasę patrolową; kliknij lewym przyciskiem myszy istniejącą trasę patrolową, aby dodać do niej Strażnika. Kliknij prawym przyciskiem myszy Strażnika na patrolu, aby go usunąć; przytrzymaj i przeciągnij prawym przyciskiem myszy, aby usunąć cały patrol.\n\n
buildtoolbar_popup_help_patrols_3	^Wskazówki
buildtoolbar_popup_help_patrols_4	- Zwykli Strażnicy będą w dalszym ciągu wykonywali zadania dla Strażników, takie jak otwieranie drzwi lub przeszukiwanie więźniów. Strażnicy z psami oraz Strażnicy uzbrojeni nie będą tego robić.
buildtoolbar_popup_help_patrols_5	- Odblokowanie Mikrozarządzania daje dostęp do Terminarza rozmieszczenia strażników, który umożliwia planowanie patroli w taki sam sposób, jak Rozmieszczenie zwykłych strażników.

buildtoolbar_popup_help_accessonly_1	Narzędzie do wyznaczania Stref dla osób z prawem dostępu pozwala na oznaczanie obszarów w więzieniu, których ogólnie należy unikać podczas przemieszczania się po więzieniu. Pozwala na niedopuszczenie do tego, aby ludzie przechodzili przez pomieszczenia, gdy przemieszczają się w więzieniu, jeśli wolisz, by poszli inną trasą.\n\n
buildtoolbar_popup_help_accessonly_2	~Kliknij lewym przyciskiem myszy, aby oznaczyć obszar jako Strefa dla osób z prawem dostępu. Można to zrobić niezależnie od normalnych ustawień bezpieczeństwa.
buildtoolbar_popup_help_accessonly_3	~Kliknij prawym przyciskiem myszy, aby usunąć ustawienie Strefa dla osób z prawem dostępu.\n\n
buildtoolbar_popup_help_accessonly_4	^Wskazówki
buildtoolbar_popup_help_accessonly_5	– Strefa dla osób z prawem dostępu to nie jest ustawienie absolutne. Nie spowoduje, że nikt nie wejdzie, szczególnie jeśli jego punkt docelowy leży wewnątrz zaznaczonego obszaru. Jeśli przejście przez Strefę dla osób z prawem dostępu jest zdecydowanie krótsze niż trasa alternatywna (np. przejście przez całe więzienie), osoba może przez nią przejść.

job_matsassigned	Przydzielone materiały
job_matsavailable	Dostępne materiały
job_awaitingmaterials	Oczekiwanie na materiały
job_inprogress	-W toku-
job_blocked	-Zablokowane-
job_queued	-W kolejce-

job_failed_noroute	Brak trasy
job_failed_nomaterials	Brak materiałów
job_failed_toodangerous	Zbyt duże niebezpieczeństwo
job_failed_materialsbeingcarried	Materiały w drodze

job_rightclicktocancel	– Kliknij prawym przyciskiem myszy, aby anulować
job_ftofollow	– Naciśnij F, aby śledzić
job_makehighpriority	– Ctrl + lewy przycisk myszy, aby ustawić Wysoki priorytet
job_removehighpriority	– Ctrl + prawy przycisk myszy, aby wyłączyć Wysoki priorytet
job_makehighpriority_mac	– Alt + lewy przycisk myszy, aby ustawić Wysoki priorytet
job_removehighpriority_mac	– Alt + prawy przycisk myszy, aby wyłączyć Wysoki priorytet
job_highpriority_tooltip	– PILNE
job_refundamount	– Kwota zwrotu: *X

failuremessage_blocked	Zablokowano
failuremessage_cantafford	Brak wystarczających środków
failuremessage_cantaffordupkeep	Wykracza poza dzienny budżet
failuremessage_maximumcountreached	Zatrudniono maks. liczbę osób
failuremessage_maxstaff	Zbyt wiele pracowników


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	Dostawy
statustoolbar_finances	Finanse
statustoolbar_regime	Harmonogram
statustoolbar_escapemap	Bezpieczeństwo
statustoolbar_electricity	Prąd
statustoolbar_stats	Statystyki
statustoolbar_danger	Zagrożenie
statustoolbar_jobs	Zadania
statustoolbar_gangs	Gangi
statustoolbar_staff	Personel
statustoolbar_research	Badania


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	Edytor biblioteki sprite'ów
spritebankeditor_create	Utwórz
spritebankeditor_rotate	Obracanie
spritebankeditor_sort	Sortowanie
spritebankeditor_markermodetitle	Tryb markera


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	Menu główne
codex_campaign	Kampania
codex_cutscenes	Przerywniki filmowe
codex_qualifications	Kwalifikacje
codex_load	Załaduj więzienie
codex_loadcampaign	Załaduj kampanię
codex_save	Zapisz więzienie
codex_savecampaign	Zapisz kampanię
codex_performance	Test wydajności
codex_developer_load	(Deweloper) Załaduj mapę
codex_developer_save	(Deweloper) Zapisz mapę
codex_developer_clearach	(Deweloper) Wyczyść osiągnięcia
codex_contacts	Kontakty
codex_materials	Materiały
codex_play	Odtwarzaj
codex_play_escape	Graj w trybie ucieczki
codex_polaroids	Zdjęcia
codex_introduction	Wstęp
codex_restartintroduction	Powtórz wstęp
codex_restartchapter	Uruchom rozdział ponownie
codex_help	Pomoc (wiki)
codex_opensavefolder	Otwórz folder z zapisanymi grami
codex_options	Opcje
codex_nitgs	Imiona w grze
codex_workshop	Udostępnienie więzienia (Steam)
codex_steamtrending	Najbardziej popularne więzienia (Steam)
codex_checkforupdates	Sprawdź aktualizacje
codex_preorder	Zamów w przedsprzedaży już teraz
codex_termsconditions	Warunki
codex_twitter	Twitter
codex_extras	Dodatki
codex_unlocked	Odblokowano *X/*Y
codex_mapsettings	Ustawienia mapy
codex_othergames	Inne gry firmy Introversion
codex_mutators	Mutatory

codex_cloudsavedesc	Zapisz w chmurze
codex_cloud_enabled	Nowe zapisy będą przechowywane w chmurze.
codex_cloud_notaccount	Chmura Steam jest wyłączona w kliencie Steam. Włącz ją ponownie, aby korzystać z tej funkcji.
codex_cloud_notapp	Nowe zapisy będą przechowywane na Twoim twardym dysku.
codex_saveload_delete	Usuń

codex_new	Utwórz nowe więzienie
codex_new_worldsize	Rozmiar świata
codex_new_small	Mały
codex_new_medium	Średnia
codex_new_large	Duży
codex_new_selectwarden	Wybierz naczelnika
codex_new_selectgender	Wybierz płeć więźniów

codex_options_graphics	Grafika
codex_options_resolution	Rozdzielczość
codex_options_resolutionauto	Auto.
codex_options_windowed	Tryb okienkowy
codex_options_highdpi	Wysoka rozdz. DPI
codex_options_filtering	Filtrowanie
codex_options_nofiltering	Wył.
codex_options_multisampled	Wielopróbkowanie
codex_options_supersampled	Nadpróbkowanie

codex_options_audio	Dźwięk
codex_options_volume	Ogólna głośność
codex_options_frequency	Częstotliwość mieszania
codex_options_swapstero	Zamień kanały stereo
codex_options_dspenabled	Włącz DSP
codex_options_11khz	11025 Hz
codex_options_22khz	22050 Hz
codex_options_44khz	44100 Hz

codex_options_clocktype	Typ zegara
codex_options_clocktype_analogue	Analogowy
codex_options_clocktype_12h	12-godzinny
codex_options_clocktype_24h	24-godzinny

codex_options_directions	Pokaz oznaczeń posadzki
codex_options_dirrender_hidden	Ukryte
codex_options_dirrender_visible	Widoczne
codex_options_dirrender_zoom	Powiększ

codex_options_tempscale	Pokaż temperaturę w stopniach Celsjusza

codex_options_gameplay	Gra
codex_options_autosave	Częstotliwość autozapisu
codex_options_renderrooms	Kratka w pomieszczeniach
codex_options_apply	Zastosuj
codex_options_v2gui	Wersja 2.0 GUI
codex_options_zoomtomouse	Zbliżenie na myszkę
codex_options_oneclickrapsheet	Kartoteka policyjna na jeden klik
codex_options_disableanalytics	Wyłącz analitykę
codex_tooltip_disableanalytics	Zbieramy zanonimizowane dane statystyczne, aby pomóc w zwiększaniu przyjemności z gry. Zebrane przez nas dane można przejrzeć w pliku metrics.txt.

codex_options_language	Język

codex_options_experimental	Eksperymentalny
codex_options_enablevbo	Aktywuj VBO (Vertex Buffer Objects)

codex_nitgs_authwarning	Ważne: Jeśli ostatnio zmieniłeś swoją Nazwę na początku Gry, zanim ona pojawi się na liście, musi zostać zatwierdzona.

codex_nitgs_filtercaption	Filtruj
codex_nitgs_filterall	Wszystkie
codex_nitgs_filtermen	Mężczyźni
codex_nitgs_filterwomen	Kobiety

codex_nitgs_checkingforupdate	Sprawdzam dostępność aktualizacji...
codex_nitgs_updateavailable	Dostępna jest aktualizacja
codex_nitgs_downloading	Pobieram aktualizację...
codex_nitgs_downloadcomplete	Pobieranie zakończone.
codex_nitgs_downloadfailed	Pobieranie nieudane.

codex_enabled	Wł.
codex_disabled	Wył.

codex_option_intake	Stały napływ więźniów
codex_tooltip_intake	Gdy funkcja ta jest włączona, otrzymujesz losową liczbę nowych więźniów każdego dnia... w nieskończoność.\n\nGdy jest wyłączona, możesz określić, kiedy będziesz w stanie przyjąć więźniów, wchodząc do raportów i klikając zakładkę Więźniowie.
codex_option_fogofwar	Mgła wojny
codex_tooltip_fogofwar	Utracisz widoczność wewnątrz budynków więziennych, chyba że dany obszar patrolują akurat strażnicy lub obejmują go kamery monitoringu.
codex_option_lakes	Generuj jeziora
codex_tooltip_lakes	Losowo generowane jeziora zablokują obszary ziemi. OSTRZEŻENIE: Funkcja eksperymentalna.
codex_option_forests	Generuj lasy
codex_tooltip_forests	Na twojej ziemi pojawią się skupiska drzew.
codex_option_buildings	Generuj budynki
codex_tooltip_buildings	Na twojej ziemi będą stały zrujnowane budynki. Możesz wykorzystać je wedle uznania.
codex_option_failure	Warunki porażki
codex_tooltip_failure	Dodatkowe wyzwanie! Otrzymasz wypowiedzenie, a gra dobiegnie końca, jeśli sprawy przybiorą bardzo zły obrót (zamieszki, upadłość, zbyt wiele śmierci lub ucieczek itp.).
codex_option_unlimitedfunds	Nieograniczone środki
codex_tooltip_unlimitedfunds	Prawdziwy tryb piaskownicy! Od początku możesz wydać tyle pieniędzy, ile chcesz, nie martwiąc się o kolejne środki.
codex_option_gangs	Gangi
codex_tooltip_gangs	Niektórzy więźniowie należą do gangów i będą atakować przebywających w placówce członków wrogiego gangu. Dodatkowe wyzwanie.
codex_option_events	Zdarzenia specjalne
codex_tooltip_events	Włącza zdarzenia specjalne, które urozmaicają rozgrywkę. Zwiększa trudność gry i dodaje element nieprzewidywalności.
codex_option_weather	Pogoda i temperatura
codex_tooltip_weather	Dodaje zmienną pogodę i zmiany temperatury, co wymusza myślenie o ogrzewaniu.
codex_option_enablecheats	Włącz Narzędzia i Kody
codex_tooltip_enablecheats	Włącza narzędzia deweloperskie i kody w więzieniu. Po wybraniu tej opcji nie można jej wyłączyć, nie są przyznawane osiągnięcia i nie można sprzedać więzienia.
codex_option_staffneeds	Potrzeby personelu
codex_tooltip_staffneeds	Włącz potrzeby dla strażników – to oznacza, że będą oni potrzebowali żywności, odpoczynku i innych rzeczy potrzebnych do wygodnego życia.
codex_option_wardenmode	Tryb naczelnika
codex_tooltip_wardenmode	Graj jako naczelnik pracujący w więzieniu, które budujesz.
codex_option_wardenmode_permadeath	Stałośmierć
codex_tooltip_wardenmode_permadeath	Jeśli umrzesz jako naczelnik, następuje koniec gry!

codex_option_funds	Środki.
codex_tooltip_funds	Zaczniesz ze znacznie pokaźniejszymi środkami na koncie bankowym. Sprzedaj swoje rozwinięte więzienia na ekranie Wycena, aby zacząć z większa ilością środków.

codex_transfer	Przenieś
codex_transferring	Przenoszenie
codex_in_prison	Obecnie przebywa w więzieniu
codex_unavailable	Niedostępne
codex_useravatar	To ja
codex_tooltip_useravatar	Oznacz tego więzienia jako twoją postać. Jeśli trafisz do wiezienia, wcielisz się w jego rolę.
codex_tooltip_flagbio	Zgłoś tę biografię jako niewłaściwą lub obraźliwą.

codex_workshop_current	Bieżące więzienie
codex_workshop_publish	Opublikuj to więzienie
codex_workshop_update	Aktualizuj
codex_workshop_play	Odtwarzaj
codex_workshop_downloading	Trwa pobieranie
codex_workshop_download_failed	Pobieranie nie powiodło się
codex_workshop_publishing	Trwa publikowanie...
codex_workshop_new	Nowe
codex_workshop_title	Tytuł
codex_workshop_desc	Opis
codex_workshop_view_in_workshop	Pokaż w Steam Workshop
codex_workshop_heading_pubed	Twoje opublikowane więzienia
codex_workshop_heading_subed	Subskrybowane więzienia
codex_workshop_published_by	Opublikowane przez użytkownika *P
codex_workshop_published_by_you	Opublikowane przez ciebie
codex_workshop_published_good	Opublikowano więzienie
codex_workshop_published_good_msg	Twoje więzienie zostało opublikowane.
codex_workshop_published_bad	Nie opublikowano więzienia
codex_workshop_published_bad_msg	Nie można opublikować tego więzienia.
codex_workshop_published_bad_msg_new	Nie można opublikować twojego nowego więzienia. Spróbuj ponownie.
codex_workshop_busy	Na platformie Steam coś się już dzieje. Poczekaj na ukończenie operacji i spróbuj ponownie.
codex_workshop_file_exists	Opublikowano już więzienie o tej nazwie. Wybierz inną nazwę.
codex_workshop_generic_fail	Nie można opublikować więzienia. Spróbuj ponownie.
codex_workshop_download_bad	Nie można pobrać więzienia
codex_workshop_pa_workshop	Otwórz Prison Architect Workshop
codex_workshop_agreement	Wysyłając tę pozycję, zgadzasz się z [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]warunkami użytkowania aplikacji[/url].
codex_workshop_update_warning	Aktualizacja Obecnej wersji więzienia
codex_workshop_update_warning_msg	Aktualizacja Obecnej wersji więzienia zastąpi istniejącą wersję więzienia wersją obecnie wczytaną. To usunie obecną wersję więzienia, zastępując ją na stałe wersją, w którą obecnie grasz. Tej czynności nie można cofnąć.\n\nCzy na pewno chcesz kontynuować?

codex_options_timelapse	Czasowe nagrywanie
codex_timelapse_record	Rozpocznij czasowe nagrywanie
codex_timelapse_stop	Wstrzymaj czasowe nagrywanie
codex_timelapse_camera	Tryb kamery
codex_timelapse_customresw	Niestand. szerokość rozdzielczości
codex_timelapse_customresh	Niestand. wysokość rozdzielczości
codex_timelapse_resolution	Rozdzielczość
codex_timelapse_fps	Szybkość odtwarzania
codex_timelapse_interval	Częstotliwość nagrywania
codex_timelapse_quality	Jakość
codex_timelapse_unsupported	Funkcja nie jest obsługiwana na tym komputerze.
codex_timelapse_savesettings	Zapisz ustawienia

codex_timelapse_cam_zoom	Przybliżanie kamery
codex_timelapse_cam_fitmap	Dopasuj do mapy
codex_timelapse_cam_fitheight	Dopasuj do wysokości mapy
codex_timelapse_cam_fitwidth	Dopasuj do szerokości mapy
codex_timelapse_fps_value	*X klatek na sekundę
codex_timelapse_quality_high	Wys.
codex_timelapse_quality_med	Średnia
codex_timelapse_quality_low	Niska
codex_timelapse_interval_value	*X minut czasu gry
timelapse_caption	Czas nagrania poklatkowego *X: liczba nagranych klatek *Y, *Z, opóźnienie: *T

codex_performance_running	Test wydajności w toku
codex_performance_time	Pozostało czasu: *T s
codex_performance_current	Bieżący czas: *T ms
codex_performance_min	Minimalny czas: *T ms
codex_performance_avg	Średni czas: *T ms
codex_performance_max	Maksymalny czas: *T ms
codex_performance_numframes	Liczba klatek: *T

codex_last_modified	Ostatnio zmodyfikowano: *T
codex_sortbydesc	Sortuj według daty
codex_sortname	Imię
codex_sortdate	Data
codex_apply	Zastosuj
codex_select	Wybierz

codex_mods	Modyfikacje
codex_mod_activetitle	Aktywuj modyfikacje
codex_mod_inactivetitle	Dostępne modyfikacje
codex_mod_deactivate	Dezaktywuj wszystkie modyfikacje
codex_mod_wiki	Znajdź więcej modyfikacji (Wiki)
codex_mod_openmodsfolder	Otwórz folder z modyfikacjami
codex_mod_moresteammods	Znajdź więcej modyfikacji (Steam Workshop)
codex_mod_findsteamtranslations	Znajdź więcej tłumaczeń (Steam Workshop)
codex_authortitle	Autor
codex_versiontitle	Wersja
codex_datetitle	Data
codex_urltitle	Adres URL
codex_typetitle	Typ
codex_mod_graphicsandsound	Grafika i dźwięki
codex_mod_translation	Tłumaczenie
codex_mod_scenario	Scenariusz
codex_mod_content	Zawartość
codex_mod_load_scenario	Uruchom scenariusz
codex_publishmod	Opublikuj tę modyfikację

codex_mod_update	Aktualizuj tę modyfikację
codex_mod_published_good	Opublikowano modyfikację
codex_mod_published_good_msg	Twoja modyfikacja została opublikowana.
codex_mod_published_bad	Nie można opublikować modyfikacji
codex_mod_published_bad_msg	Nie można opublikować twojej modyfikacji.
codex_mod_modsupdated	Modyfikacja zaktualizowana
codex_mod_modsupdated_msg	Niektóre aktywne modyfikacje zostały aktualizowane. Kliknij przycisk OK, aby zapisać zmiany. Gra zostanie automatycznie zapisana.
codex_mod_translationcaption	Czy to jest tłumaczenie na inny język?

codex_language	Język
codex_language_englishdefault	Angielski (domyślny)
codex_language_default	Domyślny język
codex_language_download	Pobierz
codex_language_failed_download	Nie można pobrać tłumaczenia
codex_language_failed_download_msg	Nie można pobrać wybranego tłumaczenia.
codex_language_searching_workshop	Przeszukuje Steam Workshop...
codex_language_community	To tłumaczenie jest tworzone i aktualizowane przez społeczność – dziękujemy!

codex_polaroids_new	NOWOŚCI

codex_save_confirm	Czy na pewno chcesz nadpisać więzienie *X bieżącym więzieniem?
codex_researtchapter_confirm	Czy na pewno chcesz uruchomić ponownie bieżący rozdział? Niezapisane postępy zostaną utracone.
codex_delete_confirm	Czy na pewno chcesz na stałe usunąć *X?

codex_premadeprisons	Gotowe więzienia

codex_trending_more	...
codex_sortbycaption	Sortuj wg:
codex_trending_oneday	Jeden dzień
codex_trending_oneweek	Jeden tydzień
codex_trending_threemonths	Trzy miesiące
codex_trending_sixmonths	Sześć miesięcy
codex_trending_oneyear	Jeden rok
codex_trending_alltime	Cały czas
codex_trending_failedtogetlist	Nie udało się uzyskać listy więzień
codex_trending_failedtogetlist_msg	Nie udało się uzyskać listy więzień ustanawiających trendy.

codex_settings	Ustawienia mapy
codex_settings_gangs	Włącz Gangi
codex_settings_events	Włącz Wydarzenia
codex_settings_weather	Włącz Pogodę
codex_settings_staffneeds	Włącz potrzeby personelu
codex_settings_failureconditions	Włącz warunki porażki
codex_settings_confirm	Po aktywacji tego ustawienia nie można go wyłączyć. Czy na pewno włączyć *X?

codex_packrects	Pack Rectangles
codex_addboxbutton	Dodaj nowy prostokąt
codex_setsize	Ustaw wielkość przestrzeni
codex_removeallrects	Usuń wszystkie prostokąty
codex_packrects_widthcaption	Szerokość przestrzeni
codex_packrects_heightcaption	Wysokość przestrzeni
codex_packrects_boxwcaption	Szerokość prostokąta
codex_packrects_boxhcaption	Wysokość prostokąta

mods_downscaled_spritesheet	Arkusz kształtów zmniejszony
mods_downscaled_spritesheet_msg	Arkusz kształtów musiał zostać zmniejszony z powodu ograniczeń Twojej karty graficznej. Prawdopodobnie jest to wynik włączenia wielu modów. Aby poprawić jakość, należy wyłączyć niektóre mody.
mods_errors_no_memory	Brak wczytanych kształtów z modów
mods_errors_no_memory_msg	Brak wystarczającej pamięci graficznej, aby wczytać dodatkowe kształty z modów. Prawdopodobnie jest to wynik włączenia wielu modów. Aby zwolnić pamięć, należy wyłączyć niektóre mody.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	Czy chcesz zachować te ustawienia graficzne? Zmiany zostaną cofnięte w ciągu
graphicschange_time	sekund.
graphicschange_accept	Zgadzam się
graphicschange_revert	Cofnij

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	Narzędzie do debugowania skryptu (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	Wykryto rozbieżność modyfikacji
modnotification_info	Te modyfikacje były używane, gdy zapisano bieżące więzienie. Zalecamy pobranie i aktywowanie ich przed przystąpieniem do gry.
modnotification_playnow	Graj teraz
modnotification_active	Aktywna
modnotification_inactive	Nieaktywna
modnotification_new	Nowa
modnotification_unknown	Nieznana
modnotification_popup_title	Rozbieżność modyfikacji
modnotification_popup_active	Ta modyfikacja jest aktywna. Kliknij, aby dezaktywować ją.
modnotification_popup_inactive	Ta modyfikacja jest nieaktywna. Kliknij, aby aktywować ją.
modnotification_popup_new_url	To jest nowa modyfikacja. Kliknij, aby otworzyć link do niej w przeglądarce internetowej.
modnotification_popup_new_steam	To jest nowa modyfikacja Steam. Kliknij, aby subskrybować i pobrać modyfikację.
modnotification_popup_unknown	Nie mogliśmy ustalić źródła modyfikacji. Znajdź i zainstaluj modyfikację ręcznie.

# =============================================================================
# Biography
# =============================================================================

biography_search	Zatrzymaj i przeszukaj
biography_selected	WYBRANO
biography_prisoner_name	*S, *F
biography_prisoner_number	Więzień nr *X
biography_prisoner_age	Wiek: *X
biography_prisoner_traits	Cechy:
biography_prisoner_convicted	Skazany za: *C (przyznał się do winy: *P)
biography_prisoner_sentenced	Skazany na: *X lat więzienia
biography_parole_now	Prawo do zwolnienia warunkowego: teraz
biography_parole_later	Prawo do zwolnienia warunkowego: po *X latach
biography_prisoner_served	Odbył: * lat
biography_prisoner_priors	Historia:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	Wiek:
rapsheet_category	Kategoria:
rapsheet_traits	Znane cechy:
rapsheet_conviction_text	*C–*Y lat
rapsheet_found_text	(przyznał się do winy: *P)
rapsheet_convictions	Skazania
rapsheet_misconductstitle	Ostatnie wykroczenie
rapsheet_biography	Biografia
rapsheet_guilty	tak
rapsheet_notguilty	nie
rapsheet_served	Odbyte lata
rapsheet_served_time	Odbył: *Y lat
rapsheet_time	*Y lat
rapsheet_bio	Skazany na *Y lat za *Y.
rapsheet_bio_med	Skazany na *Y lat za wielokrotne przestępstwa, w tym *A i *B.
rapsheet_bio_long	Skazany na *Y lat za wielokrotne przestępstwa, w tym *A, *B i *C.
rapsheet_category_minsec	Minimalny rygor
rapsheet_category_normal	Zwykły rygor
rapsheet_category_maxsec	Zaostrzony rygor
rapsheet_category_protected	Ochrona
rapsheet_category_supermax	Najwyższy rygor
rapsheet_category_deathrow	Wyrok śmierci
rapsheet_tab_biography	Biografia
rapsheet_tab_experience	Doświadczenie
rapsheet_tab_grading	Klasyfikacja
rapsheet_tab_character	Postać
rapsheet_punish	Ukarz
rapsheet_recruit	Rekrutuj informatora

rapsheet_timeinside	*X dni w twoim więzieniu
rapsheet_timeinside_hours	*X godzin w twoim więzieniu
rapsheet_mood	Humor
rapsheet_activity	Aktywność
rapsheet_condition	Stan
rapsheet_program	Program
rapsheet_passchance	Szansa powodzenia
rapsheet_reformhistory	Programy resocjalizacyjne

rapsheet_reform_success	Powodzenie
rapsheet_reform_successcount	Ukończono *X razy
rapsheet_reform_failed	Niepowodzenie
rapsheet_reform_failcount	*X niepowodzeń

rapsheet_grading_punishment	Kara
rapsheet_grading_health	Zdrowie
rapsheet_grading_security	Bezpieczeństwo
rapsheet_grading_reform	Resocjalizacja
rapsheet_grading_points	*X punktów:
rapsheet_grading_penalties	*X kar:

rapsheet_scheduleexecution	Zleć egzekucję


punish_lockdown_6	Zamknięcie (6 h)
punish_lockdown_12	Zamknięcie (12 h)
punish_lockdown_24	Zamknięcie (24 h)
punish_solitary_6	Izolatka (6 h)
punish_solitary_12	Izolatka (12 h)
punish_solitary_24	Izolatka (24 h)
punish_solitary_perm	Izolatka (na stałe)
punish_lockdown_perm	Zamknięcie (na stałe)
punish_solitary	Izolatka
punish_lockdown	Zamknięcie
punish_none	Brak
punish_timer	*X h *Y min
punish_timer_minutes	*X min
punish_active	AKTYWNA
punish_permanent	(na stałe)
punish_end	Zakończ karę

punish_up	Podw.
punish_down	Obniż
punish_setmin	Min.
punish_setmed	Śr.
punish_setmax	Maks.
punish_setsuper	Super

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none	Brak
misconduct_reporttype_complaint	Skarga
misconduct_reporttype_destruction	Zniszczenie
misconduct_reporttype_escapeattempt	Próba ucieczki
misconduct_reporttype_injuredprisoner	Atak na więźnia
misconduct_reporttype_injuredstaff	Atak na pracownika
misconduct_reporttype_seriousinjury	Spowodowanie poważnych obrażeń
misconduct_reporttype_murder	Zabójstwo
misconduct_reporttype_contrabandweapons	Posiadanie broni
misconduct_reporttype_contrabandtools	Posiadanie narzędzi
misconduct_reporttype_contrabandnarcotics	Posiadanie narkotyków
misconduct_reporttype_contrabandluxuries	Posiadanie towarów luksusowych
misconduct_reporttype_intoxicated	Zażywanie środków odurzających
misconduct_title	=[Przewinienia]=
misconduct_totalitems	(Plus *X więcej)

misconduct_report_addiction	Uzależniony od: *X
misconduct_report_recoving	Walczy z uzależnieniem od: *X
misconduct_report_alcoholic	Alkoholik
misconduct_report_recovingalcoholic	Trzeźwiejący alkoholik


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required	Przygotowanie tego raportu wymaga: *X
research_requireunlock	Odblokowanie tego raportu wymaga opracowania: „*X”
research_approved	ZATWIERDZONO
research_cost	Koszt: *X
research_costperitem	+ *X za sztukę.
research_timetounlock	Czas wymagany na odblokowanie: *X h
research_movementpenalty	Kara do ruchu: *X%
research_protectionbonus	Ochrona: *X%
research_tap_to_authorise	WCIŚNIJ, ABY ZLECIĆ

research_none	Brak
research_warden	Naczelnik
research_maintainance	Konserwacja
research_security	Bezpieczeństwo
research_legal	Prawnik
research_mentalhealth	Psycholog
research_finance	Finanse
research_landexpansion	Rozbudowa terenu
research_cctv	Monitoring
research_riotguards	Strażnicy do tłumienia zamieszek
research_health	Zdrowie
research_cleaning	Czyszczenie
research_groundskeeping	Ogrodnictwo
research_clone	Kopiuj
research_deployment	Rozmieszczenie
research_patrols	Patrole
research_dogs	Psy
research_prisonlabour	Praca więzienna
research_education	Kształcenie
research_contraband	Wywiad
research_policy	Polityka więzienna
research_armoury	Zbrojownia
research_bodyarmour	Kamizelka kuloodporna
research_tazers	Paralizatory
research_tazersforeveryone	Paralizatory dla wszystkich strażników
research_bankloans	Kredyt
research_lowertaxes1	Ulga podatkowa
research_lowertaxes2	Raj podatkowy
research_remoteaccess	Zdalny dostęp
research_extragrant	Dodatkowa dotacja
research_advancedmanagement	Mikrozarządzanie
research_deathrow	Wyrok śmierci
research_permanentpunishment	Trwałe kary
research_removemincellsize	Małe cele
research_reduceexecutionliability	Odpowiedzialność za egzekucje
research_legalprep	Pomoc prawnicza
research_legaldefense	Obrona prawnicza
research_guardtowers	Wieże strażnicze

researchtooltip_warden	Odblokowuje naczelnika więzienia i cały system biurokracji.  Możesz zatrudnić go z poziomu paska narzędzi Personel.\n\nTak jak wszyscy pracownicy administracji, naczelnik wymaga biura do pracy.
researchtooltip_security	Odblokowuje szefa ochrony, którego można zatrudnić z poziomu paska narzędzi Personel.  Szef ochrony odblokowuje ekran Rozmieszczenie, a także dostarcza aktualne raporty dotyczące zagrożeń w więzieniu.\n\nTak jak wszyscy pracownicy administracji, szef ochrony wymaga biura do pracy.
researchtooltip_maintenance	Odblokowuje brygadzistę.  Możesz zatrudnić go z poziomu paska narzędzi Personel.\n\nTak jak wszyscy pracownicy administracji, brygadzista wymaga biura do pracy.
