# June 27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Пълен списък с промени
buildtoobar_PsychConItemImproveSuppression 		- След консултация, намалява потискането и определени нужди на душевноболния затворник с + 5%
buildtoobar_PsychConItemImproveGrace 			- След консултация, предоставя на душевноболен затворник период от един ден, през който нуждите и потискането не се повишават.
buildtoolbar_popup_obj_Footbridge				Позволява на затворниците и персонала да преминават през земя и вода. Не може да се строи над стени, огради и други сгради.
buildtoolbar_popup_obj_FootbridgeSteel			Позволява на затворниците и персонала да преминават през земя и вода. Не може да се строи над стени, огради и други сгради.
buildtoolbar_popup_obj_FootbridgeB				Позволява на затворниците и персонала да преминават през земя и вода. Не може да се строи над стени, огради и други сгради.
buildtoolbar_popup_obj_FootbridgeSteelB			Позволява на затворниците и персонала да преминават през земя и вода. Не може да се строи над стени, огради и други сгради.
buildtoolbar_popup_obj_BoomBoxRoundHouse		Позволява затворниците да слушат любимите си момчешки банди, докато вършат ежедневната си дейност. Прави всички затворници в едно и също помещения малко по-щастливи.

# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Омекотена Единична Килия

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Предназначена за нашите душевноболни затворници, с омекотени стени, които имат успокояващ ефект.
buildtoolbar_popup_room_paddedholdingcell	    Където нашите нови душевноболни затворници са настанени, преди да е готова постоянна омекотена килия.
buildtoolbar_popup_room_paddedsolitary			    Изолирана форма на лишаване от свобода за най-лошите от нашите душевноболни затворници.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Омекотена (малка)
quickbuild_paddedintermediatecell							Омекотена (средна)
quickbuild_paddedholdingcell								Омекотена Задържателна Килия
quickbuild_paddedsolitarycell								Омекотена Единична Килия
quickbuild_PsychiatristOffice								Офис на психиатър



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Само за Душевноболни
interfacetopbar_PrisonerCells_insaneSecOnly	Капацитет за душевноболни: *X

roomgrading_PsychiatristOffice_info				Отключете и поставете допълнителни предмети в психиатричния кабинет, за да подобрите лечението на душевноболните.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Предмет: *X
roomgrading_PsychiatristOffice_Quality			Психиатрично Умение: *Q
roomgrading_PsychiatristOffice_Upgrade			Подобрете кабинета на психиатъра, за да подобрите техните способности.

roomgrading_score_average		СРЕДНО
roomgrading_score_good			ДОБЪР
roomgrading_score_verygood		МНОГО ДОБРО
roomgrading_score_outstanding	ОТЛИЧНО

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Крило за душевноболни
objective_grant_firstinsanecellblock_description	Държавата е решила да ни осигури финанси, за да оборудваме затвора с подходящи помещения и съоръжения за душевноболни затворници.\n\nТази субсидия ще подпомогне построяването на специални омекотени килии и наемането на тренирани психиатри.
objective_grant_firstinsanecellblock_cells			Изградете крило / килиен блок за душевноболни с 10 омекотени килии.
objective_grant_firstinsanecellblock_prisoners		Приемете 10 душевноболни затворници
objective_grant_firstinsanecellblock_psychiatrist	Hire 2 Psychiatrists (each requires an office)

objective_readinsaneletter						Насоки от Изпълнителния Директо на Тема Душевноболни Затворници
objective_readinsaneletter_description			Преди да приемете душевноболни затворници, трябва да сте подготвени със съответните съоръжения и персонал, за да се грижите правилно за техните нужди - Изпълнителения директор...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Хаук Хартман
warden_wardeninsanehawk_desc                     Като бивш спасител, Хартман предава ценни техники за обучение на охранителните служителите.\n\n - Всички охранители изпускат ключовете на персонала по-рядко\n - Издръжливостта на пазачите се възстановява при прием.
warden_wardeninsanehawk_desc_short               - Издръжливостта на стража се попълва при прием.

warden_wardeninsaneslugworth_name                Д-р Слъгуорт
warden_wardeninsaneslugworth_desc                Всеки затвор ги отхвърля, но Слъгуорт отваря своите врати за най-лошите душевноболни затворници, вярвайки че могат да им помогнат.\n\n - Леченията при психиатър са 20% по-сполучливи.\n - Шанса да получите душевноболни затворници е по-висок!
warden_wardeninsaneslugworth_desc_short          - Приема повече психопатично проявени затворници. Психиатрите осигуряват по-добро лечение.

warden_wardeninsanehudson_name					 Д-р Хъдсън
warden_wardeninsanehudson_desc                   Д-р Хъдсън е готов да направи това, което никой друг надзирател не може...\n\n - Спешните служби работят 20% по-бързо и пристигат по-рано\n - Разходите за ремонт се намаляват 10%
warden_wardeninsanehudson_desc_short             - По-ниско време за реакция и разходи за ремонт се намаляват.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Загинали Душевноболни Затворници
victory_warning_insaneprisonersdeaths			 Ще бъдете уволнени ако твърде много душевноболни затворници умрат.
victory_insaneprisonersdeaths_units				 Умрели

victory_insaneprisonersabused					 Душевноболни затворници нападнати
victory_warning_insaneprisonersabused			 Ще бъдете уволнени ако охраната напада твърде много душевноболни затворници.
victory_insaneprisonersabused_units				 Атаки

victory_adviserwarning_insaneprisonersdeaths1	 Не можем да продължим да оставяме нашите душевноболни затворници да търпят злоупотреби в нашия затвор! Медиите ще влачат името ни през калта ако не се вземем в ръце!
victory_advisernotice_insaneprisonersdeaths1	 Това е! Приключени сте! Трябваше да се грижите за душевноболните, вместо това сте позволили да понесат неописуема жестокост. Мога само да ви уволня, но ви предлагам да се приберете вкъщи и да преусмислите живота си.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Душевноболни Затворници

codex_tooltip_criminallyinsane					Справете се със затворници които постоянно се чувстват потиснати чрез новите омекотени килии и психиатрична помощ, които ще намалят нуждите им за удобство, безопастност, свобода и уединение преди да избухнат. Включването на тази настройка ще позволи на нормалните ви затворници да полудеят ако нуждите им не са задоволени. Полудяването на затворници може да бъде изключено в настройките на картата.

codex_prisoner_biography_NITG					Биография написана от играча.
codex_options_InsaneGauge						Индикатори над затворниците

codex_option_desert								Пустиня
codex_tooltip_desert							Създайте начален парцел, който прилича на пясъчна пустиня.

codex_options_rendercolours						Цветни Припокривания за Стая

codex_new_selectdog								Изберете Кучета Пазачи

codex_option_prisonerTurning					Затворниците могат да станат душевноболни

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Душевноболен
rapsheet_insane_bio_desc                        Душевноболните затворници изпитват постоянно ниво на потискане и се нуждаят от омекотени килии и психиатрична помощ за да останат спокойни.\n\nДушевноболните могат да избухнат и да нападнат персонала ни, да нанесат щети на затвора, да се опитат да избягат и прочие.

reputation_Weak                                 Слабо
reputation_Insomniac                            Безсънен
reputation_Depressed                            Депресиран
reputation_Outbreaks                            Изблици
reputation_Sickness                             Заболяване
reputation_Hyperactive                          Хиперактивен
reputation_Addict                               Пристрастен
reputation_Claustrophobic                       Клаустрофобия
reputation_ExtremelyStoical                     Изключително Стоически
reputation_ExtremelyVolatile                    Изключително Избухлив
reputation_Psychopathic                         Психопат
reputation_Insane                               Душевноболен

reputationtooltip_Weak                          Този затворник е по-слаб, няма да се справи в битка и следователно е по-податлив на наранявания.
reputationtooltip_Insomniac                     Този затворник се нуждае от много малко сън.
reputationtooltip_Depressed                     Този затворник се движи много по-бавно когато се чувства потиснат и нелекуван.
reputationtooltip_Outbreaks                     Този затворник е склонен към насилствени изблици и нанасянето на щети, когато се чувства потиснат и нелекуван.
reputationtooltip_Sickness                      Този затворник е склонен да повръща и дефекира когато се чувства потиснат и нелекуван.
reputationtooltip_Hyperactive                   Движи се много по-бързо когато се чувства потиснат и нелекуван.
reputationtooltip_Addict                        Този затворник има по-голяма вероятност за развитие на пристрастяване когато се чувства потиснат и нелекуван.
reputationtooltip_Claustrophobic                Желанието за бягство на този затворник е много по-високо когато се чувства потиснат и нелекуван.
reputationtooltip_ExtremelyStoical              Този затворник няма да се потисне ако бъде заключен в Изолатора. Нищо не го интересува.
reputationtooltip_ExtremelyVolatile             Следете този внимателно. Всичко може да ги затрудни и да направи нещата много лоши много бързо.
reputationtooltip_Psychopathic                  Този затворник е много по-опасен и непредсказуем от другите душевноболни затворници.
reputationtooltip_Insane                        Уверете се, че този затворник има достъп до сесиите за психиатрична консултация и омекотена килия, за да бъде успокоен.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Душевноболен
report_intake_list_tooltip_insane				Душевноболните затворници изпитват постоянно ниво на потискане и се нуждаят от омекотени килии и психиатрична помощ за намаляването на техните нужди за уединение, удобство, сигурност и свобода преди да избухнат.\n\nНе можете да приемате душевноболни затворници преди да сте построили омекотени килии или омекотена задържателна килия.\n\nМожете да превърнете нормални килии в омекотени килии чрез менюто Стаи.
report_intake_insane_intake_empty				В момента не могат да бъдат допуснати душевноболни затворници.\n Необходимо е да изградите омекотени килии или омекотени задържателни килии.\nНормалните килии могат да бъдат омекотени чрез менюто Стаи.
report_staff_group_prisoners_insane				Душевноболен
report_Criminally_Insane						Душевноболен
report_Pyschopathic								Психопат

report_intake_enable_insane					Включи
report_intake_psychward_title					Psych Ward: Warden’s Edition
report_intake_psychward_tooltip					Включете психично отделение: Warden Edition геймплей за този затвор.\nТова ще ви позволи да приемате душевноболни затворници, но първо би било разумно да подготвите затвора си.\n\nПсихиатри и санитари могат да бъдат разучени и наети. Омекотени и задържателни килии могат да бъдат създадени.\n\nПсихиатриите и омекотените килии ще задържат вашите душевноболни затворници спокойни и под контрол. 

reformerror_no_psychiatrist					НЯМА ПСИХИАТЪР
reform_completion_psychiatrist              - *X завършили - *Y преминали (*P%)
report_staff_group_orderlies				Санитари

# =============================================================================
# Research
# =============================================================================
research_Orderly							Санитар
research_Psychiatrist							Психиатър
                     
researchtooltip_Orderly							Атакуването на душевноболни затворници е забранено за нормалните пазачи.\nСанитарите са тренирани в задържането на душевноболни без да ги нараняват.\nСанитарите също така ги слагат в усмирителни ризи, за да предотвратят самонанесени наранявания през ноща.
researchtooltip_Psychiatrist					Висш член на персонала, който дава редовни консултации на нашите душевноболни затворници.\nПсихиатрите предлагат единични консултации, които успокояват затворниците, когато имаме програма за консултации в затвора. \nАко имаме много душевноболни затворници, би било разумно да наемем няколко психиатри за тях. Подсигурете офис за всеки психиатър.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Луд

buildtoolbar_header_foundationmain				Главен
buildtoolbar_header_foundationmore				Повече

reformprogram_PsychiatricConsultation			Психиатрични Kонсултации
reformprogram_PsychiatricConsultation_text		Всички душевноболни затворници се нуждаят от единични успокоителни сесии с нашите психиатри, за да превъзмогнат чувството че са потиснати. Липсата на психиатри може да доведе до изблици и други опасни реакции от тези затворници.
reform_program_properties_NeedToBeEscorted		Може да се наложи затворниците да бъдат придружени до тази сесия.
reform_program_intake_insane				Само за душевноболни

insane_letter									Уважем/а господин/госпожа, \n\n\nтук ще ви представя някои важни насоки, за да подсигурим, че сте подготвени с правилните съоръжения и персонал за правилна грижа за душевноболни затворници.\n\n1. Душевноболните затворници се нуждаят от килии с омекотени стени. Можете да превърнете нормални килии в килии с омекотени стени чрез менюто Стаи. Когато вече имате килии с омекотени стени, можете да приемете първата група затворници.\n\n2. Подсигурете че имате Псиахтри и Санитари.\n\n3. Осигурете програми за психиатрична консултация за вашите душевноболни затворници. Тези единични консултации (и омекотени килии) ще ви помогнат да държите вашите затворници под контрол. Подобряването на офиса на вашия психиатър също така подобрява неговите лечебни умения.\n\n4. Оставени без лечение, душевноболните затовриници могат да проявят непредсказуемо поведение, да правят опити за бягство или да станат опасни.\n\n5. Санитарите ще помогнат при ескортирането и лечението, те също така не потискат затворниците като нормалните пазачи. Ще се нуждаете от санитари, защото те поставят усмирителните ризи на затворниците в края на деня.\n\n6. Смесването на душевноболни с нормални затворници може да създаде проблеми. Би било разумно да създадете отделни секции за душевноболни в различните помещения (столова, двор...). Също така би било разумно да поставите психиатрията близо до килиите за душевноболни.\n\n7. Последно, затворници от различни нива на сигурност сега могат да станат душевноболни, внимавайте.\n\nИзпълнителен Директор,\nФирма Prison Architect

job_StraitJacket                         Сложи/Махни Усмирителна Риза
job_EscortInsane                         Ескортирай Душевноболен Затворник
status_effect_sedated					Упоен

orderly_description                     Санитарите са специално обучени за справяне с и седация (ако е необходимо) на душевноболни затворници.
pyschiatrist_description                ВСИЧКИ душевноболни затворници изискват редовни сесии за психиатрични консултации с психиатър. Добавете сесии за психиатрични консултации чрез менюто Програми.

insanetooltip_status                    Статус: *X
insanetooltip_status_level0             СПОКОЙНО
insanetooltip_status_level1             РАЗТРЕВОЖЕН
insanetooltip_status_level2             НЕСТАБИЛЕН
insanetooltip_status_level3             TRIGGERED!
insanetooltip_behaviour					Поведение: *X

mutator_name_ReducedDirtBuildup						Намалете натрупването на мръсотия
mutator_tooltip_ReducedDirtBuildup					Скоростта с която се натрупва мръсотия около вашия затвор се намалява наполовина.
administrator_requiresoffice_psychiatrist            Изисква Психиатърски Офис

dlc_insane_upsell				Този save файл изпозва елементи от „Психично Отделение: Warden's Edition.“ Не можахме да намерим този expansion във вашата система, някои елементи ще бъдат изключени. Молим ви да обмислите купуването на „Психично Отделение: Warden's Edition“, за да изпитате пълното изживяване на Prison Architect.
dlc_insane_upsell_multiplayer 	Хостът на тази мултиплейър игра е купил „Психично Отделение: Warden's Edition,“ до което вие също ще имате достъп като техен гост. Забавлявайте се!

regime_work_pyscho              Програми/Свободно Време
regime_worklockdown_pyscho      Програми/Задържане

regimetooltip_work_pyscho			Важно: Лудите затворниците не могат да работят и могат да посещават програми само през работни периоди.
regimetooltip_worklockdown_pyscho	Важно: Лудите затворниците не могат да работят и могат да посещават програми само през работни периоди.


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Ниво на Упойка
teacher_teaching_pschiatrist                    Третиране:		
pschiatrist_count_status						*X Психиатрични консултации приключени


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Ескортирай до Лазарет

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Статус на Килия

buildtoolbar_popup_help_CellStatus_1			Изгледът на състоянието на килията ви показва заети килии (червени) и незаети (зелени).
buildtoolbar_popup_help_CellStatus_2			Можете да кликнете върху заета килия, за да видите затворника на когото съответства.

freeCell										Свободна Килия
freeCell_line0									Килията е празна в момент.
occupiedCell									Заета Килия
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Кликнете с левия бутон за да видите този затворник.
object_prisoner_freshfish						Затворник (нов)

total_Connections								Общ брой на връзките: *X
active_Connections								Максималният брой активни връзки: *X

interfacedeployment_VisitorDirection			Посока за Постители

interface_action_move							Движи

equipment_moreContraband						Контрабандни стоки

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Прехвърляне на Затворник!
report_intake_list_tooltip_prisonerTransfer		\n\nОт време на време се предлагат затворници с висок риск, които са твърде опасни за други затвори.\nПредупредени сте! Има причина да ни плащат високо. Тези са закоравели престъпници, които никой друг затвор не иска да приеме.
rapsheet_category_PrisonerTransfer				Прехвърляне на Затворник!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Водопроводните тръби и електрическите кабели не могат да бъдат поставени отдолу.

buildtoolbar_deployment_VisitorDirection 	Кликнете и плъзнете, за да нарисувате маркировка по пода.\n\nТова ще подскаже на онези, които не са затворници, накъде да вървят.\nПомага да се контролира потокът от хора в затвора.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - Всеки пазач се нуждае от *X

schedule_zone_insaneSecOnly						Душевноболни

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Лунен Парцел
codex_tooltip_lunar								Създайте начален парцел, който наподобява лунна повърхност.

codex_option_doubleClick						Двоен Клик за Местене на Обекти

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								КлонирайСтая

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Онлайн
codex_start                         Създай Игра
codex_joinonline                    Присъедини Се Към Онлайн Игра
codex_join                          Свързване към Игра
codex_usernamelabel                 Име:
codex_namelabel                     Име на Игра:
codex_passwordlabel                 Парола:
codex_passwordprotectedlabel        Защитено с парола?
codex_listedlabel                   Публично видимo?
codex_roomlistlabel                 Списък с Игри:
codex_connectinglabel               Свързване със сървъра...
codex_retrievingserverlistlabel     Събиране на списъка с игри ...
codex_datausage                     Използване на данни: Изпратени -*SkB/s, получени - *SkB/s
codex_multiplayeroptions            Играчи
codex_playeroptions                 Играчи
codex_regionlabel                   Регион:

multiplayer_chooseroomname          Изберете име за играта
multiplayer_chooseusername          Изберете имe
multiplayer_joining                 Свързване: *X
multiplayer_joiningstate_joining    Свързване към игра
multiplayer_joiningstate_receiving  Получаване на свят
multiplayer_joiningstate_loading    Зареждане на свят
multiplayer_rejoining               Присъединяване към играта след разширяване на площа:
multiplayer_leavegame_confirm       Сигурни ли сте, че искате да напуснете кооперативната игра?
multiplayer_hostleft                Хостът напусна играта.
multiplayer_joingamefailed          Неуспешно присъединяване към играта:
multiplayer_startgamefailed         Играта не стартира:
multiplayer_incorrectpassword       Грешна Парола
multiplayer_disconnected            Изгубена връзка със сървъра.
multiplayer_syncerror               Прекъснато поради грешка при синхронизация.\n\nМоля, опитайте да се присъедините отново към играта.
multiplayer_hostonly                Предлага се само за хост.
multiplayer_modsdisabled            Модове са изключен при онлайн игра.
multiplayer_mutatorsdisabled        Мутаторите са изключен при онлайн игра.
multiplayer_kicked                  Бяхте изхвърлени от играта.
multiplayer_kick                    Ритник
multiplayer_ban                     Бан

multiplayer_host                    Хост:

multiplayer_welcomeanalytics        Добре дошли в онлайн режима на Prison Architect.\n\nПостарахме се да ви дадем възможността да играете пълната игра онлайн. Prison Architect е голяма игра и сега можете да я играете с други играчи. Ние ще следим за проблеми.\n\nС тази цел, искаме да съберем анонимна информация. Можете да изключите тази настройка по всяко време от менюто с настройки. Можете да видите каква информация събираме в metrics.txt.\n\nНадяваме се че ще ви е забавно да играете Prison Architect с вашите приятели.

region_asia                         Азия
region_au                           Австралия
region_cae                          Канада, Изток
region_eu                           Европа
region_in                           Индия
region_jp                           Япония
region_ru                           Русия
region_rue                          Русия, Изток
region_sa                           Южна Америка
region_kr                           Южна Кореа
region_us                           САЩ, Изток
region_usw                          САЩ, Запад

codex_options_disableattract            Деактивирайте екрана за привличане при стартиране
codex_option_escapeplans                План за Бягство
buildtoolbar_rollcall                   Повикване
buildtoolbar_tooltip_rollcall           Наредете на всички затворници да стоят извън килиите. Само достъпно по време на спане и през нощта.
interfacecontrol_graphs                 Графи
interfacecontrol_graphs_tooltip         Отваря екрана с графи, който ви позволява да сравнявате графи за различни аспекти на вашия затвор.

graph_title                             Графи

graph_label_1                           Data Вид 1
graph_label_2                           Data Вид 2
graph_label_day                         Ден

graph_axis_none                         Нищо
graph_axis_profit                       Печалба
graph_axis_funds                        Финанси
graph_axis_prisonsize                   Площ на Затвора (м²)
graph_axis_numprisoners                 Брой Затворници
graph_axis_numstaff                     Брой Персонал
graph_axis_releasedprisoners            Освободени Затворници
graph_axis_totalreleasedprisoners       Общо Освободени Затворници
graph_axis_escapedprisoners             Избягали Затворници
graph_axis_totalescapedprisoners        Общ Брой Избягали Затворници
graph_axis_entitydeath                  Умрели
graph_axis_totaldeaths                  Общо Загинали
graph_axis_prisonerdeaths               Загинали Затворници
graph_axis_guarddeaths                  Загинали Пазачи
graph_axis_securitygrading              Нива на Сигурност
graph_axis_healthgrading                Ниво на Здраве
graph_axis_reformgrading                Ниво на Реформа
graph_axis_punishmentgrading            Нива на Наказание
graph_axis_reoffendingrate              Степен на Повторна Престъпност
graph_axis_prisonvalue                  Стойност на Затвора
graph_axis_prisonercapacity             Капацитет за Затворници
graph_axis_numincidents                 Брой Инциденти
graph_axis_totalincidents               Общо Инциденти

equipment_Photo				снимка	
equipment_SubMachineGun			Пистолет-автомат	
equipment_Soap				сапун	
