# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Täysi muutoslogi
room_PaddedHoldingCell                         Pehmustettu odotusselli
room_PsychiatristOffice							Psykiatrin toimisto

interfaceplanning_BuildPlan			Rakenna suunnitelmat
interfaceplanning_ClearPlan			Tyhjennät suunnitelmat
interfaceplanning_Door				Ovet

buildtoolbar_improvement						- Parantaa seuraavaa arvoa: *R
buildtoolbar_improvement_windows				 (ulospäin osoittaessa)

buildplan_title					Seinätyypin valinta			
buildplan_message				Oletko valmiina rakentamaan suunnitelmasi?\n	Tätä toimintoa ei voi peruuttaa.\n\n	Kaikki suunnitellut seinät rakennetaan samasta seinätyypistä.\n	Valittu seinätyyppi voidaan vaihtaa alta.
clearplan_title					Tyhjennät suunnitelmat
clearplan_message				Haluatko varmasti tyhjentää kaikki piirretyt rakennussuunnitelmat?\n \n	Tätä toimintoa ei voi peruuttaa.

d11_custom_planning 				Mukautettu suunnittelu

buildtoolbar_popup_planning			Suunnittele vankilasi ilman pelkoa siitä, että työmiehet ryhtyvät töihin, ennen kuin olet valmis. Suunnitteluvalikko antaa rakentaa kaikki suunnitellut rakenteet ja ovet, poistaa osan suunnitelmistasi tai tyhjentää koko suunnitelman ja aloittaa alusta.

buildtoolbar_popup_help_planningDoor_1		Valittua ovityyppiä käytetään, kun asetat oven suunnitelmaasi.
buildtoolbar_popup_help_quickBuildWall_1	Valittua seinätyyppiä käytetään seuraavissa pikarakennuksissa.


buildtoolbar_popup_mat_blueclassywall			Rakenna tyylikäs seinä perustusten päälle luodaksesi uusia henkilöstöalueita tai -huoneita.
buildtoolbar_popup_mat_burgundyclassywall		Rakenna tyylikäs seinä perustusten päälle luodaksesi uusia henkilöstöalueita tai -huoneita.
buildtoolbar_popup_mat_greenclassywall			Rakenna tyylikäs seinä perustusten päälle luodaksesi uusia henkilöstöalueita tai -huoneita.

buildtoolbar_popup_obj_windowclassy				Saa ulkonäkymän näyttämään todellisuutta paremmalta.
buildtoolbar_popup_obj_windowclassyLarge		Saa ulkonäkymän näyttämään todellisuutta paremmalta.
buildtoolbar_popup_obj_gravestone				Hautakivi toimitetaan jokaista vankilassasi tapahtunutta kuolemaa varten.

buildtoolbar_popup_staff_psychiatrist			Edistynyt henkilökunnan jäsen tarjoaa säännöllisiä konsultaatioita mielisairaille vangeille.\nPsykiatrit tarjoavat mielisairaita vankeja auttavia kahdenkeskisiä istuntoja, kun Psykiatrin konsultaatio -ohjelma on käytössä vankilassa.\nJos mielisairaita vankeja on runsaasti, meidän pitäisi palkata muutama psykiatri heidän tuekseen. Varmista, että jokaiselle on toimisto.

buildtoolbar_popup_staff_orderly				Lääkintähenkilöstö, saanut erityiskoulutuksen mielisairaiden vankien hallinnassa.
buildtoolbar_popup_obj_leatherchair				Sopii nahkasohvan kanssa yhteen. Sopii täydellisesti henkilökunnan istuttavaksi, ja onhan se nyt liian hieno vankiesi käytettäväksi.

buildtoolbar_popup_obj_rorschachTest		    Musteläikkätestin lisääminen psykiatrin toimistoon parantaa psykiatrin hoitoa mielisairaiden vankien kanssa.
buildtoolbar_popup_obj_anatomyModel				Anatomianuken lisääminen psykiatrin toimistoon parantaa psykiatrin hoitoa mielisairaiden vankien kanssa.
buildtoolbar_popup_obj_flipboard				Aivokartan sisältävän kirjoitustaulun lisääminen psykiatrin toimistoon parantaa psykiatrin hoitoa mielisairaiden vankien kanssa.
buildtoolbar_popup_obj_medicineCabinetPsych		Lääkekaapin lisääminen psykiatrin toimistoon parantaa psykiatrin hoitoa mielisairaiden vankien kanssa.
buildtoolbar_popup_obj_leatherchair				Sopii nahkasohvan kanssa yhteen. Sopii täydellisesti henkilökunnan istuttavaksi, ja onhan se nyt liian hieno vankiesi käytettäväksi.
buildtoolbar_popup_obj_leatherSofa				Klassisen nahkasohvan lisääminen psykiatrin toimistoon parantaa psykiatrin hoitoa mielisairaiden vankien kanssa.

buildtoolbar_deployment_insaneseczone			Tälle alueelle saa tulla vain mielisairaita vankeja.

failuremessage_maximumcountreachedgeneric		Maksimimäärä asetettu

buildtoolbar_popup_locked_PsychiatricConsultation				Avataan *B psykiatrin lisäistunnon jälkeen
buildtoobar_PsychConItemImproveInfo 			- Parantaa psykiatrin toimiston arvoa.
buildtoobar_PsychConItemImproveSuppression 		- Vähentää konsultaation jälkeen mielisairaan vangin\nnujertumista ja tiettyjä tarpeita +5 %.
buildtoobar_PsychConItemImproveGrace 			- Tarjoaa konsultaation jälkeen mielisairaalle vangille\n1 lisäpäivän "vapaaseen" jaksoon,\nennen kuin nujertuminen ja tietyt tarpeet nousevat jälleen.
buildtoolbar_popup_obj_Footbridge				Sallii vankien ja henkilökunnan jäsenten ylittää maa- ja vesialueita. Ei voi rakentaa seinien, aitojen ja muiden rakennusten päälle.
buildtoolbar_popup_obj_FootbridgeSteel			Sallii vankien ja henkilökunnan jäsenten ylittää maa- ja vesialueita. Ei voi rakentaa seinien, aitojen ja muiden rakennusten päälle.
buildtoolbar_popup_obj_FootbridgeB				Sallii vankien ja henkilökunnan jäsenten ylittää maa- ja vesialueita. Ei voi rakentaa seinien, aitojen ja muiden rakennusten päälle.
buildtoolbar_popup_obj_FootbridgeSteelB			Sallii vankien ja henkilökunnan jäsenten ylittää maa- ja vesialueita. Ei voi rakentaa seinien, aitojen ja muiden rakennusten päälle.
buildtoolbar_popup_obj_BoomBoxRoundHouse		Antaa vankiesi kuunnella suosikkipoikabändejään päivän askareiden lomassa. Saa kaikki huoneen vangit hieman paremmalle tuulelle.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Pehmustettu eristysselli

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Mielisairaille vangeille tarkoitettu, pehmustetuilla seinillä on rauhoittava vaikutus.
buildtoolbar_popup_room_paddedholdingcell	    Mielisairaat vangit sijoitetaan tänne, ennen kuin pysyvä pehmustettu selli on valmis.
buildtoolbar_popup_room_paddedsolitary			    Täysin eristetty tila kaikkein pahimmille mielisairaille vangeille.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Pehmustettu (pieni)
quickbuild_paddedintermediatecell							Pehmustettu (keskikokoinen)
quickbuild_paddedholdingcell								Pehmustettu odotusselli
quickbuild_paddedsolitarycell								Pehmustettu eristysselli
quickbuild_PsychiatristOffice								Psykiatrin toimisto



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Vain mielisairaille
interfacetopbar_PrisonerCells_insaneSecOnly	Mielisairaiden vankien kapasiteetti: *X

roomgrading_PsychiatristOffice_info				Avaa ja aseta lisäesineitä psykiatrin toimistoon parantaaksesi mielisairaiden vankien hoitoa.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Esine: *X
roomgrading_PsychiatristOffice_Quality			Psykiatrin kyky: *Q
roomgrading_PsychiatristOffice_Upgrade			Päivitä psykiatrin toimistoa parantaaksesi hänen kykyään.

roomgrading_score_average		NORMAALI
roomgrading_score_good			HYVÄ
roomgrading_score_verygood		TODELLA HYVÄ
roomgrading_score_outstanding	ERINOMAINEN

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Mielisairaiden vankien siipi
objective_grant_firstinsanecellblock_description	Valtio on valmis rahoittamaan vankilan laajentamista tiloilla, joissa pystytään majoittamaan ja suojelemaan mielisairaita vankeja.\n\nTämän apurahan turvin voidaan rakentaa erityisiä pehmustettuja sellejä ja palkkaamaan koulutettuja psykiatreja.
objective_grant_firstinsanecellblock_cells			Rakenna siipi/selliosasto mielisairaille vangeille 10 pehmustetulla sellillä
objective_grant_firstinsanecellblock_prisoners		Ota 10 mielisairasta vankia sisään
objective_grant_firstinsanecellblock_psychiatrist	Palkkaa 2 psykiatria (kumpikin tarvitsee toimiston)

objective_readinsaneletter						Johtajan ohjeet mielisairaille vangeille
objective_readinsaneletter_description			Ennen kuin lisäät mielisairaita vankeja vankilaasi, sinun on valmisteltava asiaa sopivilla tiloilla ja henkilökunnalla, jotta voit huolehtia heidän tarpeistaan. Johtaja...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     Entisenä palkkionmetsästäjänä Hartman huolehtii turvahenkilöstönsä arvokkaista koulutustekniikoista.\n\n- Kaikki vartijat pudottavat harvemmin avaimiaan.\n- Vartijan kestävyys palautuu sisäänoton aikana.
warden_wardeninsanehawk_desc_short               - Vartijan kestävyys palautuu sisäänoton aikana.

warden_wardeninsaneslugworth_name                Tri Slugworth
warden_wardeninsaneslugworth_desc                Kun muut vankilat sulkevat heiltä ovensa, Slugworth avaa ovet kaikista pahimmille mielisairaille vangeille ja uskoo voivansa auttaa heitä.\n\n- Psykiatristen hoitojen tulokset ovat 20 % positiivisempia.\n- Mahdollisuus vastaanottaa psykopaattinen mielisairas vanki on suurempi!
warden_wardeninsaneslugworth_desc_short          - Ottaa vastaan enemmän psykopaattisia mielisairaita vankeja. Psykiatrit antavat parempaa hoitoa.

warden_wardeninsanehudson_name					 Tri Hudson
warden_wardeninsanehudson_desc                   Tri Hudson on valmis tekemään sen, mihin muut vankilanjohtajat eivät pysty...\n\n- Hätäpalvelut toimivat 20 % nopeammin ja saapuvat aiemmin.\n- Korjaushinnat ovat 10 % pienempiä.
warden_wardeninsanehudson_desc_short             - Nopeampi vastausaika ja vähennetyt korjaushinnat.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Mielisairaiden vankien kuolemia
victory_warning_insaneprisonersdeaths			 Sinut erotetaan, jos liian monta mielisairasta vankia kuolee.
victory_insaneprisonersdeaths_units				 Kuolemia

victory_insaneprisonersabused					 Hyökkäyksiä mielisairaita vankeja vastaan
victory_warning_insaneprisonersabused			 Sinut erotetaan, jos vartijat hyökkäävät liian monen mielisairaan vangin kimppuun.
victory_insaneprisonersabused_units				 Hyökkäyksiä

victory_adviserwarning_insaneprisonersdeaths1	 Emme voi antaa mielisairaiden vankiemme kärsiä enää pahoinpitelyistä vankilassasi! Media teilaa sinut, ellet paranna otettasi!
victory_advisernotice_insaneprisonersdeaths1	 Se oli siinä! Olet mennyttä! Sinun oli tarkoitus pitää huolta mielisairaista, mutta sen sijaan annoit heidän kärsiä sanoinkuvaamattomista julmuuksista. Voin antaa sinulle vain potkut, mutta suosittelen menemään kotiin ja miettimään valintojasi uudelleen.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Mielisairaat vangit

codex_tooltip_criminallyinsane					Hoida vankeja, jotka tuntevat jatkuvasti olonsa nujerretuksi ja vaativat uuden pehmustetun sellin sekä psykiatrin vähentämään heidän yksityisyyden, mukavuuden ja vapauden kaipuun tarvetta, ennen kuin he räjähtävät. Tämän asetuksen päälle pistäminen mahdollistaa myös tavallisten vankien mielisairaudet vankilassasi, jos heidän tarpeistaan ei huolehdita. Vankien muuttuminen mielisairaiksi voidaan poistaa käytöstä kartan asetuksista.

codex_prisoner_biography_NITG					Mukautettu pelaajan luoma elämäkerta
codex_options_InsaneGauge						Vangin yllä olevat mittarit

codex_option_desert								Aavikkotontti
codex_tooltip_desert							Luo hiekka-aavikkoa vastaava aloitustontti.

codex_options_rendercolours						Huoneiden värilliset tietokartat

codex_new_selectdog								Valitse vartiokoirat

codex_option_prisonerTurning					Vangit voivat muuttua mielisairaiksi

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Mielisairaat vangit
rapsheet_insane_bio_desc                        Mielisairaat vangit kokevat jatkuvasti tietyn verran nujerrusta ja vaativat pehmustetun sellin ja psykiatrin apua pysyäkseen rauhassa.\n\nJärkyttyneet mielisairaat vangit voivat hyökätä henkilökunnan kimppuun, aiheuttaa vahinkoja vankilalle tai yrittää paeta, sekä käyttäytyä muutoin odottamattomin tavoin.

reputation_Weak                                 Heikko
reputation_Insomniac                            Kärsii unettomuudesta
reputation_Depressed                            Masentunut
reputation_Outbreaks                            Väkivaltaisia kohtauksia
reputation_Sickness                             Sairaus
reputation_Hyperactive                          Hyperaktiivinen
reputation_Addict                               Riippuvainen
reputation_Claustrophobic                       Klaustrofobinen
reputation_ExtremelyStoical                     Erittäin stoalainen
reputation_ExtremelyVolatile                    Erittäin epävakaa
reputation_Psychopathic                         Psykopaatti
reputation_Insane                               Mielisairas vanki

reputationtooltip_Weak                          Tämä vanki on heikompi, hän ei pärjää tappelussa ja on täten alttiimpi vammoille.
reputationtooltip_Insomniac                     Tämä vanki kaipaa hyvin vähän unta.
reputationtooltip_Depressed                     Tämä vanki liikkuu paljon hitaammin tuntiessaan itsensä nujerretuksi ja hoitamattomaksi.
reputationtooltip_Outbreaks                     Tämä vanki saa väkivaltaisia kohtauksia ja vahingoittaa ympäristöään tuntiessaan itsensä nujerretuksi ja hoitamattomaksi.
reputationtooltip_Sickness                      Tämä vanki oksentaa ja laskee alleen tuntiessaan itsensä nujerretuksi ja hoitamattomaksi.
reputationtooltip_Hyperactive                   Tämä vanki liikkuu paljon nopeammin tuntiessaan itsensä nujerretuksi ja hoitamattomaksi.
reputationtooltip_Addict                        Tämä vanki ryhtyy todennäköisemmin käyttämään huumeita tuntiessaan itsensä nujerretuksi ja hoitamattomaksi.
reputationtooltip_Claustrophobic                Tämä vanki haluaa paeta ympäristöstään tuntiessaan itsensä nujerretuksi ja hoitamattomaksi.
reputationtooltip_ExtremelyStoical              Tämä vanki ei alistu, kun hänet laitetaan eristyskoppiin tai kun hän on vartijoiden läheisyydessä. Hän ei todellakaan välitä siitä.
reputationtooltip_ExtremelyVolatile             Pidä tätä vankia silmällä. Mikä tahansa voi laukaista hänet, ja tilanne voi muuttua todella pahaksi.
reputationtooltip_Psychopathic                  Tämä vanki on paljon vaarallisempi ja ennalta arvaamattomampi kuin muut mielisairaat vangit.
reputationtooltip_Insane                        Varmista, että tällä vangilla on käytössään psykiatrin konsultaatioita ja pehmustettu selli, mitkä auttavat rauhoittamaan häntä.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane						Mielisairas vanki
report_intake_list_tooltip_insane				Mielisairaat vangit kokevat itsensä jatkuvasti nujerretuiksi ja tarvitsevat uusia pehmustettuja sellejä sekä psykiatrin apua vähentääkseen yksityisyyden, mukavuuden, turvallisuuden ja vapauden kaipuun tarvettaan, ennen kuin he räjähtävät.\n\nEt voi pyytää mielisairaita vankeja, ennen kuin sinulla on pehmustettuja sellejä tai pehmustettu odotusselli.\n\nTavalliset sellit voidaan muuttaa pehmustetuiksi selleiksi Huoneet-valikon kautta.
report_intake_insane_intake_empty				Mielisairaita vankeja ei voi vastaanottaa tällä hetkellä.\nRakenna pehmustettuja sellejä tai pehmustettuja odotussellejä.\nTavalliset sellit voidaan muuttaa pehmustetuiksi selleiksi Huoneet-valikon kautta.
report_staff_group_prisoners_insane				Mielisairas vanki
report_Criminally_Insane						Mielisairas vanki
report_Pyschopathic								Psykopaatti

report_intake_enable_insane					Ota käyttöön
report_intake_psychward_title					Psych Ward: Warden’s Edition
report_intake_psychward_tooltip					Ota Psych Ward: Warden’s Edition käyttöön tässä vankilassa.\n\nVoit ottaa sen avulla sisään mielisairaita vankeja, mutta halunnet ensiksi valmistella vankilaasi.\n\nPsykiatreja ja sairaala-apulaisia voidaan tutkia ja palkata. Pehmustettuja sellejä ja odotussellejä voidaan luoda.\n\nSekä psykiatrit että pehmustetut sellit auttavat pitämään mielisairaat vangit rauhallisina ja kontrollissa. 

reformerror_no_psychiatrist					EI PSYKIATRIA
reform_completion_psychiatrist              - *X päätti - *Y hoidettu (*P %)
report_staff_group_orderlies				Sairaala-apulaiset

# =============================================================================
# Research
# =============================================================================
research_Orderly							Sairaala-apulainen
research_Psychiatrist							Psykiatri
                     
researchtooltip_Orderly							Tavalliset vartijat eivät saa hyökätä mielisairaiden vankien kimppuun, sillä he saattavat vahingoittaa heitä samalla.\nSairaala-apulaiset on koulutettu taltuttamaan mielisairaat vangit heitä vahingoittamatta.\nSairaala-apulaiset pistävät myös pakkopaidan psykopaattisten vankien päälle öisin, jotta he eivät vahingoittaisi itseään.
researchtooltip_Psychiatrist					Edistynyt henkilökunnan jäsen tarjoaa säännöllisiä konsultaatioita mielisairaille vangeille.\nPsykiatrit tarjoavat mielisairaita vankeja auttavia kahdenkeskisiä istuntoja, kun Psykiatrin konsultaatio -ohjelma on käytössä vankilassa.\nJos mielisairaita vankeja on runsaasti, meidän pitäisi palkata muutama psykiatri heidän tuekseen. Varmista, että jokaiselle on psykiatrin toimisto.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane			            Mielisairas

buildtoolbar_header_foundationmain				Pää
buildtoolbar_header_foundationmore				Lisää

reformprogram_PsychiatricConsultation			Psykiatrin konsultaatio
reformprogram_PsychiatricConsultation_text		Kaikki mielisairaat vangit tarvitsevat rauhoittuakseen säännöllisiä kahdenkeskisiä istuntoja psykiatrin kanssa. Se auttaa vähentämään heidän kasvavaa nujertumisen tunnetta. Psykiatrien puute voi laukaista väkivaltaisia välikohtauksia ja muita ainutlaatuisia reaktioita näiltä vangeilta.
reform_program_properties_NeedToBeEscorted		Vanki voidaan joutua saattamaan tälle istunnolle.
reform_program_intake_insane				Vain mielisairaat vangit.

insane_letter									Hyvä herra/rouva\n\n\nTässä on muutama tärkeä ohje varmistaaksemme, että olet valmistautunut sopivilla tiloilla ja henkilökunnalla pitämään asiaankuuluvaa huolta mielisairaista vangeista.\n\n1. Mielisairailla vangeilla täytyy olla pehmustettu selli. Voit muuttaa tavallisen sellin pehmustetuksi selliksi (Huone-valikosta käsin). Kun sinulla on pehmustettuja sellejä, voit vastaanottaa ensimmäisen vankien ryhmän.\n\n2. Varmista, että olet palkannut psykiatreja ja sairaala-apulaisia. Psykiatrit vaativat myös erityisen toimiston.\n\n3. Järjestä psykiatrin konsultaatioita mielisairaille vangeille. Nämä kahdenkeskiset istunnot psykiatrin kanssa (sekä pehmustetut sellit) auttavat pitämään vangit kontrollissa. Psykiatrin toimiston päivittäminen parantaa heidän hoitokykyään.\n\n4. Hoitamattomina ja vapaina mielisairaat vangit saattavat käyttäytyä ennalta arvaamattomasti, yrittää paeta tai muuttua väkivaltaisiksi.\n\n5. Sairaala-apulaiset auttavat saattamisessa ja hoidossa, ja he eivät nujerra vankeja tavallisten vartijoiden tapaan. Tarvitset myös sairaala-apulaisia, jotka pistävät psykopaattisille mielisairaille vangeille pakkopaidan päivän päätteeksi.\n\n6. Mielisairaiden vankien kanssakäyminen muiden vankien kanssa voi joskus johtaa ongelmiin. On hyvä idea luoda erotetut mielisairaiden vankien sektorit ruokalaan, pihalle ja muille alueille. Psykiatrien toimistot kannattaa myös rakentaa lähelle mielisairaiden vankien selliosastoa.\n\n7. Lopuksi, muiden turvaosastojen vangit voivat muuttua mielisairaiksi, joten pidä asiaa silmällä.\n\nToimitusjohtaja\nPrison Architects Corp  

job_StraitJacket                         Pistä/poista pakkopaita
job_EscortInsane                         Saata mielisairasta vankia
status_effect_sedated					Rauhoitettu

orderly_description                     Sairaala-apulaiset on koulutettu hallitsemaan vankeja ja antamaan (tarpeen vaatiessa) rauhoittavia mielisairaille vangeille.
pyschiatrist_description                KAIKKI mielisairaat vangit kaipaavat säännöllisiä kahdenkeskisiä psykiatrin konsultaatioita. Lisää psykiatrin konsultaatiot Ohjelmat-valikosta käsin.

insanetooltip_status                    Tila: *X
insanetooltip_status_level0             RAUHALLINEN
insanetooltip_status_level1             HERMOSTUNUT
insanetooltip_status_level2             EPÄVAKAA
insanetooltip_status_level3             LAUENNUT!
insanetooltip_behaviour					Käytös: *X

mutator_name_ReducedDirtBuildup						Vähennä lian kerääntymistä
mutator_tooltip_ReducedDirtBuildup					Lian ja mudan kerääntyminen puolittuu vankilassa.
administrator_requiresoffice_psychiatrist            Vaatii psykiatrin toimiston

dlc_insane_upsell				Tämä tallenne käyttää Psych Ward: Warden’s Edition -lisäosan sisältöä. Koska emme havaitse lisäosaa järjestelmälläsi, osa ominaisuuksista poistetaan käytöstä. Harkitse Psych Psych Ward: Warden’s Edition -lisäosan hankkimista, jotta saat kaiken irti Prison Architect -pelikokemuksestasi.
dlc_insane_upsell_multiplayer 	Tämän moninpelin isäntä on ostanut Psych Ward: Warden’s Edition -lisäosa, johon myös sinä pääset hänen vieraanaan käsiksi. Nauti!

regime_work_pyscho              Ohjelmat/vapaa-aika
regime_worklockdown_pyscho      Ohjelmat/selleissä

regimetooltip_work_pyscho			Ota huomioon, että mielisairaat vangit eivät voi työskennellä ja voivat osallistua ohjelmiin ainoastaan työaikoina
regimetooltip_worklockdown_pyscho	Ota huomioon, että mielisairaat vangit eivät voi työskennellä ja voivat osallistua ohjelmiin ainoastaan työaikoina


# =============================================================================
# Nameplate status
# ============================================================================= 

nameplate_sedation_level						Rauhoitustaso
teacher_teaching_pschiatrist                    Hoidossa		
pschiatrist_count_status						*X psykiatrin konsultaatiota suoritettu


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Saata sairastupaan

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Sellin tila

buildtoolbar_popup_help_CellStatus_1			Sellin tila -näkymä näyttää varatut (punainen) ja vapaat (vihreä) sellit.
buildtoolbar_popup_help_CellStatus_2			Voit napsauttaa varattua selliä nähdäksesi siihen määritetyn vangin.

freeCell										Vapaa selli
freeCell_line0									Tämä selli on tällä hetkellä vapaa.
occupiedCell									Varattu selli
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Näytä tämä vanki napsauttamalla hiiren vasenta painiketta.
object_prisoner_freshfish						Vanki (uusi vanki)

total_Connections								Liitinten määrä yhteensä: *X
active_Connections								Aktiivisten liitinten maksimimäärä: *X

interfacedeployment_VisitorDirection			Vierailijan suunta

interface_action_move							Siirrä 

equipment_moreContraband						Salakuljetustavarat

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer				Vanginsiirto!
report_intake_list_tooltip_prisonerTransfer		\n\nMuille vangeille vaarallisia korkean riskin vankeja tarjotaan aika ajoin.\nOle varovainen! Heistä maksetaan syystäkin enemmän. Nämä ovat kovia rikollisia, joita muut laitokset eivät halua ottaa vastaan.
rapsheet_category_PrisonerTransfer				Vanginsiirto!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Vesiputkia ja sähkökaapeleita ei voi rakentaa alle.

buildtoolbar_deployment_VisitorDirection 	Napsauta ja vedä osoittaaksesi lattiamerkinnän.\n\nTämä antaa vinkin muille kuin vangeille, mihin suuntaan kulkea.\nAuttaa hallitsemaan väestön liikkumista vankilassasi.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - Jokaiselle vartijalle tulee olla *X

schedule_zone_insaneSecOnly						Miel.sair.

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Kuutontti
codex_tooltip_lunar								Luo Kuun pintaa vastaava aloitustontti.

codex_option_doubleClick						Siirrä esineitä kaksoisnapautuksella

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Kloonaa huone

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Siirry verkkoon
codex_start                         Luo peli
codex_joinonline                    Liity verkkopeliin
codex_join                          Liity peliin
codex_usernamelabel                 Käyttäjänimi:
codex_namelabel                     Pelin nimi:
codex_passwordlabel                 Salasana:
codex_passwordprotectedlabel        Salasanalla suojattu?
codex_listedlabel                   Julkisesti listattu?
codex_roomlistlabel                 Pelilista:
codex_connectinglabel               Yhdistetään palvelimelle...
codex_retrievingserverlistlabel     Haetaan pelilistaa...
codex_datausage                     Tiedonsiirto: lähetetty *S kB/s, vastaanotettu *R kB/s
codex_multiplayeroptions            Hallinnoi pelaajia
codex_playeroptions                 Pelaajat
codex_regionlabel                   Alue:

multiplayer_chooseroomname          Valitse pelin nimi
multiplayer_chooseusername          Valitse käyttäjänimi
multiplayer_joining                 Liitytään: *X
multiplayer_joiningstate_joining    Liitytään peliin
multiplayer_joiningstate_receiving  Vastaanotetaan maailmaa
multiplayer_joiningstate_loading    Ladataan maailmaa
multiplayer_rejoining               Liitytään takaisin peliin tontin laajennuksen jälkeen:
multiplayer_leavegame_confirm       Haluatko varmasti poistua nykyisestä kaveripelistä?
multiplayer_hostleft                Isännän yhteys katkesi.
multiplayer_joingamefailed          Peliin liittyminen epäonnistui:
multiplayer_startgamefailed         Pelin aloittaminen epäonnistui:
multiplayer_incorrectpassword       Virheellinen salasana
multiplayer_disconnected            Yhteys palvelimelle katkesi.
multiplayer_syncerror               Yhteys katkaistaan synkronointivirheestä johtuen.\n\nYritä liittyä takaisin peliisi.
multiplayer_hostonly                Vain isäntäpelaajan saatavilla.
multiplayer_modsdisabled            Modit eivät ole käytössä verkkopelin aikana
multiplayer_mutatorsdisabled        Mutaatiot eivät ole käytössä verkkopelin aikana
multiplayer_kicked                  Sinut potkaistiin pois pelistä.
multiplayer_kick                    Potkaise
multiplayer_ban                     Anna porttikielto

multiplayer_host                    Isäntä:

multiplayer_welcomeanalytics        Tervetuloa Prison Architect -moninpeliin.\n\nOlemme nähneet vaivaa saadaksemme täyden Prison Architect -pelikokemuksen moninpeliin. Prison Architect on iso peli, ja tämä on ensimmäinen kerta, kun moninpeli on kaikkien saatavilla, joten pidämme silmällä kaikkia ongelmia, joita pelaajat saattavat kohdata.\n\nAuttaaksesi meitä siinä haluaisimme kerätä anonyymiä analytiikkaa, jotta voimme ratkaista ihmisten mahdollisia ongelmia pelissä. Se voidaan poistaa milloin tahansa käytöstä asetusvalikosta käsin. Näet metrics.txt-tiedostosta keräämämme tiedot.\n\nToivottavasti nautit Prison Architectin pelaamisesta ystäviesi kanssa.

region_asia                         Aasia
region_au                           Australia
region_cae                          Kanada, itä
region_eu                           Eurooppa
region_in                           Intia
region_jp                           Japani
region_ru                           Venäjä
region_rue                          Venäjä, itä
region_sa                           Etelä-Amerikka
region_kr                           Etelä-Korea
region_us                           Yhdysvallat, itä
region_usw                          Yhdysvallat, länsi

codex_options_disableattract            Poista alun esittelyvideo
codex_option_escapeplans                Pakosuunnitelmat
buildtoolbar_rollcall                   Nimenhuuto
buildtoolbar_tooltip_rollcall           Käske kaikki vangit seisomaan sellinsä eteen. Saatavilla vain nukkumisaikana ja öisin.
interfacecontrol_graphs                 Kuvaajat
interfacecontrol_graphs_tooltip         Avaa kuvaajaruudun, josta voit vertailla vankilan eri osa-alueiden kuvaajia.

graph_title                             Kuvaajat

graph_label_1                           Datatyyppi 1
graph_label_2                           Datatyyppi 2
graph_label_day                         Päivä

graph_axis_none                         Ei mitään
graph_axis_profit                       Tuotto
graph_axis_funds                        Varat
graph_axis_prisonsize                   Vankilan koko (m²)
graph_axis_numprisoners                 Vankien määrä
graph_axis_numstaff                     Henkilöstön määrä
graph_axis_releasedprisoners            Vapautettuja vankeja
graph_axis_totalreleasedprisoners       Vapautettuja vankeja yhteensä
graph_axis_escapedprisoners             Paenneita vankeja
graph_axis_totalescapedprisoners        Paenneita vankeja yhteensä
graph_axis_entitydeath                  Kuolemia
graph_axis_totaldeaths                  Kuolemia yhteensä
graph_axis_prisonerdeaths               Vankien kuolemia
graph_axis_guarddeaths                  Vartijoiden kuolemia
graph_axis_securitygrading              Turva-arvosana
graph_axis_healthgrading                Terveysarvosana
graph_axis_reformgrading                Sopeutumisen arvosana
graph_axis_punishmentgrading            Rangaistuksen arvosana
graph_axis_reoffendingrate              Rikoksen uusiminen
graph_axis_prisonvalue                  Vankilan arvo
