# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
d11_hover_dismiss_helicopter_desc	Dismiss this helicopter?
d11_hover_dismiss_ferry_desc	Make the Ferry depart early?

d11_hover_fight_fires		Fight Fires [[*X]]
interface_action_fightFires		Fight Fires
d11_hover_fight_fires_desc	Take off and help fight any fires?
		
d11_hover_land_heli		Land [[*S]]
interface_action_landheli		Land Helicopter
d11_hover_land_heli_desc	Land the helicopter on its helipad?

d11_hover_eliteOps_select	Command Helicopter [[*X]]

d11_hover_deploy_squad		Deploy (Hold) [[*X]]
interface_action_deploySquad		Deploy Squad
d11_hover_deploy_squad_desc	Deploy the squad below the helicopter?

interfacemode_floors				Floors
interfaceoverlay_landscape			Landscape

d11_hover_quantity						x *X

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_obj_FerryDock		Two Ferry Docks will be built, to run parallel between islands, as a means of transportation between them. For a pair of docks to be built, there must be a landmass parallel.
buildtoolbar_popup_obj_BoatDock			Essential for allowing boats to dock at your prison, ferry new prisoners, or deliver supplies.
buildtoolbar_popup_obj_Helipad			Essential for allowing helicopters to fly into your prison, transport new prisoners, deliver supplies, or call upon special air-based emergency crews.

buildtoolbar_popup_obj_DeckChair		Lounge in the sun from your deck in comfort.\n -Caters to the Comfort Need.

buildtoolbar_popup_obj_Fountain			Place in water to create a relaxing fountain feature.

buildtoolbar_popup_obj_SteppingStoneLillyPad	Create pathways allowing prisoners and staff to cross water.\n \nOutdoor only.\n \nPlaced on Water only.
buildtoolbar_popup_obj_SteppingStone		Create pathways allowing prisoners and staff to cross water.\n \nOutdoor only.\n \nPlaced on Water only.
buildtoolbar_popup_obj_SteppingStoneIceBlock	Create pathways allowing prisoners and staff to cross water.\n \nOutdoor only.\n \nPlaced on Water only.
buildtoolbar_popup_obj_SteppingStonePallet	Create pathways allowing prisoners and staff to cross water.\n \nOutdoor only.\n \nPlaced on Water only.
buildtoolbar_popup_uts_ScannerMonitor	A monitor for a guard to spot contraband, when wired to a Scanner Machine. A guard's ability to spot contraband will depend on their tiredness
buildtoolbar_popup_uts_ScannerMachine	A machine for Delivery areas and Storage rooms, to scan wooden crates for contraband. Must be wired to a Scanner Monitor, for a guard to spot contraband. A guard's ability to spot contraband will depend on their tiredness.
buildtoolbar_popup_obj_Checkpoint		A Checkpoint Station for searching prisoners and visitors that pass through. Prisoners can only pass through a checkpoint in one direction.\n-Must be manned by a guard.

landscape_hint							(Can be built on water)

d11_emergencies_hints_fire_heli			A helicopter with x*A Firemen. - $*B
d11_squad_name_FireHeli				Air Firefighters
d11_emergencies_hints_paramedics_heli		A helicopter with x*A Paramedics. - $*B
d11_squad_name_AirParamedics			Air Paramedics
d11_emergencies_hints_eliteOps_heli		A helicopter with x*A Elite Op Soldiers. - $*B
d11_squad_name_EliteOps				Elite Ops Team


interfacecallout_FireHeli                       Air Firefighters
interfacecallout_EliteOps                       Elite Ops Team
interfacecallout_AirParamedics                  Air Paramedics
interfacecallout_AirSoldiers                    Air Soldiers

buildtoolbar_Logistics_DeliveryTargeting 	Link Delivery, Garbage and Export zones to Helipads, Docks and the Road. Doing so allows you to control where deliveries are taken, and how exports leave your prison.
buildtoolbar_Logistics_VehiclePurpose		Control which services will be handled by specific Docks, Helipads or the Road. Doing so allows you to recieve specific goods or prisoners to various locations around your prison, by sea and air.
buildtoolbar_Logistics_CropDistribution		Control which rooms harvested crops are moved to, you can also change distribution percentages via the Manage Distribution window.

# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint		Requires a connection to land and a clear shipping lane.
delivery_hover_hint			The Logistics > Transport menu allows you to control the purposes of this *X.
ferryDock_placement_hint	Must have a parallel landmass to travel to.
transportZones_hover_hint	Link to Helipads, Docks and the road, via the Logistics menu.
object_scannermonitor_needsmachine						Wire to a Scanner Machine
object_scannermachine_needsmonitor						Wire to a Scanner Monitor

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_OutdoorLake							Outdoor Lake
quickbuild_River								River

# =============================================================================
# CODEX - Menu Entries
# =============================================================================

codex_options_hud_waypoints		Hud Waypoints
codex_options_hud_waypoints_all		All On
codex_options_hud_waypoints_important	Most Important
codex_options_hud_waypoints_off		All Off

d11_hud_waypoints_limited	All (Limited Time)
waypoints_tooltip			Decide which Waypoints to display around the HUD, pointing to various events and alerts occuring in the prison.


codex_option_dynamicReputations		Dynamic Reputations
#codex_tooltip_dynamicReputations	Prisoners have the chance to gain or lose unique Reputation traits during their time in prison, based on their activities and experiences inside.

# =============================================================================
# DLC
# =============================================================================

objective_ReadSandALetter						Letter from the CEO (Island Bound)
island_letter									Dear Sir/Madam,\n\n\nWelcome to your new life as an Island Bound Prison Architect! Here’s some tips to get you started with docks, helipads and island prisons.\n\n1. Islands - Depending on the prison's circumstances, you may have no physical link to the mainland, and if so you will need BOATS and HELICOPTERS to provide your transportation services. Build Boat DOCKS and HELIPADS, and determine their purposes; to receive specific deliveries, new prisoners, or new emergencies units and more, by sea and air. -Make sure docks are built with a clear shipping lane for boats to come and go. -Special FERRY DOCKS can be built to link islands together, as well as BRIDGES and STEPPING STONES. -Your prison can now be better protected with new ELITE OPS units, and helicopters that can fight fires from the air.\n\n2. Customising Deliveries and Transports - Via LOGISTICS, you can customise which services are assigned to each dock, helipad and the road, allowing your prison's efficiency to increase. Docks and Helipads can be linked to additional Delivery, Reception and Export zones. This will allow you to have food supplies delivered closer to the Kitchen, or new Max Sec inmates brought in closer to the Max Sec wing on your island, for example. The possibilities are endless!\n\n3. Landscaping - Water can be placed to create moats or oceans around your prison, and land can be shaped with shorelines, using dirt and other flooring types. Any land or smaller islands created in water, will be created immediately.\n\n4. New Security Measures - Contraband can still arrive via boats and helicopters, so we’re also providing you with some new state-of-the-art equipment; -Build SCANNER MACHINES in Delivery and Storage areas to check crates and boxes. You’ll need an alert guard to watch on a connected SCANNER MONITOR. -Assign guards to CHECKPOINTS to pat-down all prisoners and visitors passing through. This is a great way to discover contraband, but can reduce the flow of prisoners if not placed strategically.\n\nFinally, even islands aren’t escape-proof, so it could be a good idea to erect Sniper Towers on your shorelines, to keep an eye out for ‘swimmers’.\n\nThat's about everything - good luck!\n\nThe CEO,\nPrison Architects Corp.

# =============================================================================
# Missing Strings
# =============================================================================

buildtoolbar_popup_help_jobs_6				- Forestry area must be enclosed for prisoners to be asisgned to work in them, and to prevent escapes

research_forestrylabour					Forestry Labour
researchtooltip_forestrylabour			Allows you to put prisoners to work in the Forestry via the Logistics menu. Foresty area must be enclosed for prisoners to be assigned to work in them, and to prevent escapes. Be aware that prisoners will also require access to Delivery areas in order to replant trees.
action_usecomputer                      Use Computer


buildtoolbar_popup_help_roomquality_1       The Room Quality view shows you the quality rating of all upgrade-able rooms in your prison. The higher the number, the better the quality. Mousing over a room will show you the factors that went into determining it's quality, and what you can add to increase that quality.\n\n
buildtoolbar_popup_help_roomquality_2		With PRISONER TRANSFERS turned ON
buildtoolbar_popup_help_roomquality_3		- Room quality will also contribute to an overall grade for that Security Sector. 
buildtoolbar_popup_help_roomquality_4		- Prisoners will desire to be transferred to a lower Security Sector, if it is better (has a higher grade) than their current Security Sector.\n\n
buildtoolbar_popup_help_roomquality_5       CELL GRADING
buildtoolbar_popup_help_roomquality_6       - Prisoners are entitled to a higher quality cell for good behaviour over time. Having higher quality cells available is a good way to incentivise good behaviour.
buildtoolbar_popup_help_roomquality_7       - It's important to keep some low quality cells in your prison, as new arrivals to your prison will need somewhere to go, and if all the available cells are too high quality they might find themselves in a holding cell.
buildtoolbar_popup_help_roomquality_8       - Prisoners can be placed in a higher quality cell than they deserve if there is no other space available, but it might make the other prisoners unhappy...



############################### Other ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_islandgenerator			Quick Islands

# =============================================================================
# Object - Names
# =============================================================================

object_walkwaystairs				Walkway Stairs (WIP)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_obj_walkwaystairs			Place next to a raised Walkway (Wall Walkway) for guards to access walkways and patrol from above.
buildtoolbar_popup_mat_islandgenerator			Drag out areas in the water to generate a random island. Make sure to avoid your boat's shipping lanes.


#=====================================
# Island Bound - Hotfix update
#====================================

interface_landbuyoverwater					Choose to generate additional islands around your shipping lanes to expand, or open water.
interface_landbuywaterislands					Islands
interface_landbuywateronly					Water Only

codex_option_landExpansion		                	Land Expansion
codex_tooltip_landExpansion			                Expands the land of your plot once for each side, allowing your starting plot to be much larger from the very beginning.


quickbuild_smallIsland								Island (Small)
quickbuild_mediumIsland								Island (Medium)
quickbuild_largeIsland								Island (Large)
quickbuild_smallLand								Land (Small)
quickbuild_largeLand								Land (Large)


buildtoolbar_quickbuild_smallIsland						A mass-produced Island surrounded by shallow water, that wouldn't look out of place in any archipelago.
buildtoolbar_quickbuild_mediumIsland					A mass-produced Island surrounded by shallow water, that wouldn't look out of place in any archipelago.
buildtoolbar_quickbuild_largeIsland						A mass-produced Island surrounded by shallow water, that wouldn't look out of place in any archipelago.
buildtoolbar_quickbuild_smallLand						A basic stamp of sand, dirt, and grass tiles to use when expanding your land.
buildtoolbar_quickbuild_largeLand						A basic stamp of sand, dirt, and grass tiles to use when expanding your land.

online_check_fail									You don't currently have permission to access this feature of the game.

############################### Green Machine Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_ReclaimedWoodWall					Reclaimed Wood Wall
material_BottleWall							Bottle Wall
material_WhitePicketFence					White Picket Fence
material_ReclaimedBrickFloor				Reclaimed Brick
material_ReclaimedRubberFloor				Reclaimed Rubber

material_HayBailWall						Hay Bale Wall
material_WoodenFence						Wooden Fence
material_GardenWall							Garden Wall
material_SellMaterial						Sell Material
material_SellFlooring						Sell Flooring

# =============================================================================
# Object - Names
# =============================================================================

object_shed									Shed
object_BasicAutoGatherer					Basic Auto Gatherer
object_AdvancedAutoGatherer					Advanced Auto Gatherer
object_AutoHarvester						Auto Harvester
object_AutoScythe							Auto Scythe

object_farmer								Farmer
object_CompostFertilizer					Compost Fertilizer
object_HighQualityFertilizer				High Quality Fertilizer

object_CropCarrotPlant						Carrot Plant
object_CropPotatoPlant						Potato Plant
object_CropTomatoPlant						Tomato Plant
object_CropCabbagePlant						Cabbage Plant
object_CropAppleTree						Apple Tree
object_CropBananaTree						Banana Tree
object_CropOrangeTree						Orange Tree
object_CropPeachTree						Peach Tree
object_CropCornPlant						Corn Plant
object_CropWheatPlant						Wheat Plant
object_CropBarleyPlant						Barley Plant

object_CropAppleTreeSeed					Apple Tree Seed
object_CropBananaTreeSeed					Banana Tree Seed
object_CropOrangeTreeSeed					Orange Tree Seed
object_CropPeachTreeSeed					Peach Tree Seed

object_CropCarrotPlantSeed					Carrot Seed
object_CropPotatoPlantSeed					Potato Seed
object_CropTomatoPlantSeed					Tomato Seed
object_CropCabbagePlantSeed					Cabbage Seed
object_CropCornPlantSeed					Corn Seed
object_CropWheatPlantSeed					Wheat Seed
object_CropBarleyPlantSeed					Barley Seed



object_apple								Apple
object_banana								Banana
object_Peach								Peach
object_orange								Orange
object_carrot								Carrot
object_cabbage								Cabbage
object_potato								Potato
object_tomato								Tomato
object_barley								Barley
object_wheat								Wheat
object_corn									Corn
object_OrganicWaste							Organic Waste

object_SolarPanels							Solar Panels
object_Transformer							Transformer
object_WindTurbine							Wind Turbine
object_SolarWindHybrid						Solar Wind Hybrid
object_Battery								Battery
object_PowerExportMeter						Power Export Meter
object_PracticeSolarPanel					Practice Solar Panel

object_TallFridge							Tall Fridge
object_StorageShelf							Storage Shelf
object_DripPipe								Drip Pipe

object_CompostBin							Compost Bin
object_RecyclingBin							Recycling Bin
object_RecyclingBag							Recycling Bag

object_GardenGnome							Garden Gnome
object_TopiaryBush							Topiary Bush
object_TopiaryBushBall						Topiary Bush (Ball)
object_TopiaryBushWarden					Topiary Bush (Warden)
object_TopiaryBushSwan						Topiary Bush (Swan)
object_TopiaryBushDeer						Topiary Bush (Deer)
object_TopiaryBushDog						Topiary Bush (Dog)
object_TopiaryBushCat						Topiary Bush (Cat)
object_TopiaryBushRex						Topiary Bush (Rex)
object_SolarLight							Light (Solar)
object_PinkFlamingo							Pink Flamingo
object_HayBale								Hay Bale
object_FlowerPlanterWateringCan				Flower Planter (Watering Can)
object_FlowerPlanterWellies					Flower Planter (Wellies)
object_FlowerPlanterWheelbarrow				Flower Planter (Wheelbarrow)
object_SmallServingTable					Serving Table (Small)
object_TrayDispenser						Tray Dispenser
object_SolarWallLight						Wall Light (Solar)

object_BowtieBandit							Bowtie Bandit
object_Shepherd								Shepherd
object_DumpObject							Dump Object
object_FlowerRoseBush						Rose Bush
object_FlowerSunflower						Sunflower
object_FlowerMixedBegonias					Mixed Begonias
object_FlowerHeatherBushes					Heather Bushes
object_FlowerHydrangeaPlant					Hydrangea Plant
object_BarnDoor								Barn Door
object_FlowerRoseBushSeed					Rose Bush Seeds
object_FlowerSunflowerSeed					Sunflower Seeds
object_FlowerMixedBegoniasSeed				Mixed Begonia Seeds
object_FlowerHeatherBushesSeed				Heather Bush Seeds 
object_FlowerHydrangeaPlantSeed				Hydrangea Seeds

object_WhitePicketGate						White Picket Gate
object_DoubleDoor							Double Door
object_DoubleStaffDoor						Double Staff Door
object_DoubleVisitorDoor					Double Visitor Door
object_SellUtility							Sell Utility
object_quickconnect							Quick Connect

equipment_trowel							Trowel
equipment_handFork							Hand Fork
equipment_Kicker							Kicker
equipment_Drink								Drink
equipment_BoozeBag							Booze Bag
equipment_Orange							Orange	
equipment_ProducedDrugs						Produced Drugs
equipment_ProducedBooze						Produced Booze
equipment_ProducedNarcotics					Booze Ingredient

equipment_HerbPlant							Drugs

# =============================================================================
# Room - Names
# =============================================================================

room_VegetableAllotment					Vegetable Allotment
room_FruitOrchard						Fruit Orchard
room_FarmingField						Farming Field
room_pantry								Pantry
room_flowergarden						Flower Garden

buildtoolbar_popup_room_Pantry					A room to store all of your freshly grown fruit and vegtables, the room is chilled to keep prison-grown ingredients preserved. 
buildtoolbar_popup_room_VegetableAllotment		A room to grow vegetables. The vegetables grown within can be used for both prisoner meals and sold as exports, the Logistics menu's Crop Distribution option allows you to set up your preffered crop allocation. 
buildtoolbar_popup_room_FruitOrchard			A room to grow fruit trees. Fruit trees will bear fruit continuously after their first harvest and can be used for prisoner meals or sold as exports, the Logistics menu's Crop Distribution option allows you to set up your preffered crop allocation. 
buildtoolbar_popup_room_FarmingField			A room to grow cereals and grains, these crops can only be sold as exports, the Logistics menu's Crop Distribution option allows you to set up your preffered crop allocation. Be careful because crops growing within can be tampered with by prisoners to grow narcotics.
buildtoolbar_popup_room_flowergarden				A recreational garden area, for inmates to grow and take care of plants.


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_PerimeterWall						Water Pipes can not be built underneath.
buildtoolbar_popup_mat_ReclaimedWoodWall					Wooden walls, created by reusing old materials.
buildtoolbar_popup_mat_BottleWall							Beautiful and colourful walls, created by reusing old materials.
buildtoolbar_popup_mat_WhitePicketFence						Great at securing your flower gardens, but not so great with securing prisoners.
buildtoolbar_popup_mat_ReclaimedBrickFloor					A herringbone patterned floor tile, created by reusing old materials.
buildtoolbar_popup_mat_ReclaimedRubberFloor					Rubber floor tiles, created by reusing old materials.
buildtoolbar_popup_mat_HayBailWall				Tall but weak hay bales. More of a nicety than a serious security option. Outdoors only
buildtoolbar_popup_mat_WoodenFence				A man made wooden fence, that provides a more natural look. Outdoors only.
buildtoolbar_popup_mat_GardenWall				Adds a little life and colour to your Prison’s boundaries. Indoor and Outdoors.

buildtoolbar_popup_obj_Shed				An area to store all your seeds, tools and other farming items. Also comes with a water tap to allow basic irrigation.
buildtoolbar_popup_obj_BasicAutoGatherer		Activates every 6 hours, to gather and store all ingredients within a 5x5 area.
buildtoolbar_popup_obj_AdvancedAutoGatherer		Activates every 6 hours, to gather and store all ingredients within a 10x10 area.
buildtoolbar_popup_obj_AutoHarvester			Activates every 6 hours, harvesting all crops in an area of 10 tiles long in front - this harvesting will be blocked by walls and doors. 
buildtoolbar_popup_obj_AutoScythe			A robotic farm tool which activates every 6 hours in-game, to harvest all crops within a 5x5 area.


buildtoolbar_popup_obj_CropCarrotPlant		Grow your own Carrots! Purchased as a pack of 20 seeds which usually yield 1 ingredient each when harvested, harvested Carrots can be sold for $4/each.
buildtoolbar_popup_obj_CropPotatoPlant		Grow your own Potatoes! Purchased as a pack of 20 seeds which usually yield 3 Potatoes each when harvested, harvested Potatoes can be sold for $3/each.
buildtoolbar_popup_obj_CropTomatoPlant		Grow your own Tomatoes! Purchased as a pack of 10 seeds which usually yields 5 Tomatoes each when harvested, harvested Tomatoes can be sold for $4/each.
buildtoolbar_popup_obj_CropCabbagePlant		Grow your own Cabbages! Purchased as a pack of 30 seeds which usually yield 1 ingredient each when harvested, harvested Cabbages can be sold for $4/each.
buildtoolbar_popup_obj_CropAppleTree		Grows into a tree which then continuously grows Apples! Purchased as a pack of 5 seeds. The usual yield of each tree is 10 Apples, harvested Apples can be sold for $4/each.
buildtoolbar_popup_obj_CropBananaTree		Grows into a tree which then continuously grows Bananas! Purchased as a pack of 5 seeds. The usual yield of each tree is 16 Bananas, harvested Bananas can be sold for $6/each.
buildtoolbar_popup_obj_CropPeachTree		Grows into a tree which then continuously grows Peaches! Purchased as a pack of 5 seeds. The usual yield of each tree is 10 Peaches, harvested Peaches can be sold for $6/each.
buildtoolbar_popup_obj_CropOrangeTree		Grows into a tree which then continuously grows Oranges! Purchased as a pack of 5 seeds. The usual yield of each tree is 8 Oranges, harvested Oranges can be sold for $3/each.
buildtoolbar_popup_obj_CropCornPlant		Grow your own Corn! Purchased as as a pack of 10 seeds which usually yield 5 ears of Corn each when harvested, harvested Corn can be sold for $5/each.
buildtoolbar_popup_obj_CropWheatPlant		Grow your own Wheat! Purchased as a pack of 20 seeds which usually yield 4 pieces of Wheat each when harvested, harvested Wheat can be sold for $6/each.
buildtoolbar_popup_obj_CropBarleyPlant		Grow your own Barley! Purchased as a pack of 20 seeds which usually yield 2 Barley each when harvested, harvested Barley can be sold for $3/each.

buildtoolbar_popup_obj_TallFridge			Now meal ingredients can be stored at head height!
buildtoolbar_popup_obj_StorageShelf			Great for increasing storage space.
buildtoolbar_popup_obj_DripPipe				Automate all crop irrigation to the 2 adjacent tiles with this dapper dripper. These items can only be placed in a straight line, with horizontal and vertical lines unable to be connected.

buildtoolbar_popup_uts_SolarPanels			An electricity generator that harnesses the power of the Sun! They can be connected to multiple green power sources, but their power must first flow through a Transformer before it can be used within your prison.
buildtoolbar_popup_uts_Transformer			Converts the electrical power generated by green energy sources into appliance-friendly energy, multiple energy sources can be connected but Transformers have an input limit of 5000 units of power. Electrical cables must be connected in the direction shown by the attached arrow images.
buildtoolbar_popup_uts_WindTurbine			An electricity generator that harnesses the power of wind! They can be connected to multiple green power sources, but their power must first flow through a Transformer before it can be used within your prison.
buildtoolbar_popup_uts_SolarWindHybrid		An electricity generator that harnesses both the power of wind and the Sun! They can be connected to multiple green power sources, but their power must first flow through a Transformer before it can be used within your prison.
buildtoolbar_popup_uts_Battery				Stores the excess energy converted by Transformers for emergencies or to be used as an export, must be placed adjacent to a Transformer to function.
buildtoolbar_popup_uts_PowerExportMeter		An object that allows you to send off any stored energy back to the grid for financial returns. Must be wired to a Transformer that has Batteries connected to function correctly.
buildtoolbar_popup_obj_PracticeSolarPanel	A single solar panel laid down on a small desk, to be used by up to 4 prisoners in Workshops, for the Solar Panel Development Program.

buildtoolbar_popup_obj_CompostBin			Used to repurpose food and organic waste into helpful fertilizer.
buildtoolbar_popup_obj_RecyclingBin			Recyling waste instead of dumping it as garbage is good for both the environment and, after researching "Recycling Incentive", also your wallet!
buildtoolbar_popup_obj_CompostFertilizer	When applied to field crops and vegetables, they will gain a 25% speed increase to both their growth and ripening times, as well as gaining a small chance of dropping seeds.
buildtoolbar_popup_obj_HighQualityFertilizer	When applied to field crops and vegetables, they will gain a 50% speed increase to both their growth and ripening times, as well as gaining a higher chance of dropping seeds.

buildtoolbar_popup_obj_GardenGnome			A cheerful garden classic.
buildtoolbar_popup_obj_TopiaryBush			A twisted ornamental bush.
buildtoolbar_popup_obj_TopiaryBushBall		An ornamental bush in the shape of a lollipop.
buildtoolbar_popup_obj_TopiaryBushWarden	An ornamental bush shaped after the Warden.
buildtoolbar_popup_obj_TopiaryBushSwan		An ornamental bush shaped after an elegant swan.
buildtoolbar_popup_obj_TopiaryBushDeer		An ornamental bush shaped after a majestic Stag.
buildtoolbar_popup_obj_TopiaryBushDog		An ornamental bush shaped after our energetic best friends.
buildtoolbar_popup_obj_TopiaryBushCat		An ornamental bush shaped after our lazy best friends.
buildtoolbar_popup_obj_TopiaryBushRex		An impressively shaped ornamental bush.
buildtoolbar_popup_obj_SolarLight			A self-powered solar light, that turns on automatically at night-time.
buildtoolbar_popup_obj_PinkFlamingo			A cheerful garden classic.
buildtoolbar_popup_obj_HayBale				A decorative stack of hay.
buildtoolbar_popup_obj_FlowerPlanterWateringCan			A simple repurposed container that now holds flowers.
buildtoolbar_popup_obj_FlowerPlanterWellies				A repurposed pair of wellies that now hold flowers.
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow			A colourful addition to your outdoor areas.
buildtoolbar_popup_obj_SmallServingTable				Dish up food to your prisoners.
buildtoolbar_popup_obj_TrayDispenser					Used to store spare food trays, its max capacity is 200.
buildtoolbar_popup_obj_SolarWallLight					A solar powered light that can be placed on walls and turns on automatically at night-time.

buildtoolbar_popup_obj_BowtieBandit			A very dapper chap.
buildtoolbar_popup_obj_Shepherd				WHO'S A CLEVER GIRL!?

buildtoolbar_popup_obj_DumpObject			Dump objects in your prison.

buildtoolbar_popup_staff_farmer				Looks after crop growth and manages all jobs related to the Vegetable Allotment, Fruit Orchard, or Farming Field rooms.

buildtoolbar_popup_obj_FlowerRoseBush				A decorative bush full of red flowers. 
buildtoolbar_popup_obj_FlowerSunflower				A large yellow flower. 
buildtoolbar_popup_obj_FlowerMixedBegonias			A group of colourful flowers. 
buildtoolbar_popup_obj_FlowerHeatherBushes			A colourful and common shrub.
buildtoolbar_popup_obj_FlowerHydrangeaPlant			A decorative plant full of blue flowers.
buildtoolbar_popup_obj_BarnDoor						Now it’s no longer a question in whether or not prisoners were raised in a barn.
buildtoolbar_popup_obj_WhitePicketGate				Great at securing your flower gardens, but not so great with securing prisoners.
buildtoolbar_popup_obj_DoubleDoor					A double door usable by all.
buildtoolbar_popup_obj_DoubleStaffDoor				A double door usable by staff.
buildtoolbar_popup_obj_DoubleVisitorDoor			A double door usable by visitors.
buildtoolbar_popup_obj_SellUtility					Sell a Utility Item.
buildtoolbar_popup_obj_SellObject					A manual method to sell export items, also able to sell any unused or dismantled objects for 85% of their purchasing cost.
buildtoolbar_popup_obj_SellMaterial					Sell any spare building material stacks, such as cables and brick, for 85% of their purchasing costs.
buildtoolbar_popup_obj_SellFlooring					Sell flooring tiles that are no longer wanted, for 85% of their purchasing costs.


buildtoolbar_popup_uts_quickconnect				Quickly connects any surveillance or automation systems to their closest recipient item.


# =============================================================================
# Interface
# =============================================================================

#pc only
d11_hover_alert_water							Requires Water
d11_hover_alert_electricity						Requires Electricity


interfacemode_objectPack_filter_all					All Packs
dlc_name_psychWard				Psych Ward
dlc_name_prisonWing				Cleared For Transfer
dlc_name_seaAirLand				Island Bound
dlc_name_greenMachine				Going Green
interfacemode_objectPack_filter_caption					Filters the number of objects displayed, based on their associated expansion pack.

interfacemode_objectType_filter_all					All Types			
interfacemode_objectType_filter_requiresWater				Plumbing
interfacemode_objectType_filter_requiresElectricity			Electronics
interfacemode_objectType_filter_entertainment				Entertainment
interfacemode_objectType_filter_rest					Rest
interfacemode_objectType_filter_exercise				Exercise
interfacemode_objectType_filter_decoration				Decoration
interfacemode_objectType_filter_foliage					Foliage
interfacemode_objectType_filter_signs					Signs
interfacemode_objectType_filter_security				Security				
interfacemode_objectType_filter_catering				Catering
interfacemode_objectType_filter_misc					Miscellaneous
interfacemode_objectType_filter_caption					Filters the number of objects displayed, based on the type of these objects.	


# =============================================================================
# Green energy
# =============================================================================
d11_powerstation_overloaded						Overloaded, remove electrical items or add Capacitors
d11_powerstation_overloaded_two_stations		Overloaded, Power Stations must not be connected to each other


buildtoolbar_deployment_PrioritizeFarmer	Use this option to prioritize Farmers to perform their jobs in specific areas, before others around your prison. If you are short staffed, Farmers will try to cover your prioritized areas first. Assign 1, 2 or 3 Farmers to prioritize an area.
interfacetopbar_tooltip_totalFarmers		*X total farmers
interfacetopbar_tooltip_farmer				How many farmers you have available to work in your prison.

#

d11_hover_alert_green_electricity				Requires Green Power
d11_powerstation_overloaded_green				Overloaded, remove electrical items or add more green energy sources
d11_powerstation_overloaded_two_transformers	Overloaded, Transformers must not be on the same circuit
d11_powerstation_overloaded_merged_power		Overloaded, Green Power cannot be mixed with Standard Power

d11_transformer_input_power					Power Production: *X units
d11_transformer_output_power				Power Expenditure: *X units
d11_transformer_spare_power					Current Excess Power: *X units

d11_powerstation_power_prouduction          Current Power Output: *X units
d11_powerstation_max_capacity               Max Power Production: *X units

d11_powerexportmeter_sell_desc				Power Export: 
finances_category_power_export				Power Export
d11_powerexportmeter_powertosell			Financial Compensation: $*X

d11_battery_charge_text						Current Charge: *X %
d11_battery_charging						Charging
d11_battery_discharging						Discharging

d11_greenpower_positive_weather_effect      Power production has been Positively affected by the current weather.
d11_greenpower_negative_weather_effect      Power production has been Negatively affected by the current weather.

# =============================================================================
# Farming/Recycling
# =============================================================================

d11_continuous_planting_tooltip				This option will automate the job of replanting the same crops after they have been harvested, similar to the logic found in the Forestry.

d11_plant_crop								Plant Crop
d11_plant_crop_location						Plant Crop in *X
d11_crop_time_to_yield						Time to yield *X hours
d11_fertilized								Fertilized
d11_tampered								Tampered
d11_needsWater								Crop needs to be watered to continue growth
d11_hover_compostbin						Waste Collected

misconduct_reporttype_ProducedNarcotics		Produced Narcotics
contraband_Produced							Produced Narcotics
contraband_Ingredient						Booze Ingredient
contraband_Kicker							Booze Kicker
contraband_StashLocation					Stash Location

d11_crop_stage_seedling						Seedling
d11_crop_stage_sapling						Sapling
d11_crop_stage_immature						Immature
d11_crop_stage_mature						Mature
d11_crop_stage_ripe							Ripe
d11_continuous_planting						Continuous Planting

d11_farm_search_freq_caption					Farm Search Frequency
d11_farm_search_freq_tooltip					Since Farming rooms aren’t included in shakedowns, use this option to decide whether regular searches should be made within these farming rooms or not.
d11_crop_types_caption						Crop Type
d11_crop_types_tooltip						Choose whether your automatically purchased crops will be natural or genetically Modified. GM crops have a 50% shorter growth time but also lowers their export price by the same amount and removes their needs boosts when eaten by prisoners.
d11_farm_search_target_caption					Farm Search Target
d11_farm_search_target_tooltip					Since Farming rooms aren’t included in shakedowns, use this option to decide which items or entities are searched via the Search Frequency option.
d11_continuous_fertilizer_caption				Continuous Fertilizer
d11_continuous_fertilizer_tooltip				Choose whether you would like to automatically purchase fertilizer or not, and the quality level of it.
reports_farmingpolicytitle					Farming Policy

d11_farm_search_freq_option_never				Never
d11_farm_search_freq_option_daily				Daily		
d11_farm_search_freq_option_3days				Every 3 Days
d11_farm_search_freq_option_5days				Every 5 Days
d11_farm_search_freq_option_weekly				Weekly
d11_farm_search_target_option_crops				Crops Only
d11_farm_search_target_option_labourers				Inmate Labourers
d11_farm_search_target_option_everything			Everything
d11_crop_type_option_natural					Natural Crops
d11_crop_type_option_GMO					GM Crops
d11_plant_flower									Plant Flower
d11_plant_flower_location							Plant Flower in *X

Ingredients_UsageCaption			Ratio:
