# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	変更履歴
buildtoolbar_popup_obj_camerapillar	空き地に配置して、カメラを側面に取り付けることができる。

buildtoolbar_popup_obj_signNumber0	数字0が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber1	数字1が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber2	数字2が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber3	数字3が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber4	数字4が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber5	数字5が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber6	数字6が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber7	数字7が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber8	数字8が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signNumber9	数字9が表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。

buildtoolbar_popup_obj_signLetterA	文字Aが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterB	文字Bが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterC	文字Cが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterD	文字Dが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterE	文字Eが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterF	文字Fが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterG	文字Gが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterH	文字Hが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterI	文字Iが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterJ	文字Jが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterK	文字Kが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterL	文字Lが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterM	文字Mが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterN	文字Nが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterO	文字Oが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterP	文字Pが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterQ	文字Qが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterR	文字Rが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterS	文字Sが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterT	文字Tが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterU	文字Uが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterV	文字Vが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterW	文字Wが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterX	文字Xが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterY	文字Yが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。
buildtoolbar_popup_obj_signLetterZ	文字Zが表示された壁のサイン。サインを並べることで単語やラベルを作れる。「CELL BLOCK 4」など。


buildtoolbar_popup_mat_pipewall	基礎の上にパイプの壁を構築して、新しいエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_derelictwall	安価な遺棄された壁を構築して、古代風な外見にできる。
buildtoolbar_popup_mat_overgrownwall	安価な草に覆われた壁を構築して、刑務所においてさえ生命は育つ場所を見つけることを確認する。
buildtoolbar_popup_mat_rustywall	安価な錆びた壁を構築して、ポストアポカリプス的な外見にできる。
buildtoolbar_popup_mat_slumwall	安価なスラムの壁を構築して、受刑者の福祉を犠牲に節約したお金で、自分のオフィスを拡張するのに使えるようにできる。
buildtoolbar_popup_mat_bambooFence	野営地のような外観を意図して、ある男が竹の柵を作ったそうだ。
buildtoolbar_popup_mat_RunningTrack	受刑者が庭でジョギングするのに最適。
buildtoolbar_popup_mat_BambooFloor	ジャングルの野営地のような外観の床。
buildtoolbar_popup_mat_DecayedWall	基礎の上に朽ちかけたコンクリートブロックでできた安価な壁を作る。
buildtoolbar_popup_mat_flowerfield	素敵な花が生い茂る芝生のエリア。
buildtoolbar_popup_mat_fenceandgrass	土ではなく草の下生えの上に立つフェンスセクション。
buildtoolbar_popup_mat_WallMinSec	刑務所の特定のセキュリティセクターを示すために色付きの壁を構築する。
buildtoolbar_popup_mat_WallMedSec	刑務所の特定のセキュリティセクターを示すために色付きの壁を構築する。
buildtoolbar_popup_mat_WallMaxSec	刑務所の特定のセキュリティセクターを示すために色付きの壁を構築する。
buildtoolbar_popup_mat_WallInsaneSec	刑務所の特定のセキュリティセクターを示すために色付きの壁を構築する。
buildtoolbar_popup_mat_WallProtective	刑務所の特定のセキュリティセクターを示すために色付きの壁を構築する。
buildtoolbar_popup_mat_CliffEdge	崖の壁を構築して、刑務所や島の周りに高いセクションと通行不能なエリアを作成する。

interfaceoverlay_signs	サイン
interfacemode_walls	壁
interfacemode_doors	ドア
interface_action_snackbought	買ったスナック

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors	すべてのセクター
crisisSector_StopAll	すべて停止
crisisSector_SharedOnly	共有のみ
crisisSector_MinSecOnly	軽警備の受刑者のみ
crisisSector_MedSecOnly	中警備の受刑者のみ
crisisSector_MaxSecOnly	厳重警備の受刑者のみ
crisisSector_InsaneOnly	触法精神障害者のみ
crisisSector_ProtectedOnly	保護拘置の受刑者のみ
crisisSector_SuperMaxOnly	超厳重警備の受刑者のみ
crisisSector_DeathRowOnly	死刑囚のみ

crisisToolbarTitle_WeaponsFree	発砲許可
crisisToolbarTitle_TunnelSearch	トンネル検索
crisisToolbarTitle_Shakedown	ガサ入れ
crisisToolbarTitle_Lockdown	封鎖
crisisToolbarTitle_Bangup	独房行き
crisisToolbarTitle_RollCall	点呼
crisisToolbarQuestion	- どのセクターを選択しますか？

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message	このカスタムセクターへの進入を許可するセキュリティレベルを選択してください。
customsectorwindow_minseccaption	軽警備
customsectorwindow_medseccaption	中警備
customsectorwindow_maxseccaption	厳重警備
customsectorwindow_supermaxcaption	超厳重警備
customsectorwindow_deathrowcaption	死刑囚
customsectorwindow_protectivecaption	保護拘置
customsectorwindow_insanecaption	触法精神障害者

customSector_title	カスタムセキュリティセクター
customSector_subtitle	このセキュリティセクターでは次のことができます:

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging	この部屋をアップグレードすると、このセキュリティセクターのグレードも向上します。
roomGrading_prisonerTransfer	アップグレードは、『クリア・フォー・トランスファー』DLCがインストールされ、マップ設定メニューで「受刑者移送」オプションがオンになっている受刑者限定でモチベーションを高めます。

roomgrading_Cell_BadWalls	[*E]憂鬱な壁に囲まれている
roomgrading_Cell_OutsideWindow_Large	[*E]*Y 大きな窓
roomgrading_Cell_HasWindow_None	[*E]窓なし
roomgrading_Dormitory_BadWalls	[*E]憂鬱な壁に囲まれている
roomgrading_Dormitory_Mattress	[*E]低品質のベッドの大半
roomgrading_Dormitory_HasWindow_None	[*E]窓なし
roomgrading_Canteen_RoomSize	[*E]部屋の大きさが少なくとも *X 平方
roomgrading_Canteen_Item	[*E]アイテム： *X
roomgrading_Canteen_MealQuality	[*E]平均的品質の食事
roomgrading_Canteen_MealQuality_High	[*E]高品質の食事
roomgrading_Canteen_MealQuality_Low	[*E]低品質の食事
roomgrading_Canteen_MealQuality_None	[*E]食事の品質なし
roomgrading_Canteen_MealVariety	[*E]平均バラエティの食事
roomgrading_Canteen_MealVariety_High	[*E]バラエティ豊かな食事
roomgrading_Canteen_MealVariety_Low	[*E]バラエティに乏しい食事
roomgrading_Canteen_MealVariety_None	[*E]食事バラエティなし
roomgrading_Canteen_HasWindow_None	[*E]窓なし
roomgrading_Yard_RoomSize	[*E]部屋の大きさが少なくとも *X 平方
roomgrading_Yard_RoomSizeLess	[*E]部屋の大きさが *X 平方かそれ以下
roomgrading_Yard_Item	[*E]アイテム： *X
roomgrading_Yard_Floor	[*E] *X フローリング（*Y%以上）
roomgrading_Yard_MultiItems	[*E]上記オブジェクトの内 *X 項目を含む
roomgrading_Yard_Floor_Quantity	[*E*X *Y 平方
roomgrading_CommonRoom_RoomSize	[*E]部屋の大きさが少なくとも *X 平方
roomgrading_CommonRoom_Item	[*E]アイテム： *X
roomgrading_Gymnasium_RoomSize	[*E]部屋の大きさが少なくとも *X 平方
roomgrading_Gymnasium_OutsideWindow	[*E] *Y 屋外窓
roomgrading_Gymnasium_Item	[*E]アイテム： *X
roomgrading_Gymnasium_HasWindow_None	[*E]窓なし
roomgrading_Classroom_RoomSize	[*E]部屋の大きさが少なくとも *X 平方
roomgrading_Classroom_Item	[*E]アイテム： *X
roomgrading_Classroom_OutsideWindow	[*E] *Y 屋外窓

buildtoolbar_improvement	- *Rのグレードを改善
buildtoolbar_decreased	- *Rのグレードを改善
buildtoolbar_improvement_windows	（外側向きの場合）

buildtoolbar_planning_autofoundation	自動基礎

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	軽警備グレード
interfaceLogistics_MedSecGrading	中警備グレード
interfaceLogistics_MaxSecGrading	厳重警備グレード
interfaceLogistics_SuperMaxGrading	超厳重警備グレード

sectorGrading_title	*Xセクター
sectorGrading_housed	*X受刑者の収容先:  *Y
sectorGrading_desiresTransfer	*X*Y 受刑者が希望している移送先: *Z

sectorGrading_description	このセクターのグレードの内訳は以下のとおりです。追加された特権が多いほど、グレードが高くなります。最大グレードは250です。
sectorGrading_encouragement	*Xとこのセクターのグレード差が大きいほど、より多くの *X受刑者が、このよりセキュリティの低いセクターに移送されることを期待して更生し、正しく行動するよう動機付けられます。
sectorGrading_discouragement	特権と快適さを削減することで*Xのグレードを下げ、それによって同様の効果を生み出すこともできますが、受刑者を刺激するリスクもあります。

sectorGrading_transferNote	（注意：移送の期待を抱いた受刑者は、『クリア・フォー・トランスファー』DLCがインストールされ、マップ設定メニューで「受刑者移送」オプションがオンになっている場合にのみ有効になります。）

sectorGrading_privilegesTitle	受刑者の特権
sectorGrading_visitation	[+*X]面会
sectorGrading_mail	[+*X]手紙
sectorGrading_work	[+*X]労役許可（現金）
sectorGrading_education	[+*X]教育/プログラムの許可
sectorGrading_meals	[+*X]1日2食以上
sectorGrading_freeTime	[+*X]十分な自由時間（20％）
sectorGrading_extraFreeTime	[+*X]追加の自由時間（30％）
sectorGrading_yard	[+*X]庭の利用許可
sectorGrading_gym	[+*X]ジム利用許可
sectorGrading_shop	[+*X]ショップ利用許可
sectorGrading_commonRoom	[+*X]コモンルーム利用許可
sectorGrading_showers	[+*X]温かいシャワー
sectorGrading_sleep	[+*X]10時間以上の睡眠

sectorGrading_facilitiesTitle	施設
sectorGrading_room	[*X/*Y] *R 品質（平均）

sectorGrading_conditionsTitle	コンディション
sectorGrading_suppresion	[*X/15] *Y 抑圧
sectorGrading_risk	[*X/20] *Y リスク（死亡および負傷）
sectorGrading_cleanliness	[*X/15] *Y 清潔さ

sectorGrading_grade	グレード *X/ 250
dialog_veryLow	とても低い

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	多様

report_needs_staffBreaks	これは同時に休憩できる全タイプのスタッフの割合の最大値です。
reports_privilegetitle	特権ポリシー
reports_misconducttitle	違反行為ポリシー
reports_paroletitle	仮釈放カットポリシー
reports_parole_info	カットオフの調整：
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	特権
reports_policy_Visitation	面会
reports_policy_Mail	手紙
reports_policy_PrisonLabour	労役
reports_policy_All	すべて
reports_policy_Programs	プログラム
reports_policy_WorkPrograms	労働
reports_policy_EducationPrograms	教育
reports_policy_WellnessPrograms	福利

reports_policy_defaults	推奨
reports_policy_tooltip_recomended	選択されたすべてのセキュリティレベルについて、推奨値に*Xを設定します。
reports_policy_tooltip_all	すべての刑務所のセキュリティレベルを選択/選択解除します

reports_privilegesPolicy_tooltip_all	仮釈放の聴聞会、死刑執行中止歎願および精神医学相談を除くすべてのプログラムを変更します。
reports_privilegesPolicy_tooltip	これらのプログラムに参加できるセキュリティセクターを選択してください。
reports_privilegesPolicy_tooltip_EducationPrograms	\n-基礎教育 \n-一般教育
reports_privilegesPolicy_tooltip_WellnessPrograms	\n-行動療法\n-アルコール依存症グループ療法\n-スピリチュアルガイダンス
reports_privilegesPolicy_tooltip_WorkPrograms	\n-キッチンの安全衛生\n-ワークショップ安全ガイダンス\n-大工仕事入門

report_policy_categoryTooltip_Minsec	軽警備
report_policy_categoryTooltip_Normal	中警備
report_policy_categoryTooltip_MaxSec	厳重警備
report_policy_categoryTooltip_Protected	保護拘置
report_policy_categoryTooltip_SuperMax	超厳重警備
report_policy_categoryTooltip_DeathRow	死刑囚
report_policy_categoryTooltip_Insane	触法精神障害者

report_policy_misconductConflict_tooltip	異なるポリシーの値を持つ複数のセキュリティタイプが選択されています。個々の受刑者カテゴリを選択して、違反行為のポリシーを確認してください。

report_policy_match	一致：

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	コックの割り当て
interfacedeployment_Doctor	医師の割り当て

buildtoolbar_deployment_Chef	刑務所内のエリアにコックを配置する。
buildtoolbar_deployment_Doctor	刑務所内のエリアに医師を配置する。
buildtoolbar_deployment_PrioritizeJanitor	このオプションを使用すると、刑務所内の他の人よりも先に、特定の分野で仕事をするように用務員に優先順位を付けます。人数が不足している場合、用務員は優先順位の高いエリアからカバーしようとします。1～3人の用務員を割り当てて、エリアに優先順位を付けます。
buildtoolbar_deployment_PrioritizeGardener	このオプションを使用すると、刑務所内の他の人よりも先に、特定の分野で仕事をするように庭師に優先順位を付けます。人数が不足している場合、庭師は優先順位の高いエリアからカバーしようとします。1～3人の庭師を割り当てて、エリアに優先順位を付けます。

researchtooltip_deployment2	「配置」メニューを使用して、これらのスタッフメンバーを刑務所のセクターを指定して割り当てることができます。
researchtooltip_prioritize	「配置」メニューを使用して、これらのスタッフメンバーを刑務所のセクターを指定して優先順位を付けることができます。

interfacetopbar_tooltip_totalChefs	*Xコック総数
interfacetopbar_tooltip_totalDoctors	*X医師総数
interfacetopbar_tooltip_cook	刑務所で働かせることのできるコックの数。
interfacetopbar_tooltip_doctor	刑務所で働かせることのできる医師の数。

interfacetopbar_tooltip_priorityStationed	*X優先ジョブ

interfacetopbar_tooltip_totalJanitors	*X用務員総数
interfacetopbar_tooltip_totalGardeners	*X庭師総数
interfacetopbar_tooltip_janitor	刑務所で働かせることのできる用務員の数。
interfacetopbar_tooltip_gardener	刑務所で働かせることのできる庭師の数。

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X受刑者 *W 転送先 *C：
reports_prisoners_transfer_ready	準備完了
reports_prisoners_transfer_wanting	希望
reports_prisoners_transfer_button	すべて承認
reports_prsioners_transfer_numCells	（利用可能な独房数 *X）

reports_transfers_offMessage	受刑者移送は、マップ設定メニューからオンにできます。
report_Transfer	移送

transfer_icon_tooltip	以下のオプションを使用して、 *Xの受刑者が*Yに移送されるための条件を決定します。\n「ポリシー条件」列を使用して、受刑者が移送の資格を得ることをより困難にしたり、特定のタイプの受刑者を直ちに失格させるようなその他のオプションを使用できます。\nすべての受刑者が移送に関心があるわけではありません。特に、刑期の短い者や脱獄を計画している者、あるいは単に、今よりセキュリティの低いセクターの条件や快適さはそれほど変わるとは思っていない者などは移送を希望しません。
transfer_tooltip_onOff	選択を解除すると、選択したセキュリティセクターのオン/オフが切り替わります。

transfer_description	受刑者が満たさなければならない基準を設定し、彼らがよりセキュリティが低く快適なセキュリティセクターに移送されるようにします。
transfer_use	*Xから*Yへの移送条件
transfer_behaviourtitle	模範行動
transfer_reformtile	更生
transfer_requiredtitle	必要
transfer_qualifiedcaption	現在資格のある受刑者総数
transfer_hopingcaption	移送を希望している受刑者総数
transfer_numPrisoners	*X受刑者 (*Y%)

transfer_title	移送ポリシー
transfer_criteria	ポリシー条件
transfer_qualifying	移送許可を希望する受刑者

transfer_behaviour_staffAssaults	スタッフへの暴行歴なし
transfer_behaviour_murders	殺人歴なし
transfer_behaviour_murdersStuff	（職員と受刑者）
transfer_behaviour_escapeAttempts	脱獄試行歴なし
transfer_behaviour_contraband	危険な密輸行為なし
transfer_behaviour_gangMembers	ギャングのメンバーは無条件失格
transfer_behaviour_previousCrimes	過去の犯罪による失格:

transfer_behaviour_tooltip_staffAssaults	移送希望の受刑者は、指定された日数の間、スタッフを暴行してはなりません。日数が多いと、常に暴力的な受刑者は失格になります。
transfer_behaviour_tooltip_murders	移送希望の受刑者は、指定された日数の間、スタッフまたは受刑者を殺してはなりません。日数が多いと、最も危険な部類の受刑者は失格になります。
transfer_behaviour_tooltip_escapeAttempts	移送希望の受刑者は、指定された日数の間、脱獄を図って捕らえられてはなりません。
transfer_behaviour_tooltip_contraband	移送希望の受刑者は、指定された日数の間、武器または道具で捕らえられてはなりません。
transfer_behaviour_tooltip_gangMembers	すべてのギャングメンバーの移送、またはギャング内の特定のランクのみの者の移送を却下します。
transfer_behaviour_tooltip_previousCrimes	以下の犯罪グループのオプションを使用して、逮捕歴に特定の犯罪がある受刑者の移送を却下します。

transfer_reform_tooltip_reoffending	移送希望の受刑者は、再犯の可能性が指定%以上であってはなりません。数字が小さいほど、最も模範的行為をし、最も更生した受刑者が資格を得られるようになります。
transfer_reform_tooltip_programsPassed	移送希望の受刑者は、指定された数のプログラムに合格している必要があります。数字を大きくすると、更生への意欲を示していない字形者は失格になります。

transfer_required_tooltip	この値を調整して、受刑者がチェックされた移送基準をすべて満たす必要があるか、それともその一部のみでよいかを決めます。

transfer_tooltip_uncheck	\n移送の基準としてこの項目を除外するには、チェックを外します。


transfer_reform_reoffending	%の推定再犯率
transfer_reform_programsPassed	履修済みプログラム

transfer_required	上記の基準に適合

transfer_criteriaTime	期間 *X日

gangNone	なし
gang_transfer_None	なし
gang_transfer_Soldier	すべて
gang_transfer_Lieutenant	幹部、リーダー
gang_transfer_Leader	リーダー

report_prisoner_approve	承認
report_prisoner_approveAll	移送基準を満たしたすべての受刑者を承認して、*Xに移送します。移送される受刑者の数は、利用可能な独房の数にも依存します。

approveTransfer_title	移送を承認
approveTransfer_message	受刑者*F*Sの*Cへの移送を承認
approveAllTransfer_message	基準を満たしたすべての受刑者の*Cへの移送を承認
approveAllTransfer_someMessage	*Cには利用可能な独房が*Xしかありません。*X人の受刑者を*Cに移送しますか
approveTransfer_noFreeCells	移送基準を満たした受刑者のために利用できる独房がありません。

dialog_group	グループ

transfer_pastCrimes_tooltip	逮捕歴に以下を含むグループ*Xの犯罪歴がある受刑者を失格とする：
transfer_criteria_met	*X/*Y

# =============================================================================
# Actions
# =============================================================================

action_RunTreadmill	トレッドミルの使用
action_PunchingBag	パンチバッグの使用
action_Boxing	ボクシングリングの使用

# =============================================================================
# Codex
# =============================================================================

codex_tooltip_escapeplans	受刑者に対し、より多くの脱獄方法を有効化します。彼らは脱獄しようとする時、あなたが設置した壁を乗り越えようとします。
codex_options_shadowcaption	影の切り替え
codex_options_punishmentscaption	セクターごとの検索とアクション

codex_option_prisonerTransfer	受刑者の移送
codex_tooltip_prisonerTransfer	「受刑者の移送」を使用すると、受刑者が刑務所内のよりセキュリティの軽いセクターに「アップグレード」され、より快適な生活、設備、特権を獲得するために満たさなければならない基準を設定できます。\n\n受刑者は自分の現在のセクターの条件とより軽いレベルのセクターの条件を評価し、移送を希望するかどうか判断するようになります。希望する場合、彼らは自身のニーズと特性に基づいて、自分の行動を改善し、あなたが定めた移送条件を満たせるように試みるかどうかを決定します。\n\n各セクターは、受刑者に提供する特権と施設に基づいて格付けされます。自分のセクターとその下のセクターとの間の「格差」が大きければ大きいほど、一般的にはより多くの受刑者が移送されることを望むでしょう。\n\n受刑者があなたの移送基準を満たした後も、いつ移送するかはあなた次第です。

# =============================================================================
# Miscelanious
# =============================================================================

action_Stretching	運動中
action_PlayChess	チェスをプレイ中
action_EatSnack	スナックを入手中

report_staff_multidelete	マウスの左シングルクリックを使用して、スタッフメンバーを1人解雇するか、ドラッグアンドホールドして複数のスタッフを解雇できます。

codex_language_unsupported	---今後アップデートなし---
codex_language_mod	---コミュニティによる言語MOD---

codex_language_unsupportedString	この言語は公式にはサポートされていません。一部の翻訳が欠落している場合があります。

report_policy_privilegesUnchangableTooltip	このセキュリティレベルの特権ポリシーはロックされています。
transfer_review	移送の確認
reports_prisoners_transfer_otherPrisoners	*X 他の受刑者
approveTransfer_noFreeCells	独房に空きがないため、この受刑者を移送できません。移送を承認するにはこのセキュリティレベルの独房を増やしてください。
prisoner_roomquality_veryLow	極低
prisoner_roomquality_low	低
prisoner_roomquality_high	高
prisoner_roomquality_veryHigh	極高
prisoner_roomquality_supreme	超極高
report_policy_matchTitle	セキュリティセクターの一致
report_policy_match_tooltip	もう一つのセキュリティセクターと違反行為ポリシーをマッチさせてください。
report_intake_cat_PrisonerTransfer	伝説的受刑者！

object_barbedwire	有刺鉄線
object_roadbarrier	バリケード
buildtoolbar_popup_obj_roadbarrier	高速走行するトラックすら止めることのできる強固なバリケード。ロックダウン中のみ閉鎖される。

buildtoolbar_popup_help_Orderly_1	病棟用務員は触法精神障害者に対応するための特別な訓練を受けている。\n
buildtoolbar_popup_help_Orderly_2	看守や医師と似た特性を持っていますが、彼らは受刑者に対して(通常の看守のような)抑圧効果を生じさせることがない。\n\n
buildtoolbar_popup_help_Orderly_3	病棟用務員を雇って、触法精神障害者たちの対応をさせよう。病棟用務員は以下を行う:
buildtoolbar_popup_help_Orderly_4	-触法精神障害者たちの収容をアシストする。
buildtoolbar_popup_help_Orderly_5	-触法精神障害者たちを精神科医のカウンセリングセッション(プログラム)に連れていく。
buildtoolbar_popup_help_Orderly_6	-負傷した触法精神障害者たちを治療する。
buildtoolbar_popup_help_Orderly_7	-暴れ出した触法精神障害者たちを落ち着かせる。
buildtoolbar_popup_help_Orderly_8	-夜になると触法精神障害者たちに精神病用の拘束ジャケットを着せる。

buildtoolbar_popup_help_Psychiatrist_1	精神科医は触法精神障害者たちに対して、通常の1対1のカウンセリングを提供する。\n\n
buildtoolbar_popup_help_Psychiatrist_2	カウンセリングセッション1つにつき、特別な精神科医のオフィスが1つ必要になる。
buildtoolbar_popup_help_Psychiatrist_3	精神科医のカウンセリングセッション(プログラム)は、精神科医が触法精神障害者に治療を行うために実施される。
buildtoolbar_popup_help_Psychiatrist_4	精神科医のオフィスは新しいアイテムによりアップグレードでき、精神科医の治療を改善させる。

rapsheet_action	アクション
codex_settings_escapeplans	脱獄計画を有効化

############################### Sea and Air Pack ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_WoodenDockFloor	ドック（木）
material_waterBed	ウォーターベッド
material_WaterShallow	水（浅瀬）
material_WaterLarge	水（大）
material_WaterWalkable	水（歩行可能）

# =============================================================================
# Objects - Names
# =============================================================================

object_FerryDock	フェリードック
object_FerryBoat	輸送フェリー
object_SupplyBoat	供給ボート
object_PrisonBoat	受刑者用フェリー
object_VisitorBoat	面会人用ボート
object_VisitorHeli	面会人用ヘリコプター
object_SupplyHeli	供給ヘリコプター
object_PrisonHeli	刑務所のヘリコプター
object_FireHeli	航空消防士
object_EliteOpsHeli	エリートオプスチーム
object_SoldiersHeli	州兵
object_HearseBoat	遺体運搬用ボート
object_HearseHeli	遺体運搬用ヘリコプター
object_ParamedicsHeli	航空救急隊
object_Helipad	ヘリポート
object_BoatDock	ボートドック
object_EliteOps	エリートオプス

object_Fountain	噴水
object_SteppingStoneLillyPad	踏石（睡蓮の葉）
object_SteppingStoneIceBlock	踏石（氷）
object_SteppingStone	踏石
object_SteppingStonePallet	踏石（パレット）
object_ScannerMonitor	スキャナーモニター
object_ScannerMachine	スキャナーマシン
object_CheckPoint	チェックポイント

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge	島の地面
codex_option_islandBridge	コネあり島の地面

codex_tooltip_islandNoBridge	水に囲まれた島の開始地面を生成します。この地面は道路の代わりにボートドックを使用します。
codex_tooltip_islandBridge	道路につながる橋で水に囲まれた島の開始地面を生成します。

mutator_name_DynamicReputations	変動する評判
mutator_tooltip_DynamicReputations	囚人は刑務所にいる間、刑務所内での活動や経験に応じて独自の評判の特徴を得たり、失ったりすることがあります。

interfacelogistics_deliverytargeting	配達室
d11_logistic_select_delivery_method	配送を選択
interfacelogistics_vehiclepurpose	輸送

buildtoolbar_Logistics_DeliveryTargeting	配達、ゴミ、搬出ゾーンをヘリポートにリンクします。こうすることで、配送先の場所や、刑務所から搬出物をどのよう搬出するかをコントロールできます。
buildtoolbar_Logistics_VehiclePurpose	特定のドック、ヘリポート、または道路でどのサービスを処理するかをコントロールします。こうすることで、海路、空路で特定のグッズや囚人をう刑務所の周りの様々な場所で受け取ることが出来ます。

d11_logistics_transportTitle	輸送の選択
d11_logistics_purpose_group_0	到着する配送
d11_logistics_transport_deliveries_hint	どのアイテムをここに配達するか選びます。
d11_logistics_purpose_group_0_item_1	建設資材
d11_logistics_purpose_group_0_item_2	食べ物
d11_logistics_purpose_group_0_item_3	手紙
d11_logistics_purpose_group_0_item_4	ワークショップ資材
d11_logistics_purpose_group_1	到着する囚人
d11_logistics_transport_prisoners_hint	[受け入れ]からどの囚人がここに到着するかを選択します。
d11_logistics_purpose_group_1_item_1	軽警備
d11_logistics_purpose_group_1_item_2	中警備
d11_logistics_purpose_group_1_item_3	厳重警備
d11_logistics_purpose_group_1_item_4	死刑囚
d11_logistics_purpose_group_1_item_5	精神障害者
d11_logistics_purpose_group_2	到着する民間人
d11_logistics_transport_civilians_hint	面会人および教師がここに到着できるかどうかを選択します。
d11_logistics_purpose_group_3	搬出するアイテム
