
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	新規

buildtoolbar_popup_help_armedguard_1	武装警備隊は、特に危険な受刑者や手に負えない受刑者を従わせるために使う。常にショットガンを装備している。近くにいるすべての受刑者を威圧するので、問題が起きにくくなる。命が危険になるとショットガンを発砲するため、通常は周囲のすべての受刑者が問題行動を止める。\n\n
buildtoolbar_popup_help_armedguard_2	~武装看守が選択された状態で、その場所を右クリックすれば、刑務所内のどこにでも行かせることができる。\n\n
buildtoolbar_popup_help_armedguard_3	^ヒント
buildtoolbar_popup_help_armedguard_4	- 発砲許可ボタンが有効になっていると、武装警備隊は自分の命が危険になるまでショットガンを発砲せずに待つことがなくなり、問題を起こす受刑者なら誰にでも発砲するようになる。
buildtoolbar_popup_help_armedguard_5	- 受刑者が武装警備隊を倒すことは困難だが、もし倒した場合は、床に落ちたショットガンは誰でも拾える状態になってしまう...

buildtoolbar_popup_help_doctor_1	医師は、受刑者やスタッフのけがなどを治療する。刑務所にいる間、けがはほぼ避けることができない。医師はけがを治し、薬を過剰摂取している受刑者を治療し、薬物中毒患者を対象にした治療プログラムを実施する。\n\n
buildtoolbar_popup_help_doctor_2	~医師が選択された状態でその場所を右クリックすると、刑務所内のどこにでも行かせることができる。\n\n

buildtoolbar_popup_help_janitor_1	清掃人は、君の刑務所を清潔に保ち、洗濯室の運営を補助する。\n\n
buildtoolbar_popup_help_janitor_2	^ヒント
buildtoolbar_popup_help_janitor_3	- 清掃人がおこなう仕事はすべて、働いている受刑者がすることもできる。洗濯室と掃除用具室に配置した受刑者の人数が十分であれば、清掃人はほんの少数かいなくても問題ない。

buildtoolbar_popup_help_gardener_1	庭師は、雑草を抜き木を植えて刑務所の屋外エリアをきれいに保つ。\n\n
buildtoolbar_popup_help_gardener_2	^ヒント
buildtoolbar_popup_help_gardener_3	- 君が森を所有している場合、君が受け取る苗木は庭師が植える。受け取り分に対処できるように、充分な庭師がいるようにしよう！

buildtoolbar_popup_help_doghandler_1	警察犬訓練士は、警察犬とペアで来る。警察犬は、麻薬やアルコールなどにおいの強い禁制品を嗅ぎつけて発見する。また、地下に隠された脱獄トンネルを見つけることもできる。\n\n
buildtoolbar_popup_help_doghandler_2	~警察犬訓練士が選択された状態で、その場所を右クリックすれば、刑務所内のどこにでも行かせることができる。\n\n
buildtoolbar_popup_help_doghandler_3	^ヒント
buildtoolbar_popup_help_doghandler_4	- 警察犬訓練士をあるエリアに送り込むことは、警察犬を使ってその辺りに隠れている可能性がある禁制品を探すということだ。
buildtoolbar_popup_help_doghandler_5	- 地下の脱獄トンネルの上を歩くと、警察犬はその下にトンネルがあることを示すサインを出す場合がある。そのことを示す小さなしるしが残される。ただし警察犬は、そこに何もない場合でもサインを出す場合がある...
buildtoolbar_popup_help_doghandler_6	- 警察犬訓練士が殺された場合、 警察犬は凶暴化し、刑務所を離れる前に訓練士の殺害者を殺そうとする。

buildtoolbar_popup_help_sniper_1	スナイパーは、刑務所周辺に君が建てた見張り塔に駐留し、問題を起こす受刑者に対する強力な抑止力になる。また、脱獄を試みる受刑者に対しては、最後の守りとなる。\n\n
buildtoolbar_popup_help_sniper_2	^ヒント
buildtoolbar_popup_help_sniper_3	- スナイパーは、強力で飛距離の長いライフルを装備しているが、視界に入る直線の範囲しかカバーできない。
buildtoolbar_popup_help_sniper_4	- スナイパーは、行いの悪い受刑者に対して刑務所のグラウンド内で威嚇射撃をする。受刑者が降伏しない場合、受刑者に向けて直接発砲を始める。
buildtoolbar_popup_help_sniper_5	- 発砲許可が有効になっているか、または受刑者が刑務所の外にいて逃げている場合は、威嚇の発砲はされない。

buildtoolbar_popup_help_chief_1	看守長は刑務所のセキュリティ責任者だ。看守長は、刑務所全体の雰囲気を読み、受刑者が問題を起こす可能性を示す。また、現在刑務所内で仕事をしている看守の人数を追跡できるようになる。さらに、警察犬やCCTVカメラなどの高度なセキュリティ機能について調べることもできるようになる。一度オフィスが与えられると、基本的に彼らは自分でやっていける。

buildtoolbar_popup_help_foreman_1	作業主任は刑務所の維持と建設の責任者で、君は清掃人や庭師を探して雇うことができるようになる。作業主任は刑務所の労働も担当し、ワークショップツールを使用中の受刑者の訓練を自ら監督する。\n\n
buildtoolbar_popup_help_foreman_2	^ヒント
buildtoolbar_popup_help_foreman_3	- 刑務所にワークショップを建設すると、作業主任がワークショップの安全導入プログラムを教える。このプログラムは「報告」ウインドウの「プログラム」タブで予定に入れることができる。

buildtoolbar_popup_help_psychologist_1	精神分析医は、受刑者の心の健康を監視する。精神分析医がいると、受刑者の現在のニーズがわかる。また、受刑者を対象にした更生プログラムをいくつか実施してくれる。\n\n
buildtoolbar_popup_help_psychologist_2	^ヒント
buildtoolbar_popup_help_psychologist_3	- 精神分析医が刑務所にいる場合、個々の受刑者を強調表示すれば、それぞれのニーズを見ることができる。また、「レポート」ウィンドウの「ニーズ」タブから受刑者全員のニーズをまとめて見ることもできる。
buildtoolbar_popup_help_psychologist_4	- 精神分析医は、刑務所内でアルコール依存症患者のためのAAプログラムや、面倒の多い受刑者を管理するための行動セラピープログラムを実施する。必要な場合、このように、刑務所内に精神分析医を何人か置くことは賢明だ。

buildtoolbar_popup_help_accountant_1	会計士は、刑務所の財務管理をし、刑務所のキャッシュフロー、価値の合計、収入を増加させるアイテムを見る能力をアンロックする。一度オフィスが与えられると、基本的に彼らは自分でやっていける。

buildtoolbar_popup_help_lawyer_1	弁護士は、刑務所の運営において問題になるかもしれない法律や、刑務所内で起こる可能性のある、特に破壊的な出来事に対する法的責任を避けるのに役立つ。弁護士は刑務所の死刑オプションをアンロックすることもできる。一度オフィスが与えられると、基本的に彼らは自分でやっていける。

buildtoolbar_popup_help_gangs_1	「ギャング」ビューは、刑務所にいるギャングの現状を示す。ギャングの1人1人について情報を見ることができ、どの部屋がギャングのもので、どの受刑者がギャングかも確認できる。また、ギャングの副隊長を確かめることもできる。2つの円で強調表示されているのが副隊長で、円が3つならギャングのリーダーだ。\n\n
buildtoolbar_popup_help_gangs_2	~ギャングたちをその縄張りから無理やり引き離したい場合は、その部屋を強調表示し、現れた「強制退去」ボタンをクリックする。しかしギャングは嫌がるだろう...\n\n
buildtoolbar_popup_help_gangs_3	^ヒント
buildtoolbar_popup_help_gangs_4	- 刑務所内でギャングが支配しているエリアを変えることはできない。これらのエリアで何かの追加や除去をしたい場合は、まずそのエリアを取り返さなければならない。
buildtoolbar_popup_help_gangs_5	- ギャングのメンバー以外がその支配エリアにある設備を使うと、金を取られる。ライバルのギャングのメンバーは、そのエリアを完全に避ける。
buildtoolbar_popup_help_gangs_6	-そのエリアでの影響力を保つには、警備室を使おう。ギャングの縄張りである可能性が高いエリアに隣接する警備室の看守は皆、君のコントロールに頼るだろう。
buildtoolbar_popup_help_gangs_7	- ギャングのメンバーは、自分のリーダーを守ろうとする態度がとても強い。リーダーの身に何か起きたら彼らは許さないだろう...

buildtoolbar_popup_help_weathermap_1	「気温」ビューは、刑務所内の様々なエリアの気温を示す。気温は、主にラジエーターを使って上昇させることができる。エリアが寒すぎる場合は、受刑者に必要な「温かさ」が増加する。

buildtoolbar_popup_help_prefabs_1	「クイックビルド」メニューは、君がよく使う部屋の建設速度を上げるのに役立つ。「クローン」ツールでは、コピーしたい刑務所内のエリアを選択して、再配置することができる。「プレハブ室」は、彼らのニーズを自動的に満たしてくれる未完成の部屋を配置することができる。\n\n
buildtoolbar_popup_help_prefabs_2	~「クローン」ツールが選択された状態で、マウスの右ボタンを押しながらコピーしたいエリアをドラッグする。次に、刑務所内の別の場所を左クリックして、そのエリアのコピーを建設の順番待ちにする。
buildtoolbar_popup_help_prefabs_3	~「プレハブ」ツールを選択した状態で、部屋を作りたい刑務所内の場所を左クリックすると、作業員が部屋を作ってくれる。\n\n
buildtoolbar_popup_help_prefabs_4	^ヒント
buildtoolbar_popup_help_prefabs_5	-「クローン」ツールでは水道や電気の接続はコピーされない。新しくできたエリアの水道や電気は手動でつながなければならない。

buildtoolbar_popup_help_zoning_1	「ゾーニング」ツールでは、「共有」またはすべての受刑者にオープンなアンロックされたカテゴリーを用いて、どの受刑者が刑務所内のどのエリアに入れるかをコントロールできる。\n\n
buildtoolbar_popup_help_zoning_2	~そのゾーンに設定したいカテゴリーを選択して、ゾーンを左クリックする。右クリックをすると、そのゾーンはリセットされて「共有」になる。\n\n
buildtoolbar_popup_help_zoning_3	^ヒント
buildtoolbar_popup_help_zoning_4	- 「関係者以外禁止」エリアに入れる受刑者はいないので、さもなければ共有施設になってしまう場所に「エアロック」を作り、受刑者が入れない場所を作ることができる。これは、例えば、保護下にある受刑者全員を運動場や共有ルームから離しておきたい場合などで特に有効だ。
buildtoolbar_popup_help_zoning_5	- アンロックされたゾーンでは、すべてのドアが開けた状態に固定される。

buildtoolbar_popup_help_guards_1	「看守」ツールを使うとゾーン内に看守を配置できる。配置された看守は、担当ゾーンをランダムに動き周り、ドアを開けるなどの看守の仕事をそのエリア内で行う。\n\n
buildtoolbar_popup_help_guards_2	~左クリック：ゾーン内に配置する看守の人数を増やす。右クリック：看守を取り除く。\n\n
buildtoolbar_popup_help_guards_3	^ヒント
buildtoolbar_popup_help_guards_4	- 「マイクロマネジメント」をアンロックすると、「配置スケジューラー」にアクセスできるようになる。これを用いて、看守を一定のエリアに配置する時間割を作成することができる。例えば食事の時間だけ食堂に看守を置きたい場合、食事の時間に対応するブロックをスケジューラーでクリックし、次いでタイムスライダーをそのブロックに動かし、看守を食堂に配置する。
buildtoolbar_popup_help_guards_5	- スケジュールを組むためには最大7つの異なるタイムブロックが利用可能でなければならない。これに「常に」アクティブにするモードを加えて、刑務所内のニーズに合わせた複雑な配置のルーチンを作ることができる。
buildtoolbar_popup_help_guards_6	- 看守を配置するときに時間ブロックを手動で選択しないと、スケジューラーは現在の時間を使う。配置を変更するときは正しい時間を選択するように気をつけよう！

buildtoolbar_popup_help_patrols_title	巡回
buildtoolbar_popup_help_patrols_1	「3パトロールツール」は、特定の巡回ルートを作成して、一般の看守、警察犬訓練士、武装隊 （またはこの3種全ての組み合わせ）を配置できる。巡回ルートは複数のゾーンをまたぐことができる。\n\n
buildtoolbar_popup_help_patrols_2	~マウスの左ボタンを押しながらドラッグすると、巡回ルートが作成できる。既存の巡回ルートを左クリックすると、そのルートに一般看守を1人追加できる。巡回中の看守を右クリックすると、その看守を削除できる。右ボタンを押したままドラッグすると、その巡回ルートをすべて削除できる。\n\n
buildtoolbar_popup_help_patrols_3	^ヒント
buildtoolbar_popup_help_patrols_4	- 巡回中の一般看守は、ドアを開けたり受刑者を探したりといった看守の仕事を行う。警察犬訓練士と武装警備隊はそれをしない。
buildtoolbar_popup_help_patrols_5	- 「マイクロマネジメント」を解除すると、配置スケジューラーが使えるようになり、看守の配置と同様にしてパトロールを設定することができる。

buildtoolbar_popup_help_accessonly_1	「アクセスのみ」ツールを使用すると、刑務所内を移動中に通常避けるべきエリアをマークできる。これにより、人々に別の経路をたどらせたい場合、刑務所内で近道として部屋を使うのを止めさせることことができる。\n\n
buildtoolbar_popup_help_accessonly_2	~「アクセスのみ」としてマークしたいゾーンを左クリックで設定できる。これは、通常のセキュリティ設定に追加して行うことができる。
buildtoolbar_popup_help_accessonly_3	~ゾーンを右クリックすると、「アクセスのみ」設定を解除することができる。\n\n
buildtoolbar_popup_help_accessonly_4	^ヒント
buildtoolbar_popup_help_accessonly_5	- 「アクセスのみ」は厳格な設定ではない。特に対象がマークされたエリア内だとしても、これにより人々が入ることをはっきりと防ぐことはない。「アクセスのみ」のエリアを通ることが他の経路よりも著しく近道になる場合（刑務所全域を移動させる、など）、「アクセスのみ」ゾーンを通ることもある。

job_matsassigned	材料指定済み
job_matsavailable	材料使用可
job_awaitingmaterials	材料待ち
job_inprogress	-進行中-
job_blocked	-ブロック-
job_queued	-行列中-

job_failed_noroute	ルートなし
job_failed_nomaterials	材料なし
job_failed_toodangerous	危険すぎる
job_failed_materialsbeingcarried	ルートに材料あり

job_rightclicktocancel	- 右クリックでキャンセル
job_ftofollow	- Fボタンを押して後をつける
job_makehighpriority	- Ctrl + 左クリックで、「優先順位：高」にする
job_removehighpriority	- Ctrl + 右クリックで、「優先順位：高」をはずす
job_makehighpriority_mac	- Alt + 左クリックで、「優先順位：高」にする
job_removehighpriority_mac	- Alt + 右クリックで、「優先順位：高」をはずす
job_highpriority_tooltip	- 緊急
job_refundamount	- 返金額：*X

failuremessage_blocked	ブロック済み
failuremessage_cantafford	資金不足
failuremessage_cantaffordupkeep	1日の予算越え
failuremessage_maximumcountreached	雇用上限超え
failuremessage_maxstaff	職員数が多すぎる


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	配達
statustoolbar_finances	財政
statustoolbar_regime	スケジュール
statustoolbar_escapemap	セキュリティ
statustoolbar_electricity	電力
statustoolbar_stats	ステータス
statustoolbar_danger	危険度
statustoolbar_jobs	タスク
statustoolbar_gangs	ギャング
statustoolbar_staff	職員
statustoolbar_research	リサーチ


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	スプライトエディタ
spritebankeditor_create	作成
spritebankeditor_rotate	回転
spritebankeditor_sort	並び替え
spritebankeditor_markermodetitle	マーカーモード


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	メインメニュー
codex_campaign	ミッション
codex_cutscenes	ムービー
codex_qualifications	資格
codex_load	刑務所をロード
codex_loadcampaign	ミッションをロード
codex_save	刑務所を保存
codex_savecampaign	ミッションを保存
codex_performance	性能テスト
codex_developer_load	（開発者）マップをロード
codex_developer_save	（開発者）マップを保存
codex_developer_clearach	（開発者）実績をクリア
codex_contacts	連絡先
codex_materials	材料
codex_play	プレイ
codex_play_escape	脱獄モードをプレイ
codex_polaroids	ポラロイド写真
codex_introduction	イントロダクション
codex_restartintroduction	イントロダクションを最初から見る
codex_restartchapter	チャプターをやり直す
codex_help	ヘルプ（wiki）
codex_opensavefolder	保存フォルダを開く
codex_options	オプション
codex_nitgs	ゲームに登場する名前
codex_workshop	刑務所をシェア（Steam）
codex_steamtrending	最も人気の高い刑務所 (Steam)
codex_checkforupdates	アップデートのチェック
codex_preorder	今すぐ予約
codex_termsconditions	使用規約
codex_twitter	Twitter
codex_extras	エキストラ
codex_unlocked	アンロック済み（*X/*Y）
codex_mapsettings	マップ設定
codex_othergames	その他のIntroversion(イントロバージョン)のゲーム
codex_mutators	変異物

codex_cloudsavedesc	クラウドに保存
codex_cloud_enabled	新しい保存データがクラウドに保存される。
codex_cloud_notaccount	Steamクラウドは、Steamクライアントにおいて無効化されています。この機能を使用するには、再び有効化してください。
codex_cloud_notapp	新しい保存データがハードドライブに保存される。
codex_saveload_delete	削除

codex_new	新しい刑務所を作成
codex_new_worldsize	ワールドサイズ
codex_new_small	小
codex_new_medium	中
codex_new_large	大
codex_new_selectwarden	刑務所長を選択
codex_new_selectgender	受刑者の性別を選択

codex_options_graphics	グラフィック
codex_options_resolution	解像度
codex_options_resolutionauto	自動
codex_options_windowed	ウィンドウあり
codex_options_highdpi	高DPI
codex_options_filtering	フィルタリング
codex_options_nofiltering	オフ
codex_options_multisampled	マルチサンプリング
codex_options_supersampled	スーパーサンプリング

codex_options_audio	音声
codex_options_volume	マスター音量
codex_options_frequency	混合周波数
codex_options_swapstero	ステレオ交換
codex_options_dspenabled	DSPオン
codex_options_11khz	11025 Hz
codex_options_22khz	22050 Hz
codex_options_44khz	44100 Hz

codex_options_clocktype	時計タイプ
codex_options_clocktype_analogue	アナログ
codex_options_clocktype_12h	12時間制
codex_options_clocktype_24h	24時間制

codex_options_directions	床サイン表示
codex_options_dirrender_hidden	非表示
codex_options_dirrender_visible	表示
codex_options_dirrender_zoom	ズーム

codex_options_tempscale	気温を摂氏で表示

codex_options_gameplay	ゲーム
codex_options_autosave	オートセーブタイマー
codex_options_renderrooms	床に格子柄を表示
codex_options_apply	適用
codex_options_v2gui	バージョン2.0 GUI
codex_options_zoomtomouse	マウス向けに拡大
codex_options_oneclickrapsheet	ワンクリック逮捕記録
codex_options_disableanalytics	アナリティクスを無効化
codex_tooltip_disableanalytics	ゲーム体験を向上させるため、匿名で統計情報を収集します。収集したデータはメトリックス.txtで閲覧可能です。

codex_options_language	言語

codex_options_experimental	実験
codex_options_enablevbo	Vertex Buffer Objectsを有効にする

codex_nitgs_authwarning	重要：ゲーム内の名前を最近変更した場合は、リストに表示する前に承認が必要だ。

codex_nitgs_filtercaption	フィルタ
codex_nitgs_filterall	すべて
codex_nitgs_filtermen	男
codex_nitgs_filterwomen	女

codex_nitgs_checkingforupdate	更新情報の確認中...
codex_nitgs_updateavailable	更新可能
codex_nitgs_downloading	更新情報のダウンロード中...
codex_nitgs_downloadcomplete	ダウンロードが完了しました。
codex_nitgs_downloadfailed	ダウンロードに失敗しました。

codex_enabled	オン
codex_disabled	オフ

codex_option_intake	順次受け入れ
codex_tooltip_intake	オンにすると、ランダムな数の受刑者を毎日（永久に）受け入れる。\n\nオフにした場合は、受け入れ準備が整った時に「報告書」内の「受け入れ」タブをクリックしよう。
codex_option_fogofwar	戦雲
codex_tooltip_fogofwar	看守にパトロールをさせるか、監視カメラを使わない限り、刑務所内の様子がかまったく分からなくなる。
codex_option_lakes	湖出現
codex_tooltip_lakes	湖がランダムに現れ、土地の一部を覆ってしまう。警告：実験的な機能です。
codex_option_forests	森出現
codex_tooltip_forests	手持ちの土地に森が現れる。
codex_option_buildings	建物出現
codex_tooltip_buildings	手持ちの土地に廃墟化した建物が残される。建物は自由に使って構わない。
codex_option_failure	失敗条件あり
codex_tooltip_failure	やりがいを求めるならこれ！最悪の状況（暴動、破産、大量の死者や脱獄者など）を許してしまった際に、クビ＆ゲームオーバーになる。
codex_option_unlimitedfunds	無限の資金
codex_tooltip_unlimitedfunds	究極のサンドボックスモード！資金切れや資金調達を心配することなく、最初から最後まで好き放題にお金を使うことができる。
codex_option_gangs	ギャング
codex_tooltip_gangs	ギャングのメンバーが受刑者として現れ、ライバルギャングのメンバーに施設内で襲いかかる。チャレンジを楽しもう。
codex_option_events	イベント
codex_tooltip_events	ゲームにスリルを与えてくれるイベントが発生する。何が起こるか分からない上にやりがい満点。
codex_option_weather	天気と気温
codex_tooltip_weather	刑務所に天気と気温の変化を加える。暑さを考慮しなければならなくなる。
codex_option_enablecheats	ツールとチートを有効にする
codex_tooltip_enablecheats	この刑務所に対して開発者ツールとチートを有効にする。一度選択すると無効にすることはできない。成果に対する褒美は得られず、この刑務所を売ることもできなくなる。
codex_option_staffneeds	職員のニーズ
codex_tooltip_staffneeds	看守のニーズを満たす。つまり、看守はきちんと仕事をするために、食事、休憩、その他の快適性を要求する。
codex_option_wardenmode	刑務所長モード
codex_tooltip_wardenmode	建設中の刑務所内で働く刑務所長としてプレイ。
codex_option_wardenmode_permadeath	パーマネント・デス
codex_tooltip_wardenmode_permadeath	刑務所長として死亡すると、ゲームオーバーだ！

codex_option_funds	資金
codex_tooltip_funds	これだけの資金がすでに用意された状態でゲームを開始する。もっと資金を増やしたい場合は、「資産価値」画面から手持ちの刑務所を売却することもできる。

codex_transfer	移送
codex_transferring	移送中
codex_in_prison	収容中
codex_unavailable	利用不可能
codex_useravatar	自分
codex_tooltip_useravatar	この受刑者を自分のアバターとして使おう。万が一なんらかの理由で自分が刑務所送りになってしまった場合は、このアバターが代わりに服役してくれる。
codex_tooltip_flagbio	このプロフィールを不快なものとして報告する。

codex_workshop_current	現在の刑務所
codex_workshop_publish	この刑務所を公開
codex_workshop_update	アップデート
codex_workshop_play	プレイ
codex_workshop_downloading	ダウンロード中
codex_workshop_download_failed	ダウンロード失敗
codex_workshop_publishing	公開中…
codex_workshop_new	NEW
codex_workshop_title	タイトル
codex_workshop_desc	説明
codex_workshop_view_in_workshop	Steamワークショップで見る
codex_workshop_heading_pubed	公開済みの刑務所
codex_workshop_heading_subed	ダウンロード済みの刑務所
codex_workshop_published_by	公開者：*P
codex_workshop_published_by_you	公開者：自分
codex_workshop_published_good	公開に成功
codex_workshop_published_good_msg	刑務所を公開しました！
codex_workshop_published_bad	公開に失敗
codex_workshop_published_bad_msg	刑務所を公開できませんでした。
codex_workshop_published_bad_msg_new	新しい刑務所を公開できませんでした。もう一度お試しください。
codex_workshop_busy	Steamがちょっと忙しい模様です。しばらく経ってからもう一度お試しください。
codex_workshop_file_exists	この名前の刑務所はすでに公開済みです。別の名前を選びましょう。
codex_workshop_generic_fail	新しい刑務所を公開できませんでした。もう一度お試しください。
codex_workshop_download_bad	刑務所のダウンロードに失敗
codex_workshop_pa_workshop	「Prison Architect」ワークショップを開く
codex_workshop_agreement	このアイテムを提出する場合は、[url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop terms of service[/url]に同意したものと見なされます。
codex_workshop_update_warning	公開済みの刑務所の更新
codex_workshop_update_warning_msg	「公開済みの刑務所」を更新すると、公開済の刑務所が現在読み込まれている刑務所で上書きされる。これにより公開済みの刑務所は削除され、現在プレイしている刑務所と永久に入れ替わる。このアクションは、元に戻すことができません。\n\n実行してもよろしいですか？

codex_options_timelapse	コマ落とし
codex_timelapse_record	コマ落としで撮影
codex_timelapse_stop	コマ落としをストップ
codex_timelapse_camera	カメラモード
codex_timelapse_customresw	カスタム解像度（幅）
codex_timelapse_customresh	カスタム解像度（高）
codex_timelapse_resolution	解像度
codex_timelapse_fps	再生速度
codex_timelapse_interval	コマ落とし速度
codex_timelapse_quality	クオリティ
codex_timelapse_unsupported	この機能はお使いのハードウェアでは使用できません。
codex_timelapse_savesettings	設定を保存

codex_timelapse_cam_zoom	カメラをズーム
codex_timelapse_cam_fitmap	マップに合わせる
codex_timelapse_cam_fitheight	マップの高さに合わせる
codex_timelapse_cam_fitwidth	マップの幅に合わせる
codex_timelapse_fps_value	*X FPS
codex_timelapse_quality_high	高
codex_timelapse_quality_med	中
codex_timelapse_quality_low	低
codex_timelapse_interval_value	*X分（ゲーム時間）
timelapse_caption	経過時間 *X:*Y, *Z フレーム記録、バックログ：*T

codex_performance_running	性能テスト実行中
codex_performance_time	残り時間：*Ts
codex_performance_current	現在のフレーム時間：*Tms
codex_performance_min	フレーム時間（最低）：*Tms
codex_performance_avg	フレーム時間（平均）：*Tms
codex_performance_max	フレーム時間（最大）： *Tms
codex_performance_numframes	フレーム数：*T

codex_last_modified	最終修正：*T
codex_sortbydesc	日付で並べ替え
codex_sortname	名前
codex_sortdate	日付
codex_apply	適用
codex_select	選択

codex_mods	MOD
codex_mod_activetitle	使用中のMOD
codex_mod_inactivetitle	使用可能なMOD
codex_mod_deactivate	すべてのMODを停止
codex_mod_wiki	もっとMODを探す（Wiki）
codex_mod_openmodsfolder	MODフォルダを開く
codex_mod_moresteammods	もっとMODを探す（Steamワークショップ）
codex_mod_findsteamtranslations	もっと翻訳版を探す（Steamワークショップ）
codex_authortitle	作成者
codex_versiontitle	バージョン
codex_datetitle	日付
codex_urltitle	URL
codex_typetitle	タイプ
codex_mod_graphicsandsound	グラフィック＆サウンド
codex_mod_translation	翻訳版
codex_mod_scenario	シナリオ
codex_mod_content	コンテンツ
codex_mod_load_scenario	シナリオをプレイ
codex_publishmod	このMODを公開

codex_mod_update	このMODを更新
codex_mod_published_good	MOD公開
codex_mod_published_good_msg	MODが公開されました！
codex_mod_published_bad	MOD公開失敗
codex_mod_published_bad_msg	MODの公開に失敗しました。
codex_mod_modsupdated	MOD更新
codex_mod_modsupdated_msg	使用中のMODのいくつかが更新されました。変更箇所を保存するにはOKをクリックしてください。ゲームはオートセーブされます。
codex_mod_translationcaption	これは他の言語に翻訳したものですか？

codex_language	言語
codex_language_englishdefault	英語（デフォルト）
codex_language_default	デフォルト言語
codex_language_download	ダウンロード
codex_language_failed_download	翻訳版のダウンロード失敗
codex_language_failed_download_msg	選択された翻訳版のダウンロードに失敗しました。
codex_language_searching_workshop	Steamワークショップ検索中
codex_language_community	この翻訳版はユーザーのコミュニティによって作成＆管理されています。協力に感謝！

codex_polaroids_new	新規

codex_save_confirm	本当に*Xを現在の刑務所で上書きしますか？
codex_researtchapter_confirm	本当に現在のチャプターをやり直しますか？保存済みでない経過はすべて失われます。
codex_delete_confirm	本当に*Xを完全削除しますか？

codex_premadeprisons	あらかじめ作られている刑務所

codex_trending_more	...
codex_sortbycaption	ソート：
codex_trending_oneday	1日
codex_trending_oneweek	1週間
codex_trending_threemonths	3カ月
codex_trending_sixmonths	6カ月
codex_trending_oneyear	1年
codex_trending_alltime	いつでも
codex_trending_failedtogetlist	刑務所一覧の取得に失敗しました
codex_trending_failedtogetlist_msg	トレンドな刑務所一覧取得に失敗しました。

codex_settings	マップ設定
codex_settings_gangs	ギャングを有効にする
codex_settings_events	イベントを有効にする
codex_settings_weather	天気を有効にする
codex_settings_staffneeds	職員のニーズを有効化
codex_settings_failureconditions	失敗条件を有効化
codex_settings_confirm	1度有効にすると、設定を無効にすることはできません。*Xを有効にしますか？

codex_packrects	Pack Rectangles
codex_addboxbutton	新しい長方形を追加
codex_setsize	空間の広さを設定
codex_removeallrects	すべての長方形を削除
codex_packrects_widthcaption	空間の幅
codex_packrects_heightcaption	空間の高さ
codex_packrects_boxwcaption	長方形の幅
codex_packrects_boxhcaption	長方形の高さ

mods_downscaled_spritesheet	スプライトシートがダウンスケールされました
mods_downscaled_spritesheet_msg	あなたのグラフィックカードに制約があるため、スプライトシートをダウンスケールしなければなりませんでした。これは、多くのMODをアクティベートしすぎたからでしょう。質を改善するためMODを無効にしてみてください。
mods_errors_no_memory	MODが読み込まれていません
mods_errors_no_memory_msg	グラフィックメモリが不足しているため、MODスプライトの追加読み込みができません。これは、多くのMODをアクティベートしすぎたからでしょう。使用メモリを減らすためにMODをいくつか無効にしてください。

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	グラフィックオプションを変更しますか？元の状態に戻るまであと：
graphicschange_time	秒
graphicschange_accept	変更する
graphicschange_revert	元に戻す

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	スクリプトデバッガー（F3）

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	MODの矛盾
modnotification_info	現在の刑務所が保存された際に使われていたMODが見つかりました。この刑務所をプレイする前にこれらのMODをダウンロードすることをお勧めします。
modnotification_playnow	今すぐプレイ
modnotification_active	使用中
modnotification_inactive	停止中
modnotification_new	NEW
modnotification_unknown	不明
modnotification_popup_title	異なるMOD
modnotification_popup_active	このMODは現在使用中です。クリックで停止できます。
modnotification_popup_inactive	このMODは現在停止中です。クリックで使用できます。
modnotification_popup_new_url	新しいMODです。ブラウザでリンクを開くにはクリックしてください。
modnotification_popup_new_steam	新しいSteamのMODです。クリックで購読＆今すぐダウンロードできます。
modnotification_popup_unknown	このMODの公開元が不明です。自分で探してダウンロードしてください。

# =============================================================================
# Biography
# =============================================================================

biography_search	職務質問
biography_selected	選択済み
biography_prisoner_name	*S・*F
biography_prisoner_number	受刑者No. *X
biography_prisoner_age	年齢：*X
biography_prisoner_traits	特徴：
biography_prisoner_convicted	判決内容：*C（申し立て：*P）
biography_prisoner_sentenced	*X年の禁固刑
biography_parole_now	仮釈放の資格あり
biography_parole_later	仮釈放の資格：*X年の服役後に獲得
biography_prisoner_served	*X年服役済み
biography_prisoner_priors	前科：


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	年齢：
rapsheet_category	カテゴリー：
rapsheet_traits	特徴：
rapsheet_conviction_text	*C〜*Y年
rapsheet_found_text	（申し立て：*P）
rapsheet_convictions	判決内容
rapsheet_misconductstitle	最近の不祥事
rapsheet_biography	プロフィール
rapsheet_guilty	有罪
rapsheet_notguilty	無罪
rapsheet_served	服役済み期間
rapsheet_served_time	*Y年服役済み
