
campaigncutscene_tooltip 				（クリックで次のチャプターをスタート）
adviser_riot_helleradvice2 				今、我々は大変困難な状況下にあります。世間からも厳しい目にさらされています。ですがご安心ください。我々は全力であなたをサポートします。できることがあれば何なりとおっしゃってください。
adviser_riot_deployguards1				現場に足を踏み入れ、刑務所内の数カ所のエリアを取り戻すことに成功した。死者は出ているものの、こればかりは仕方ない。
adviser_riot_deployguards2				だが、引き続き残りのエリアを取り戻す前に、すでに占拠済みのエリアの安全を再確認した方がいい。
adviser_riot_deployguards3				看守を何人か雇い、「配置」画面から再占拠したエリアに配置しよう。エリアの安全を守ってくれるはずだ。
adviser_riot_deployguards4 				それが済んだら、残りのエリアに進み敵を片付けよう。奴らは動物同様。更生はできない。よって交渉も無意味だ。
adviser_riot_deployguards5 				今、武装隊の突入の許可を取ろうとしている。彼らが来れば事態は急速に収拾するだろう。

adviser_riot_infirmary1 				刑務所は怪我人で溢れている。その数はさらに増えるだろう。彼らを見捨てるわけにはいかない。
adviser_riot_infirmary2 				現場に医療室を作って医者を雇い、怪我人の治療に当たらせよう。
adviser_riot_infirmary3 				死者も出ている。彼らの尊厳のためにも、遺体安置室を作りそこに収容してあげよう。
adviser_riot_infirmary4					建設には作業員が必要となる。彼らの安全も守ってあげなければならない。

objective_Riot_ResecureWings 			看守を雇い、再占拠したエリアに配置する
objective_riot_medicalneeds				（任意）医療体制を整える
objective_Riot_Infirmary				（任意）医療室を作り怪我人の治療を行う
objective_Riot_Morgue 					（任意）遺体安置室を作り死者を収容する
objective_Riot_SecureGenPop				一般収容棟（中央）を再占拠
objective_Riot_SecureSpecialWing		特別収容棟（西）を再占拠
objective_Riot_SecureMaxSec				厳重警備棟（南）を再占拠
objective_riot_putoutfires				火災を消し止める

adviser_riot_secondreinforcements1		機動隊が到着した。

adviser_riot_armedreinforcements1		市長が近くの警察署から武装隊を連れて来た。
adviser_riot_armedreinforcements2		彼らには十分気をつけた方がいい。野放しにすれば大殺戮を起こすかもしれない。
adviser_riot_armedreinforcements3		その反面、彼らの姿を見た受刑者たちが降伏を決意する可能性もある。

adviser_riot_reinforcementsunlocked1 	主な応援部隊はすべて到着した。
adviser_riot_reinforcementsunlocked2 	これからは、「緊急」ツールバーから機動隊や救急隊を好きなだけ呼ぶことができる。

adviser_riot_cleanup1                   施設のコントロールは取り戻した。そして暴動もだいぶ動きが弱まった。もっとひどいことになっていた可能性も多いにある。
adviser_riot_cleanup2                   今後は大掛かりな片付け作業が待っている。時間があったらぜひ手を貸して欲しい。
adviser_riot_cleanup2b 					ここには建設作業員がいない。まずは作業員を雇い、施設の修理を始めてもらおう。
adviser_riot_cleanup3                   ここの警備はゆるいといつも思っていた。ここの受刑者たちは長いこと好き勝手な行動が許されてきた。それは今日で終わりだ。
adviser_riot_cleanup4                   武器庫を作り、武装警備員を刑務所の主要なエリアに配置して欲しい。その姿を見れば受刑者も少しは大人しくなり、トラブルを起こすことも減るだろう。
adviser_riot_cleanup5                   それから、すべての看守に防弾チョッキを提供するための予算を承認するつもりだ。それがあれば彼らも自分の身を守ることができるだろう。
adviser_riot_cleanup6                   さあ、仕事を続けよう。受刑者たちにはしっかりと規則を守ってもらう。それがここでの生活に秩序をもたらしてくれるだろう。まずは暴動の後片付けを自分でしてもらおう。
adviser_riot_cleanup7                   受刑者たちのために労働プログラムを作り、刑務所の掃除と洗濯を任せよう。
adviser_riot_cleanup7b                  受刑者に仕事をさせたい場合は、ツールバーの「施設管理」を選ぼう。詳細はそれぞれのタスクをハイライトすれば確認できる。
adviser_riot_cleanup8                   他にもまだすべきことがある。ここには過ちを犯した受刑者が沢山いる。彼らにそのことを反省してもらうためにも、隔離棟を建てよう。
adviser_riot_cleanup8b                  受刑者を必要に応じて隔離棟に移すのは看守の仕事だ。隔離棟に入れられた受刑者は、自らの行いを反省し、刑務所の規則に従うことの重要性を思い知らされることになる。
adviser_riot_cleanup9                   それから、今回の試練を一緒に乗り切ってくれた職員のことも忘れてはならない。彼らは疲労困憊している。
adviser_riot_cleanup9b 					休憩室を作り、体力が回復するまで休ませてあげよう。
adviser_riot_cleanup10                  最後に、これらのすべての任務は予算オーバーにならないよう行わなければならない。銀行の残高とキャッシュフローに問題がないことを確認しよう。
adviser_riot_cleanup10b 				施設の管理や清掃、洗濯などの仕事は、外部に委託するよりも受刑者を使う方がずっと安上がりだ。
adviser_riot_cleanup11                  仕事は山積みだ。君の協力には感謝している。
adviser_riot_cleanup12                  ここでの仕事を終えて次に進む準備ができたら、正門の横にあるポラロイド写真をクリックしよう。

adviser_riot_cleanup13 					上出来だ。これでこの施設のセキュリティはかなり強化された。

objective_riot_solitary 				（任意）隔離棟を作り暴動を起こした受刑者に罰を与える
objective_riot_armoury 					（任意）新しいセキュリティ対策を実行
objective_riot_armoury_research			「役所仕事」から「武器庫」を解除する
objective_riot_armoury_build 			武器庫を安全な場所に設置する
objective_riot_armoury_deploy			武装隊を刑務所の周囲に配置
objective_riot_armoury_armour 			すべての警備スタッフのために防弾チョッキを解除
objective_riot_armoury_tazers 			武装警備員のためにテーザー銃を解除
objective_riot_staffroom 				（任意）疲労困憊した職員のために休憩室を設ける
objective_riot_balancebooks 			（任意）銀行口座の収支を合わせる
objective_riot_balancebooks_balance 	プラスの残高
objective_riot_balancebooks_cashflow 	プラスのキャッシュフロー
objective_riot_prisonerwork				（任意）処罰としての労働プログラムを用意する

objective_riot_cleaningcupboard			清掃用具室を作る
objective_riot_laundry					洗濯室を作る
objective_riot_inmatesincleaning 		受刑者に清掃をさせる
objective_riot_inmatesinlaundry			受刑者に洗濯をさせる
objective_riot_cleanprison 				刑務所の掃除をする
objective_riot_providelaundry			洗濯をする

objective_riot_armoury_research_description		タスクリストの上に表示されている「役所仕事」アイコンをクリックして「武器庫」の建設を始めよう。看守長が必要な手続きをしてくれる。
objective_riot_armoury_deploy_description       武装警備員を配置するには、「配置」画面に行き「パトロール（武装）」を選ぼう。巡回ルートをクリック＆ドラッグで描き、もう一度クリックすれば警備員をそこに配置できる。
objective_riot_armoury_guardtazers_description  「報告書」→「プログラム」と進むと、「看守のテーザー銃訓練」という項目がある。\n\n看守にテーザー銃を使わせるには、まず訓練させなければならない。そして訓練を行うには、教室を作る必要がある。
objective_riot_prisonerwork_description         受刑者に仕事をさせるには、「施設管理」に行き「囚人労働」を選ぼう。クリックすれば緑にハイライトされた部屋に仕事を追加することができる。\n\nその際には、仕事を行う時間を特定する必要がある。「報告書」→「スケジュール」と進み、1日のスケジュールに数時間の「労働」時間を設けよう。この時間帯に仕事が発生したら受刑者が引き受けてくれる。

objective_Riot_PlayerExitsMap			終わったら正門の外にあるポラロイド写真をクリックしよう。


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        ハイジャック
campaigncutscene_convictionmorgan       モルガン
campaigncutscene_convictionvisitation   面会
campaigncutscene_convictionsuicide      自殺

campaignchapter_conviction              有罪判決
campaignchapter_conviction_description  受刑者の1人が自殺をほのめかしている。彼の名前はヘンリー・モルガン。ベネディクトの共犯者で、5年の刑期を得て13ヶ月前からここにいる。彼が自殺しないよう監視に力を貸して欲しい。

adviser_name_benedictarmed              ベネディクト
adviser_name_morgan                     ヘンリー・モルガン
adviser_name_morganarmed				ヘンリー・モルガン
adviser_name_morganhappy                ヘンリー・モルガン
adviser_name_senator                    上院議員ウォルター・ハースト
adviser_name_detective                  刑事
adviser_name_kerry 						ケリー・モルガン
adviser_name_hurst 						ウォルター・ハースト博士
adviser_name_keane 						キーン警官

adviser_conviction_heist1               金を取れ、チビ。
adviser_conviction_heist2               武器を捨てろ！
adviser_conviction_heist2b				うわっ！
adviser_conviction_heist3               お前も撃てよ！
adviser_conviction_heist4               何やってる？！サツの野郎をぶっ殺せって言ってんだ！
adviser_conviction_heist6               チクショウ！
adviser_conviction_heist7               撃つな！頼む！
adviser_conviction_heist8               降参しろ、クソ野郎どもが！
adviser_conviction_heist9               俺の言う通りにしろ。いいか？
adviser_conviction_heist10              ああっ、クソっ！
adviser_conviction_heist11              撃つな！撃たないでくれ！

conviction_intro_1                      アルケミコ州立刑務所で起きた悲劇を受けて、我々は政治的に厳しい立場に立たされている。
conviction_intro_2                      新しいCEOが正式に決まるまでは、私が刑務所の責任者となる。
conviction_intro_3                      ここでは最近、自殺する受刑者が増えてきている。その理由を理解するのは難しくないが、その前に解決しなければならない問題がひとつある。
conviction_intro_4                      この刑務所に大量の新しい受刑者を入れることが、上層部によって決定された。最初のグループは明日到着する予定だが、刑務所には十分な収容スペースがない。
conviction_intro_5                      新しい独房棟を建て、到着する受刑者を収容するためのスペースを作ろう。
conviction_intro_5b 					ここに新しい独房棟のデザイン案を置いておく。新しい受刑者のための十分な数の独房に加えて、独自のシャワー室も完備している。
conviction_intro_5c 					このデザイン通りのものを建てるか、まったく別のものを建てるかは、君に決めてもらって構わない。
conviction_intro_6                      私は新しい受刑者のここでの生活水準について優先的に考えなければならない。とりあえずは独房棟を建てて欲しい。それから考えよう。

unused_conviction_intro_4                      受刑者の1人が自殺をほのめかしている。彼の名前はヘンリー・モルガン。ベネディクトの共犯者で、5年の刑期を得て13ヶ月前からここにいる。
unused_conviction_intro_7						今から彼に会って話を聞くつもりだ。これ以上自殺者を出したくないからな。

conviction_workintro1                   これまで受刑者たちはゴミのような扱いを受けてきた。
conviction_workintro2                   前CEOは受刑者たちの更生をまったく信じていなかった。だが私は違う。未来への希望を彼らに持たせることが大切だと考えている。
conviction_workintro3                   釈放後にまっとうな生活を送るにはスキルを手に入れなければならない。商業的なスキルや基本的な教育はなくてはならないものだ。
conviction_workintro4                   そこで、見習い訓練プログラムを始めたいと思う。外の世界で使えるスキルを身につけることができれば、受刑者たちも将来に希望を抱くことができるだろう。


conviction_hurst1 						なんてひどい刑務所だ。受刑者は完全に無視され、もはや人間扱いされていない。
conviction_hurst2 						彼らには思いやりや敬意を受ける権利がある。
conviction_hurst3 						間違ってるな。
conviction_hurst4 						動物並みの扱いだ。彼らが人間であることをまったく忘れたかのように...
conviction_hurst4b 						そんな状況で規則に従えという方が無理だろう？我々に対して憎しみの感情しか持っていないんだ。
conviction_hurst4c						彼らのために色々用意するんだ。教室に薬物中毒者のリハビリプログラム... 研修に参加してスキルを身につけてもらうものいい。
conviction_hurst6 						誤解しないれくれ、先生。俺はあいつらが人間だなんて思っちゃいないよ。自分の目で確かめてみればいい。
conviction_hurst6b 						立て、モルガン！
conviction_hurst7 						面会人だ。
conviction_hurst8 						リハビリだって？そんなの地球がひっくり返ったって無理さ。

conviction_hurst10 						君の名前は？
conviction_hurst10b                     おい、答えろ。
conviction_hurst11 						ヘンリーです。
conviction_hurst12 						そこは寒いだろう。これを着なさい。
conviction_hurst13 						ベッドにシラミがいてあちこち噛まれるんです。それから巨大なネズミも出ます。シャツのおかげで噛まれはしませんけど。
conviction_hurst14 						敬語はいらないよ。
conviction_hurst15 						夜は眠れてる？
conviction_hurst16 						睡眠は取らない。ずっと考えてるんだ。時間だけは沢山あるから。
conviction_hurst16b                     何について考えてる？
conviction_hurst16c                     死ぬことかな。それと娘のことも。
conviction_hurst17 						ヘンリー、娘のために強くなってくれ。一番つらいのは彼女だよ。
conviction_hurst18 						あの子が生まれる前からムショ暮らししてる。俺が存在してることも知らないはずだよ。
conviction_hurst19 						人生を変えるのは不可能じゃない。
conviction_hurst19b 					ここにまた来ても構わないかな？
conviction_hurst20 						もちろんです。そうしてもらえると嬉しいです。
conviction_hurst21 						ネズミを駆除した方がいい。これじゃ発展途上国並みだ。
conviction_hurst22 						殺鼠剤を撒いておこう。

conviction_visitationintro_1            モルガンの家族との面会に関して例外を設けるよう、上層部に頼んでおいた。

conviction_visitation_0					あの、ヘンリー・モルガンに会いに来たんですが。私、ケリー・モルガンです。
conviction_visitation_1					線の後ろに並べ。
conviction_visitation_2 				すみません... 夫のヘンリー・モルガンに会いに来たんです。
conviction_visitation_3 				何度も同じことを言わせないでくれ。線の後ろだ。
conviction_visitation_4 				すみません... 分かりました。
conviction_visitation_5 				よし、前に来ていいぞ。早くしてくれ。
conviction_visitation_6					名前は？
conviction_visitation_7					ケリー・モルガンです。夫のヘンリー・モルガンに会いに来ました。これは娘です。
conviction_visitation_8					本当に奴の娘なのか？まあいい。通れ。
conviction_visitation_8a                ケリー！
conviction_visitation_9					悪いけど行き違いがあったみたい。面会はできないわ。モルガンは特権を失ったの。
conviction_visitation_9b 				え？
conviction_visitation_9c 				今朝、彼の独房で酒が見つかったの。悪いけど、どうしようもないわね。
conviction_visitation_10				2時間も掛けて来たのよ。娘も泣いてる。フェアじゃないわ。
conviction_visitation_11				フェアなんてものがここで通用すると思ってるの？ディズニーランドじゃないのよ。
conviction_visitation_12				お願い、これを彼に渡して。
conviction_visitation_13                いいわよ。当分面会はできそうにないからね。伝言は？
conviction_visitation_14                伝言はないわ。

conviction_visitation_angrymorgan0		なんでだ！
conviction_visitation_angrymorgan1		待ってくれ！
conviction_visitation_angrymorgan2		ヒドイぞ！
conviction_visitation_angrymorgan3		せめて話だけでもさせてくれ！
conviction_visitation_angrymorgan4		チクショウ！！

conviction_helpinmates_1                残念だったな。
conviction_helpinmates_2                本当の意味で受刑者たちの力になるのは難しい。自分で人生を立て直せるよう、サポートしてあげるしかない。
conviction_helpinmates_3                面会施設は明らかに改善が必要だ。面会に来た家族の列が施設の外にまで伸びている。数が多すぎて対処し切れていないのが現状だ。
conviction_helpinmates_4                そこで、新しい面会施設を建てて欲しい。モルガンには気の毒な思いをさせたが、新しい施設ができればきっと状況は好転するだろう。モルガンに限らず、家族を持つ受刑者は多いからな。
conviction_helpinmates_5                調べてみたところ、多くの受刑者が最低の計算能力と読字能力しか持ち合わせていないことが分かった。ヒドいことだ。なんとか対処しなければ。
conviction_helpinmates_6                新しい教室を建てた上で、教師を外部から呼び寄せ、受刑者たちに基礎学習の機会を与えよう。教育を受けていなければ、犯罪者としての人生を送るしかない。
conviction_helpinmates_7                それから、大量に送り込まれる受刑者の対応も忘れてはならない。施設を拡大し、彼らが快適に過ごせる独房を建てよう。

conviction_outro1                       刑務所の状態はかなり向上したと言えるだろう。受刑者たちにモチベーションを与え、未来に希望を持たせることができた。
conviction_outro2                       このままここに残り、新しい受刑者が到着して教育や実習プログラムを試すのを見守るのもいいだろう。
conviction_outro3                       だがそれはこちらでもできる。次へ移る準備ができたら、モルガンの独房にあるポラロイド写真をクリックしよう。

conviction_secondvisit_1                セッションに来なかったね。なぜかな？
conviction_secondvisit_2                無理だ。もうここにいるのが耐えられないんだ。
conviction_secondvisit_3                焦らなくていい。今日を乗り切ることに集中するんだ。
conviction_secondvisit_4                人生そのものが耐えられないんだ。ここにいようと、外に出ようと、俺の人生はメチャクチャだ。家族にも会えない。取り返しのつかないことをしてしまったんだ。
conviction_secondvisit_5                心配しなくていい、ヘンリー。私がついている。
conviction_secondvisit_6                フン、あいつも同じこと言ってたな。
conviction_secondvisit_7                あいつ？誰のことだ？
conviction_secondvisit_8                いつも味方をしてくれてた。
conviction_secondvisit_9                ガキの頃から。
conviction_secondvisit_10               勇気を出せ、チビ。
conviction_secondvisit_11               俺がついてるから大丈夫だ。
conviction_secondvisit_11b 				「俺がついてる」だと？
conviction_secondvisit_12               笑わせてくれるぜ。
conviction_secondvisit_13               約束しよう。もし次のセッションに参加してくれたら、君の面会特権を少し改善できるように働きかけるよ。
conviction_secondvisit_14               本当に？
conviction_secondvisit_15               ああ、そうしたいんだ。

conviction_suicide_1 					一応知らせておこうと思って... また自殺者が出ました。
conviction_suicide_2					殺鼠剤を飲んだようです。
conviction_suicide_3					ハースト先生が確認に向かっています。
conviction_suicide_4					可愛いだろ、うちの娘？
conviction_suicide_5					ああ、とても可愛い。
conviction_suicide_6					人生は変えられる。だよな、先生？

objective_conviction_expandcapacity50			新しい受刑者の到着に対応する
objective_conviction_expandcapacity50_description	新しい独房棟のデザイン案は、メインツールバー内の「企画」モードから確認できます。
objective_conviction_expandcapacity_cells	 	40人の受刑者を独房に収容
objective_conviction_expandcapacity_shower		シャワー室を作る
objective_conviction_expandcapacity_yard		運動場を作る
objective_conviction_expandcapacity_intake		次のグループの到着を待つ

objective_conviction_workprogram 				職業訓練プログラムを実施する
objective_conviction_unlocklabour				「役所仕事」から「囚人労働」を承認する
objective_conviction_work_trainkitchen			（任意）「厨房の安全衛生」プログラムを5人の受刑者に受けさせる
objective_conviction_work_kitchen				受刑者に厨房の仕事を与える
objective_conviction_work_workshop				作業室を建てる
objective_conviction_work_trainworkshop			（任意）「作業室の安全事項」講座を10人に受けさせる
objective_conviction_work_assignworkshop		受刑者に作業室で作業させる
objective_conviction_work_produceplates			（任意）ナンバープレートを100枚作る
objective_conviction_work_exportszone			道路の近くに保管ゾーンを設ける
objective_conviction_work_setintake             刑務所の受け入れレベルを1日10人にする

objective_conviction_unlocklabour_description	 このタスクリストの上にあるアイコンをクリックすると「役所仕事」画面を開くことができる。
objective_conviction_work_kitchen_description	 受刑者に厨房で働かせるには、「施設管理」→「囚人労働」を選ぼう。\n\n注意：受刑者は、厨房で働く前に「厨房の安全衛生」プログラムを修了していなければならない。
objective_conviction_work_assignworkshop_description 	受刑者に作業室で作業させるには、「施設管理」→「囚人労働」を選ぼう。\n\n注意：受刑者は、作業室で作業する前に「作業室の安全事項」講座を修了していなければならない。
objective_conviction_work_trainkitchen_description 		訓練プログラムや更生プログラムを運営するには、「報告書」（画面右下）から「プログラム」を選ぼう。受刑者は、スケジュールないの「労働」時間中にこれらのプログラムに参加することになる。\n\n注意：訓練プログラムに参加するには、スケジュールに2時間の「労働」時間を設ける必要あり。
objective_conviction_work_trainworkshop_description 	訓練プログラムや更生プログラムを運営するには、「報告書」（画面右下）から「プログラム」を選ぼう。受刑者は、スケジュールないの「労働」時間中にこれらのプログラムに参加することになる。\n\n注意：訓練プログラムに参加するには、スケジュールに2時間の「労働」時間を設ける必要あり。
objective_conviction_work_setintake_description         刑務所が過密状態になるのを防ぐには、「報告書」（画面右下）から「受け入れ」を選び、<<ボタンを使って受け入れレベルを10に下げよう。

objective_conviction_visitation				面会サービスを改善させる
objective_conviction_visitationroom	        新しい面会センターを建てる
objective_conviction_visitationcount		受刑者の家族20組の面会を実現させる
objective_conviction_telephones	 			すべての運動場に電話を設置する
objective_conviction_mailroom				郵便室を建てる
objective_conviction_mailroomwork			受刑者を郵便室で働かせる

objective_conviction_mailroomwork_description           受刑者を郵便室で働かせるには、「施設管理」→「囚人労働」を選ぼう。

objective_conviction_education				受刑者の教育を開始
objective_conviction_unlockeducation		「役所仕事」から「教育」を承認
objective_conviction_education_classroom	教室を建てる
objective_conviction_education_class 		「基礎教育」コースを設ける
objective_conviction_education_learn		（任意）5人の受刑者に「基礎教育」コースを修了させる
objective_conviction_education_library		図書館を建てる
objective_conviction_education_librarywork	受刑者を図書館で働かせる
objective_conviction_education_chapel		礼拝所を建てる
objective_conviction_education_spiritual	「宗教的アドバイス」コースを設ける

objective_conviction_expandcapacity100			刑務所の規模を拡大する
objective_conviction_expandcapacity_cells100	独房を80に増やす
objective_conviction_expandcapacity_cells200	（任意）独房を120に増やす

objective_Conviction_PlayerExitsMap         終わったらモルガンの独房にあるポラロイド写真をクリックしよう。


# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                自助努力
campaigncutscene_epilogueintro          再訪
campaigncutscene_epilogueoutro          エピローグ

campaignchapter_epilogue_description    歴史ある刑務所が近々解体および再建されることになっている。これまでに得たスキルを利用して究極の施設を作り上げよう。

adviser_name_reporter 					レポーター

epilogue_newsintro1 					本日のCNDCニュースでは、各地の刑務所の状態に関する特別レポートをお送りします。
epilogue_newsintro2 					多くの命が犠牲となったあの「アルケミコの悲劇」から2年が経ちます。
epilogue_newsintro4 					CEOチャールズ・ウォレスも命を落としたあの事件以来、一体何が変わったのか。それとも何も変わっていないのか。今日は専門家の方々にお話を伺いたいと思います。
epilogue_newsintro5 					まずは、最近取り壊しが決まった、州でも一番歴史のある刑務所です。
epilogue_newsintro6						この刑務所からCNDCニュースが生放送でお送りします。

epilogue_reporter1						この刑務所には、この国でも最も極悪と呼ばれる犯罪者の何人かが収容されています。
epilogue_reporter2 						しかし、この施設の壁は近日中に取り壊され、真新しい施設が建設される予定です。
epilogue_reporter3 						私の後ろでは、すでに建設業者が解体作業の準備を始めています。
epilogue_reporter4 						これからお話を伺うのは、カルビン・ヘラー市長です。市長、本日はお越し頂きありがとうございます。
epilogue_reporter5 						いえ、こちらこそ。

epilogue_reporter6 						市長はこれまで、刑務所の管理をさらに厳しく懲戒的なものにすることを提唱してきました。
epilogue_reporter6b 					長年に渡って懲罰的アプローチの見本と呼ばれてきたこの施設を取り壊すことにしたのはなぜですか？
epilogue_reporter7 						この施設は、建物もその運営状態も、古いものとなりつつあります。
epilogue_reporter8 						まったく新しい施設を建てることにしたのはそのためです。そこでは、建物だけでなく運営方針も一新されます。
epilogue_reporter9						この刑務所は、州でも数少ない死刑執行施設が設置されており、数年前にニュースで取り上げられたこともあります。
epilogue_reporter10 					また、死刑制度の撤廃を求める活動家たちが長年に渡って運動を行ってきた場所でもあります。新しい施設の建設にあたって、彼らの意思を尊重するつもりはありますか？それとも執行施設も一緒に建設されるのでしょうか？
epilogue_reporter12 					その件に関しては現在検討中です。慎重に考えなくてはならない問題だと認識しています。

epilogue_reporterend1 					ヘラー市長、ありがとうございました。それではスタジオにお返しします。
epilogue_newstransition1 				CNDCニュースです。本日は刑務所制度について生放送でお送りしています。
epilogue_newstransition2 				CMのあと、受刑者の精神分析とリハビリを専門とされているウォルター・ハースト博士にお話をお伺いします。

epilogue_parole1 						まだ音沙汰なしか？どのぐらいになる？
epilogue_parole2						覚えてないよ。電話も手紙もない。
epilogue_parole3 						モルガン、辛いが我慢してくれ。だがチャンスなんだ。うまくやってくれ。
epilogue_parole4 						ヘンリー、頑張れよ。
epilogue_parole5 						無理に格好いいこと言わなくてもいいぞ。
epilogue_parole6 						もう行かないと。あと1分でカメラが回る。
epilogue_parole7                        ヘラー市長、どうお考えですか？
epilogue_parole10 						早かったね！
epilogue_parole11 						どうです？
epilogue_parole12                       ...

epilogue_outro_1 						CNDCニュースの特別番組を引き続きお送りします。カルビン・ヘラー市長のインタビューを生放送でお楽しみください。
epilogue_outro_2 						ウォルター・ハースト博士にお話を伺います。博士は刑務所の改革に膨大な金額を無駄に費やしたと批判を受けています。
epilogue_outro_2b 						ハースト博士、あなたの改革は成功したと思いますか？
epilogue_outro_3						成功ですか... 全般的に見て、成功したとは言えないでしょうね。
epilogue_outro_4						私はどんな人でも、より良い人間に生まれ変わるための可能性を秘めていると思っています。受刑者にはそのためのチャンスを与えるべきです。
epilogue_outro_4b 						私は自信を持って言えます。ここの受刑者の考え方や未来に対する希望は、大幅に向上しました。
epilogue_outro_5						投獄は人々に犯罪を思い留まらせるものであるべきでは？受刑者が成長や変化を手にできる場所ではなく。
epilogue_outro_6 						ここにいる間に受ける罰や非人間的な扱いは、さらなる非行行為を助長します。

epilogue_outro_7						この施設では受刑者にスキルを提供します。そしてもっとも重要なのが「希望」です。
epilogue_outro_7b  						刑期が終わったらスムーズに社会復帰し、社会の役に立てるよう、支援するのです。
epilogue_outro_8						ですが、一般市民は無料の訓練や教育を受けられません。有償の仕事が保証されているわけでもありません。
epilogue_outro_8b 						これではまるで、犯罪の犠牲者の気持ちに寄り添わずに、その実行者に得をさせているように思えます。
epilogue_outro_8c 						巨額のお金を払って犯罪者たちをもてなしているようにしか見えません。
epilogue_outro_9						彼ら一人一人を変えていくことで、社会全体を変えることができるのです。
epilogue_outro_10						悪いことをした人間は自由を手にする権利はないのでは？
epilogue_outro_11						鳥を狙うなと猫に言っても無駄なのと同じように、犯罪者は何度でも同じことを繰り返すのです。
epilogue_outro_12 						そういう性質だからです。

epilogue_sandbox_1                      CEO就任、おめでとう。これは素晴らしいチャンスだ。そして新たなスタートだ。
epilogue_sandbox_2                      君にはほぼ自主的に事を進めていってもらいたい。受刑者の数は増え、彼らの再犯率も上がっている。つまり、沢山の課題が待っているということだ。
epilogue_sandbox_3						死刑執行施設は解体してしまって構わない。または残しておいて別の用途に使ってもいい。好きなようにしてくれればいい。ただし、ノロノロしていると別の誰かに先を越されるだろう。
epilogue_sandbox_4						今後の目標に関しては、前任の時と同じだ。利益、再犯率、そして収容数だ。
epilogue_sandbox_5 						それらをどのように改善していくかは君次第。
epilogue_sandbox_5b                     最後にひとつ。前CEOのチャールズ・ウォレスから手紙を預かっている。これは、新任の設計士が来るたびに彼が用意していたのと同じものだ。
epilogue_sandbox_5c                     手紙には為になるアドバイスが載っている。読んでおくといいだろう。
epilogue_sandbox_6						では健闘を祈る！

objective_epilogue_grants				助成金制度を利用して資金を確保
objective_epilogue_grants_description   刑務所を建てる際に必要な巨額の資金を集める主な方法のひとつが、助成金制度の利用だ。\n\n「報告書」（画面右下）内の「助成金」を選択すると、様々な助成金を見ることができる。数多くの機関が、刑務所の特定の箇所をゼロから建てるのに必要な資金を提供している。

objective_epilogue_certifiedprison		刑務所を建てる
objective_epilogue_capacity				最低でも100人の受刑者
objective_epilogue_bankbalance			銀行残高が$60,000以上
objective_epilogue_cashflow				プラスのキャッシュフロー

epilogue_outrointro_1                   なかなか悪くないスタートだ。
epilogue_outrointro_2                   近くにテレビがあるのならスイッチを入れて欲しい。見せたいものがある。

epilogue_basiccompletion_1 				州立刑務所に必要な最低条件をクリアした。この先どうするかは君次第だ。
epilogue_basiccompletion_2 				この先どう進めるかは、君と君の会社が決めることだ。
epilogue_basiccompletion_3 				市長執務室が気にしている数字はひとつだけ。再犯率だ。
epilogue_basiccompletion_4	 			君が自分の刑務所の受刑者の再犯率を下げることができたなら、万々歳だ。
epilogue_basiccompletion_5 				ハースト博士のような人々は、教育や更生プログラム、職業訓練などが再犯率を下げる唯一の方法だと考えている。
epilogue_basiccompletion_6 				個人的には、処罰を与えることも同じぐらい効果的だと考えるがな。
epilogue_basiccompletion_8 				だがこれは君次第だ。頑張ってくれ！
epilogue_basiccompletion_9 				完了したら、路上のポラロイド写真をクリックして、刑務所から離れろ。

objective_epilogue_reoffending			（任意）刑務所の再犯率を下げる
objective_epilogue_reoffending_description	再犯率は「刑務所評価」画面で確認することができる。画面左上のアイコンをクリックしよう。

objective_epilogue_reoffending_rate		再オファー率を30%以下に下げろ。
objective_epilogue_reoffending_released	最低でも10人の受刑者を釈放する

objective_Epilogue_PlayerExitsMap				充分にやったと思ったら、路上のポラロイド写真をクリックして、先に進もう。
objective_epilogue_playerexitsmap_description	ポラロイド写真は、配達ゾーン付近の路上にある。


# =============================================================================
# Credits
# =============================================================================

campaigncutscene_epiloguecredits        クレジット

credits_createdby1                      - 制作 -
credits_createdby2                      クリス・ディレイ
credits_producer1                       - プロデューサー -
credits_producer2                       マーク・モリス
credits_art1                            - アート -
credits_art2                            ライアン・スーモ
credits_sound1                          - サウンド -
credits_sound2                          アリスター・リンゼイ
credits_screenplay1                     - スクリーンプレイ -
credits_screenplay2                     クリス・ヘイスティングズ
credits_programmers                     - プログラミング -
credits_programmers1                    ジョン・ノッテンベルト
credits_programmers2                    レンダー・ハンブレー
credits_programmers3                    ギャリー・チェインバーズ
credits_programmers4                    アンドリュー・リン
credits_programmers5                    ジェフェリー・シェーン
credits_programmers6                    フィンレイ・カラン
credits_graphicdesign1                  - グラフィックデザイン -
credits_graphicdesign2                  モーテン・ペーダスン
credits_special                         - スペシャルサンクス -
credits_special1                        ウィル・モリス
credits_special2                        サム・モリス
credits_special3                        ジョー・スタンスフィールド
credits_special4                        ジョン・クック
credits_special5                        アレックス・チャプマン
credits_special6                        アレックス・タティ
credits_special7                        Double Eleven（ダブル・イレブン）
