# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog

job_StraitJacket	Zwangsjacke anlegen/abnehmen
job_EscortInsane	Psychisch kranken Häftling begleiten
status_effect_sedated	Ruhigstellen

orderly_description	Krankenpfleger sind dafür ausgebildet, psychisch kranke Häftlinge zu behandeln und (wenn nötig) ruhigzustellen.
pyschiatrist_description	ALLE psychisch kranken Häftlinge benötigen regelmäßige Einzelgespräche mit einem Psychiater. Fügen Sie Psychiatrische Beratung über das Programm-Menü hinzu.

insanetooltip_status	Status: *X
insanetooltip_status_level0	RUHIG
insanetooltip_status_level1	UNRUHIG
insanetooltip_status_level2	LABIL
insanetooltip_status_level3	GETRIGGERT!
insanetooltip_behaviour	Verhalten: *X

mutator_name_ReducedDirtBuildup	Anhäufung von Dreck verringern
mutator_tooltip_ReducedDirtBuildup	Die Geschwindigkeit, mit der sich Dreck in Ihrem Gefängnis ansammelt, wird halbiert.
administrator_requiresoffice_psychiatrist	Benötigt Psychiater-Büro

dlc_upsell	Diese Sicherung speichert Inhalte aus der Erweiterung "*D". Weil sich diese Sicherung nicht auf Ihrem Rechner befindet, werden einige Features deaktiviert. Erwerben Sie die Erweiterung "*D", um das meiste aus Prison Architect herauszuholen.
dlc_upsell_multiplayer	Der Host dieses Multiplayer-Spiels hat die Erweiterung "*D" erworben, zu der Ihr als Gast ebenfalls Zugang habt. Viel Spaß!

dlc_insane	Psych Ward: Warden’s Edition
dlc_seaandair	Inselgebunden

regime_work_pyscho	Programme/Freizeit
regime_worklockdown_pyscho	Programme/Einsperrzeit

regimetooltip_work_pyscho	Beachten Sie, dass psychisch kranke Häftlinge nicht arbeiten und Programme nur während der Arbeitszeiten aufsuchen können.
regimetooltip_worklockdown_pyscho	Beachten Sie, dass psychisch kranke Häftlinge nicht arbeiten und Programme nur während der Arbeitszeiten aufsuchen können.


# =============================================================================
# Nameplate status
# =============================================================================

nameplate_sedation_level	Beruhigungsstufe
teacher_teaching_pschiatrist	Behandlung
pschiatrist_count_status	*X psychiatrische Beratungen abgeschlossen


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# =============================================================================

action_escortToInfirmary	Eskorte zur Krankenstation

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus	Zellenstatus

buildtoolbar_popup_help_CellStatus_1	Der Zellenstatus zeigt an, ob Zellen besetzt (rot) oder frei (grün) sind.
buildtoolbar_popup_help_CellStatus_2	Sie können auf eine besetzte Zelle klicken, um den ihr zugewiesenen Häftling einzusehen.

freeCell	Freie Zelle
freeCell_line0	Diese Zelle ist momentan nicht besetzt.
occupiedCell	Besetzte Zelle
occupiedCell_line0	*X *Y, *Z
occupiedCell_line1	Linksklick, um Häftling anzuzeigen.
object_prisoner_freshfish	Häftling (Frischfleisch)

total_Connections	Gesamtmenge von Verbindungen: *X
active_Connections	Maximale Anzahl von aktiven Verbindungen: *X

interfacedeployment_VisitorDirection	Besucher-Ausrichtung

interface_action_move	Verlegen

equipment_moreContraband	Schmuggelware

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer	Gefangenentransfer!
report_intake_list_tooltip_prisonerTransfer	\n\nEs werden von Zeit zur Zeit Gefangene der Hochsicherheitsstufe angeboten, die zu gefährlich für andere Gefängnisse sind. \nSeien Sie gewarnt! Es gibt nicht umsonst viel Geld für sie. Es sind abgebrühte Verbrecher, die keine andere Anstalt aufnehmen will.
rapsheet_category_PrisonerTransfer	Gefangenentransfer!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities	Wasserleitungen und Elektrokabel können nicht darunter angelegt werden.

buildtoolbar_deployment_VisitorDirection	Klicken und ziehen, um Bodenmarkierungen anzubringen.\n\nSo sehen Personal und Besucher, wie sie gehen sollen.\nHilft, die Wege in Ihrem Gefängnis zu kontrollieren.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements	- Jede Wache benötigt "*X"

schedule_zone_insaneSecOnly	Verrückte Sekunde

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar	Mondbauland
codex_tooltip_lunar	Erzeugen Sie ein Anfangsbaugrundstück, das der Mondoberfläche ähnelt.

codex_option_doubleClick	Doppelklick, um Objekte zu bewegen

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom	CloneRoom

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline	Online gehen
codex_start	Spiel erstellen
codex_joinonline	Onlinespiel betreten
codex_join	Spiel betreten
codex_usernamelabel	Benutzername:
codex_namelabel	Spielname:
codex_passwordlabel	Passwort:
codex_passwordprotectedlabel	Passwort geschützt?
codex_listedlabel	Öffentlich gelistet?
codex_roomlistlabel	Spielliste:
codex_connectinglabel	Verbinde mit Server...
codex_retrievingserverlistlabel	Spielliste wird abgerufen...
codex_datausage	Datennutzung: Gesendet - *SkB/s, Empfangen - *RkB/s
codex_multiplayeroptions	Spieler verwalten
codex_playeroptions	Spieler
codex_regionlabel	Region:

multiplayer_chooseroomname	Wählen Sie bitte einen Spielnamen
multiplayer_chooseusername	Wählen Sie bitte einen Nutzernamen
multiplayer_joining	Betreten: *X
multiplayer_joiningstate_joining	Spiel betreten
multiplayer_joiningstate_receiving	Welt wird abgerufen
multiplayer_joiningstate_loading	Welt wird geladen
multiplayer_rejoining	Spiel wird nach Landerweiterung wiederbetreten:
multiplayer_leavegame_confirm	Möchten Sie wirklich Ihr aktuelles Coop-Spiel verlassen?
multiplayer_hostleft	Host hat Verbindung getrennt.
multiplayer_joingamefailed	Fehler beim Betreten des Spiels:
multiplayer_startgamefailed	Fehler beim Starten des Spiels:
multiplayer_incorrectpassword	Falsches Passwort
multiplayer_disconnected	Verbindung mit Server wurde unterbrochen.
multiplayer_syncerror	Verbindung wurde wegen Synchronisierungsfehler unterbrochen.\n\nVersuchen Sie bitte noch einmal, sich mit ihrem Spiel zu verbinden.
multiplayer_hostonly	Nur für Hostspieler verfügbar.
multiplayer_modsdisabled	Mods sind für Onlinespiel deaktiviert
multiplayer_mutatorsdisabled	Mutatoren sind für Onlinespiel deaktiviert
multiplayer_kicked	Ihr wurdet aus dem Spiel geworfen.
multiplayer_kick	Rauswurf
multiplayer_ban	Sperre

multiplayer_host	Host:

multiplayer_welcomeanalytics	Willkommen zur Multiplayer-Version von Prison Architect.\n\nWir haben hart daran gearbeitet, das komplette Spielerlebnis von Prison Architect für den Mehrspieler-Modus anzupassen. Prison Architect ist ein sehr umfangreiches Spiel und es ist das erste Mal, dass wir es im Mehrspieler-Modus für alle anbieten können, deshalb werden wir es im Auge behalten, um auf alle möglichen Probleme reagieren zu können.\n\nSie können uns dabei unterstützen, indem Sie und anonyme Analysedaten zukommen lassen, sobald Probleme im Spiel auftauchen. Die automatische Datensammlung kann jederzeit im Optionenmenü deaktiviert werden. Die gesammelten Daten können unter "metrics.txt" eingesehen werden.\n\nWir hoffen, Sie haben Spaß beim Spielen von Prison Architect mit Ihren Freunden.

region_asia	Asien
region_au	Australien
region_cae	Kanada, Ost
region_eu	Europa
region_in	Indien
region_jp	Japan
region_ru	Russland
region_rue	Russland, Ost
region_sa	Südamerika
region_kr	Südkorea
region_us	USA, Ost
region_usw	USA, West

codex_options_disableattract	Startbildschirm deaktivieren
codex_option_escapeplans	Fluchtpläne
buildtoolbar_rollcall	Appell
buildtoolbar_tooltip_rollcall	Rufen Sie alle ihr Häftlinge dazu auf, sich vor Ihren Zellen aufzustellen. Nur während der Schlafzeiten und nachts verfügbar.
interfacecontrol_graphs	Diagramme
interfacecontrol_graphs_tooltip	Öffnet das Diagrammfenster, in dem Sie Diagramme zu verschiedenen Aspekten Ihres Gefängnisses vergleichen können.

graph_title	Diagramme

graph_label_1	Datentyp 1
graph_label_2	Datentyp 2
graph_label_day	Tag

graph_axis_none	Keine
graph_axis_profit	Profit
graph_axis_funds	Kapital
graph_axis_prisonsize	Gefängnisgröße (m²)
graph_axis_numprisoners	Häftlingszahl
graph_axis_numstaff	Personalzahl
graph_axis_releasedprisoners	Entlassene Häftlinge
graph_axis_totalreleasedprisoners	Entlassene Häftlinge gesamt
graph_axis_escapedprisoners	Geflohene Häftlinge
graph_axis_totalescapedprisoners	Geflohene Häftlinge gesamt
graph_axis_entitydeath	Todesfälle
graph_axis_totaldeaths	Todesfälle gesamt
graph_axis_prisonerdeaths	Todesfälle Häftlinge
graph_axis_guarddeaths	Todesfälle Wachen
graph_axis_securitygrading	Sicherheitswertung
graph_axis_healthgrading	Gesundheitswertung
graph_axis_reformgrading	Reformenwertung
graph_axis_punishmentgrading	Bestrafungswertung
graph_axis_reoffendingrate	Rückfallquote
graph_axis_prisonvalue	Gefängniswert
graph_axis_prisonercapacity	Häftlingskapazität
graph_axis_numincidents	Unfallzahlen
graph_axis_totalincidents	Unfälle gesamt

equipment_Photo	Foto
equipment_SubMachineGun	Maschinenpistole
equipment_Soap	Seife

############################### Prison Wing Priviledges UPDATE ###############################

# =============================================================================
# Interface Mode
# =============================================================================

room_gymnasium	Sportsaal
buildtoolbar_popup_room_gymnasium	Hier können die Insassen Sport treiben und angestaute Aggressionen abbauen, oder trainieren, Streit auf klassische Weise zu lösen.


buildtoolbar_popup_help_CellStatus_1	Der Zellenstatus zeigt an, ob Zellen besetzt (orange), Bande (rot) oder frei (grün) sind.

object_punchbag_blocked	Sandsack kann nicht erreicht werden.
object_trainingdummy_blocked	Trainingsdummy kann nicht erreicht werden.

gangCell	*X-Zelle
gangMember	Bandenmitglied
gangSoldier	Bandensoldat
gangLieutenant	Bandenoffizier
gangLeader	Bandenanführer

interfacedeployment_CustomSector	Benutzerdefinierter Trakt

# =============================================================================
# Materials - Names
# =============================================================================

material_RunningTrack	Laufbahn
material_BambooFloor	Bambus
material_pipewall	Wand (Rohre)
material_overgrownwall	Wand (Bewachsen)
material_derelictwall	Wand (Verfallen)
material_slumwall	Wand (Slum)
material_rustywall	Wand (Rostig)
material_bamboofence	Zaun (Bambus)
material_decayedWall	Wand (Verwittert)
material_flowerfield	Blumiges Feld
material_FenceAndGrass	Zaun (Gras)
material_WallMinSec	Wand (Niedrige Sicherheitsstufe)
material_WallMedSec	Wand (Normale Sicherheitsstufe)
material_WallMaxSec	Wand (Hohe Sicherheitsstufe)
material_WallInsaneSec	Wand (Weiß)
material_WallProtective	Wand (Gelb)
material_CliffEdge	Felskante

# =============================================================================
# Objects - Names
# =============================================================================

object_ovalStaffTable	Tisch (Oval)
object_Painting1	Gemälde
object_Painting2	Gemälde
object_ChessTable	Schachtisch
object_GlassWindow	Fensterglas
object_GlassWindowLarge	Fensterglas (Groß)
object_GymMat	Turnmatte
object_SinkMirror	Spüle und Spiegel
object_TableFootball	Kicker
object_TableTennis	Tischtennis
object_TyreApparatus	Reifengerät
object_bambooDoor	Tür (Bambus)
object_Canvas	Leinwand und Farbe
object_PetBird	Ziervogel
object_SoftPillow	Weiches Kissen
object_BoxingRing	Boxring
object_DumbbellRack	Hantelständer
object_Treadmill	Laufband
object_Fan	Ventilator
object_PunchBag	Sandsack
object_WardenStatue	Direktor-Statue
object_WaterCooler	Wasserspender
object_SnackMachine	Snackautomat
object_Mattress	Bett (Schaummatratze)
object_MetalBarrel	Metallfass
object_WoodenBarrel	Holzfass
object_MooringBollard	Poller
object_DeckChair	Deckstuhl
object_LightGreen	Lampe (Grün)
object_LightRed	Lampe (Rot)
object_Buoy	Boje
object_LifeRing	Rettungsring
object_CoffeeMachine	Kaffeemaschine
object_ComputerStation	Computerstation
object_PASystem	Beschallungssystem
object_TrainingDummy	Holzpuppe
object_StoneWaterSpout	Steinerner Wasserspeier
object_WindSock	Windsack
object_ComfyBed	Bequemes Bett
object_IndoorTreePlanter	Baumtopf für Innenbereich
object_OldBed	Altes Bett
object_CameraPillar	Kamerapfosten
object_Blackboard	Tafel
object_JailDoorWhite	Gefängnistür (Weiß)
object_JailDoorLargeWhite	Große Gefängnistür (Weiß)

object_SignNumber0	Schild (Nummer 0)
object_SignNumber1	Schild (Nummer 1)
object_SignNumber2	Schild (Nummer 2)
object_SignNumber3	Schild (Nummer 3)
object_SignNumber4	Schild (Nummer 4)
object_SignNumber5	Schild (Nummer 5)
object_SignNumber6	Schild (Nummer 6)
object_SignNumber7	Schild (Nummer 7)
object_SignNumber8	Schild (Nummer 8)
object_SignNumber9	Schild (Nummer 9)

object_SignLetterA	Schild (Buchstabe A)
object_SignLetterB	Schild (Buchstabe B)
object_SignLetterC	Schild (Buchstabe C)
object_SignLetterD	Schild (Buchstabe D)
object_SignLetterE	Schild (Buchstabe E)
object_SignLetterF	Schild (Buchstabe F)
object_SignLetterG	Schild (Buchstabe G)
object_SignLetterH	Schild (Buchstabe H)
object_SignLetterI	Schild (Buchstabe I)
object_SignLetterJ	Schild (Buchstabe J)
object_SignLetterK	Schild (Buchstabe K)
object_SignLetterL	Schild (Buchstabe L)
object_SignLetterM	Schild (Buchstabe M)
object_SignLetterN	Schild (Buchstabe N)
object_SignLetterO	Schild (Buchstabe O)
object_SignLetterP	Schild (Buchstabe P)
object_SignLetterQ	Schild (Buchstabe Q)
object_SignLetterR	Schild (Buchstabe R)
object_SignLetterS	Schild (Buchstabe S)
object_SignLetterT	Schild (Buchstabe T)
object_SignLetterU	Schild (Buchstabe U)
object_SignLetterV	Schild (Buchstabe V)
object_SignLetterW	Schild (Buchstabe W)
object_SignLetterX	Schild (Buchstabe X)
object_SignLetterY	Schild (Buchstabe Y)
object_SignLetterZ	Schild (Buchstabe Z)


equipment_StrikePlacard	Streikplakat

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_Armoury	Waffenkammer
quickbuild_Infirmary	Krankenstation
quickbuild_Laundry	Wäscherei
quickbuild_Library	Bücherei
quickbuild_MailRoom	Postraum
quickbuild_Visitation	Besuch

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly	-REDUZIERT die Bewertung einer Zelle.

buildtoolbar_popup_obj_ovalStaffTable	Passt wunderbar zu Stühlen im Personalbereich.
buildtoolbar_popup_obj_painting1	Auch in einem Gefängnis kann man sich klassisch einrichten.
buildtoolbar_popup_obj_painting2	Auch in einem Gefängnis kann man sich klassisch einrichten.
buildtoolbar_popup_obj_chessTable	Das Spiel der Könige ... und der Bösewichte, die sich nicht an das Gesetz halten können. Erfüllt das Bedürfnis „Erholung“.
buildtoolbar_popup_obj_GLassWindow	Lässt minimales Sonnenlicht durch.
buildtoolbar_popup_obj_GlassWindowLarge	Lässt viel Sonnenlicht durch.
buildtoolbar_popup_obj_GymMat	Ideal zum Strecken und Dehnen.\n-Erfüllt das Trainingsbedürfnis.
buildtoolbar_popup_obj_TableTennis	Bietet Ihren Häftlingen einen zusätzlichen Zeitvertreib.\n-Erfüllt das Erholungsbedürfnis.
buildtoolbar_popup_obj_TableFootball	Bietet Ihren Häftlingen einen zusätzlichen Zeitvertreib.\n-Erfüllt das Erholungsbedürfnis.
buildtoolbar_popup_obj_TyreApparatus	Einige Häftlinge pochen auf Geräte, auf denen sie Klettern üben können.\n-Erfüllt das Trainingsbedürfnis.
buildtoolbar_popup_obj_SinkMirror	Stattet Häftlingszellen mit einer Spüle und einem Spiegel aus.\n-Erfüllt das Hygienebedürfnis.
buildtoolbar_popup_obj_bambooDoor	Dieses Bambustor passt wunderbar zum Bambuszaun. \nWird als Standardtür behandelt.
buildtoolbar_popup_obj_canvas	Kreative Möglichkeit für Häftlinge, ihre Gefühle auszudrücken, ohne sich gegenseitig abzustechen.
buildtoolbar_popup_obj_PetBird	Kleiner Gefährte, der Ihren Häftlingen Gesellschaft leistet.\n-Erfüllt die Bedürfnisse nach Familie, Komfort und Luxus.
buildtoolbar_popup_obj_SoftPillow	Erhöhe zusätzlich die Qualität und den Komfort eines Häftlingsbetts mit einem flauschigen Kissen.\n-Erfüllt die Bedürfnisse nach Komfort und Schlaf.
buildtoolbar_popup_obj_BoxingRing	Kein Sportsaal im Gefängnis kommt ohne einen Boxring aus. Die meisten Häftlinge drücken sich hier am liebsten künstlerisch aus.
buildtoolbar_popup_obj_DumbbellRack	Für alle pumpenden Insassen.\n -Erfüllt das Bedürfnis nach Training.
buildtoolbar_popup_obj_Treadmill	Hält fit und wer regelmäßig darauf trainiert, kann zu einem Profiläufer werden.\n -Erfüllt das Bedürfnis nach Training.
buildtoolbar_popup_obj_Fan	Altmodischer, stehender Ventilator, der die Luft im Raum ein wenig abkühlt.
buildtoolbar_popup_obj_PunchBag	Eignet sich perfekt zum Dampf ablassen.\n -Erfüllt die Bedürfnisse nach Training und Erholung.
buildtoolbar_popup_obj_WardenStatue	Große Steinstatue, die die Autorität des Direktors unterstreicht. Zu viele von ihnen können die Häftlinge einschüchtern. \n -ERHÖHT in einem geringfügigem Ausmaß die Unterdrückung.
buildtoolbar_popup_obj_WaterCooler	Gespräch des Tages am Wasserspender bei Prison Architect.
buildtoolbar_popup_obj_SnackMachine	Ungesunde Snacks mit vielen Kalorien.
buildtoolbar_popup_obj_Mattress	Mäßig bequeme Schaummatratze. Billigste Bettvariante, aber immerhin besser, als auf dem Boden zu schlafen.
buildtoolbar_popup_obj_MetalBarrel	Sieht man oft in Hafenanlagen herumstehen.
buildtoolbar_popup_obj_WoodenBarrel	Sieht man oft in Hafenanlagen herumstehen.
buildtoolbar_popup_obj_MooringBollard	Verleiht Dockanlagen ein klassisches Aussehen und dient außerdem als kleine Mauer.
buildtoolbar_popup_obj_LightGreen	Lampe für den Außenbereich mit grüner Birne. Passt gut zu einem Helipad.
buildtoolbar_popup_obj_LightRed	Lampe für den Außenbereich mit roter Birne. Passt gut zu einem Helipad.
buildtoolbar_popup_obj_Buoy	Treibt auf dem Wasser.
buildtoolbar_popup_obj_LifeRing	Verleiht Dockanlagen ein klassisches Aussehen.
buildtoolbar_popup_obj_ArcadeCabinet	Unterhalten Sie ihre Häftlinge mit einem modernen Retro-Spielautomaten.\n -Erfüllt die Bedürfnisse nach Erholung und Komfort.
buildtoolbar_popup_obj_CoffeeMachine	Ein gewünschtes Utensil für überarbeitetes Personal.
buildtoolbar_popup_obj_ComputerStation	Erfüllt die Bedürfnisse „Bildung“ und „Komfort“.
buildtoolbar_popup_obj_PASystem	Unterdrücken Sie Häftlinge mit regelmäßigen Durchsagen, die sie daran erinnern, dass sie sich hinter Gittern befinden.\n -ERHÖHT die Unterdrückung von Häftlingen im Zellenblock oder im Hof.
buildtoolbar_popup_obj_TrainingDummy	Altmodische Shaolin-Holzpuppe.\n -Häftlinge, die hart trainieren, können sogar neue Kampftechniken erlernen!
buildtoolbar_popup_obj_StoneWaterSpout	Gotischer Steinkopf, der Wasser aus dem Mund speit, wenn er entsprechend angeschlossen wird.
buildtoolbar_popup_obj_WindSock	Der Windsack warnt 1 Stunde im Voraus vor einer herannahenden Katastrophe und zeigt Windrichtung und -geschwindigkeit an.
buildtoolbar_popup_obj_ComfyBed	Luxusbett mit Memoryschaummatratze für den allerbesten Schlaf.
buildtoolbar_popup_obj_IndoorTreePlanter	Tiefer Topf zum Pflanzen von Bäumen im Innenbereich.
buildtoolbar_popup_obj_OldBed	Diese altmodische Gefängnispritsche ist zwar komfortabler als eine Schaummatratze, kommt aber nicht an ein echtes Bett heran.
buildtoolbar_popup_obj_Blackboard	Kein Klassenraum wäre ohne sie komplett.
buildtoolbar_popup_obj_JailDoorWhite	Farbige Gefängnistür, mit der Sie Zellenblöcke für psychisch kranke Insassen markieren können.
buildtoolbar_popup_obj_JailDoorLargeWhite	Farbige Gefängnistür, mit der Sie Zellenblöcke für psychisch kranke Insassen markieren können.
buildtoolbar_popup_obj_camerapillar	Dieser Pfosten wird im offenen Gelände aufgestellt und mit Kameras bestückt.

buildtoolbar_popup_obj_signNumber0	Ein Wandschild mit der Nummer 0. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber1	Ein Wandschild mit der Nummer 1. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber2	Ein Wandschild mit der Nummer 2. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber3	Ein Wandschild mit der Nummer 3. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber4	Ein Wandschild mit der Nummer 4. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber5	Ein Wandschild mit der Nummer 5. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber6	Ein Wandschild mit der Nummer 6. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber7	Ein Wandschild mit der Nummer 7. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber8	Ein Wandschild mit der Nummer 8. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signNumber9	Ein Wandschild mit der Nummer 9. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".

buildtoolbar_popup_obj_signLetterA	Ein Wandschild mit dem Buchstaben A. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterB	Ein Wandschild mit dem Buchstaben B. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterC	Ein Wandschild mit dem Buchstaben C. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterD	Ein Wandschild mit dem Buchstaben D. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterE	Ein Wandschild mit dem Buchstaben E. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterF	Ein Wandschild mit dem Buchstaben F. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterG	Ein Wandschild mit dem Buchstaben G. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterH	Ein Wandschild mit dem Buchstaben H. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterI	Ein Wandschild mit dem Buchstaben I. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterJ	Ein Wandschild mit dem Buchstaben J. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterK	Ein Wandschild mit dem Buchstaben K. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterL	Ein Wandschild mit dem Buchstaben L. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterM	Ein Wandschild mit dem Buchstaben M. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterN	Ein Wandschild mit dem Buchstaben N. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterO	Ein Wandschild mit dem Buchstaben O. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterP	Ein Wandschild mit dem Buchstaben P. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterQ	Ein Wandschild mit dem Buchstaben Q. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterR	Ein Wandschild mit dem Buchstaben R. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterS	Ein Wandschild mit dem Buchstaben S. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterT	Ein Wandschild mit dem Buchstaben T. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterU	Ein Wandschild mit dem Buchstaben U. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterV	Ein Wandschild mit dem Buchstaben V. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterW	Ein Wandschild mit dem Buchstaben W. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterX	Ein Wandschild mit dem Buchstaben X. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterY	Ein Wandschild mit dem Buchstaben Y. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".
buildtoolbar_popup_obj_signLetterZ	Ein Wandschild mit dem Buchstaben Z. Stelle die Schilder zusammen, um Worte oder Etiketten zu kreieren, wie z.B. "ZELLENBLOCK 4".


buildtoolbar_popup_mat_pipewall	Errichten Sie Rohrwände auf Fundamenten, um neue Bereiche oder Räume zu erschaffen.
buildtoolbar_popup_mat_derelictwall	Errichten sie verfallene Wände für den altertümlichen Look.
buildtoolbar_popup_mat_overgrownwall	Errichten Sie bewachsene Wände, weil das Leben sich selbst im Gefängnis seinen Weg bahnt.
buildtoolbar_popup_mat_rustywall	Errichten Sie billige rostige Wände für den postapokalyptischen Look.
buildtoolbar_popup_mat_slumwall	Errichten Sie billige Slumwände, weil Sie das Geld, dass Sie bei der Unterbringung von Häftlingen sparen, für die Erweiterung Ihres Büros einsetzen können.
buildtoolbar_popup_mat_bambooFence	Bambuszaun für den besonderen Dschungelcamp-Look.
buildtoolbar_popup_mat_RunningTrack	Perfekt für alle Jogger unter den Häftlingen – im Hof.
buildtoolbar_popup_mat_BambooFloor	Boden für den besonderen Dschungelcamp-Look.
buildtoolbar_popup_mat_DecayedWall	Errichten Sie billige Wände aus verwittertem Porenbetonstein auf den Fundamenten.
buildtoolbar_popup_mat_flowerfield	Grasbedeckte Fläche mit schönen Blumen.
buildtoolbar_popup_mat_fenceandgrass	Zaunabschnitte mit Grasuntergrund.
buildtoolbar_popup_mat_WallMinSec	Errichten Sie farbige Wände, um einen bestimmten Sicherheitsbereich des Gefängnisses zu markieren.
